"Mouse_ID","Code","Transect","Year"
"SK_2677",NA,"HZ_CZ",2014
"SK_2678","KVET3","HZ_CZ",2014
"SK_2681","NEPO1","HZ_CZ",2014
"SK_2682","BUS2","HZ_CZ",2014
"SK_2684","BUS2","HZ_CZ",2014
"SK_2685","BUS2","HZ_CZ",2014
"SK_2687",NA,"HZ_CZ",2014
"SK_2688","BUS2","HZ_CZ",2014
"SK_2690","VRBI4","HZ_CZ",2014
"SK_2692","CHOT1","HZ_CZ",2014
"SK_2693","KOZL","HZ_CZ",2014
"SK_2695","VRBI4","HZ_CZ",2014
"SK_2696",NA,"HZ_CZ",2014
"SK_2697",NA,"HZ_CZ",2014
"SK_2699","DODV","HZ_CZ",2014
"SK_2700",NA,"HZ_CZ",2014
"SK_2701",NA,"HZ_CZ",2014
"SK_2702",NA,"HZ_CZ",2014
"SK_2703",NA,"HZ_CZ",2014
"SK_2704",NA,"HZ_CZ",2014
"SK_2705",NA,"HZ_CZ",2014
"SK_2710","KOZL","HZ_CZ",2014
"SK_2713","DODV","HZ_CZ",2014
"SK_2715","NVCH1","HZ_CZ",2014
"SK_2724","ZIST","HZ_CZ",2014
"SK_2727",NA,"HZ_CZ",2014
"SK_2729",NA,"HZ_CZ",2014
"SK_2733","KRASIK","HZ_CZ",2014
"SK_2734",NA,"HZ_CZ",2014
"SK_2736","PRE11","HZ_CZ",2014
"SK_2737",NA,"HZ_CZ",2014
"SK_2738",NA,"HZ_CZ",2014
"SK_2739","KRASIK","HZ_CZ",2014
"SK_2745",NA,"HZ_CZ",2014
"SK_2750",NA,"HZ_CZ",2014
"SK_2751","BLAZI","HZ_CZ",2014
"SK_2752","ODM4","HZ_CZ",2014
"SK_2754","BLAZI","HZ_CZ",2014
"SK_2755",NA,"HZ_CZ",2014
"SK_2756",NA,"HZ_CZ",2014
"SK_2758",NA,"HZ_CZ",2014
"SK_2759",NA,"HZ_CZ",2014
"SK_2760",NA,"HZ_CZ",2014
"SK_2761",NA,"HZ_CZ",2014
"SK_2775",NA,"HZ_CZ",2014
"SK_2778",NA,"HZ_CZ",2014
"SK_2780","JOSE","HZ_CZ",2014
"SK_2782","ODM4","HZ_CZ",2014
"SK_2789",NA,"HZ_CZ",2014
"SK_2792","CHL161","HZ_CZ",2014
"SK_2793","CHL1","HZ_CZ",2014
"SK_2794","CHL161","HZ_CZ",2014
"SK_2795","MIL64","HZ_CZ",2014
"SK_2798","MIL64","HZ_CZ",2014
"SK_2799","BUS2","HZ_CZ",2014
"SK_2800","BUS2","HZ_CZ",2014
"SK_2801","BUS2","HZ_CZ",2014
"SK_2802","BUS2","HZ_CZ",2014
"SK_2803","STR2","HZ_CZ",2014
"SK_2804","STR2","HZ_CZ",2014
"SK_2805","STR2","HZ_CZ",2014
"SK_2851","KVET3","HZ_CZ",2014
"SK_2852","KAC2","HZ_CZ",2014
"SK_2853","CHOT1","HZ_CZ",2014
"SK_2854","CHOT1","HZ_CZ",2014
"SK_2855","KAC2","HZ_CZ",2014
"SK_2856","VRB7","HZ_CZ",2014
"SK_2857","VRB7","HZ_CZ",2014
"SK_2858","NEPO1","HZ_CZ",2014
"SK_2859",NA,"HZ_CZ",2014
"SK_2860",NA,"HZ_CZ",2014
"SK_2861",NA,"HZ_CZ",2014
"SK_2862","NEPO1","HZ_CZ",2014
"SK_2863","VRBI4","HZ_CZ",2014
"SK_2864","KVET3","HZ_CZ",2014
"SK_2865","DODV","HZ_CZ",2014
"SK_2866","DODV","HZ_CZ",2014
"SK_2868","CHOT1","HZ_CZ",2014
"SK_2869",NA,"HZ_CZ",2014
"SK_2870","DODV","HZ_CZ",2014
"SK_2871","BLAZI","HZ_CZ",2014
"SK_2873","BLAZI","HZ_CZ",2014
"SK_2874",NA,"HZ_CZ",2014
"SK_2875",NA,"HZ_CZ",2014
"SK_2876","SEYB","HZ_CZ",2014
"SK_2877","SEYB","HZ_CZ",2014
"SK_2878","LOUZ","HZ_CZ",2014
"SK_2879","LOUZ","HZ_CZ",2014
"SK_2880","LOUZ","HZ_CZ",2014
"SK_2881","LOUZ","HZ_CZ",2014
"SK_2884","CHL161",NA,2014
"SK_2885","CHL161","HZ_CZ",2014
"SK_2886","MIL64","HZ_CZ",2014
"SK_2887","MIL64","HZ_CZ",2014
"SK_2888","MIL64","HZ_CZ",2014
"SK_2889","MIL64","HZ_CZ",2014
"SK_2958","OBERT3A","HZ_BAV",2015
"SK_2959","OBERT3B","HZ_BAV",2015
"SK_2960","OBERT3A","HZ_BAV",2015
"SK_2961","OBERT3A","HZ_BAV",2015
"SK_3069","BAUH5","HZ_BAV",2015
"SK_3333","ENGEL1","HZ_BAV",2015
"SK_3417","OBERT3B","HZ_BAV",2015
"SK_3461",NA,NA,2015
"SK_3462",NA,NA,2015
"SK_3463",NA,NA,2015
"SK_3464",NA,NA,2015
"SK_3465",NA,NA,2015
"SK_3466",NA,NA,2015
"SK_3467",NA,NA,2015
"SK_3468",NA,NA,2015
"SK_3469",NA,NA,2015
"SK_3470",NA,NA,2016
"SK_3471",NA,NA,2017
"SK_3472",NA,NA,2015
"SK_3473",NA,NA,2015
"SK_3474",NA,NA,2015
"SK_3475",NA,NA,2015
"SK_3476",NA,NA,2015
"SK_3477",NA,NA,2015
"SK_3478",NA,NA,2015
