"","Code","Continent","State","Country","Locality","Latitude","Longitude"
"NEUG21.15","NEUG21","Europe","Germany","Brandenburg","Neugaul",52.7547222222222,14.1205555555556
"NEULO9.16","NEULO9","Europe","Germany","Brandenburg","Neulöwenberg",52.9008333333333,13.1972222222222
"NEUR14","NEUR14","Europe","Germany","Brandenburg","Neurüdnitz",52.7897222222222,14.1822222222222
"NVCH1","NVCH1","Europe","Czechia","Karlovy Vary Region","Nová Ves 1 (CH)",50.1775,12.4205555555556
"OBIL2","OBIL2","Europe","Czechia","Karlovy Vary Region","Obilná2",50.0963888888889,12.4713888888889
"ODM4","ODM4","Europe","Germany","Bavaria","Ödmeiersrieth 4",49.5636111111111,12.5180555555556
"ODR26","ODR26","Europe","Czechia","Karlovy Vary Region","Odrava 26",50.1044444444444,12.4841666666667
"PAST","PAST","Europe","Czechia","Pilsen Region","Pastuchovice",50.0691666666667,13.3841666666667
"PAUS.18","PAUS","Europe","Germany","Brandenburg","Pausien",52.6372222222222,13.0447222222222
"PRE11","PRE11","Europe","Czechia","Pilsen Region","Přehořov 11",50.0280555555556,13.3780555555556
"PRPR","PRPR","Europe","Czechia","Karlovy Vary Region","Přílezy - Pig house",50.0919444444444,12.9427777777778
"ROSE","ROSE","Europe","Germany","Bavaria","Rosenbühl 2",49.9913888888889,12.2330555555556
"RUDN21","RUDN21","Europe","Germany","Brandenburg","Rüdnitz 21",52.7169444444444,13.64
"SABI86","SABI86","Europe","Czechia","Karlovy Vary Region","Šabina 86",50.1347222222222,12.5977777777778
"SABIH","SABIH","Europe","Czechia","Karlovy Vary Region","Šabina horses",50.135,12.5827777777778
"SCHM1","SCHM1","Europe","Germany","Brandenburg","Schmachtenhagen",52.7886111111111,13.345
"SEYB","SEYB","Europe","Germany","Bavaria","Seybothenreuth",49.8825,11.72
"STAFF","STAFF","Europe","Germany","Brandenburg","Staffelde",52.7297222222222,12.9925
"STR2","STR2","Europe","Germany","Bavaria","Straas2",50.1813888888889,11.7625
"TEMM","TEMM","Europe","Germany","Brandenburg","Temmen",53.0966666666667,13.7555555555556
"TEMP8c","TEMP8c","Europe","Germany","Brandenburg","Tempelfelde",52.7111111111111,13.7222222222222
"TYN4","TYN4","Europe","Czechia","Karlovy Vary Region","Týniště4",50.1472222222222,13.1825
"UNWE","UNWE","Europe","Germany","Bavaria","Unterweissenbach",50.1569444444444,12.1033333333333
"VER15","VER15","Europe","Czechia","Karlovy Vary Region","Verušičky 15",50.1419444444444,13.1763888888889
"VRB7","VRB7","Europe","Czechia","Karlovy Vary Region","Vrbice 7",50.1494444444444,13.2308333333333
"VRBI4","VRBI4","Europe","Czechia","Ústí nad Labem Region","Vrbička 4",50.1775,13.2933333333333
"WOHL","WOHL","Europe","Germany","Bavaria","Wolfsbühl 4",50.0133333333333,12.2577777777778
"WOZW1","WOZW1","Europe","Germany","Bavaria","Wolferszwing 1",49.1144444444444,12.2780555555556
"ZACK20","ZACK20","Europe","Germany","Brandenburg","Zäckericker Loose",52.7883333333333,14.2408333333333
"ZEHL1.26","ZEHL1","Europe","Germany","Brandenburg","Zehlendorf 1",52.7969444444444,13.3994444444444
"ZEHL21","ZEHL21","Europe","Germany","Brandenburg","Zehlendorf 21a",52.7752777777778,13.3877777777778
"ZIST","ZIST","Europe","Czechia","","Žihle Statek",50.0422222222222,13.3863888888889
"ALBER4","ALBER4","Europe","Germany","Brandenburg","Albertshof 4",53.1478,13.4542
"ALTM29","ALTM29","Europe","Germany","Brandenburg","Altmädewitz 29",52.7508,14.1625
"ALTR39","ALTR39","Europe","Germany","Brandenburg","Altranft 39",52.7667,14.0817
"ALTTH","ALTTH","Europe","Germany","Brandenburg","Altthymen 26",53.24,13.1647
"BADFR45","BADFR45","Europe","Germany","Brandenburg","Bad Freienwalde 45",52.7733,14.0661
"BAUH5","BAUH5","Europe","Germany","Bavaria","Bauhof 5",49.3517,12.5056
"BEETZD","BEETZD","Europe","Germany","Brandenburg","Beetz 125",52.8136,13.0161
"BEETZL","BEETZL","Europe","Germany","Brandenburg","Beetz 95A - horses",52.8192,13.0208
"BESTE6","BESTE6","Europe","Germany","Brandenburg","Bestensee 6",52.2225,13.6025
"BRITZ2","BRITZ2","Europe","Germany","Brandenburg","Britz 2",52.8875,13.8119
"BUCHH","BUCHH","Europe","Germany","Brandenburg","Buchholz 30",52.5844,13.7881
"CROU17","CROU17","Europe","Germany","Brandenburg","Croustillier 17",52.7914,14.1169
"DENS12","DENS12","Europe","Germany","Brandenburg","Densow 12",53.145,13.3775
"DOBB8","DOBB8","Europe","Germany","Brandenburg","Dobberzin 8",53.0203,14.0356
"DUNZL3","DUNZL3","Europe","Germany","Bavaria","Dünzling 3",48.8858,12.1133
"ECKD5","ECKD5","Europe","Germany","Bavaria","Eckendorf 5",49.4467,12.2325
"EITEN8","EITEN8","Europe","Germany","Bavaria","Eitenzell 8",49.0508,12.4631
"ELTH3","ELTH3","Europe","Germany","Bavaria","Eltheim 3",48.9845348,12.3108
"ENGEL1","ENGEL1","Europe","Germany","Bavaria","Engelsberg 1",49.0919,12.3844
"ERKNKI","ERKNKI","Europe","Germany","Brandenburg","Erkner Kinderbauernhof",52.3989,13.7581
"FUCHS5","FUCHS5","Europe","Germany","Bavaria","Fuchsendorf 5",49.5044,12.2731
"GAILAU2","GAILAU2","Europe","Germany","Bavaria","Gailsbach, Auweg 2",48.8861,12.2347
"GAILAU3","GAILAU3","Europe","Germany","Bavaria","Gailsbach, Auweg 3",48.8856,12.2356
"GAILAU9","GAILAU9","Europe","Germany","Bavaria","Gailsbach, Auweg 9",48.8847,12.2361
"GAILDS8","GAILDS8","Europe","Germany","Bavaria","Gailsbach, Dorfstrasse 8",48.8864,12.2339
"GEISL7","GEISL7","Europe","Germany","Bavaria","Geisling 7",48.9717,12.3167
"GFALL9","GFALL9","Europe","Germany","Bavaria","Gfäll 9",49.1017,12.4203
"GIEL68","GIEL68","Europe","Germany","Bavaria","Gielsdorf 68",52.6053,13.8756
"GOTT","GOTT","Europe","Germany","Bavaria","Gottschalling",47.7883,11.9839
"GOTTES","GOTTES","Europe","Germany","Brandenburg","Gottesgabe 1",52.6378,14.1833
"GRAS12","GRAS12","Europe","Germany","Bavaria","Grassersdorf 12",49.3669,12.5228
"GROSB9","GROSB9","Europe","Germany","Bavaria","Grossbergerdorf 9",49.2508,12.6325
"GSCHW","GSCHW","Europe","Germany","Bavaria","Gschwendt 43a",48.8558,12.0689
"GUTH1","GUTH1","Europe","Germany","Bavaria","Guthof 1",49.1275,12.5128
"HAMMEL","HAMMEL","Europe","Germany","Brandenburg","Hammelspring 6",53.0689,13.4286
"HAMMER18","HAMMER18","Europe","Germany","Brandenburg","Hammer 18",52.8758,13.4411
"HAMMER8","HAMMER8","Europe","Germany","Brandenburg","Hammer 8",52.8803,13.4383
"HETZ18","HETZ18","Europe","Germany","Bavaria","Hetzmannsdorf 18",49.3519,12.5256
"HOF12","HOF12","Europe","Germany","Bavaria","Hof 12",49.4636,12.4069
"HOHST1","HOHST1","Europe","Germany","Brandenburg","Hohenstein 1",52.5689,13.9858
"HOPPE1","HOPPE1","Europe","Germany","Brandenburg","Hoppegarten 1",52.4978,13.6761
"JAGE1","JAGE1","Europe","Germany","Bavaria","Jagerhaus 1",48.9497,12.3106
"JOACH10","JOACH10","Europe","Germany","Brandenburg","Joachimstahl 10",52.9753,13.7414
"KLESS2","KLESS2","Europe","Germany","Bavaria","Klessing 2",49.1528,12.5028
"LERA9","LERA9","Europe","Germany","Bavaria","Lerau 9",49.6044,12.2875
"LETS38","LETS38","Europe","Germany","Brandenburg","Letschin 38",52.6506,14.3217
"LETZ","LETZ","Europe","Germany","Bavaria","Letzau",49.6772,12.245
"LINDE53","LINDE53","Europe","Germany","Brandenburg","Linde 53",52.8925,13.1278
"LOID5","LOID5","Europe","Germany","Bavaria","Loidsberg 5",49.0664,12.3836
"LUCK","LUCK","Europe","Germany","Bavaria","Luckenpaint",48.894,12.135
"LYCHE6","LYCHE6","Europe","Germany","Brandenburg","Lychen 6",53.2242,13.3122
"MADL11","MADL11","Europe","Germany","Brandenburg","Madlitz 11",52.3792,14.3106
"MAIEH5","MAIEH5","Europe","Germany","Bavaria","Maierhof 5",48.0931,12.4347
"MARIE","MARIE","Europe","Germany","Brandenburg","Marienhof 6",52.2458,13.5994
"MATT11","MATT11","Europe","Germany","Bavaria","Mattenzell 11",49.1144,12.4356
"MICH17","MICH17","Europe","Germany","Bavaria","Michelstahl 17",49.4264,12.5931
"MILMC47","MILMC47","Europe","Germany","Brandenburg","Milmersdorfer Chaussee 47",53.1158,13.595
"MOOSH","MOOSH","Europe","Germany","Bavaria","Moosham 18",48.9256,12.2672
"MOOSM","MOOSM","Europe","Germany","Bavaria","Moosmühle 1",48.9678,12.3481
"MUNSF2","MUNSF2","Europe","Germany","Bavaria","Münchshof 2",49.3619,12.1178
"NEUALL","NEUALL","Europe","Germany","Bavaria","Neuallkofen 2",48.9719,12.2675
"NEUM39","NEUM39","Europe","Germany","Brandenburg","Neumädewitz 39",52.7408,14.1611
"NEUS78","NEUS78","Europe","Germany","Bavaria","Neusath 78",49.4639,12.2125
"NIEDMU","NIEDMU","Europe","Germany","Bavaria","Niedermurach",49.4489,12.3775
"NIEDPR","NIEDPR","Europe","Germany","Bavaria","Niederpremeischl 2",49.3447,12.5808
"NUNZ11","NUNZ11","Europe","Germany","Bavaria","Nunzenried 11",49.4547,12.4492
"OBERL3","OBERL3","Europe","Germany","Bavaria","Oberlaichling 3",48.8614,12.1606
"OBERMU23","OBERMU23","Europe","Germany","Bavaria","Obermurach 23",49.4453,12.3919
"OBERN8","OBERN8","Europe","Germany","Bavaria","Obernankau 8",49.5861,12.2997
"OBERS14","OBERS14","Europe","Germany","Bavaria","Obersanding 14",48.8864,12.1606
"OBERS2","OBERS2","Europe","Germany","Bavaria","Obersanding 2",48.8869,12.1611
"OBERT3A","OBERT3A","Europe","Germany","Bavaria","Obertresengeld 3A",49.6544,12.3261
"OBERT3B","OBERT3B","Europe","Germany","Bavaria","Obertresengeld 3B",49.6539,12.3278
"OEDE2","OEDE2","Europe","Germany","Bavaria","Oedenthal 2",49.6439,12.2389
"ORTB7","ORTB7","Europe","Germany","Brandenburg","Ort Berkenlatten 7",53.1406,13.7586
"PAPP1","PAPP1","Europe","Germany","Brandenburg","Pappelwerder 1",53.2108,13.6506
"PARIN","PARIN","Europe","Germany","Bavaria","Paring 202",48.8519,12.0933
"PEMF12","PEMF12","Europe","Germany","Bavaria","Pemfling 12",49.2619,12.6064
"PILM44","PILM44","Europe","Germany","Bavaria","Pillmersried 44",49.3911,12.5139
"PlCzW","PlCzW","Europe","Poland","West Pomeranian Voivodeship","Czaplin Wielki 21",54.0206,15.1556
"PlDram3","PlDram3","Europe","Poland","West Pomeranian Voivodeship","Dramino 3",53.8792,14.7003
"PlZol6","PlZol6","Europe","Poland","West Pomeranian Voivodeship","Żółwino 6",53.9406,14.6125
"REICHM1","REICHM1","Europe","Germany","Bavaria","Reichertsmühle 1",49.4725,12.3772
"ROTZG2","ROTZG2","Europe","Germany","Bavaria","Rötz 2",49.3417,12.5406
"RUTE41","RUTE41","Europe","Germany","Brandenburg","Rutenberg 41",53.2531,13.3067
"RUTERE","RUTERE","Europe","Germany","Brandenburg","Rutenberg Rehof",53.2522,13.3047
"SCHEN8f","SCHEN8f","Europe","Germany","Brandenburg","Schenkendorf 8 - food",52.2725,13.5992
"SCHEN8h","SCHEN8h","Europe","Germany","Brandenburg","Schenkendorf 8 - horses",52.2747,13.595
"SCHI39","SCHI39","Europe","Germany","Bavaria","Schierling 39",48.8336,12.145
"SCHIFF29","SCHIFF29","Europe","Germany","Brandenburg","Schiffmühle 29",52.8092,14.0569
"SCHOR16","SCHOR16","Europe","Germany","Brandenburg","Schorfheide 16",52.9228,13.5436
"STADT1","STADT1","Europe","Germany","Bavaria","Stadtberg 1",48.9183,12.1492
"STAUN","STAUN","Europe","Germany","Bavaria","Staunerhof",49.2867,12.5711
"STEINA6","STEINA6","Europe","Germany","Bavaria","Steinach 6",49.5953,12.2942
"STERNF2","STERNF2","Europe","Germany","Brandenburg","Sternfelde 2",53.0039,13.9703
"STORK17","STORK17","Europe","Germany","Brandenburg","Storkow 17",53.0478,13.4458
"TAUCH6","TAUCH6","Europe","Germany","Bavaria","Tauchersdorf 6",49.4767,12.2456
"THALM5","THALM5","Europe","Germany","Bavaria","Thalmassing 5",48.9133,12.16
"TIEF28","TIEF28","Europe","Germany","Bavaria","Tiefenbach 28",49.4378,12.5789
"TORFH","TORFH","Europe","Germany","Brandenburg","Torfhaus",52.5142,13.8517
"TRESS9","TRESS9","Europe","Germany","Bavaria","Tressenried 9",49.4572,12.4406
"TRIEP30","TRIEP30","Europe","Germany","Mecklenburg-Vorpommern","Triepkendorf 30",53.2903,13.3306
"TROB4","TROB4","Europe","Germany","Bavaria","Trobelsdorf 4",49.3558,12.5436
"UNPRO1","UNPRO1","Europe","Germany","Bavaria","Unterprombach 1",49.1642,12.5281
"UNSAN16","UNSAN16","Europe","Germany","Bavaria","Untersanding, Dorfstrasse 16",48.8911,12.1706
"UNSAN2","UNSAN2","Europe","Germany","Bavaria","Untersanding, Lerchenweg 2",48.8911,12.1683
"UNSCHH","UNSCHH","Europe","Germany","Bavaria","Unterschneidhart 5",48.8594,12.0514
"WIED1","WIED1","Europe","Germany","Bavaria","Wieden 1",49.1447,12.5019
"WOPP8","WOPP8","Europe","Germany","Bavaria","Woppmannsdorf 8",49.125,12.3544
"ZAIT36","ZAIT36","Europe","Germany","Bavaria","Zaitzkofen 36",48.8375,12.2094
"ZILCH4","ZILCH4","Europe","Germany","Bavaria","Zilchenricht 4",49.3881,12.1806
"ZUM16","ZUM16","Europe","Germany","Bavaria","Zumhof 16",49.06,12.4319
"STEG1.187","STEG1","Europe","Germany","Brandenburg","Stegelitz",53.1267,13.8433
