"Code","Mouse_ID","Year","HI","HI_NLoci","Longitude","Latitude"
"KEML21","AA_0162","2016",0,13,13.5339,51.8489
"KEML21","AA_0163","2016",0.32,13,13.5339,51.8489
"KEML21","AA_0161","2016",0.2,13,13.5339,51.8489
"LETS38","AA_0210","2016",0.7142857143,8,14.3217,52.6506
"LETS38","SK_3098","2015",0.7,14,14.3217,52.6506
"LIEB38","SK_2815","2014",0.0869565217,12,13.4636111111111,52.9155555555556
"LIEB38","SK_3151","2015",0.1,14,13.4636111111111,52.9155555555556
"LIEB38","SK_3171","2015",0.08,13,13.4636111111111,52.9155555555556
"LIEB38","SK_3370","2015",0.12,13,13.4636111111111,52.9155555555556
"LIEB38","SK_2816","2014",0.08,13,13.4636111111111,52.9155555555556
"LIEB38","SK_2814","2014",0.1,14,13.4636111111111,52.9155555555556
"LIEB38","SK_2813","2014",0,14,13.4636111111111,52.9155555555556
"LIEB39","AA_0066","2016",0.12,13,13.4642,52.4164
"LIEB39","AA_0068","2016",0.04,13,13.4642,52.4164
"LIEB39","AA_0070","2016",0,13,13.4642,52.4164
"LIEB39","AA_0065","2016",0,14,13.4642,52.4164
"LIEB39","AA_0069","2016",0,14,13.4642,52.4164
"LIEB39","AA_0064","2016",0.08,13,13.4642,52.4164
"LIEB39","AA_0067","2016",0.1,14,13.4642,52.4164
"LIET21","SK_2820","2014",0.16,13,12.8358333333333,52.6169444444444
"LINDE53","SK_3184","2015",0.2,14,13.1278,52.8925
"LUDER","AA_0144","2016",0.8695652174,12,14.0828,52.7
"LUEB21","SK_2925","2014",0,13,13.3577777777778,52.6211111111111
"LYCHE6","SK_3191","2015",0.55,14,13.3122,53.2242
"LYCHE6","SK_3192","2015",0.88,13,13.3122,53.2242
"MADL11","SK_3136","2015",0.88,13,14.3106,52.3792
"MARIEH","SK_3211","2015",0,14,13.5994,52.2458
"MARIEW","AA_0071","2016",0.04,13,13.6,52.8425
"MILD1","AA_0124","2016",0.04,13,13.3047,52.9936
"MILD1","AA_0093","2016",0.0625,10,13.3047,52.9936
"MILD1","AA_0075","2016",0,13,13.3047,52.9936
"MILD1","AA_0072","2016",0,13,13.3047,52.9936
"MILD1","AA_0123","2016",0,13,13.3047,52.9936
"MILD1","AA_0125","2016",0.0434782609,12,13.3047,52.9936
"MILD1","AA_0074","2016",0,13,13.3047,52.9936
"MILD1","AA_0073","2016",0,13,13.3047,52.9936
"MILD1","AA_0095","2016",0.05,14,13.3047,52.9936
"MILD1","AA_0094","2016",0.04,13,13.3047,52.9936
"MILMC47","SK_3101","2015",0.84,13,13.595,53.1158
"MILMC47","SK_3100","2015",0.84,13,13.595,53.1158
