count,Mouse_ID,feces_weight_g,raw_oocyst_in_10_microL_div_by_8_squares,total_volume_ml,oocyst_per_ml,oocysts_in_feces,OPG_if_0.4g,year
Enas,AA_0086,NA,0,0.2,0,0,0,2016
Enas,AA_0087,NA,0,0.2,0,0,0,2016
Enas,AA_0088,NA,100,0.2,80000,16000,40000,2016
Enas,AA_0089,NA,0,0.2,0,0,0,2016
Enas,AA_0090,NA,0,0.2,0,0,0,2016
Enas,AA_0091,NA,0,0.2,0,0,0,2016
Enas,AA_0092,NA,0,0.2,0,0,0,2016
Enas,AA_0093,NA,0,0.2,0,0,0,2016
Enas,AA_0094,NA,13,0.2,10400,2080,5200,2016
Enas,AA_0095,NA,0,0.2,0,0,0,2016
Enas,AA_0096,NA,0,0.2,0,0,0,2016
Enas,AA_0097,NA,0,0.2,0,0,0,2016
Enas,AA_0098,NA,0,0.2,0,0,0,2016
Enas,AA_0099,NA,0,0.2,0,0,0,2016
Enas,AA_0100,NA,30,0.2,24000,4800,12000,2016
Enas,AA_0101,NA,0,0.2,0,0,0,2016
Enas,AA_0102,NA,0,0.2,0,0,0,2016
Enas,AA_0103,NA,0,0.2,0,0,0,2016
Enas,AA_0104,NA,0,0.2,0,0,0,2016
Enas,AA_0105,NA,0,0.2,0,0,0,2016
Enas,AA_0106,NA,0,0.2,0,0,0,2016
Enas,AA_0107,NA,NA,0.2,NA,NA,NA,2016
Enas,AA_0108,NA,0,0.2,0,0,0,2016
Enas,AA_0109,NA,0,0.2,0,0,0,2016
Enas,AA_0110,NA,NA,0.2,NA,NA,NA,2016
Enas,AA_0113,NA,NA,0.2,NA,NA,NA,2016
Enas,AA_0114,NA,NA,0.2,NA,NA,NA,2016
Enas,AA_0115,NA,NA,0.2,NA,NA,NA,2016
Enas,AA_0116,NA,0,0.2,0,0,0,2016
Enas,AA_0117,NA,0,0.2,0,0,0,2016
Enas,AA_0118,NA,0,0.2,0,0,0,2016
Enas,AA_0119,NA,0,0.2,0,0,0,2016
Enas,AA_0120,NA,5,0.2,4000,800,2000,2016
Enas,AA_0121,NA,5,0.2,4000,800,2000,2016
Enas,AA_0122,NA,0,0.2,0,0,0,2016
Enas,AA_0123,NA,0,0.2,0,0,0,2016
Enas,AA_0124,NA,0,0.2,0,0,0,2016
Enas,AA_0125,NA,0,0.2,0,0,0,2016
Enas,AA_0126,NA,0,0.2,0,0,0,2016
Enas,AA_0127,NA,0,0.2,0,0,0,2016
Enas,AA_0128,NA,0,0.2,0,0,0,2016
Enas,AA_0129,NA,0,0.2,0,0,0,2016
Enas,AA_0130,NA,0,0.2,0,0,0,2016
Enas,AA_0131,NA,0,0.2,0,0,0,2016
Enas,AA_0132,NA,0,0.2,0,0,0,2016
Enas,AA_0133,NA,0,0.2,0,0,0,2016
Enas,AA_0134,NA,0,0.2,0,0,0,2016
Enas,AA_0135,NA,0,0.2,0,0,0,2016
Enas,AA_0136,NA,0,0.2,0,0,0,2016
Enas,AA_0137,NA,20,0.2,16000,3200,8000,2016
Enas,AA_0138,NA,0,0.2,0,0,0,2016
Enas,AA_0139,NA,50,0.2,40000,8000,20000,2016
Enas,AA_0140,NA,4,0.2,3200,640,1600,2016
Enas,AA_0141,NA,0,0.2,0,0,0,2016
Enas,AA_0142,NA,0,0.2,0,0,0,2016
Enas,AA_0143,NA,0,0.2,0,0,0,2016
Enas,AA_0144,NA,0,0.2,0,0,0,2016
Enas,AA_0145,NA,0,0.2,0,0,0,2016
Enas,AA_0146,NA,0,0.2,0,0,0,2016
Enas,AA_0147,NA,0,0.2,0,0,0,2016
Enas,AA_0148,NA,0,0.2,0,0,0,2016
Enas,AA_0149,NA,0,0.2,0,0,0,2016
Enas,AA_0150,NA,0,0.2,0,0,0,2016
Enas,AA_0151,NA,0,0.2,0,0,0,2016
Enas,AA_0152,NA,0,0.2,0,0,0,2016
Enas,AA_0153,NA,0,0.2,0,0,0,2016
Enas,AA_0154,NA,0,0.2,0,0,0,2016
Enas,AA_0155,NA,0,0.2,0,0,0,2016
Enas,AA_0156,NA,0,0.2,0,0,0,2016
Enas,AA_0157,NA,0,0.2,0,0,0,2016
Enas,AA_0158,NA,0,0.2,0,0,0,2016
Enas,AA_0159,NA,0,0.2,0,0,0,2016
Enas,AA_0160,NA,0,0.2,0,0,0,2016
Enas,AA_0161,NA,2,0.2,1600,320,800,2016
