"","Got.the.sheet.","location","Adress","GPS.coordinates.long","GPS.coordinates.lat","trapping_date","trapping_time","number_of_traps","collection_date","collection_time","number_of_mice","collection_team","comment..by.catch..etc.","area","Y_N","MperT"
"100","","","Granseeer Str. . Großwoltersdorf",53.065466,13.10663,"25.09.2016","12h15",16,"26.09.2016","12h45",0,"Thomas-Jana-Lisa-Kati","1Spitz","A","None",0
"101","","","Wendefeld, Wendefeld",53.034708,13.16023,"25.09.2016","16h00",10,"26.09.2016","12h00",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"102","","E_ALTE","Altedorfstr.  Altlüdersdorf",53.038544,13.186732,"25.09.2016","16h30",21,"26.09.2016","11h50",1,"Thomas-Jana-Lisa-Kati","","A","Mm",0.0476190476190476
"103","","E_RIB8","Ribbecker Dorfstr. 8, Ribbeck",53.032128,13.256764,"25.09.2016","17h00",14,"26.09.2016","11h00",2,"Thomas-Jana-Lisa-Kati","+1tote","A","Mm",0.142857142857143
"104","","old","Pferdeoase, Märkisch Buchholz",52.106315,13.763339,"25.09.2016","9h30",18,"26.09.2016","11h45",0,"Nadine-Nicole-Sascha","1 Wühlmaus, 1 Mus musculus tot","E","None",0
"105","","E_GUTS","Micheal Nier, Gutsmannstr. 41, 15755",52.130086,13.608102,"25.09.2016","10h20",14,"26.09.2016","11h50",1,"Nadine-Nicole-Sascha","3 Brandmäuse, 1 Mus musculus tot","E","Mm",0.0714285714285714
"106","","old","Eisenbahnerstrasse 9, Märkisch Buchholz, Volkmann",52.10668,13.75148,"25.09.2016","15h10",10,"26.09.2016","14h00",0,"Nadine-Nicole-Sascha","","E","None",0
"107","","","Eichenhof, Eichenweg34, Löpten",52.1462,13.67908,"25.09.2016","15h30",21,"26.09.2016","16h30",0,"Nadine-Nicole-Sascha","1 Spitzmaus","E","None",0
"108","","E_EGS7","Egsdorferstr. 7, 15749",52.15826,13.58764,"25.06.2016","16h00",9,"26.09.2016","15h00",5,"Nadine-Nicole-Sascha","","E","Mm",0.555555555555556
"109","","","Schiffmühle 29, 16259",52.80912,14.05693,"25.06.2016","16h40",10,"26.09.2016","18h20",0,"Nadine-Nicole-Sascha","","E","None",0
"110","","","Gartenstr. 2, Heckelberg",52.738159,13.837288,"26.09.2016","14h15",8,"27.09.2016","15h30",0,"Gregor-Pedro","1 Spitzmaus","C","None",0
"111","","","Brunower Straße 1, 16259 Höhenland- Steinbeck",52.71788,13.907177,"26.09.2016","15h00",9,"27.09.2016","10h10",0,"Gregor-Pedro","","C","None",0
"112","","E_LUD","Lüdersdorfer Dorfstraße 8, Wriezen – Lüdersdorf",52.699579,14.082995,"26.09.2016","16h00",8,"27.09.2016","14h45",1,"Gregor-Pedro","","C","Mm",0.125
"113","","E_WRI6","Wriezener Straße 6, Frankenfelde",52.669965,14.058403,"26.09.2016","16h35",10,"27.09.2016","14h05",1,"Gregor-Pedro","1 Brandmaus, 1 Wühlmaus","C","Mm",0.1
"114","","","Wriezener Straße 7, Frankenfelde",52.670084,14.05844,"26.09.2016","16h30",10,"27.09.2016","14h00",0,"Gregor-Pedro","","C","None",0
"115","","","Dorfstr. 52, Brodowin",52.915588,13.956417,"26.09.2016","11h00",20,"27.09.2016","9h20",0,"Gregor-Pedro","","C","None",0
"116","","","Dorfstr. 31, Niederfinow",52.840734,13.899922,"26.09.2016","13h15",10,"27.09.2016","8h45",0,"Gregor-Pedro","1 Wühlmaus","C","None",0
"117","","","Dorfstrasse 15, Ringenwalde",53.0575,13.718,"26.09.2016","11h30",3,"27.09.2016","14h00",0,"Paula-Naomi","","B","None",0
"118","","","Ringenwalderstrasse 31, ",53.0334,13.7112,"26.09.2016","12h30",22,"27.09.2016","10h00",0,"Paula-Naomi","1 Brandmaus, 2 Spitzmause, 1 Wühlmaus","B","None",0
"119","","E_WILM","Wilmine 5, 17268 Gerswalde",53.116421,13.772821,"26.09.2016","16h15",6,"27.09.2016","11h00",3,"Paula-Naomi","","B","Mm",0.5
