"","Mouse_ID","pop","counts"
"76","AA_0686","CD4",33.1
"77","AA_0686","Treg",6.345
"78","AA_0686","Div_Treg",33.8
"79","AA_0686","Treg17",8.315
"80","AA_0686","Treg_prop",85.15
"81","AA_0686","Th1",4.105
"82","AA_0686","Div_Th1",39.2
"83","AA_0686","Th17",3
"84","AA_0686","Div_Th17",11.8
"85","AA_0686","CD8",17.05
"86","AA_0686","Act_CD8",11.6
"87","AA_0686","Div_Act_CD8",18.05
"88","AA_0686","IFNy_CD4",1.81
"89","AA_0686","IL17A_CD4",0.71
"90","AA_0686","IFNy_CD8",3.63
"91","AA_0687","CD4",29.1
"92","AA_0687","Treg",4.505
"93","AA_0687","Div_Treg",18.85
"94","AA_0687","Treg17",1.02
"95","AA_0687","Treg_prop",88
"96","AA_0687","Th1",11.9
"97","AA_0687","Div_Th1",27.15
"98","AA_0687","Th17",1.37
"99","AA_0687","Div_Th17",10.355
"100","AA_0687","CD8",12.175
"101","AA_0687","Act_CD8",18.4
"102","AA_0687","Div_Act_CD8",22.3
"103","AA_0687","IFNy_CD4",4.885
"104","AA_0687","IL17A_CD4",0.645
"105","AA_0687","IFNy_CD8",3.4
"106","AA_0688","CD4",30.2
"107","AA_0688","Treg",6.545
"108","AA_0688","Div_Treg",18.5
"109","AA_0688","Treg17",1.725
"110","AA_0688","Treg_prop",84.05
"111","AA_0688","Th1",10.385
"112","AA_0688","Div_Th1",25.4
"113","AA_0688","Th17",0.95
"114","AA_0688","Div_Th17",9.375
"115","AA_0688","CD8",17.35
"116","AA_0688","Act_CD8",13.6
"117","AA_0688","Div_Act_CD8",23.4
"118","AA_0688","IFNy_CD4",6.845
"119","AA_0688","IL17A_CD4",0.825
"120","AA_0688","IFNy_CD8",7.735
"121","AA_0689","CD4",23.2
"122","AA_0689","Treg",7.095
"123","AA_0689","Div_Treg",22.6
"124","AA_0689","Treg17",3.07
"125","AA_0689","Treg_prop",84.3
"126","AA_0689","Th1",15.975
"127","AA_0689","Div_Th1",33.5
"128","AA_0689","Th17",1.525
"129","AA_0689","Div_Th17",12.05
"130","AA_0689","CD8",19.7
"131","AA_0689","Act_CD8",36.45
"132","AA_0689","Div_Act_CD8",24
"133","AA_0689","IFNy_CD4",4.28
"134","AA_0689","IL17A_CD4",4.05
"135","AA_0689","IFNy_CD8",5.495
"136","AA_0690","CD4",28.1
"137","AA_0690","Treg",6.605
"138","AA_0690","Div_Treg",22.95
"139","AA_0690","Treg17",2.015
"140","AA_0690","Treg_prop",86.05
"141","AA_0690","Th1",17.135
"142","AA_0690","Div_Th1",38.85
"143","AA_0690","Th17",0.705
"144","AA_0690","Div_Th17",9.84
"145","AA_0690","CD8",17.2
"146","AA_0690","Act_CD8",38.8
"147","AA_0690","Div_Act_CD8",23.9
"148","AA_0690","IFNy_CD4",10.71
"149","AA_0690","IL17A_CD4",2.29
"150","AA_0690","IFNy_CD8",31.8
"151","AA_0691","CD4",30.95
"152","AA_0691","Treg",5.255
"153","AA_0691","Div_Treg",21.1
"154","AA_0691","Treg17",2.62
"155","AA_0691","Treg_prop",87.8
"156","AA_0691","Th1",5.75
"157","AA_0691","Div_Th1",33.8
"158","AA_0691","Th17",1.135
"159","AA_0691","Div_Th17",4.975
"160","AA_0691","CD8",14.9
"161","AA_0691","Act_CD8",5.835
"162","AA_0691","Div_Act_CD8",25
"163","AA_0691","IFNy_CD4",4.025
"164","AA_0691","IL17A_CD4",1.95
"165","AA_0691","IFNy_CD8",2.915
"166","AA_0692","CD4",26.5
"167","AA_0692","Treg",6.71
"168","AA_0692","Div_Treg",32
"169","AA_0692","Treg17",5.26
"170","AA_0692","Treg_prop",88.8
"171","AA_0692","Th1",4.175
"172","AA_0692","Div_Th1",45.85
"173","AA_0692","Th17",2.405
"174","AA_0692","Div_Th17",4.84
"175","AA_0692","CD8",20.35
"176","AA_0692","Act_CD8",12.6
"177","AA_0692","Div_Act_CD8",18.8
"178","AA_0692","IFNy_CD4",2.995
"179","AA_0692","IL17A_CD4",1.265
"180","AA_0692","IFNy_CD8",1.045
"181","AA_0693","CD4",27.9
"182","AA_0693","Treg",7.3
"183","AA_0693","Div_Treg",30.95
"184","AA_0693","Treg17",2.515
"185","AA_0693","Treg_prop",86.5
"186","AA_0693","Th1",11.245
"187","AA_0693","Div_Th1",34.6
"188","AA_0693","Th17",1.105
"189","AA_0693","Div_Th17",11.805
"190","AA_0693","CD8",17.3
"191","AA_0693","Act_CD8",30.8
"192","AA_0693","Div_Act_CD8",30
"193","AA_0693","IFNy_CD4",10.67
"194","AA_0693","IL17A_CD4",4.925
"195","AA_0693","IFNy_CD8",12.59
"196","AA_0694","CD4",17.02
"197","AA_0694","Treg",6.64
"198","AA_0694","Div_Treg",34.45
"199","AA_0694","Treg17",2.185
"200","AA_0694","Treg_prop",87.8
"201","AA_0694","Th1",7.28
"202","AA_0694","Div_Th1",45.65
"203","AA_0694","Th17",2.215
"204","AA_0694","Div_Th17",10.95
"205","AA_0694","CD8",9.73
"206","AA_0694","Act_CD8",13.525
"207","AA_0694","Div_Act_CD8",39
"208","AA_0694","IFNy_CD4",2.81
"209","AA_0694","IL17A_CD4",2.38
"210","AA_0694","IFNy_CD8",3.765
"211","AA_0695","CD4",20.95
"212","AA_0695","Treg",7.18
"213","AA_0695","Div_Treg",23.75
"214","AA_0695","Treg17",4.07
"215","AA_0695","Treg_prop",88.65
"216","AA_0695","Th1",8.78
"217","AA_0695","Div_Th1",26.6
"218","AA_0695","Th17",1.63
"219","AA_0695","Div_Th17",6.075
"220","AA_0695","CD8",11.04
"221","AA_0695","Act_CD8",21.35
"222","AA_0695","Div_Act_CD8",29
"223","AA_0695","IFNy_CD4",9.585
"224","AA_0695","IL17A_CD4",14.005
"225","AA_0695","IFNy_CD8",7.835
"226","AA_0696","CD4",17.86
"227","AA_0696","Treg",7.865
"228","AA_0696","Div_Treg",37.05
"229","AA_0696","Treg17",2.26
"230","AA_0696","Treg_prop",86.8
"231","AA_0696","Th1",10.525
"232","AA_0696","Div_Th1",54
"233","AA_0696","Th17",4.16
"234","AA_0696","Div_Th17",10.05
"235","AA_0696","CD8",10.14
"236","AA_0696","Act_CD8",17.5
"237","AA_0696","Div_Act_CD8",43.95
"238","AA_0696","IFNy_CD4",3.59
"239","AA_0696","IL17A_CD4",1.635
"240","AA_0696","IFNy_CD8",10.19
"241","AA_0697","CD4",31.1
"242","AA_0697","Treg",7.405
"243","AA_0697","Div_Treg",12.65
"244","AA_0697","Treg17",3.14
"245","AA_0697","Treg_prop",88.6
"246","AA_0697","Th1",6.655
"247","AA_0697","Div_Th1",17.9
"248","AA_0697","Th17",2.475
"249","AA_0697","Div_Th17",5.85
"250","AA_0697","CD8",13.45
"251","AA_0697","Act_CD8",13.34
"252","AA_0697","Div_Act_CD8",10.365
"253","AA_0697","IFNy_CD4",5.3
"254","AA_0697","IL17A_CD4",9.905
"255","AA_0697","IFNy_CD8",2.23
"256","AA_0698","CD4",36.55
"257","AA_0698","Treg",6.375
"258","AA_0698","Div_Treg",36.95
"259","AA_0698","Treg17",10.865
"260","AA_0698","Treg_prop",86.55
"261","AA_0698","Th1",4.605
"262","AA_0698","Div_Th1",24.45
"263","AA_0698","Th17",6.08
"264","AA_0698","Div_Th17",8.09
"265","AA_0698","CD8",12.95
"266","AA_0698","Act_CD8",14.05
"267","AA_0698","Div_Act_CD8",10.95
"268","AA_0698","IFNy_CD4",4.855
"269","AA_0698","IL17A_CD4",0.855
"270","AA_0698","IFNy_CD8",52.2
"271","AA_0699","CD4",13.55
"272","AA_0699","Treg",5.38
"273","AA_0699","Div_Treg",28.95
"274","AA_0699","Treg17",17.79
"275","AA_0699","Treg_prop",90.2
"276","AA_0699","Th1",21.26
"277","AA_0699","Div_Th1",18.3
"278","AA_0699","Th17",33.96
"279","AA_0699","Div_Th17",4.805
"280","AA_0699","CD8",7.465
"281","AA_0699","Act_CD8",13.6
"282","AA_0699","Div_Act_CD8",47.15
"283","AA_0699","IFNy_CD4",9.57
"284","AA_0699","IL17A_CD4",5.83
"285","AA_0699","IFNy_CD8",0.785
"286","AA_0700","CD4",21.55
"287","AA_0700","Treg",5.825
"288","AA_0700","Div_Treg",30.5
"289","AA_0700","Treg17",3.035
"290","AA_0700","Treg_prop",89.35
"291","AA_0700","Th1",6.57
"292","AA_0700","Div_Th1",48.9
"293","AA_0700","Th17",3.53
"294","AA_0700","Div_Th17",18.35
"295","AA_0700","CD8",10.93
"296","AA_0700","Act_CD8",17.8
"297","AA_0700","Div_Act_CD8",32.8
"298","AA_0700","IFNy_CD4",1.77
"299","AA_0700","IL17A_CD4",1.92
"300","AA_0700","IFNy_CD8",1.48
"301","AA_0701","CD4",44.4
"302","AA_0701","Treg",5.125
"303","AA_0701","Div_Treg",26.1
"304","AA_0701","Treg17",4.45
"305","AA_0701","Treg_prop",89.65
"306","AA_0701","Th1",3.295
"307","AA_0701","Div_Th1",48.45
"308","AA_0701","Th17",2.515
"309","AA_0701","Div_Th17",10.415
"310","AA_0701","CD8",14.65
"311","AA_0701","Act_CD8",26.9
"312","AA_0701","Div_Act_CD8",17.7
"313","AA_0701","IFNy_CD4",5.685
"314","AA_0701","IL17A_CD4",7.02
"315","AA_0701","IFNy_CD8",1.315
"316","AA_0702","CD4",30.2
"317","AA_0702","Treg",5.79
"318","AA_0702","Div_Treg",27.05
"319","AA_0702","Treg17",3.455
"320","AA_0702","Treg_prop",89.55
"321","AA_0702","Th1",4.525
"322","AA_0702","Div_Th1",31.55
"323","AA_0702","Th17",3.485
"324","AA_0702","Div_Th17",12.54
"325","AA_0702","CD8",12.345
"326","AA_0702","Act_CD8",14.25
"327","AA_0702","Div_Act_CD8",14.05
"328","AA_0702","IFNy_CD4",9.405
"329","AA_0702","IL17A_CD4",4.86
"330","AA_0702","IFNy_CD8",13.445
"331","AA_0703","CD4",27.85
"332","AA_0703","Treg",10.07
"333","AA_0703","Div_Treg",16.35
"334","AA_0703","Treg17",9.955
"335","AA_0703","Treg_prop",86.4
"336","AA_0703","Th1",10.04
"337","AA_0703","Div_Th1",15.75
"338","AA_0703","Th17",3.015
"339","AA_0703","Div_Th17",8.955
"340","AA_0703","CD8",14.1
"341","AA_0703","Act_CD8",18.25
"342","AA_0703","Div_Act_CD8",11.555
"343","AA_0703","IFNy_CD4",13.74
"344","AA_0703","IL17A_CD4",1.415
"345","AA_0703","IFNy_CD8",30.75
"346","AA_0704","CD4",24.05
"347","AA_0704","Treg",4.63
"348","AA_0704","Div_Treg",27.2
"349","AA_0704","Treg17",5.355
"350","AA_0704","Treg_prop",84.7
"351","AA_0704","Th1",21.45
"352","AA_0704","Div_Th1",50.45
"353","AA_0704","Th17",1.745
"354","AA_0704","Div_Th17",14.8
"355","AA_0704","CD8",20.95
"356","AA_0704","Act_CD8",60.1
"357","AA_0704","Div_Act_CD8",44.2
"358","AA_0704","IFNy_CD4",18.665
"359","AA_0704","IL17A_CD4",3.675
"360","AA_0704","IFNy_CD8",35.95
"361","AA_0705","CD4",25.75
"362","AA_0705","Treg",3.465
"363","AA_0705","Div_Treg",39.4
"364","AA_0705","Treg17",10.1
"365","AA_0705","Treg_prop",91.9
"366","AA_0705","Th1",5.98
"367","AA_0705","Div_Th1",25.3
"368","AA_0705","Th17",7.775
"369","AA_0705","Div_Th17",10.765
"370","AA_0705","CD8",8.94
"371","AA_0705","Act_CD8",19.4
"372","AA_0705","Div_Act_CD8",7.06
"373","AA_0705","IFNy_CD4",8.88
"374","AA_0705","IL17A_CD4",4.605
"375","AA_0705","IFNy_CD8",4.435
"376","AA_0706","CD4",30.25
"377","AA_0706","Treg",6.045
"378","AA_0706","Div_Treg",21.4
"379","AA_0706","Treg17",4.135
"380","AA_0706","Treg_prop",90.15
"381","AA_0706","Th1",4.945
"382","AA_0706","Div_Th1",29.7
"383","AA_0706","Th17",6.97
"384","AA_0706","Div_Th17",7.27
"385","AA_0706","CD8",15.355
"386","AA_0706","Act_CD8",9.01
"387","AA_0706","Div_Act_CD8",14.5
"388","AA_0706","IFNy_CD4",4.39
"389","AA_0706","IL17A_CD4",3.545
"390","AA_0706","IFNy_CD8",1.37
"391","AA_0707","CD4",34.6
"392","AA_0707","Treg",10.14
"393","AA_0707","Div_Treg",23.55
"394","AA_0707","Treg17",15.745
"395","AA_0707","Treg_prop",87.85
"396","AA_0707","Th1",6.425
"397","AA_0707","Div_Th1",17.3
"398","AA_0707","Th17",4.195
"399","AA_0707","Div_Th17",12.68
"400","AA_0707","CD8",17.8
"401","AA_0707","Act_CD8",16.5
"402","AA_0707","Div_Act_CD8",14.7
"403","AA_0707","IFNy_CD4",3.105
"404","AA_0707","IL17A_CD4",2.51
"405","AA_0707","IFNy_CD8",14.1
"406","AA_0708","CD4",31.3
"407","AA_0708","Treg",6.195
"408","AA_0708","Div_Treg",34.35
"409","AA_0708","Treg17",9.64
"410","AA_0708","Treg_prop",91.4
"411","AA_0708","Th1",4.69
"412","AA_0708","Div_Th1",29.95
"413","AA_0708","Th17",4.93
"414","AA_0708","Div_Th17",11.67
"415","AA_0708","CD8",15.95
"416","AA_0708","Act_CD8",15.3
"417","AA_0708","Div_Act_CD8",23.4
"418","AA_0708","IFNy_CD4",6.665
"419","AA_0708","IL17A_CD4",1.205
"420","AA_0708","IFNy_CD8",2.65
"421","AA_0709","CD4",47.4
"422","AA_0709","Treg",5.58
"423","AA_0709","Div_Treg",15.3
"424","AA_0709","Treg17",7.76
"425","AA_0709","Treg_prop",91.7
"426","AA_0709","Th1",6.925
"427","AA_0709","Div_Th1",9.59
"428","AA_0709","Th17",2.65
"429","AA_0709","Div_Th17",5.125
"430","AA_0709","CD8",15
"431","AA_0709","Act_CD8",17.55
"432","AA_0709","Div_Act_CD8",11.845
"433","AA_0709","IFNy_CD4",5.74
"434","AA_0709","IL17A_CD4",1.84
"435","AA_0709","IFNy_CD8",17.45
"436","AA_0710","CD4",46.05
"437","AA_0710","Treg",6.78
"438","AA_0710","Div_Treg",23.95
"439","AA_0710","Treg17",13.16
"440","AA_0710","Treg_prop",93.2
"441","AA_0710","Th1",0.89
"442","AA_0710","Div_Th1",42.7
"443","AA_0710","Th17",1.44
"444","AA_0710","Div_Th17",12.15
"445","AA_0710","CD8",17.6
"446","AA_0710","Act_CD8",4.825
"447","AA_0710","Div_Act_CD8",25.15
"448","AA_0710","IFNy_CD4",2.72
"449","AA_0710","IL17A_CD4",0.157
"450","AA_0710","IFNy_CD8",15.6
"451","AA_0711","CD4",51.4
"452","AA_0711","Treg",3.535
"453","AA_0711","Div_Treg",27.65
"454","AA_0711","Treg17",6.77
"455","AA_0711","Treg_prop",96.5
"456","AA_0711","Th1",2.205
"457","AA_0711","Div_Th1",30.75
"458","AA_0711","Th17",1.26
"459","AA_0711","Div_Th17",17.65
"460","AA_0711","CD8",11.645
"461","AA_0711","Act_CD8",9.565
"462","AA_0711","Div_Act_CD8",29.2
"463","AA_0711","IFNy_CD4",2.525
"464","AA_0711","IL17A_CD4",0.151
"465","AA_0711","IFNy_CD8",3.925
"466","AA_0712","CD4",41.8
"467","AA_0712","Treg",5.615
"468","AA_0712","Div_Treg",26.05
"469","AA_0712","Treg17",13.24
"470","AA_0712","Treg_prop",94.4
"471","AA_0712","Th1",2.78
"472","AA_0712","Div_Th1",51.15
"473","AA_0712","Th17",4.15
"474","AA_0712","Div_Th17",13.865
"475","AA_0712","CD8",14.075
"476","AA_0712","Act_CD8",4.53
"477","AA_0712","Div_Act_CD8",48.6
"478","AA_0712","IFNy_CD4",7.21
"479","AA_0712","IL17A_CD4",0.405
"480","AA_0712","IFNy_CD8",13.66
"481","AA_0713","CD4",20.19
"482","AA_0713","Treg",10.685
"483","AA_0713","Div_Treg",56.1
"484","AA_0713","Treg17",9.46
"485","AA_0713","Treg_prop",89.3
"486","AA_0713","Th1",3.645
"487","AA_0713","Div_Th1",76.15
"488","AA_0713","Th17",6.46
"489","AA_0713","Div_Th17",19.1
"490","AA_0713","CD8",9.92
"491","AA_0713","Act_CD8",9.075
"492","AA_0713","Div_Act_CD8",60.2
"493","AA_0713","IFNy_CD4",1.615
"494","AA_0713","IL17A_CD4",0.66
"495","AA_0713","IFNy_CD8",2
"496","AA_0714","CD4",47.2
"497","AA_0714","Treg",7.175
"498","AA_0714","Div_Treg",21.35
"499","AA_0714","Treg17",6.325
"500","AA_0714","Treg_prop",92.8
"501","AA_0714","Th1",2.88
"502","AA_0714","Div_Th1",32.2
"503","AA_0714","Th17",1.26
"504","AA_0714","Div_Th17",18.05
"505","AA_0714","CD8",14.75
"506","AA_0714","Act_CD8",15.95
"507","AA_0714","Div_Act_CD8",19.75
"508","AA_0714","IFNy_CD4",3.195
"509","AA_0714","IL17A_CD4",0.05
"510","AA_0714","IFNy_CD8",17.88
"511","AA_0715","CD4",43
"512","AA_0715","Treg",5.75
"513","AA_0715","Div_Treg",31.05
"514","AA_0715","Treg17",9.635
"515","AA_0715","Treg_prop",94.25
"516","AA_0715","Th1",3.565
"517","AA_0715","Div_Th1",56.35
"518","AA_0715","Th17",1.2
"519","AA_0715","Div_Th17",29.2
"520","AA_0715","CD8",19.55
"521","AA_0715","Act_CD8",3.24
"522","AA_0715","Div_Act_CD8",54.6
"523","AA_0715","IFNy_CD4",4.79
"524","AA_0715","IL17A_CD4",0.195
"525","AA_0715","IFNy_CD8",8.695
"526","AA_0716","CD4",30.55
"527","AA_0716","Treg",5.815
"528","AA_0716","Div_Treg",51.7
"529","AA_0716","Treg17",8.615
"530","AA_0716","Treg_prop",94.2
"531","AA_0716","Th1",2.365
"532","AA_0716","Div_Th1",60.35
"533","AA_0716","Th17",5.97
"534","AA_0716","Div_Th17",12.655
"535","AA_0716","CD8",6.465
"536","AA_0716","Act_CD8",8.065
"537","AA_0716","Div_Act_CD8",40.2
"538","AA_0716","IFNy_CD4",4.57
"539","AA_0716","IL17A_CD4",0
"540","AA_0716","IFNy_CD8",1.23
"541","AA_0717","CD4",34.2
"542","AA_0717","Treg",9.715
"543","AA_0717","Div_Treg",28.45
"544","AA_0717","Treg17",6.335
"545","AA_0717","Treg_prop",90.3
"546","AA_0717","Th1",1.95
"547","AA_0717","Div_Th1",59.4
"548","AA_0717","Th17",2.79
"549","AA_0717","Div_Th17",42.05
"550","AA_0717","CD8",10.99
"551","AA_0717","Act_CD8",4.325
"552","AA_0717","Div_Act_CD8",60.55
"553","AA_0717","IFNy_CD4",6.18
"554","AA_0717","IL17A_CD4",0.385
"555","AA_0717","IFNy_CD8",11.575
"556","AA_0718","CD4",36.8
"557","AA_0718","Treg",7.255
"558","AA_0718","Div_Treg",27.55
"559","AA_0718","Treg17",7.115
"560","AA_0718","Treg_prop",92.75
"561","AA_0718","Th1",2.08
"562","AA_0718","Div_Th1",54.15
"563","AA_0718","Th17",1.775
"564","AA_0718","Div_Th17",23.2
"565","AA_0718","CD8",15.75
"566","AA_0718","Act_CD8",7.37
"567","AA_0718","Div_Act_CD8",43.55
"568","AA_0718","IFNy_CD4",2.68
"569","AA_0718","IL17A_CD4",0.235
"570","AA_0718","IFNy_CD8",6.49
"571","AA_0719","CD4",32.65
"572","AA_0719","Treg",9.945
"573","AA_0719","Div_Treg",27.65
"574","AA_0719","Treg17",11.03
"575","AA_0719","Treg_prop",90.05
"576","AA_0719","Th1",1.01
"577","AA_0719","Div_Th1",54.45
"578","AA_0719","Th17",3.26
"579","AA_0719","Div_Th17",18.05
"580","AA_0719","CD8",10.71
"581","AA_0719","Act_CD8",4.16
"582","AA_0719","Div_Act_CD8",46.95
"583","AA_0719","IFNy_CD4",2.17
"584","AA_0719","IL17A_CD4",0.505
"585","AA_0719","IFNy_CD8",1.835
"586","AA_0720","CD4",29.75
"587","AA_0720","Treg",7.245
"588","AA_0720","Div_Treg",51.3
"589","AA_0720","Treg17",13.45
"590","AA_0720","Treg_prop",92.75
"591","AA_0720","Th1",2.3
"592","AA_0720","Div_Th1",63.5
"593","AA_0720","Th17",7.305
"594","AA_0720","Div_Th17",19.1
"595","AA_0720","CD8",13.45
"596","AA_0720","Act_CD8",9.21
"597","AA_0720","Div_Act_CD8",61.2
"598","AA_0720","IFNy_CD4",1.757
"599","AA_0720","IL17A_CD4",0.245
"600","AA_0720","IFNy_CD8",1.11
"601","AA_0721","CD4",17.71
"602","AA_0721","Treg",10.765
"603","AA_0721","Div_Treg",31
"604","AA_0721","Treg17",4.1
"605","AA_0721","Treg_prop",89.25
"606","AA_0721","Th1",3.51
"607","AA_0721","Div_Th1",41.9
"608","AA_0721","Th17",2.01
"609","AA_0721","Div_Th17",7.38
"610","AA_0721","CD8",8.945
"611","AA_0721","Act_CD8",7.83
"612","AA_0721","Div_Act_CD8",31.9
"613","AA_0721","IFNy_CD4",2.909
"614","AA_0721","IL17A_CD4",0.76
"615","AA_0721","IFNy_CD8",3.96
"616","AA_0722","CD4",32.1
"617","AA_0722","Treg",6.855
"618","AA_0722","Div_Treg",42.05
"619","AA_0722","Treg17",10.275
"620","AA_0722","Treg_prop",93.15
"621","AA_0722","Th1",6.905
"622","AA_0722","Div_Th1",52.05
"623","AA_0722","Th17",1.76
"624","AA_0722","Div_Th17",15.1
"625","AA_0722","CD8",14.65
"626","AA_0722","Act_CD8",18.05
"627","AA_0722","Div_Act_CD8",53.85
"628","AA_0722","IFNy_CD4",4.715
"629","AA_0722","IL17A_CD4",0.685
"630","AA_0722","IFNy_CD8",7.655
"631","AA_0723","CD4",35.8
"632","AA_0723","Treg",5.875
"633","AA_0723","Div_Treg",36.95
"634","AA_0723","Treg17",6.25
"635","AA_0723","Treg_prop",94.15
"636","AA_0723","Th1",4.07
"637","AA_0723","Div_Th1",57.75
"638","AA_0723","Th17",1.405
"639","AA_0723","Div_Th17",34.55
"640","AA_0723","CD8",15.55
"641","AA_0723","Act_CD8",11.455
"642","AA_0723","Div_Act_CD8",56.8
"643","AA_0723","IFNy_CD4",4.335
"644","AA_0723","IL17A_CD4",0.44
"645","AA_0723","IFNy_CD8",6.915
"646","AA_0724","CD4",52.35
"647","AA_0724","Treg",7.615
"648","AA_0724","Div_Treg",50.3
"649","AA_0724","Treg17",17.17
"650","AA_0724","Treg_prop",92.4
"651","AA_0724","Th1",1.87
"652","AA_0724","Div_Th1",56.85
"653","AA_0724","Th17",2.535
"654","AA_0724","Div_Th17",27.7
"655","AA_0724","CD8",11.91
"656","AA_0724","Act_CD8",16.865
"657","AA_0724","Div_Act_CD8",70.2
"658","AA_0724","IFNy_CD4",4.665
"659","AA_0724","IL17A_CD4",0.2
"660","AA_0724","IFNy_CD8",6.945
"661","AA_0725","CD4",25.9
"662","AA_0725","Treg",10.94
"663","AA_0725","Div_Treg",26.65
"664","AA_0725","Treg17",2.6
"665","AA_0725","Treg_prop",89.05
"666","AA_0725","Th1",0.825
"667","AA_0725","Div_Th1",66.45
"668","AA_0725","Th17",1.405
"669","AA_0725","Div_Th17",5.975
"670","AA_0725","CD8",9.205
"671","AA_0725","Act_CD8",4.425
"672","AA_0725","Div_Act_CD8",47.7
"673","AA_0725","IFNy_CD4",1.075
"674","AA_0725","IL17A_CD4",0.1185
"675","AA_0725","IFNy_CD8",1.0205
"676","AA_0726","CD4",53.75
"677","AA_0726","Treg",5.02
"678","AA_0726","Div_Treg",17.05
"679","AA_0726","Treg17",6.465
"680","AA_0726","Treg_prop",95
"681","AA_0726","Th1",0.875
"682","AA_0726","Div_Th1",30.65
"683","AA_0726","Th17",1.725
"684","AA_0726","Div_Th17",7.495
"685","AA_0726","CD8",10.35
"686","AA_0726","Act_CD8",5.85
"687","AA_0726","Div_Act_CD8",28.95
"688","AA_0726","IFNy_CD4",1.425
"689","AA_0726","IL17A_CD4",0.25
"690","AA_0726","IFNy_CD8",4.955
"691","AA_0727","CD4",41.7
"692","AA_0727","Treg",7.08
"693","AA_0727","Div_Treg",21.2
"694","AA_0727","Treg17",1.8
"695","AA_0727","Treg_prop",92.95
"696","AA_0727","Th1",2.38
"697","AA_0727","Div_Th1",36.85
"698","AA_0727","Th17",2.485
"699","AA_0727","Div_Th17",5.815
"700","AA_0727","CD8",16.8
"701","AA_0727","Act_CD8",8.925
"702","AA_0727","Div_Act_CD8",26.05
"703","AA_0727","IFNy_CD4",2.41
"704","AA_0727","IL17A_CD4",0.3045
"705","AA_0727","IFNy_CD8",8.34
"706","AA_0728","CD4",50.05
"707","AA_0728","Treg",3.885
"708","AA_0728","Div_Treg",40.35
"709","AA_0728","Treg17",12.445
"710","AA_0728","Treg_prop",95.9
"711","AA_0728","Th1",1.18
"712","AA_0728","Div_Th1",56.8
"713","AA_0728","Th17",5.075
"714","AA_0728","Div_Th17",10.925
"715","AA_0728","CD8",11.2
"716","AA_0728","Act_CD8",7.35
"717","AA_0728","Div_Act_CD8",31.5
"718","AA_0728","IFNy_CD4",0.805
"719","AA_0728","IL17A_CD4",0.23
