"","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Mouse_ID","Position"
"75",64.9,5.34,13.2,5.63,0.86,37.4,1.52,7.96,10.6,6.86,29.9,0.34,0.17,3.74,"AA_0726","mLN"
"76",60.5,5.81,20,1.6,0.74,44.5,0.49,6.59,21.5,5.35,25.7,0.15,0.049,2.48,"AA_0727","mLN"
"77",58.1,3.5,44.7,9.49,0.49,82.8,0.55,13.6,12.1,7.38,39.2,0.11,0.14,0.77,"AA_0728","mLN"
"78",49.2,8.01,18.9,10.6,2.7,27.4,1.3,5.29,10,15.9,36.1,0.28,0.22,2.94,"AA_0729","mLN"
"79",50.9,5.98,35,15.3,0.81,55.9,2.27,20.5,19.9,9.51,21,0.29,0.13,33.9,"AA_0730","mLN"
"80",32.9,8.1,20.7,7.02,0.79,41.7,0.62,13.3,14.4,3.47,22.4,3.57,0.034,14.3,"AA_0710","spleen"
"81",43.4,3.33,25.4,4.28,2.35,37.9,0.64,22.9,8.99,12.3,35.3,3.7,0.26,1.89,"AA_0711","spleen"
"82",22.9,9.02,21.5,6.58,4.33,48.4,2.76,19.2,7.75,4.2,51.1,13.8,0.37,19.3,"AA_0712","spleen"
"83",5.48,14.9,59.2,4.02,4.14,92.7,6.56,24.6,3.24,4.35,76.7,3.04,0.91,2.78,"AA_0713","spleen"
"84",40.8,9.95,21.3,5.29,3.89,26.8,1.5,11.6,10.2,19,20.8,6.01,0.069,26.1,"AA_0714","spleen"
"85",38.7,7.03,27.5,4.27,2.98,52.5,0.91,30.3,13.5,1.39,44.6,7.55,0.17,10.8,"AA_0715","spleen"
"86",20.6,9.98,41.9,9.54,2.67,70.7,7.18,19.9,4.52,9.42,44,3.51,0,2.46,"AA_0716","spleen"
"87",10.8,12.3,24.6,6.1,1.35,54.9,3.98,25.3,4.48,1.53,64.8,11.7,0.32,14.9,"AA_0717","spleen"
"88",25.2,7.54,26.7,5.72,2.87,46.9,2.06,33.5,12.8,7.68,43.7,4.71,0.19,5.06,"AA_0718","spleen"
"89",14.5,11.7,22.5,6.46,1.17,38.7,3.55,16.8,6.62,2.88,46.7,4.21,0.29,2.06,"AA_0719","spleen"
