"","Mouse_ID","Position","pop","counts"
"141","AA_0726","mLN","Treg",5.34
"142","AA_0727","mLN","Treg",5.81
"143","AA_0728","mLN","Treg",3.5
"144","AA_0729","mLN","Treg",8.01
"145","AA_0730","mLN","Treg",5.98
"146","AA_0763","mLN","Treg",4.49
"147","AA_0764","mLN","Treg",8.66
"148","AA_0765","mLN","Treg",4.2
"149","AA_0766","mLN","Treg",3.53
"150","AA_0767","mLN","Treg",2.69
"151","AA_0768","mLN","Treg",9.1
"152","AA_0769","mLN","Treg",3.07
"153","AA_0770","mLN","Treg",7.34
"154","AA_0771","mLN","Treg",5.77
"155","AA_0772","mLN","Treg",4.66
"156","AA_0773","mLN","Treg",3.87
"157","AA_0774","mLN","Treg",3.04
"158","AA_0775","mLN","Treg",4.39
"159","AA_0776","mLN","Treg",6.27
"160","AA_0777","mLN","Treg",2.89
"161","AA_0778","mLN","Treg",5.87
"162","AA_0779","mLN","Treg",7.19
"163","AA_0780","mLN","Treg",2.41
"164","AA_0781","mLN","Treg",4.81
"165","AA_0782","mLN","Treg",3.94
"166","AA_0783","mLN","Treg",5.93
"167","AA_0784","mLN","Treg",6.18
"168","AA_0785","mLN","Treg",6.21
"169","AA_0786","mLN","Treg",9.82
"170","AA_0787","mLN","Treg",7.01
"171","AA_0788","mLN","Treg",6.19
"172","AA_0789","mLN","Treg",8.65
"173","AA_0790","mLN","Treg",4.77
"174","AA_0791","mLN","Treg",64.7
"175","AA_0792","mLN","Treg",7.94
"176","AA_0793","mLN","Treg",12.7
"177","AA_0794","mLN","Treg",14
"178","AA_0795","mLN","Treg",13.7
"179","AA_0796","mLN","Treg",11.1
"180","AA_0797","mLN","Treg",11.9
"181","AA_0798","mLN","Treg",8.47
"182","AA_0799","mLN","Treg",15.2
"183","AA_0800","mLN","Treg",11.8
"184","AA_0801","mLN","Treg",12.7
"185","AA_0802","mLN","Treg",11.8
"186","AA_0803","mLN","Treg",15.8
"187","AA_0804","mLN","Treg",13.9
"188","AA_0805","mLN","Treg",15
"189","AA_0806","mLN","Treg",16.7
"190","AA_0807","mLN","Treg",15
"191","AA_0681","mLN","Div_Treg",33.6
"192","AA_0682","mLN","Div_Treg",24.9
"193","AA_0683","mLN","Div_Treg",25.5
"194","AA_0684","mLN","Div_Treg",21.6
"195","AA_0685","mLN","Div_Treg",12.5
"196","AA_0686","mLN","Div_Treg",34.1
"197","AA_0687","mLN","Div_Treg",18.5
"198","AA_0688","mLN","Div_Treg",19.5
"199","AA_0689","mLN","Div_Treg",22.1
"200","AA_0690","mLN","Div_Treg",25.1
"201","AA_0691","mLN","Div_Treg",21.5
"202","AA_0692","mLN","Div_Treg",25
"203","AA_0693","mLN","Div_Treg",30.9
"204","AA_0694","mLN","Div_Treg",30.7
"205","AA_0695","mLN","Div_Treg",30.4
"206","AA_0696","mLN","Div_Treg",35.1
"207","AA_0697","mLN","Div_Treg",11.4
"208","AA_0698","mLN","Div_Treg",47.9
"209","AA_0699","mLN","Div_Treg",33.3
"210","AA_0700","mLN","Div_Treg",31
"211","AA_0701","mLN","Div_Treg",27.8
"212","AA_0702","mLN","Div_Treg",21.6
"213","AA_0703","mLN","Div_Treg",11.4
"214","AA_0704","mLN","Div_Treg",26.2
"215","AA_0705","mLN","Div_Treg",38.5
"216","AA_0706","mLN","Div_Treg",18.6
"217","AA_0707","mLN","Div_Treg",17.1
"218","AA_0708","mLN","Div_Treg",23.3
"219","AA_0709","mLN","Div_Treg",13.9
"220","AA_0710","mLN","Div_Treg",27.2
"221","AA_0711","mLN","Div_Treg",29.9
"222","AA_0712","mLN","Div_Treg",30.6
"223","AA_0713","mLN","Div_Treg",53
"224","AA_0714","mLN","Div_Treg",21.4
"225","AA_0715","mLN","Div_Treg",34.6
"226","AA_0716","mLN","Div_Treg",61.5
"227","AA_0717","mLN","Div_Treg",32.3
"228","AA_0718","mLN","Div_Treg",28.4
"229","AA_0719","mLN","Div_Treg",32.8
"230","AA_0720","mLN","Div_Treg",51.2
"231","AA_0721","mLN","Div_Treg",44.3
"232","AA_0722","mLN","Div_Treg",59.6
"233","AA_0723","mLN","Div_Treg",50.8
"234","AA_0724","mLN","Div_Treg",75.1
"235","AA_0725","mLN","Div_Treg",28
"236","AA_0726","mLN","Div_Treg",13.2
"237","AA_0727","mLN","Div_Treg",20
"238","AA_0728","mLN","Div_Treg",44.7
"239","AA_0729","mLN","Div_Treg",18.9
"240","AA_0730","mLN","Div_Treg",35
"241","AA_0763","mLN","Div_Treg",25.8
"242","AA_0764","mLN","Div_Treg",19.3
"243","AA_0765","mLN","Div_Treg",25
"244","AA_0766","mLN","Div_Treg",29.4
"245","AA_0767","mLN","Div_Treg",39.8
"246","AA_0768","mLN","Div_Treg",11.5
"247","AA_0769","mLN","Div_Treg",38.4
"248","AA_0770","mLN","Div_Treg",33.2
"249","AA_0771","mLN","Div_Treg",13.8
"250","AA_0772","mLN","Div_Treg",30
"251","AA_0773","mLN","Div_Treg",22.2
"252","AA_0774","mLN","Div_Treg",18.9
"253","AA_0775","mLN","Div_Treg",25.5
"254","AA_0776","mLN","Div_Treg",27.5
"255","AA_0777","mLN","Div_Treg",34.2
"256","AA_0778","mLN","Div_Treg",22.8
"257","AA_0779","mLN","Div_Treg",22.4
"258","AA_0780","mLN","Div_Treg",32.4
"259","AA_0781","mLN","Div_Treg",32.6
"260","AA_0782","mLN","Div_Treg",40.6
"261","AA_0783","mLN","Div_Treg",22
"262","AA_0784","mLN","Div_Treg",12.4
"263","AA_0785","mLN","Div_Treg",16.2
"264","AA_0786","mLN","Div_Treg",14.3
"265","AA_0787","mLN","Div_Treg",17.9
"266","AA_0788","mLN","Div_Treg",19.3
"267","AA_0789","mLN","Div_Treg",35.4
"268","AA_0790","mLN","Div_Treg",35.8
"269","AA_0791","mLN","Div_Treg",0
"270","AA_0792","mLN","Div_Treg",45
"271","AA_0793","mLN","Div_Treg",13.2
"272","AA_0794","mLN","Div_Treg",27
"273","AA_0795","mLN","Div_Treg",19.5
"274","AA_0796","mLN","Div_Treg",9.63
"275","AA_0797","mLN","Div_Treg",40.2
"276","AA_0798","mLN","Div_Treg",25.1
"277","AA_0799","mLN","Div_Treg",24.6
"278","AA_0800","mLN","Div_Treg",41.1
"279","AA_0801","mLN","Div_Treg",16.4
"280","AA_0802","mLN","Div_Treg",12.9
"281","AA_0803","mLN","Div_Treg",15.2
"282","AA_0804","mLN","Div_Treg",22.1
"283","AA_0805","mLN","Div_Treg",33.1
"284","AA_0806","mLN","Div_Treg",12.4
"285","AA_0807","mLN","Div_Treg",17.2
"286","AA_0681","mLN","Treg17",15.8
"287","AA_0682","mLN","Treg17",2.4
"288","AA_0683","mLN","Treg17",4.09
"289","AA_0684","mLN","Treg17",3.59
"290","AA_0685","mLN","Treg17",0
"291","AA_0686","mLN","Treg17",2.83
"292","AA_0687","mLN","Treg17",1.53
"293","AA_0688","mLN","Treg17",2.59
"294","AA_0689","mLN","Treg17",5.19
"295","AA_0690","mLN","Treg17",3.79
"296","AA_0691","mLN","Treg17",3.63
"297","AA_0692","mLN","Treg17",9.77
"298","AA_0693","mLN","Treg17",4.49
"299","AA_0694","mLN","Treg17",3.13
"300","AA_0695","mLN","Treg17",7.18
"301","AA_0696","mLN","Treg17",2.76
"302","AA_0697","mLN","Treg17",4.78
"303","AA_0698","mLN","Treg17",9.13
"304","AA_0699","mLN","Treg17",33.3
"305","AA_0700","mLN","Treg17",4.43
"306","AA_0701","mLN","Treg17",6.94
"307","AA_0702","mLN","Treg17",4.26
"308","AA_0703","mLN","Treg17",10.5
"309","AA_0704","mLN","Treg17",7.74
"310","AA_0705","mLN","Treg17",10.9
"311","AA_0706","mLN","Treg17",4.3
"312","AA_0707","mLN","Treg17",26.7
"313","AA_0708","mLN","Treg17",14.5
"314","AA_0709","mLN","Treg17",9.36
"315","AA_0710","mLN","Treg17",19.3
"316","AA_0711","mLN","Treg17",9.26
"317","AA_0712","mLN","Treg17",19.9
"318","AA_0713","mLN","Treg17",14.9
"319","AA_0714","mLN","Treg17",7.36
"320","AA_0715","mLN","Treg17",15
"321","AA_0716","mLN","Treg17",7.69
"322","AA_0717","mLN","Treg17",6.57
"323","AA_0718","mLN","Treg17",8.51
"324","AA_0719","mLN","Treg17",15.6
"325","AA_0720","mLN","Treg17",12.2
"326","AA_0721","mLN","Treg17",4.03
"327","AA_0722","mLN","Treg17",17.1
"328","AA_0723","mLN","Treg17",11.2
"329","AA_0724","mLN","Treg17",26.8
"330","AA_0725","mLN","Treg17",4.78
"331","AA_0726","mLN","Treg17",5.63
"332","AA_0727","mLN","Treg17",1.6
"333","AA_0728","mLN","Treg17",9.49
"334","AA_0729","mLN","Treg17",10.6
"335","AA_0730","mLN","Treg17",15.3
"336","AA_0763","mLN","Treg17",8.63
"337","AA_0764","mLN","Treg17",7.23
"338","AA_0765","mLN","Treg17",12.8
"339","AA_0766","mLN","Treg17",9.48
"340","AA_0767","mLN","Treg17",9.78
"341","AA_0768","mLN","Treg17",10.1
"342","AA_0769","mLN","Treg17",11
"343","AA_0770","mLN","Treg17",3.65
"344","AA_0771","mLN","Treg17",5.59
"345","AA_0772","mLN","Treg17",9.31
"346","AA_0773","mLN","Treg17",10.7
"347","AA_0774","mLN","Treg17",9.14
"348","AA_0775","mLN","Treg17",6.73
"349","AA_0776","mLN","Treg17",5.09
"350","AA_0777","mLN","Treg17",14.3
"351","AA_0778","mLN","Treg17",7.95
"352","AA_0779","mLN","Treg17",8.6
"353","AA_0780","mLN","Treg17",5.64
"354","AA_0781","mLN","Treg17",14.2
"355","AA_0782","mLN","Treg17",13.5
"356","AA_0783","mLN","Treg17",13.1
"357","AA_0784","mLN","Treg17",6.18
"358","AA_0785","mLN","Treg17",8.55
"359","AA_0786","mLN","Treg17",6.94
"360","AA_0787","mLN","Treg17",4.88
"361","AA_0788","mLN","Treg17",3.36
"362","AA_0789","mLN","Treg17",1.54
"363","AA_0790","mLN","Treg17",6.95
"364","AA_0791","mLN","Treg17",90.9
"365","AA_0792","mLN","Treg17",2.48
"366","AA_0793","mLN","Treg17",2.99
"367","AA_0794","mLN","Treg17",2.24
"368","AA_0795","mLN","Treg17",3.11
"369","AA_0796","mLN","Treg17",7.82
"370","AA_0797","mLN","Treg17",1.57
"371","AA_0798","mLN","Treg17",8.18
"372","AA_0799","mLN","Treg17",4.05
"373","AA_0800","mLN","Treg17",16.2
"374","AA_0801","mLN","Treg17",3.76
"375","AA_0802","mLN","Treg17",1.86
"376","AA_0803","mLN","Treg17",2.41
"377","AA_0804","mLN","Treg17",1.62
"378","AA_0805","mLN","Treg17",2.67
"379","AA_0806","mLN","Treg17",3.72
"380","AA_0807","mLN","Treg17",2.32
"381","AA_0681","mLN","Th1",15.9
"382","AA_0682","mLN","Th1",11
"383","AA_0683","mLN","Th1",10.6
"384","AA_0684","mLN","Th1",8.48
"385","AA_0685","mLN","Th1",6.55
"386","AA_0686","mLN","Th1",1.75
"387","AA_0687","mLN","Th1",3.6
"388","AA_0688","mLN","Th1",5.87
"389","AA_0689","mLN","Th1",9.75
"390","AA_0690","mLN","Th1",6.87
"391","AA_0691","mLN","Th1",4.08
"392","AA_0692","mLN","Th1",1.69
"393","AA_0693","mLN","Th1",6.69
"394","AA_0694","mLN","Th1",7.35
"395","AA_0695","mLN","Th1",7.26
"396","AA_0696","mLN","Th1",8.25
"397","AA_0697","mLN","Th1",2.01
"398","AA_0698","mLN","Th1",3.11
"399","AA_0699","mLN","Th1",34.8
"400","AA_0700","mLN","Th1",5.54
"401","AA_0701","mLN","Th1",2.89
"402","AA_0702","mLN","Th1",1.04
"403","AA_0703","mLN","Th1",7.38
"404","AA_0704","mLN","Th1",12.4
"405","AA_0705","mLN","Th1",2.68
"406","AA_0706","mLN","Th1",2.13
"407","AA_0707","mLN","Th1",5.44
"408","AA_0708","mLN","Th1",6.07
"409","AA_0709","mLN","Th1",3.05
"410","AA_0710","mLN","Th1",0.99
"411","AA_0711","mLN","Th1",2.06
"412","AA_0712","mLN","Th1",1.23
"413","AA_0713","mLN","Th1",3.15
"414","AA_0714","mLN","Th1",1.87
"415","AA_0715","mLN","Th1",4.15
"416","AA_0716","mLN","Th1",2.06
"417","AA_0717","mLN","Th1",2.55
"418","AA_0718","mLN","Th1",1.29
"419","AA_0719","mLN","Th1",0.85
"420","AA_0720","mLN","Th1",1.59
"421","AA_0721","mLN","Th1",1.93
"422","AA_0722","mLN","Th1",3.11
"423","AA_0723","mLN","Th1",2.17
"424","AA_0724","mLN","Th1",2.97
"425","AA_0725","mLN","Th1",1.22
"426","AA_0726","mLN","Th1",0.86
"427","AA_0727","mLN","Th1",0.74
"428","AA_0728","mLN","Th1",0.49
"429","AA_0729","mLN","Th1",2.7
"430","AA_0730","mLN","Th1",0.81
"431","AA_0763","mLN","Th1",4.99
"432","AA_0764","mLN","Th1",1.96
"433","AA_0765","mLN","Th1",2.06
"434","AA_0766","mLN","Th1",1.09
"435","AA_0767","mLN","Th1",2.1
"436","AA_0768","mLN","Th1",4.48
"437","AA_0769","mLN","Th1",2.2
"438","AA_0770","mLN","Th1",15.8
"439","AA_0771","mLN","Th1",6.37
"440","AA_0772","mLN","Th1",5.6
"441","AA_0773","mLN","Th1",1.72
"442","AA_0774","mLN","Th1",0.93
"443","AA_0775","mLN","Th1",3.36
"444","AA_0776","mLN","Th1",6.5
"445","AA_0777","mLN","Th1",12.4
"446","AA_0778","mLN","Th1",2.68
"447","AA_0779","mLN","Th1",5.01
"448","AA_0780","mLN","Th1",0.96
"449","AA_0781","mLN","Th1",1.51
"450","AA_0782","mLN","Th1",0.5
"451","AA_0783","mLN","Th1",1.08
"452","AA_0784","mLN","Th1",0.95
"453","AA_0785","mLN","Th1",1.91
"454","AA_0786","mLN","Th1",1.88
"455","AA_0787","mLN","Th1",1.71
"456","AA_0788","mLN","Th1",1.33
"457","AA_0789","mLN","Th1",3.75
"458","AA_0790","mLN","Th1",3.4
"459","AA_0791","mLN","Th1",50
"460","AA_0792","mLN","Th1",7.69
"461","AA_0793","mLN","Th1",6.86
"462","AA_0794","mLN","Th1",5.51
"463","AA_0795","mLN","Th1",4.11
"464","AA_0796","mLN","Th1",1.37
"465","AA_0797","mLN","Th1",6.53
"466","AA_0798","mLN","Th1",5.18
"467","AA_0799","mLN","Th1",5.96
"468","AA_0800","mLN","Th1",2.94
"469","AA_0801","mLN","Th1",4.97
"470","AA_0802","mLN","Th1",2.74
"471","AA_0803","mLN","Th1",1.93
"472","AA_0804","mLN","Th1",4.22
"473","AA_0805","mLN","Th1",7.33
"474","AA_0806","mLN","Th1",2.41
"475","AA_0807","mLN","Th1",5.32
"476","AA_0681","mLN","Div_Th1",31.9
"477","AA_0682","mLN","Div_Th1",41.3
"478","AA_0683","mLN","Div_Th1",34
"479","AA_0684","mLN","Div_Th1",24.9
"480","AA_0685","mLN","Div_Th1",26.7
"481","AA_0686","mLN","Div_Th1",41.9
"482","AA_0687","mLN","Div_Th1",33.3
"483","AA_0688","mLN","Div_Th1",27.2
"484","AA_0689","mLN","Div_Th1",30.9
"485","AA_0690","mLN","Div_Th1",44.2
"486","AA_0691","mLN","Div_Th1",41.4
"487","AA_0692","mLN","Div_Th1",44.1
"488","AA_0693","mLN","Div_Th1",29.1
"489","AA_0694","mLN","Div_Th1",34
"490","AA_0695","mLN","Div_Th1",26.2
"491","AA_0696","mLN","Div_Th1",51.2
"492","AA_0697","mLN","Div_Th1",21.1
"493","AA_0698","mLN","Div_Th1",31.2
"494","AA_0699","mLN","Div_Th1",10
"495","AA_0700","mLN","Div_Th1",56.4
"496","AA_0701","mLN","Div_Th1",54.3
"497","AA_0702","mLN","Div_Th1",27.5
"498","AA_0703","mLN","Div_Th1",16.5
"499","AA_0704","mLN","Div_Th1",44.4
"500","AA_0705","mLN","Div_Th1",28.6
"501","AA_0706","mLN","Div_Th1",38.4
"502","AA_0707","mLN","Div_Th1",13.6
"503","AA_0708","mLN","Div_Th1",20
"504","AA_0709","mLN","Div_Th1",10.8
"505","AA_0710","mLN","Div_Th1",43.7
"506","AA_0711","mLN","Div_Th1",23.6
"507","AA_0712","mLN","Div_Th1",53.9
"508","AA_0713","mLN","Div_Th1",59.6
"509","AA_0714","mLN","Div_Th1",37.6
"510","AA_0715","mLN","Div_Th1",60.2
"511","AA_0716","mLN","Div_Th1",50
"512","AA_0717","mLN","Div_Th1",63.9
"513","AA_0718","mLN","Div_Th1",61.4
"514","AA_0719","mLN","Div_Th1",70.2
"515","AA_0720","mLN","Div_Th1",78
"516","AA_0721","mLN","Div_Th1",64.8
"517","AA_0722","mLN","Div_Th1",62
"518","AA_0723","mLN","Div_Th1",66.3
"519","AA_0724","mLN","Div_Th1",59.8
"520","AA_0725","mLN","Div_Th1",70.4
"521","AA_0726","mLN","Div_Th1",37.4
"522","AA_0727","mLN","Div_Th1",44.5
"523","AA_0728","mLN","Div_Th1",82.8
"524","AA_0729","mLN","Div_Th1",27.4
"525","AA_0730","mLN","Div_Th1",55.9
"526","AA_0763","mLN","Div_Th1",46.1
"527","AA_0764","mLN","Div_Th1",36
"528","AA_0765","mLN","Div_Th1",39.5
"529","AA_0766","mLN","Div_Th1",49.2
"530","AA_0767","mLN","Div_Th1",46.8
"531","AA_0768","mLN","Div_Th1",44.1
"532","AA_0769","mLN","Div_Th1",40.7
"533","AA_0770","mLN","Div_Th1",42.8
"534","AA_0771","mLN","Div_Th1",31.9
"535","AA_0772","mLN","Div_Th1",34.7
"536","AA_0773","mLN","Div_Th1",40.4
"537","AA_0774","mLN","Div_Th1",36.5
"538","AA_0775","mLN","Div_Th1",39
"539","AA_0776","mLN","Div_Th1",30.1
"540","AA_0777","mLN","Div_Th1",39.8
"541","AA_0778","mLN","Div_Th1",43.3
"542","AA_0779","mLN","Div_Th1",31.7
"543","AA_0780","mLN","Div_Th1",37.6
"544","AA_0781","mLN","Div_Th1",54.3
"545","AA_0782","mLN","Div_Th1",56
"546","AA_0783","mLN","Div_Th1",46.3
"547","AA_0784","mLN","Div_Th1",47.6
"548","AA_0785","mLN","Div_Th1",36.5
"549","AA_0786","mLN","Div_Th1",58.6
"550","AA_0787","mLN","Div_Th1",61.5
"551","AA_0788","mLN","Div_Th1",48.9
"552","AA_0789","mLN","Div_Th1",69.9
"553","AA_0790","mLN","Div_Th1",50.3
"554","AA_0791","mLN","Div_Th1",0
"555","AA_0792","mLN","Div_Th1",79.9
"556","AA_0793","mLN","Div_Th1",28.7
"557","AA_0794","mLN","Div_Th1",63.8
"558","AA_0795","mLN","Div_Th1",55.6
"559","AA_0796","mLN","Div_Th1",42.6
"560","AA_0797","mLN","Div_Th1",65.8
"561","AA_0798","mLN","Div_Th1",51.7
"562","AA_0799","mLN","Div_Th1",62.3
"563","AA_0800","mLN","Div_Th1",61.6
"564","AA_0801","mLN","Div_Th1",34.8
"565","AA_0802","mLN","Div_Th1",47.2
"566","AA_0803","mLN","Div_Th1",36.8
"567","AA_0804","mLN","Div_Th1",56.8
"568","AA_0805","mLN","Div_Th1",54.3
"569","AA_0806","mLN","Div_Th1",42.6
"570","AA_0807","mLN","Div_Th1",44.6
"571","AA_0681","mLN","Th17",5.7
"572","AA_0682","mLN","Th17",0.43
"573","AA_0683","mLN","Th17",1.93
"574","AA_0684","mLN","Th17",0.7
"575","AA_0685","mLN","Th17",1.31
"576","AA_0686","mLN","Th17",0.6
"577","AA_0687","mLN","Th17",0.62
"578","AA_0688","mLN","Th17",0.63
"579","AA_0689","mLN","Th17",0.4
"580","AA_0690","mLN","Th17",0.37
"581","AA_0691","mLN","Th17",0.82
"582","AA_0692","mLN","Th17",1.85
"583","AA_0693","mLN","Th17",1.3
"584","AA_0694","mLN","Th17",0.74
"585","AA_0695","mLN","Th17",1.54
"586","AA_0696","mLN","Th17",0.9
"587","AA_0697","mLN","Th17",1.86
"588","AA_0698","mLN","Th17",2.79
"589","AA_0699","mLN","Th17",62.7
"590","AA_0700","mLN","Th17",2.62
"591","AA_0701","mLN","Th17",2.33
"592","AA_0702","mLN","Th17",1.48
"593","AA_0703","mLN","Th17",4.01
"594","AA_0704","mLN","Th17",1.31
"595","AA_0705","mLN","Th17",6.31
"596","AA_0706","mLN","Th17",3.14
"597","AA_0707","mLN","Th17",6.03
"598","AA_0708","mLN","Th17",8.04
"599","AA_0709","mLN","Th17",3.34
"600","AA_0710","mLN","Th17",2.26
"601","AA_0711","mLN","Th17",1.88
"602","AA_0712","mLN","Th17",5.54
"603","AA_0713","mLN","Th17",6.36
"604","AA_0714","mLN","Th17",1.02
"605","AA_0715","mLN","Th17",1.49
"606","AA_0716","mLN","Th17",4.76
"607","AA_0717","mLN","Th17",1.6
"608","AA_0718","mLN","Th17",1.49
"609","AA_0719","mLN","Th17",2.97
"610","AA_0720","mLN","Th17",4.71
"611","AA_0721","mLN","Th17",0.87
"612","AA_0722","mLN","Th17",1.76
"613","AA_0723","mLN","Th17",0.83
"614","AA_0724","mLN","Th17",3.66
"615","AA_0725","mLN","Th17",2.08
"616","AA_0726","mLN","Th17",1.52
"617","AA_0727","mLN","Th17",0.49
"618","AA_0728","mLN","Th17",0.55
"619","AA_0729","mLN","Th17",1.3
"620","AA_0730","mLN","Th17",2.27
"621","AA_0763","mLN","Th17",0.94
"622","AA_0764","mLN","Th17",1.09
"623","AA_0765","mLN","Th17",1.19
"624","AA_0766","mLN","Th17",1.01
"625","AA_0767","mLN","Th17",1.1
"626","AA_0768","mLN","Th17",3.61
"627","AA_0769","mLN","Th17",1.23
"628","AA_0770","mLN","Th17",2.98
"629","AA_0771","mLN","Th17",0.9
"630","AA_0772","mLN","Th17",1.43
"631","AA_0773","mLN","Th17",1
"632","AA_0774","mLN","Th17",0.77
"633","AA_0775","mLN","Th17",1.15
"634","AA_0776","mLN","Th17",1.1
"635","AA_0777","mLN","Th17",1.1
"636","AA_0778","mLN","Th17",1.18
"637","AA_0779","mLN","Th17",3.38
