Mouse_ID,Transect,State,Address,Latitude,Longitude,Trap_date,Dissection_date,Sex,Status,Species,Year,Ectoparasites,Body_weight,Body_length,Tail_length,Spleen,Left_Testis,Right_Testis,Epididymis,Seminal_vesicles,Embryo_left,Embryo_right,Feces,ASP,SYP,HET,MART,CP,HD,HM,MM,TM
AA_0726,HZ_BR,Germany,Alter Kiez 4,53.0006,13.4758,12/09/19,13/09/19,male,adult,Mus musculus,2019,FALSE,13.52,79.8,76,0.021,0.0657,0.0705,0.0156,0.1607,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0727,HZ_BR,Germany,Alter Kiez 4,53.0006,13.4758,12/09/19,13/09/19,female,young,Mus musculus,2019,FALSE,10.37,69.3,67.8,0.0222,NA,NA,NA,NA,NA,NA,0.81,NA,178,NA,NA,NA,NA,NA,NA,NA
AA_0728,HZ_BR,Germany,Alter Kiez 4,53.0006,13.4758,12/09/19,13/09/19,female,young,Mus musculus,2019,TRUE,6.03,56.4,50,0.0008,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0729,HZ_BR,Germany,Alter Kiez 4,53.0006,13.4758,12/09/19,13/09/19,female,adult,Mus musculus,2019,TRUE,17.32,84.1,76.7,0.0291,NA,NA,NA,NA,NA,NA,0.55,NA,5,NA,NA,NA,NA,NA,28,NA
AA_0730,HZ_BR,Germany,Verlorenlorter Weg 21,52.7988,13.0979,12/09/19,13/09/19,female,adult,Mus musculus,2019,FALSE,11.63,73.7,76.2,0.0159,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0731,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0732,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0733,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0734,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0735,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0736,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0737,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0738,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0739,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0740,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0741,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0742,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0743,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0744,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0745,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0746,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0747,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0748,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0749,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
