Transect,State,Address,Code,Letter,Number,Mouse_ID,Sex,Latitude,Longitude,Dist0,Year,Month,Day,REGion,mtBamH,Zfy2,SRY1,Y,X332,X347,X65,Tsx,Btk,Syap1,Es1,Gpd1,Idh1,Mpi,Np,Sod1,Es1C,Gpd1C,Idh1C,MpiC,NpC,Sod1C,Lab,Days in lab,BW,L,LCd,Spleen,Left_testis,Right_testis,Testes,Epididymis,Seminal_vesicles,Sperm,Dissociated,Defect,Ovaria,Gravid,Taenia,Hymenolepis,Mastophorus,Rodentolepis,Mesocestoides,Capillaria,Trichuris,Heterakis,Aspiculuris,Syphacia,Oxyurids,Ectoparasites,Leptopsylla,segnis,Ctenophthalmus,agyrtes,Ctenophthalmus,assimilis,Nosophyllus,fasciatus,Hystrichopsylla,sp.,HI_NLoci,HI
HZ_BR,D,Falkenthal 8C,FALK8C,AA,_0057,AA_0057,M,52.91,13.3064,-15.21,2016,9,23,dom,d,d,,d,d,d,,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,11.48,76,85,0.015,0.064,0.066,0.065,0.016,0.05,15.8,15.85,0.078,,,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 13,0
HZ_BR,D,Hohenwutzen 3,HOHW3,AA,_0058,AA_0058,F,52.8431,14.1158,22.65,2016,9,23,mus,,,,,mm,mm,mm,dd,mm,mm,100,95,125,120,90,80,mm,mm,mm,mm,mm,mm,HZ,1,22.04,100,87,0.049,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 12,0.9166666667
HZ_BR,D,Hohenwutzen 3,HOHW3,AA,_0059,AA_0059,M,52.8431,14.1158,22.65,2016,9,23,mus,d,m,,m,m,m,m,m,m,m,100,95,125,120,90/100,80/100,mm,mm,mm,mm,dm,dm,HZ,1,17.83,88,86,0.028,0.063,0.069,0.0499,0.018,0.147,29.1,27.95,0.12,,,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 14,0.85
HZ_BR,D,Hohenwutzen 3,HOHW3,AA,_0060,AA_0060,F,52.8431,14.1158,22.65,2016,9,23,mus,d,,,,mm,mm,mm,dm,mm,mm,94,95,125,120,90,80,dd,mm,mm,mm,mm,mm,HZ,1,26.26,94,82,0.065,,,,,,,,,,B+,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 13,0.84
HZ_BR,D,Schenkendorf 8 - horses,SCHEN8h,AA,_0061,AA_0061,M,52.2742,13.5953,-20.44,2016,9,23,dom,d,d,,d,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,11.94,72,80,0.017,0.044,0.047,0.0455,0.008,,1.6,9.09,,,,0,,0,,,,0,,0,15,15,,,,,,,,,,,,HI 14,0
HZ_BR,D,Schenkendorf 8 - horses,SCHEN8h,AA,_0062,AA_0062,F,52.2742,13.5953,-20.44,2016,9,23,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100/125,100,100,100,dd,dd,dm,dd,dd,dd,HZ,1,17.29,87,92,0.046,,,,,,,,,0.0081,,0,,0,,,,0,,0,44,44,,,,,,,,,,,,HI 13,0.04
HZ_BR,D,Wolzig 24,WOLZ24,AA,_0063,AA_0063,M,52.2678,13.84,-3.77,2016,9,23,mus,d,m,,m,d,d,d,d,d,d,94,100,100,100,70/100,100,dd,dd,dd,dd,dm,dd,HZ,1,9.76,65,74,0.013,0.019,0.014,0.0165,,,,,,,,0,,0,,,,0,,0,5,5,,,,,,,,,,,,HI 14,0.1
HZ_BR,D,Liebenthal 39,LIEB39,AA,_0064,AA_0064,F,52.4164,13.4642,-7.42,2016,9,24,dom,d,,,,dd,dd,dd,dd,dd,dd,94,95/100,100,100/120,100,100,dd,dm,dd,dm,dd,dd,HZ,1,16.2,73,88,0.048,,,,,,,,,,B+,0,,0,,,,0,,0,1,1,,,,,,,,,,,,HI 13,0.08
HZ_BR,D,Liebenthal 39,LIEB39,AA,_0065,AA_0065,M,52.4164,13.4642,-7.42,2016,9,24,dom,d,d,,d,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,14,75,81,0.037,0.021,0.024,0.0225,0.006,0.008,0,,,,,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 14,0
HZ_BR,D,Liebenthal 39,LIEB39,AA,_0066,AA_0066,F,52.4164,13.4642,-7.42,2016,9,24,dom,d,,,,dd,dd,dd,dd,dd,dd,100,100,100,100,90/100,100,mm,dd,dd,dd,dm,dd,HZ,1,19.45,87,89,0.02,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 13,0.12
HZ_BR,D,Liebenthal 39,LIEB39,AA,_0067,AA_0067,M,52.4164,13.4642,-7.42,2016,9,24,dom,d,d,,d,d,d,d,d,d,d,94,95/100,100,100/120,100,100,dd,dm,dd,dm,dd,dd,HZ,1,18.73,79,86,0.026,0.094,0.094,0.094,0.031,0.153,45.9,18.41,0.063,,,0,,0,,,,0,,1,0,1,,,,,,,,,,,,HI 14,0.1
HZ_BR,D,Liebenthal 39,LIEB39,AA,_0068,AA_0068,F,52.4164,13.4642,-7.42,2016,9,24,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100/120,100,100,dd,dd,dd,dm,dd,dd,HZ,1,16.8,83,89,0.034,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 13,0.04
HZ_BR,D,Liebenthal 39,LIEB39,AA,_0069,AA_0069,M,52.4164,13.4642,-7.42,2016,9,24,dom,d,d,,d,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,14.25,78,87,0.029,0.017,0.018,0.0175,0.003,0.005,0,,,,,0,,0,,,,0,,0,1,1,,,,,,,,,,,,HI 14,0
HZ_BR,D,Liebenthal 39,LIEB39,AA,_0070,AA_0070,F,52.4164,13.4642,-7.42,2016,9,24,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,13.96,72,85,0.021,,,,,,,,,,B-,0,,0,,,,0,,0,9,9,,,,,,,,,,,,HI 13,0
HZ_BR,D,Marienwerder 60,MARIEW,AA,_0071,AA_0071,F,52.8425,13.6,-6.45,2016,9,24,dom,d,,,,dd,dd,dd,dd,dd,dd,94,95/100,100,100,100,100,dd,dm,dd,dd,dd,dd,HZ,1,13.65,78,88,0.022,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 13,0.04
HZ_BR,D,Mildenberg 1,MILD1,AA,_0072,AA_0072,F,52.9936,13.3047,-8.52,2016,9,24,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,15.11,75,82,0.041,,,,,,,,,,B+,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 13,0
HZ_BR,D,Mildenberg 1,MILD1,AA,_0073,AA_0073,F,52.9936,13.3047,-8.52,2016,9,24,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,18.03,85,79,0.033,,,,,,,,,,B+,0,,0,,,,0,,0,1,1,,,,,,,,,,,,HI 13,0
HZ_BR,D,Mildenberg 1,MILD1,AA,_0074,AA_0074,F,52.9936,13.3047,-8.52,2016,9,24,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,19.75,86,88,0.035,,,,,,,,,,B+,0,,0,,,,0,,0,17,17,,,,,,,,,,,,HI 13,0
HZ_BR,D,Mildenberg 1,MILD1,AA,_0075,AA_0075,F,52.9936,13.3047,-8.52,2016,9,24,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,17.08,84,81,0.048,,,,,,,,,,B+,0,,0,,,,0,,0,9,9,,,,,,,,,,,,HI 13,0
HZ_BR,D,Gräbendorf 7,GRAB7,AA,_0076,AA_0076,M,52.2422,13.7072,-12.61,2016,9,24,dom,d,m,,m,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,21.85,86,86,,0.107,0.106,0.1065,0.032,0.316,41.4,14.74,0.078,,,0,,14,,,,0,,0,3,3,,,,,,,,,,,,HI 14,0.05
HZ_BR,D,Am Tonsee 4,AMTO4,AA,_0077,AA_0077,F,52.2156,13.5883,-20.5,2016,9,24,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,25.72,92,90,0.042,,,,,,,,,,B+,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 13,0
HZ_BR,D,Am Tonsee 4,AMTO4,AA,_0078,AA_0078,F,52.2156,13.5883,-20.5,2016,9,24,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,14.42,74,73,0.045,,,,,,,,,,B-,0,,0,,,,0,,0,26,26,,,,,,,,,,,,HI 13,0
HZ_BR,D,Wolzig 24,WOLZ24,AA,_0079,AA_0079,M,52.2678,13.84,-3.77,2016,9,24,mus,d,m,,m,d,d,d,d,d,d,94,100,100,100,70/100,100,dd,dd,dd,dd,dm,dd,HZ,1,14.53,75,83,0.071,0.074,0.078,0.076,0.024,0.155,32.6,21.05,0.071,,,0,,0,,,,0,,0,3,3,,,,,,,,,,,,HI 14,0.1
HZ_BR,D,Wolzig 25,WOLZ24,AA,_0080,AA_0080,F,52.2678,13.84,-3.77,2016,9,24,mus,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,12.51,72,80,0.042,,,,,,,,,,B-,0,,0,,,,0,,0,3,3,,,,,,,,,,,,HI 13,0
HZ_BR,D,Wolzig 24,WOLZ24,AA,_0081,AA_0081,M,52.2678,13.84,-3.77,2016,9,24,mus,d,m,,m,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,18.35,86,91,0.046,0.091,0.091,0.091,0.031,0.196,27.3,19.83,0.079,,,0,,0,,,,0,,0,1,1,,,,,,,,,,,,HI 14,0.05
HZ_BR,D,Wolzig 24,WOLZ24,AA,_0082,AA_0082,F,52.2678,13.84,-3.77,2016,9,24,mus,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,12.02,72,81,0.033,,,,,,,,,,B-,0,,0,,,,0,,0,1,1,,,,,,,,,,,,HI 13,0
HZ_BR,D,Hoppegarten 1,HOPPE1,AA,_0083,AA_0083,F,52.4978,13.6761,-12.08,2016,9,24,dom,d,,,,mm,mm,,mm,mm,mm,100,95/100,125,120,90,80,mm,dm,mm,mm,mm,mm,HZ,1,17.94,85,79,0.038,,,,,,,,,,B-,0,,0,,,,0,,0,4,4,,,,,,,,,,,,HI 12,0.9130434783
HZ_BR,D,Hoppegarten 1,HOPPE1,AA,_0084,AA_0084,M,52.4978,13.6761,-12.08,2016,9,24,dom,d,,,,,,,m,m,m,94,100,100/125,100/120,90/100,80,dd,dd,dm,dm,dm,mm,HZ,2,20.04,82,82,0.033,0.05,0.053,0.0515,0.014,0.154,2.4,44.44,,,,0,,0,,,,0,,0,3,3,,,,,,,,,,,,HI 10,0.5
HZ_BR,D,Hoppegarten 1,HOPPE1,AA,_0085,AA_0085,F,52.4978,13.6761,-12.08,2016,9,24,dom,d,,,,mm,mm,mm,mm,mm,mm,94/100,95/100,100,120,90,80,dm,dm,dd,mm,mm,mm,HZ,2,28.27,91,92,0.038,,,,,,,,,,B+,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 13,0.8
HZ_BR,D,Hoppegarten 1,HOPPE1,AA,_0086,AA_0086,M,52.4978,13.6761,-12.08,2016,9,24,dom,d,,,,,d,,d,d,d,94,100,100,100,100,80,dd,dd,dd,dd,dd,mm,HZ,2,16.17,75,93,0.014,0.063,0.065,0.064,0.036,0.108,16.7,10.11,0.097,,,0,,0,,,,0,,0,10,10,,,,,,,,,,,,HI 11,0.1176470588
HZ_BR,D,Hoppegarten 1,HOPPE1,AA,_0087,AA_0087,F,52.4978,13.6761,-12.08,2016,9,24,dom,d,,,,mm,mm,,mm,mm,mm,94/100,95/100,100/125,120,90/100,80,dm,dm,dm,mm,dm,mm,HZ,2,15.42,81,75,0.026,,,,,,,,,,B-,0,,0,,,,0,,0,1,1,,,,,,,,,,,,HI 12,0.7826086957
HZ_BR,D,Wolzig 24,WOLZ24,AA,_0088,AA_0088,M,52.2678,13.84,-3.77,2016,9,24,mus,d,m,,m,d,d,d,d,d,d,100,100,100,100,90/100,100,mm,dd,dd,dd,dm,dd,HZ,2,12.44,73,81,0.019,0.063,0.067,0.065,0.013,0.112,31.9,20.53,0.096,,,0,,0,,,,0,,0,19,19,,,,,,,,,,,,HI 14,0.2
HZ_BR,D,Wolzig 24,WOLZ24,AA,_0089,AA_0089,F,52.2678,13.84,-3.77,2016,9,24,mus,d,,,,,dd,,dd,dd,dd,94,100,100,100,70/100,100,dd,dd,dd,dd,dm,dd,HZ,2,10.82,68,71,0.04,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 11,0.0476190476
HZ_BR,D,Gräbendorf 7,GRAB7,AA,_0090,AA_0090,M,52.2422,13.7072,-12.61,2016,9,25,dom,d,,,,,,,dd,,,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,11.18,75,76,0.015,0.049,0.051,0.05,0.016,0.056,11.4,20.41,0.078,,,0,,0,,,,0,,0,3,3,2,,,,,,,,,,,HI 8,0
HZ_BR,D,Prenden 14,PREN14,AA,_0091,AA_0091,F,52.7881,13.5544,-12.43,2016,9,25,dom,d,,,,,,,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,11.6,68,73,0.036,,,,,,,,,,B-,0,,0,,,,0,,0,30,30,11,,,,,,,,,,,HI 10,0
HZ_BR,D,Prenden 14,PREN14,AA,_0092,AA_0092,M,52.7881,13.5544,-12.43,2016,9,25,dom,,,,,,,,,,,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,16.71,77,79,0.055,0.049,0.052,0.0505,0.028,0.131,31.1,15.53,0.045,,,0,,0,,,,0,,0,13,13,10,,,,,,,,,,,HI 6,0
HZ_BR,D,Mildenberg 1,MILD1,AA,_0093,AA_0093,M,52.9936,13.3047,-8.52,2016,9,25,dom,,m,,m,d,,,,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,16.26,81,85,0.026,0.08,0.083,0.0815,0.028,0.166,35,17.84,0.054,,,0,,0,,,,0,,0,3,3,5,,,,,,,,,,,HI 10,0.0625
HZ_BR,D,Mildenberg 1,MILD1,AA,_0094,AA_0094,F,52.9936,13.3047,-8.52,2016,9,25,dom,m,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,16.76,81,83,0.033,,,,,,,,,,B-,0,,0,,,,0,,0,8,8,4,,,,,,,,,,,HI 13,0.04
HZ_BR,D,Mildenberg 1,MILD1,AA,_0095,AA_0095,M,52.9936,13.3047,-8.52,2016,9,25,dom,d,m,,m,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,12.15,69,76,0.026,0.057,0.061,0.059,0.014,0.018,10.4,20,0.097,,,0,,0,,,,0,,0,0,0,2,,,,,,,,,,,HI 14,0.05
HZ_BR,D,Oehna 62,OEHN,AA,_0096,AA_0096,F,51.93,13.0439,-55.61,2016,9,25,,,,,,,,,,,,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,20.25,85,80,0.06,,,,,,,,,,B-,0,,0,,,,0,,0,10,10,6,,,,,,,,,,,HI 6,0
HZ_BR,D,Rüdnitz 21,RUDN21,AA,_0097,AA_0097,M,52.7169,13.64,-11.73,2016,9,25,dom,d,,,,d,d,,d,d,d,94,95/100,100,100,100,100,dd,dm,dd,dd,dd,dd,HZ,1,10.52,71,61,0.015,0.052,0.054,0.053,0.015,0.033,10.5,18.6,0,,,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 12,0.0555555556
HZ_BR,D,Rüdnitz 21,RUDN21,AA,_0098,AA_0098,M,52.7169,13.64,-11.73,2016,9,25,dom,d,d,,d,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,15.58,80,81,0.023,0.078,0.077,0.0775,0.025,0.104,47.3,14.16,0.061,,,0,,0,,,,0,,0,3,3,0,,,,,,,,,,,HI 14,0
HZ_BR,D,Grüna 17,GRUN17,AA,_0099,AA_0099,M,52.0311,13.0819,-47.94,2016,9,25,dom,d,,,,m,,,d,d,d,100,100,100,100,100,80,mm,dd,dd,dd,dd,mm,HZ,1,17.58,78,84,0.042,0.064,0.07,0.067,0.026,0.137,45.8,13.3,0.068,,,0,,0,,,,53,0,0,28,28,13,,,,,,,,,,,HI 11,0.2941176471
HZ_BR,D,Rosenthal 38,ROSENT,AA,_0100,AA_0100,F,51.8625,13.4639,-16.61,2016,9,25,dom,d,,,,dd,dd,,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,5.82,59,66,0.008,,,,,,,,,,B-,0,,0,,,,0,,0,7,7,1,,,,,,,,,,,HI 12,0
HZ_BR,D,Rosenthal 38,ROSENT,AA,_0101,AA_0101,M,51.8625,13.4639,-16.61,2016,9,25,dom,d,d,,d,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,16.54,84,91,0.039,0.072,0.076,0.074,0.019,0.095,28,19.23,0.035,,,0,,0,,,,0,,0,1,1,1,,,,,,,,,,,HI 14,0
HZ_BR,D,Gräfendorf 11,GRAFD,AA,_0102,AA_0102,M,51.9097,13.1953,-32.22,2016,9,25,dom,d,d,,d,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,14.95,77,78,0.012,0.069,0.073,0.071,0.023,0.136,41.6,13.81,0.054,,,0,,0,,,,0,,0,0,0,4,,,,,,,,,,,HI 14,0
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0103,AA_0103,F,52.9783,13.7336,10.08,2016,9,25,mus,m,,,,mm,mm,,dm,mm,mm,100,95,125,120,90,80/100,mm,mm,mm,mm,mm,dm,HZ,1,17.78,86,76,0.034,,,,,,,,,,B-,0,0,0,0,0,,0,,150,31,181,1,,,,,,,,,,,HI 12,0.9130434783
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0104,AA_0104,M,52.9783,13.7336,10.08,2016,9,25,mus,m,m,,m,m,m,,m,m,m,100,95,125,120,70/100,80,mm,mm,mm,mm,dm,mm,HZ,1,20.59,91,84,0.046,0.083,0.092,0.0875,0.03,0.106,46.2,13.72,0.047,,,0,0,0,0,0,,0,,23,50,73,5,,,,,,,,,,,HI 13,0.9473684211
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0105,AA_0105,F,52.9783,13.7336,10.08,2016,9,25,mus,m,,,,mm,mm,,dm,dm,mm,100,95,125,120,70/100,80,mm,mm,mm,mm,dm,mm,HZ,1,15.27,82,72,0.027,,,,,,,,,,B-,0,0,0,0,0,,0,,0,2,2,0,,,,,,,,,,,HI 12,0.8695652174
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0106,AA_0106,M,52.9783,13.7336,10.08,2016,9,25,mus,d,m,,m,m,m,,m,d,m,100,95,125,120,90,80,mm,mm,mm,mm,mm,mm,HZ,1,14.14,76,66,0.036,0.05,0.054,0.052,0.017,0.126,23.3,21.93,0.078,,,0,0,0,0,0,,0,,0,2,2,0,,,,,,,,,,,HI 13,0.8947368421
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0107,AA_0107,F,52.9783,13.7336,10.08,2016,9,25,mus,m,,,,mm,mm,mm,mm,dm,mm,100,95,125,120,90,100,mm,mm,mm,mm,mm,dd,HZ,1,22.35,84,75,0.041,,,,,,,,,,B+,0,0,0,0,0,,0,,477,12,489,0,,,,,,,,,,,HI 13,0.88
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0108,AA_0108,M,52.9783,13.7336,10.08,2016,9,25,mus,m,m,,m,m,m,,d,m,m,100,95,125,120,90,100,mm,mm,mm,mm,mm,dd,HZ,1,16.92,82,79,0.034,0.085,0.08,0.0825,0.026,0.12,46,18.26,0.032,,,0,0,0,0,0,,0,,50,36,86,1,,,,,,,,,,,HI 13,0.8421052632
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0109,AA_0109,M,52.9783,13.7336,10.08,2016,9,25,mus,m,m,,m,m,m,,d,m,m,100,95,125,120,90,80,mm,mm,mm,mm,mm,mm,HZ,2,18.13,85,75,0.041,0.08,0.091,0.0855,0.033,0.12,57.6,18.09,0.056,,,0,0,0,0,0,,0,,38,38,76,0,,,,,,,,,,,HI 13,0.9473684211
HZ_BR,D,Hoppegarten 1,HOPPE1,AA,_0110,AA_0110,M,52.4978,13.6761,-12.08,2016,9,24,dom,d,m,,m,m,m,,m,m,m,94,100,100/125,100/120,90/100,80,dd,dd,dm,dm,dm,mm,HZ,3,18.72,83,86,0.025,0.051,0.052,0.0515,0.018,0.158,14.7,25.71,0.044,,,0,,0,,,,0,,0,2,2,0,,,,,,,,,,,HI 13,0.5789473684
HZ_BR,D,Groß Ziethen 1,GROSZIE,AA,_0111,AA_0111,F,52.9581,13.895,17.2,2016,9,26,mus,d,,,,mm,mm,,dd,mm,mm,100,95,125,120,90,80,mm,mm,mm,mm,mm,mm,HZ,1,6.71,68,57,0.014,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 12,0.8695652174
HZ_BR,D,Groß Ziethen 1,GROSZIE,AA,_0112,AA_0112,M,52.9581,13.895,17.2,2016,9,26,mus,d,m,,m,m,m,,d,m,m,100,95,125,120,90,80,mm,mm,mm,mm,mm,mm,HZ,1,4.11,46,49,0.007,0.004,0.003,0.0035,,0.002,,,,,,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 13,0.8947368421
HZ_BR,D,Wolzig 24,WOLZ24,AA,_0113,AA_0113,M,52.2678,13.84,-3.77,2016,9,26,mus,d,m,,m,d,m,,d,d,d,94,100,100,100,70/100,100,dd,dd,dd,dd,dm,dd,HZ,1,9.77,64,76,0.03,0.018,0.017,0.0175,0.003,,,,,,,0,,0,,,,0,,1,27,28,0,,,,,,,,,,,HI 13,0.1578947368
HZ_BR,D,Groß Ziethen 1,GROSZIE,AA,_0114,AA_0114,F,52.9581,13.895,17.2,2016,9,26,mus,d,,,,mm,mm,,dd,mm,mm,100,95,125,120,100,80,mm,mm,mm,mm,dd,mm,HZ,1,9.08,64,67,0.019,,,,,,,,,,B-,0,11,0,,,,0,,22,80,102,0,,,,,,,,,,,HI 12,0.7826086957
