"Sample_ID","Flotation","PCR_AP5","at.least.1.other.marker_ORF_COI_or_18S","Box_No","Observation","Weight_feces_.g.","Raw_Count","Oocysts.ml","OPG_.oocysts.ml.g_of_faeces."
"SK_3093",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3094",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3095",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3096",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3097",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3098",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3099",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3091",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3118",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3119",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3120",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3122",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3123",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3124",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3125",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3113",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3114",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3115",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3116",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3117",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3110",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3109",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3100",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3101",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3102",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3104",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3105",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3107",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3108",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3112",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3011",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3138",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3170",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3169",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3167",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3166",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3157",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3158",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3159",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3160",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3161",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3163",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3164",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3165",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3155",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3154",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3152",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3150",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3149",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3148",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3139",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3142",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3143",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3147",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3147.2",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3156",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3136",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3135",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3134",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3133",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3132",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3130",NA,NA,NA,2,NA,NA,NA,NA,NA
"SK_3093",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3119",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3120",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3118",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3096",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3097",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3098",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3132",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3133",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3135",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3109",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_?",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3182",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3178",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3180",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3181",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3182",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3161",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3211",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3210",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3164",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3186",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3184",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3168",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3162",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3127",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3131",NA,NA,NA,3,NA,NA,NA,NA,NA
"SK_3163",NA,NA,NA,3,NA,NA,NA,NA,NA
