count,Mouse_ID,feces_weight_g_original_wrong,feces_weight_g,oocyst_1_big_square_neubauer,oocyst_per_ml,total_volume_ml,oocysts_in_feces,OPG_if_0.4g,year
Phuong,AA_0160,3,0.4,0,0,4,0,0,2016
Phuong,AA_0161,4,0.4,0,0,4,0,0,2016
Phuong,AA_0162,2,0.4,0,0,4,0,0,2016
Phuong,AA_0163,4,0.4,0,0,4,0,0,2016
Phuong,AA_0164,6,0.4,0,0,4,0,0,2016
Phuong,AA_0165,4,0.4,8,80000,4,320000,800000,2016
Phuong,AA_0166,4,0.4,0,0,4,0,0,2016
Phuong,AA_0167,4,0.4,3,30000,4,120000,300000,2016
Phuong,AA_0168,4,0.4,0,0,4,0,0,2016
Phuong,AA_0169,4,0.4,6,60000,4,240000,600000,2016
Phuong,AA_0170,4,0.4,0,0,4,0,0,2016
Phuong,AA_0171,4,0.4,0,0,4,0,0,2016
Phuong,AA_0172,4,0.4,0,0,4,0,0,2016
Phuong,AA_0173,3,0.4,6,60000,4,240000,600000,2016
Phuong,AA_0174,4,0.4,0,0,4,0,0,2016
Phuong,AA_0175,4,0.4,0,0,4,0,0,2016
Phuong,AA_0176,4,0.4,0,0,4,0,0,2016
Phuong,AA_0177,4,0.4,0,0,4,0,0,2016
Phuong,AA_0178,3.5,0.4,0,0,4,0,0,2016
Phuong,AA_0179,4,0.4,1,10000,4,40000,100000,2016
Phuong,AA_0180,4,0.4,0,0,4,0,0,2016
Phuong,AA_0181,4,0.4,0,0,4,0,0,2016
Phuong,AA_0182,4,0.4,0,0,4,0,0,2016
Phuong,AA_0183,4,0.4,0,0,4,0,0,2016
Phuong,AA_0184,4,0.4,7,70000,4,280000,700000,2016
Phuong,AA_0185,4,0.4,0,0,4,0,0,2016
Phuong,AA_0186,3,0.4,3,30000,4,120000,300000,2016
Phuong,AA_0187,4,0.4,0,0,4,0,0,2016
Phuong,AA_0188,3,0.4,0,0,4,0,0,2016
Phuong,AA_0189,4,0.4,3,30000,4,120000,300000,2016
Phuong,AA_0190,4,0.4,0,0,4,0,0,2016
Phuong,AA_0191,2,0.4,1,10000,4,40000,100000,2016
Phuong,AA_0192,2,0.4,0,0,4,0,0,2016
Phuong,AA_0193,2.5,0.4,0,0,4,0,0,2016
Phuong,AA_0194,2.5,0.4,0,0,4,0,0,2016
Phuong,AA_0195,2.5,0.4,0,0,4,0,0,2016
Phuong,AA_0196,4,0.4,0,0,4,0,0,2016
Phuong,AA_0197,1,0.4,0,0,4,0,0,2016
Phuong,AA_0198,3.5,0.4,0,0,4,0,0,2016
Phuong,AA_0199,3.5,0.4,1,10000,4,40000,100000,2016
Phuong,AA_0200,3.5,0.4,0,0,4,0,0,2016
Phuong,AA_0201,4,0.4,0,0,4,0,0,2016
Phuong,AA_0202,4,0.4,0,0,4,0,0,2016
Phuong,AA_0203,3,0.4,0,0,4,0,0,2016
Phuong,AA_0204,2,0.4,2,20000,4,80000,200000,2016
Phuong,AA_0205,2,0.4,0,0,4,0,0,2016
Phuong,AA_0206,4,0.4,0,0,4,0,0,2016
Phuong,AA_0207,4,0.4,1,10000,4,40000,100000,2016
Phuong,AA_0208,4,0.4,0,0,4,0,0,2016
Phuong,AA_0209,4,0.4,0,0,4,0,0,2016
Phuong,AA_0210,4,0.4,0,0,4,0,0,2016
Phuong,AA_0211,4,0.4,1,10000,4,40000,100000,2016
