Mouse_ID,Feces,Feces_used,Oocyst_sq1,Oocyst_sq2,Oocyst_sq3,Oocyst_sq4,Sume,PBS_vol,Oocyst_mL,Oocyst_tube,OPG
AA_0559,0.19,0.19,0,0,0,0,0,2,0,0,0
AA_0560,0.21,0.1,0,0,0,0,0,2,0,0,0
AA_0561,0.46,0.22,1,1,0,0,2,2,5000,10000,45454.55
AA_0562,0.23,0.12,0,0,0,0,0,2,0,0,0
AA_0563,0.15,0.07,0,0,0,0,0,2,0,0,0
AA_0564,0.15,0.07,0,0,0,0,0,2,0,0,0
AA_0565,0.08,0.03,0,0,0,0,0,2,0,0,0
AA_0566,0.31,0.16,0,0,0,0,0,2,0,0,0
AA_0567,0.12,0.06,0,0,0,0,0,2,0,0,0
AA_0568,0.08,0.04,0,0,0,0,0,2,0,0,0
AA_0569,0.23,0.11,0,0,0,0,0,1,0,0,0
AA_0570,0.46,0.27,0,0,0,0,0,1,0,0,0
AA_0571,0.46,0.46,0,0,0,0,0,1,0,0,0
AA_0572,0.71,0.26,0,0,0,0,0,1,0,0,0
AA_0573,0.49,0.26,0,0,0,0,0,1,0,0,0
AA_0574,0.97,0.5,0,0,0,0,0,1,0,0,0
AA_0575,0.42,0.23,0,0,0,0,0,1,0,0,0
AA_0576,0.47,0.25,0,0,0,0,0,1,0,0,0
AA_0577,0.71,0.36,0,0,0,0,0,1,0,0,0
AA_0578,0.71,0.71,0,0,0,0,0,1,0,0,0
AA_0579,0.54,0.28,0,0,0,0,0,1,0,0,0
AA_0580,0.94,0.94,0,0,0,0,0,1,0,0,0
AA_0581,0.14,0.09,0,0,0,0,0,1,0,0,0
AA_0582,0.6,0.29,0,0,0,0,0,1,0,0,0
AA_0583,0.22,0.11,0,0,0,0,0,1,0,0,0
AA_0584,0.29,0.15,0,0,0,0,0,1,0,0,0
AA_0585,0.27,0.27,0,0,0,0,0,1,0,0,0
AA_0586,0.25,0.12,0,0,0,0,0,1,0,0,0
AA_0587,0.43,0.21,0,0,0,0,0,1,0,0,0
AA_0588,0.28,0.15,0,0,0,0,0,1,0,0,0
AA_0589,0.71,0.71,0,0,0,0,0,1,0,0,0
AA_0590,0.27,0.13,0,0,0,0,0,1,0,0,0
AA_0591,0.24,0.12,3,1,0,0,4,1,10000,10000,83333.33
AA_0592,0.74,0.43,0,0,0,0,0,1,0,0,0
AA_0593,0.64,0.32,0,0,0,0,0,1,0,0,0
AA_0594,0.36,0.19,0,0,0,0,0,1,0,0,0
AA_0595,0.35,0.19,0,0,0,0,0,1,0,0,0
AA_0596,0.52,0.28,0,0,0,0,0,1,0,0,0
AA_0597,0.33,0.17,0,0,0,0,0,1,0,0,0
AA_0598,0.71,0.37,0,0,0,0,0,1,0,0,0
AA_0599,0.16,0.09,0,0,0,0,0,1,0,0,0
AA_0600,0.42,0.24,0,0,0,0,0,1,0,0,0
AA_0601,0.24,0.24,0,0,0,0,0,1,0,0,0
AA_0602,0.36,0.18,0,0,0,0,0,1,0,0,0
AA_0603,0.41,0.41,0,0,0,0,0,1,0,0,0
AA_0604,0.33,0.33,0,0,0,0,0,1,0,0,0
AA_0605,0.51,0.51,0,0,0,0,0,1,0,0,0
AA_0606,0.36,0.36,0,0,0,0,0,1,0,0,0
AA_0607,0.48,0.48,0,0,0,0,0,1,0,0,0
AA_0608,0.4,0.4,0,0,0,0,0,1,0,0,0
AA_0609,0.39,0.39,0,0,0,0,0,1,0,0,0
AA_0610,0.28,0.28,0,0,0,0,0,1,0,0,0
AA_0611,0.25,0.25,0,0,0,0,0,1,0,0,0
AA_0612,0.28,0.28,0,0,0,0,0,1,0,0,0
AA_0613,0.65,0.65,0,0,0,0,0,1,0,0,0
AA_0614,0.34,0.34,0,0,0,0,0,1,0,0,0
AA_0615,0.33,0.33,0,0,0,0,0,1,0,0,0
AA_0616,0.42,0.42,0,0,0,0,0,1,0,0,0
AA_0617,0.69,0.69,0,0,0,0,0,1,0,0,0
AA_0618,0.68,0.68,0,0,0,0,0,1,0,0,0
AA_0619,0.83,0.83,0,0,0,0,0,1,0,0,0
AA_0620,0.32,0.32,0,0,0,0,0,1,0,0,0
AA_0621,0.08,0.08,0,0,0,0,0,1,0,0,0
AA_0622,1.3,1.3,0,0,0,0,0,1,0,0,0
AA_0623,1.07,1.07,2,2,2,2,8,2,20000,40000,37383.18
AA_0624,0.68,0.68,0,0,0,0,0,1,0,0,0
AA_0625,0.14,0.14,0,0,0,0,0,1,0,0,0
AA_0626,0.47,0.47,0,0,0,0,0,1,0,0,0
AA_0627,0.31,0.31,0,0,0,0,0,1,0,0,0
AA_0628,0.29,0.29,0,0,0,0,0,1,0,0,0
AA_0629,0.29,0.29,0,0,0,0,0,1,0,0,0
AA_0630,0.56,0.56,0,0,0,0,0,1,0,0,0
AA_0631,0.33,0.33,0,0,0,0,0,1,0,0,0
AA_0632,NA,NA,,,,,,,,,
AA_0633,0.18,0.18,0,0,0,0,0,1,0,0,0
AA_0634,NA,NA,,,,,,,,,
AA_0635,0.24,0.24,0,0,0,0,0,1,0,0,0
AA_0636,0.21,0.21,0,0,0,0,0,1,0,0,0
AA_0637,0.09,0.09,0,0,0,0,0,1,0,0,0
AA_0638,0.14,0.14,0,0,0,0,0,1,0,0,0
AA_0639,0.8,0.8,0,0,0,0,0,1,0,0,0
AA_0640,0.43,0.43,0,0,0,0,0,1,0,0,0
AA_0641,0.39,0.39,0,0,0,0,0,1,0,0,0
AA_0642,0.31,0.31,0,0,0,0,0,1,0,0,0
AA_0643,0.44,0.44,0,0,0,0,0,1,0,0,0
AA_0644,0.48,0.48,0,0,0,0,0,1,0,0,0
AA_0645,0.07,0.07,0,0,0,0,0,1,0,0,0
AA_0646,0.23,0.23,0,0,0,0,0,1,0,0,0
AA_0647,0.47,0.47,0,0,0,0,0,1,0,0,0
AA_0648,0.27,0.27,0,0,0,0,0,1,0,0,0
AA_0649,0.93,0.93,0,0,0,0,0,1,0,0,0
AA_0650,0.26,0.26,0,0,0,0,0,1,0,0,0
AA_0651,0.19,0.19,0,0,0,0,0,1,0,0,0
AA_0652,0.15,0.15,0,0,0,0,0,1,0,0,0
AA_0653,0.24,0.24,0,0,0,0,0,1,0,0,0
AA_0654,0.53,0.53,0,0,0,0,0,1,0,0,0
AA_0655,0.75,0.75,0,0,0,0,0,1,0,0,0
AA_0656,0.2,0.2,0,0,0,0,0,1,0,0,0
AA_0657,0.23,0.23,0,0,0,0,0,1,0,0,0
AA_0658,0.41,0.41,0,0,0,0,0,1,0,0,0
AA_0659,0.36,0.36,0,0,0,0,0,1,0,0,0
AA_0660,0.3,0.3,0,0,0,0,0,1,0,0,0
AA_0661,0.13,0.13,0,0,0,0,0,1,0,0,0
AA_0662,0.17,0.17,0,1,0,1,2,1,5000,5000,29411.76
AA_0663,0.39,0.39,0,0,0,0,0,1,0,0,0
AA_0664,0.35,0.35,0,0,0,0,0,1,0,0,0
AA_0665,0.21,0.21,0,0,0,0,0,1,0,0,0
AA_0666,0.48,0.48,1,0,0,0,1,1,2500,2500,5208.33
AA_0667,0.69,0.69,0,0,0,0,0,1,0,0,0
AA_0668,0.35,0.35,0,0,0,0,0,1,0,0,0
AA_0669,0.3,0.3,0,0,0,0,0,1,0,0,0
AA_0670,0.26,0.26,0,0,0,0,0,1,0,0,0
AA_0671,0.44,0.44,0,0,0,0,0,1,0,0,0
AA_0672,0.36,0.36,0,0,0,0,0,1,0,0,0
AA_0673,0.15,0.15,0,0,0,0,0,1,0,0,0
AA_0674,0.13,0.13,0,0,0,0,0,1,0,0,0
AA_0675,0.79,0.79,0,0,0,0,0,1,0,0,0
AA_0676,0.12,0.12,0,0,0,0,0,1,0,0,0
AA_0677,0.18,0.18,0,0,0,0,0,1,0,0,0
AA_0678,0.4,0.4,0,0,0,0,0,1,0,0,0
AA_0679,0.66,0.66,0,0,0,0,0,1,0,0,0
AA_0680,0.09,0.09,0,0,0,0,0,1,0,0,0
