"","Mouse_ID","Ct.Eimeria","MC.Eimeria","Ct.Mus","delta","EXP_type"
"59","AA_0711",31.6766666666667,FALSE,24.11,-7.56666666666667,"wild"
"61","AA_0713",32.7933333333333,FALSE,23.205,-9.58833333333333,"wild"
"63","AA_0714",34.3966666666667,FALSE,22.975,-11.4216666666667,"wild"
"65","AA_0715",34.0966666666667,FALSE,23.68,-10.4166666666667,"wild"
"67","AA_0716",32.3566666666667,TRUE,23.45,-8.90666666666667,"wild"
"69","AA_0717",34.1333333333333,FALSE,23.0266666666667,-11.1066666666667,"wild"
"71","AA_0719",31.8366666666667,TRUE,22.7966666666667,-9.04,"wild"
"73","AA_0720",31.9066666666667,FALSE,22.48,-9.42666666666667,"wild"
"75","AA_0721",32.6566666666667,TRUE,23.52,-9.13666666666667,"wild"
"77","AA_0722",31.2466666666667,TRUE,24.4133333333333,-6.83333333333333,"wild"
"79","AA_0723",32.37,FALSE,24.3766666666667,-7.99333333333334,"wild"
"81","AA_0725",32.68,FALSE,22.4633333333333,-10.2166666666667,"wild"
"83","AA_0726",32.0966666666667,FALSE,22.5633333333333,-9.53333333333333,"wild"
"85","AA_0727",32.5,FALSE,23.49,-9.01,"wild"
"87","AA_0728",31.8666666666667,TRUE,23.0966666666667,-8.77,"wild"
"89","AA_0729",34.1,FALSE,24.1733333333333,-9.92666666666667,"wild"
"91","AA_0730",32.04,FALSE,22.4866666666667,-9.55333333333333,"wild"
"93","AA_0731",31.0433333333333,TRUE,25.0733333333333,-5.97,"wild"
"95","AA_0732",31.45,TRUE,23.0933333333333,-8.35666666666667,"wild"
"97","AA_0733",33.87,FALSE,22.4433333333333,-11.4266666666667,"wild"
"99","AA_0734",31.3266666666667,TRUE,21.8066666666667,-9.52,"wild"
"101","AA_0735",31.8366666666667,TRUE,22.79,-9.04666666666667,"wild"
"103","AA_0736",31.1033333333333,TRUE,24.405,-6.69833333333333,"wild"
"105","AA_0737",25.4333333333333,TRUE,25.83,0.396666666666665,"wild"
"107","AA_0738",31.8133333333333,TRUE,24.5466666666667,-7.26666666666667,"wild"
"109","AA_0739",33.11,FALSE,20.985,-12.125,"wild"
"111","AA_0740",32.22,TRUE,22.9566666666667,-9.26333333333333,"wild"
"113","AA_0741",33.6,TRUE,23.13,-10.47,"wild"
"115","AA_0742",31.92,TRUE,22.2233333333333,-9.69666666666667,"wild"
"117","AA_0743",32.7433333333333,TRUE,23.1966666666667,-9.54666666666667,"wild"
"119","AA_0744",31.18,TRUE,24,-7.18,"wild"
"121","AA_0746",24.8,TRUE,22.5233333333333,-2.27666666666667,"wild"
"123","AA_0747",31.7566666666667,FALSE,23.3633333333333,-8.39333333333333,"wild"
"125","AA_0749",32.85,FALSE,21.325,-11.525,"wild"
"127","AA_0750",33.3366666666667,FALSE,23.595,-9.74166666666667,"wild"
"129","AA_0751",34.7,TRUE,22.4533333333333,-12.2466666666667,"wild"
"131","AA_0752",34.94,FALSE,23.7033333333333,-11.2366666666667,"wild"
"133","AA_0753",34.2766666666667,TRUE,24.53,-9.74666666666667,"wild"
"135","AA_0754",32.3566666666667,TRUE,26.6,-5.75666666666667,"wild"
"137","AA_0755",30.4233333333333,TRUE,23.9666666666667,-6.45666666666666,"wild"
"139","AA_0756",34.7766666666667,FALSE,23.2366666666667,-11.54,"wild"
"141","AA_0757",35.04,FALSE,24.09,-10.95,"wild"
"143","AA_0758",32.93,TRUE,23.79,-9.14,"wild"
"145","AA_0760",33.63,FALSE,25.0733333333333,-8.55666666666667,"wild"
"147","AA_0761",33.5766666666667,FALSE,21.56,-12.0166666666667,"wild"
"149","AA_0762",35.795,FALSE,25.2033333333333,-10.5916666666667,"wild"
"151","AA_0763",35.9333333333333,FALSE,25.14,-10.7933333333333,"wild"
"153","AA_0764",33.29,FALSE,23.6266666666667,-9.66333333333333,"wild"
"155","AA_0765",34.0166666666667,TRUE,24.04,-9.97666666666667,"wild"
"157","AA_0766",35.1433333333333,FALSE,24.3333333333333,-10.81,"wild"
"159","AA_0767",33.3766666666667,FALSE,22.23,-11.1466666666667,"wild"
"161","AA_0769",35.6666666666667,FALSE,25.6033333333333,-10.0633333333333,"wild"
"163","AA_0770",32.6933333333333,FALSE,22.37,-10.3233333333333,"wild"
"165","AA_0771",33.1,FALSE,23.1533333333333,-9.94666666666667,"wild"
"167","AA_0772",33.73,FALSE,24.044,-9.686,"wild"
"169","AA_0773",32.82,TRUE,22.36,-10.46,"wild"
"171","AA_0775",31.7833333333333,FALSE,26.26,-5.52333333333333,"wild"
"173","AA_0776",29.2566666666667,TRUE,21.635,-7.62166666666667,"wild"
"175","AA_0777",32.9966666666667,FALSE,24.4333333333333,-8.56333333333334,"wild"
"177","AA_0778",31.8766666666667,FALSE,22.775,-9.10166666666667,"wild"
"179","AA_0779",36.72,FALSE,22.88,-13.84,"wild"
"181","AA_0780",33.4466666666667,FALSE,23.6933333333333,-9.75333333333333,"wild"
"183","AA_0781",32.51,FALSE,22.74,-9.77,"wild"
"185","AA_0782",33.2566666666667,FALSE,23.4233333333333,-9.83333333333333,"wild"
"187","AA_0783",30.6,FALSE,26.4866666666667,-4.11333333333333,"wild"
"189","AA_0784",31.85,TRUE,23.4033333333333,-8.44666666666667,"wild"
"191","AA_0785",32.1866666666667,TRUE,23.28,-8.90666666666667,"wild"
"193","AA_0786",33.2466666666667,FALSE,21.75,-11.4966666666667,"wild"
"195","AA_0787",30.7866666666667,TRUE,24.0666666666667,-6.72,"wild"
"197","AA_0788",30.55,TRUE,23.28,-7.27,"wild"
"199","AA_0789",33.9333333333333,TRUE,22.86,-11.0733333333333,"wild"
"201","AA_0791",29.0233333333333,TRUE,26.0333333333333,-2.99,"wild"
"203","AA_0792",20.7,TRUE,24.7433333333333,4.04333333333334,"wild"
"205","AA_0793",31.6633333333333,FALSE,22.855,-8.80833333333334,"wild"
"207","AA_0794",35.64,FALSE,27.53,-8.11,"wild"
"209","AA_0795",28.0633333333333,TRUE,22.7266666666667,-5.33666666666667,"wild"
"211","AA_0796",31.7766666666667,TRUE,23.4833333333333,-8.29333333333333,"wild"
"213","AA_0797",36.0833333333333,FALSE,25.3166666666667,-10.7666666666667,"wild"
"215","AA_0798",32.9433333333333,TRUE,23.4633333333333,-9.48,"wild"
"217","AA_0800",32.3266666666667,TRUE,23.06,-9.26666666666667,"wild"
"219","AA_0801",31.7333333333333,FALSE,22.935,-8.79833333333333,"wild"
"221","AA_0802",32.4666666666667,FALSE,23.62,-8.84666666666667,"wild"
"223","AA_0803",32.2866666666667,TRUE,23.5966666666667,-8.69,"wild"
"225","AA_0804",24.2,TRUE,22.4025,-1.7975,"wild"
"227","AA_0805",32.5866666666667,TRUE,27.1166666666667,-5.47,"wild"
"229","AA_0806",30.98,TRUE,23.77,-7.21,"wild"
"231","AA_0807",35.7966666666667,FALSE,24.03,-11.7666666666667,"wild"
"233","AA_0808",31.4566666666667,FALSE,22.8333333333333,-8.62333333333333,"wild"
"235","AA_0809",34.5333333333333,FALSE,23.5933333333333,-10.94,"wild"
"237","AA_0810",33.2033333333333,FALSE,23.25,-9.95333333333333,"wild"
"239","AA_0811",35.4266666666667,FALSE,24.6833333333333,-10.7433333333333,"wild"
"241","AA_0812",34.0466666666667,TRUE,24.37,-9.67666666666667,"wild"
"243","AA_0813",25.89,TRUE,23.88,-2.01,"wild"
"245","AA_0814",31.5133333333333,FALSE,22.4866666666667,-9.02666666666667,"wild"
"247","AA_0815",33.1466666666667,FALSE,24.98,-8.16666666666666,"wild"
"249","AA_0816",31.5466666666667,FALSE,22.23,-9.31666666666667,"wild"
"251","AA_0817",23.55,TRUE,25.4166666666667,1.86666666666667,"wild"
"253","AA_0818",31.87,FALSE,23.0133333333333,-8.85666666666667,"wild"
"255","AA_0819",32.7966666666667,TRUE,23.74,-9.05666666666667,"wild"
"257","AA_0820",29.52,TRUE,24.0366666666667,-5.48333333333333,"wild"
"259","AA_0821",30.48,TRUE,25.5633333333333,-4.91666666666667,"wild"
"261","AA_0822",30.53,FALSE,22.92,-7.61,"wild"
"263","AA_0824",32.48,TRUE,23.375,-9.105,"wild"
"265","AA_0825",34.0766666666667,FALSE,22.865,-11.2116666666667,"wild"
"267","AA_0826",32.3866666666667,TRUE,23.3666666666667,-9.02,"wild"
"269","AA_0827",33.6833333333333,TRUE,23.5033333333333,-10.18,"wild"
"271","AA_0828",33.4766666666667,TRUE,24,-9.47666666666667,"wild"
"273","AA_0829",31.5133333333333,TRUE,25.8366666666667,-5.67666666666667,"wild"
"275","AA_0831",31.4033333333333,TRUE,23.8066666666667,-7.59666666666666,"wild"
"277","AA_0832",30.4333333333333,FALSE,22.8933333333333,-7.54,"wild"
"279","AA_0833",33.8633333333333,FALSE,22.2566666666667,-11.6066666666667,"wild"
"281","AA_0835",33.9433333333333,FALSE,22.17,-11.7733333333333,"wild"
"283","AA_0836",36.6766666666667,FALSE,24.75,-11.9266666666667,"wild"
"285","AA_0837",33.5666666666667,FALSE,25.3,-8.26666666666667,"wild"
"287","AA_0838",31.5333333333333,TRUE,24.63,-6.90333333333334,"wild"
"289","AA_0839",30.42,TRUE,22.3333333333333,-8.08666666666667,"wild"
"291","AA_0840",35,FALSE,26.43,-8.57,"wild"
"293","AA_0841",30.3233333333333,FALSE,20.9633333333333,-9.36,"wild"
"295","AA_0842",34.5733333333333,FALSE,23.135,-11.4383333333333,"wild"
"297","AA_0846",32.06,FALSE,23.7033333333333,-8.35666666666667,"wild"
"300","AA_0847",32.7733333333333,FALSE,23.98,-8.79333333333333,"wild"
"302","AA_0850",35.2233333333333,TRUE,25.2166666666667,-10.0066666666667,"wild"
"304","AA_0851",36.66,FALSE,23.8633333333333,-12.7966666666667,"wild"
"306","AA_0852",35.25,FALSE,24.3033333333333,-10.9466666666667,"wild"
"308","AA_0853",30.9033333333333,TRUE,22.7333333333333,-8.17,"wild"
"310","AA_0854",36.05,FALSE,25.0133333333333,-11.0366666666667,"wild"
"312","AA_0855",31.1633333333333,FALSE,21.9466666666667,-9.21666666666667,"wild"
"314","AA_0856",30.32,FALSE,21.03,-9.29,"wild"
