Name,Eimeria_IL,Crypto_IL,Eimeria presence in Caecum,Worms,Sex,GPS.latitude,GPS.longitude,Status,Eimeria subspecies,deltaCtMmE_tissue,BMI.BMI
CEWE_AA_590,FALSE,FALSE,FALSE,FALSE,F,5222130,140923,juvenile,non infected,-8.57,0.002206832871653
CEWE_AA_591,FALSE,FALSE,TRUE,FALSE,M,5222130,140923,juvenile,E. ferrisi,3.25,0.001810613943809
CEWE_AA_592,TRUE,FALSE,FALSE,FALSE,F,5229455,141010,adult,non infected,-6.93,0.002476444444444
CEWE_AA_593,FALSE,FALSE,FALSE,TRUE,F,5228170,140745,pregnant,non infected,-9.1,0.002416279442397
CEWE_AA_594,FALSE,FALSE,FALSE,TRUE,M,5330059,140801,adult,non infected,-9.67,0.002875094020981
CEWE_AA_595,FALSE,FALSE,FALSE,FALSE,M,5330059,140801,adult,non infected,-8.03,0.002100780896333
CEWE_AA_596,FALSE,FALSE,FALSE,FALSE,M,5229906,140741,adult,non infected,-8.03,0.002581923487273
CEWE_AA_597,FALSE,FALSE,FALSE,TRUE,F,5330059,140801,adult,non infected,-6.42,0.002354611515103
CEWE_AA_598,FALSE,FALSE,FALSE,FALSE,M,5330059,140801,adult,non infected,-10.12,0.00215045925062
CEWE_AA_599,FALSE,FALSE,FALSE,FALSE,M,5226306,124558,adult,non infected,-9.42,0.002194252617509
CEWE_AA_600,FALSE,FALSE,FALSE,FALSE,F,5226306,124558,adult,non infected,-8.89,0.002555122843745
CEWE_AA_601,FALSE,TRUE,FALSE,FALSE,M,5330989,139631,adult,non infected,-9.72,0.00261627861894
CEWE_AA_602,FALSE,FALSE,FALSE,TRUE,M,5330689,130992,adult,non infected,-8.96,0.002657537948741
CEWE_AA_603,FALSE,FALSE,FALSE,FALSE,F,5226306,124558,pregnant,non infected,-10.65,0.00265731292517
CEWE_AA_604,FALSE,FALSE,FALSE,FALSE,M,5222584,137311,adult,non infected,-10.26,0.002947990369689
CEWE_AA_605,FALSE,FALSE,FALSE,TRUE,M,5330059,140801,adult,non infected,-8.34,0.002421177870315
CEWE_AA_606,FALSE,FALSE,FALSE,FALSE,F,5330059,140801,adult,non infected,-8.32,0.002841693389114
CEWE_AA_607,FALSE,FALSE,FALSE,FALSE,M,5229906,140741,adult,non infected,-8.98,0.00231794628377
CEWE_AA_608,FALSE,FALSE,FALSE,FALSE,M,5229906,140741,adult,non infected,-9.61,0.002508763907941
