Sample_ID,conc_DNA_ngpermicroL,destiliertes Wasser,ILEUM_DNA_conc_ngpermicroL,ILEUM_260/280,ILEUM_260/230,sample ID,qPCR_results,Nbr_oocyst_dup1,Nbr_oocyst_dup2,Nbr_oocyst_MEAN,date of qPCR
IL 588,47.76,52.24,104.70,2.08,0.51,IL 588,FALSE,0,0,0,10.10.2018
IL 589,62.27,37.73,80.30,2.41,1.47,IL 589,TRUE,11431,9888,10660,15.11.2018
IL 590,34.04,65.96,146.90,2.03,1.67,IL 590,FALSE,0,0,0,15.11.2018
IL 591,28.99,71.01,172.50,2.09,1.71,IL 591,FALSE,0,0,0,15.11.2018
IL 592,9.18,90.82,544.50,1.85,2.04,IL 592,FALSE,0,0,0,10.10.2018
IL 593,54.59,45.41,91.60,1.98,1.50,IL 593,FALSE,0,0,0,15.11.2018
IL 594,3.42,96.58,"1,462.30",1.87,2.15,IL 594,FALSE,0,0,0,15.11.2018
IL 595,25.35,74.65,197.20,2.08,1.71,IL 595,FALSE,0,0,0,15.11.2018
IL 596,16.64,83.36,300.50,1.95,1.61,IL 596,FALSE,0,0,0,15.11.2018
IL 597,9.90,90.10,504.90,1.88,1.96,IL 597,FALSE,0,0,0,10.10.2018
IL 598,16.62,83.38,300.80,1.89,2.23,IL 598,FALSE,0,0,0,15.11.2018
IL 599,45.83,54.17,109.10,2.05,1.96,IL 599,FALSE,0,0,0,15.11.2018
IL 600,40.13,59.87,124.60,2.12,1.80,IL 600,FALSE,0,0,0,15.11.2018
IL 601,15.66,84.34,319.20,"1,91","1,67",IL 601,TRUE,1758,2277,2018,10.10.2018
IL 602,15.51,84.49,322.40,1.91,1.86,IL 602,FALSE,0,0,0,10.10.2018
IL 603,22.06,77.94,226.70,1.90,1.58,IL 603,FALSE,0,0,0,15.11.2018
IL 604,31.45,68.55,159.00,1.92,1.89,IL 604,FALSE,0,0,0,10.10.2018
IL 605,14.59,85.41,342.60,1.89,1.62,IL 605,FALSE,0,0,0,15.11.2018
IL 606,20.15,79.85,248.10,1.90,1.85,IL 606,FALSE,0,0,0,15.11.2018
IL 607,18.29,81.71,273.30,1.97,1.89,IL 607,FALSE,0,0,0,15.11.2018
IL 608,38.82,61.18,128.80,2.21,1.56,IL 608,FALSE,0,0,0,15.11.2018
IL 609,24.21,75.79,206.50,1.99,1.49,IL 609,FALSE,0,0,0,15.11.2018
IL 610,8.03,91.97,622.40,1.97,2.11,IL 610,FALSE,0,0,0,15.11.2018
IL 611,40.92,59.08,122.20,1.94,0.68,IL 611,FALSE,0,0,0,10.10.2018
IL 612,30.23,69.77,165.40,1.95,1.95,IL 612,FALSE,0,0,0,15.11.2018
IL 613,67.75,32.25,73.80,2.10,1.20,IL 613,FALSE,0,0,0,15.11.2018
IL 614,33.20,66.80,150.60,1.93,0.54,IL 614,FALSE,0,0,0,15.11.2018
IL 615,55.43,44.57,90.20,2.12,1.71,IL 615,FALSE,0,0,0,15.11.2018
IL 616,17.43,82.57,286.90,1.97,2.12,IL 616,FALSE,0,0,0,15.11.2018
IL 617,8.08,91.92,619.10,1.91,2.07,IL 617,FALSE,0,800,0,15.11.2018
IL 618,35.34,64.66,141.50,2.08,1.65,IL 618,FALSE,0,0,0,15.11.2018
IL 619,32.01,67.99,156.20,2.16,0.51,IL 619,FALSE,0,0,0,15.11.2018
IL 620,221.24,-121.24,22.60,2.73,0.42,IL 620,FALSE,0,0,0,27.11.2018
IL 621,20.60,79.40,242.70,1.96,1.75,IL 621,FALSE,0,0,0,15.11.2018
