Mouse_ID,Longitude,Latitude,Feces_weight,Feces,COCE,CEWE,ILWE,CECE,COWE,SICE,Liver,COCE_260_280,COCE_ng_µl,COCE_260_230,Ocount_11,Ocount_12,Ocount_13,Ocount_14,Ocount_21,Ocount_22,Ocount_23,Ocount_24,Oocyst_mL,Oocyst_g,Flotation,ILWE_260_280,ILWE_ng_Âµl,ILWE_260_230,ILWE_Mouse_Ct,ILWE_Eimeria_Ct,ILWE_Dct,ILWE_Dx,CEWE_260_280,CEWE_ng_µl,CEWE_260_230,CEWE_Mouse_Ct,CEWE_Eimeria_Ct,CEWE_Dct,CEWE_Dx,DDCt,Tissue_Dominant,Ap5_PCR,n18S_PCR,n18S_Seq,Blast_18S,Phylo_18S,COI_PCR,COI_Seq,Blast_COI,Phylo_COI,ORF470_PCR,ORF470_Seq,Blast_ORF470,Phylo_ORF470,Eimeria_Id,Host_Ap_PCR,Host_Ap_Seq,Host_Micr_PCR,Host_Micr_Seq,Host,Eimeria_ident
ZZ_0044,13.17139,53.042812,0.52,1,1,1,1,1,1,1,NA,1.94,54.7,1.02,0,0,0,0,0,0,0,0,0,0,Negative,1.88,2698.3,2.04,28.17,0,28.17,Negative,1.92,1679.8,1.62,22.58,35.45,-12.87,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0045,13.17139,53.042812,0.74,1,1,1,1,1,1,1,NA,1.89,109.8,2.26,0,0,0,0,0,0,0,0,0,0,Negative,1.96,787.2,1.86,20.27,0,20.27,Negative,1.93,3274.8,2.07,24.98,37.37,-12.39,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0046,13.17139,53.042812,0.2,1,1,1,1,1,1,1,NA,1.88,94.1,2.62,0,0,0,0,0,0,0,0,0,0,Negative,1.94,1403.9,1.85,21.98,35.62,-13.64,Negative,1.9,1140.8,1.9,23.89,0,,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0047,13.197222,52.900833,0.5,1,1,1,1,1,1,1,NA,1.88,120.8,2.21,0,0,0,0,0,0,0,0,0,0,Negative,1.94,1651.4,2.18,20.2,34.11,-13.91,Negative,1.91,2484.9,1.94,22.36,32.39,-10.03,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0048,13.892763,52.771897,0.19,1,1,1,1,1,1,1,NA,1.87,185.9,2.31,0,0,0,0,0,0,0,0,0,0,Negative,1.95,390.5,2.05,21.36,35.09,-13.73,Negative,1.95,131.4,0.95,19.25,32.5,-13.25,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_sylvaticus,
ZZ_0049,13.934092,52.735889,1.3,1,1,1,1,1,1,NA,NA,1.83,102.2,2.43,5,3,6,4,4,2,7,2,41250,31730.769,Positive,1.95,1447.5,2.08,22.19,36.07,-13.88,Negative,1.86,2087,2.01,21.34,30.92,-9.58,Negative,,,Negative,Negative,NA,NA,NA,Negative,NA,NA,NA,Negative,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0050,13.197222,52.900833,1.24,1,1,1,1,NA,1,1,NA,1.81,101.1,2.28,0,0,0,0,0,0,0,0,0,0,Negative,1.93,1056.9,2.15,22.1,35.69,-13.59,Negative,1.94,1390.9,1.78,22.99,35.29,-12.3,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0051,13.259343,52.895058,0.29,1,1,1,1,1,1,NA,NA,1.81,133.7,1.72,0,0,0,0,0,0,0,0,0,0,Negative,1.87,1319.4,2.26,24.14,0,24.14,Negative,1.89,1715.2,2.04,21.39,36.6,-15.21,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0052,13.917551,52.844663,0.21,1,1,1,1,1,1,NA,1,1.81,84.2,2.57,0,0,0,0,0,0,0,0,0,0,Negative,1.99,262,1.7,23.28,35.01,-11.73,Negative,1.94,3687.2,2.09,30.25,37.61,-7.36,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0053,13.90388,52.22625,758,1,2,1,1,NA,1,NA,1,1.84,183.3,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,337.1,1.88,20.99,34.48,-13.49,Negative,1.88,1016.3,1.82,21.83,34.94,-13.11,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Negative,NA,Positive,TRUE,Microtus_arvalis,
