"Pos","Name","Ct.SYBR","Ct.Mean.SYBR","Ct.Dev..SYBR","Amount.SYBR..Copies.","Amount.Mean.SYBR","Amount.Dev..SYBR","Target.SYBR","fileName","tissue","EH_ID"
"D7","ILWE_AA_0352","22.95",28.91,"9.1","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0352"
"D8","ILWE_AA_0352","39.38",28.91,"9.1","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0352"
"D9","ILWE_AA_0352","24.39",28.91,"9.1","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0352"
"D10","ILWE_AA_0352","33.64",34.87,"2.44","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0352"
"D11","ILWE_AA_0352","33.29",34.87,"2.44","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0352"
"D12","ILWE_AA_0352","37.68",34.87,"2.44","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0352"
"E1","CEWE_AA_0353","17.92",20.58,"3.36","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0353"
"E2","CEWE_AA_0353","19.48",20.58,"3.36","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0353"
"E3","CEWE_AA_0353","24.35",20.58,"3.36","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0353"
"E4","CEWE_AA_0353","35.99",33.96,"2.14","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0353"
"E5","CEWE_AA_0353","34.17",33.96,"2.14","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0353"
"E6","CEWE_AA_0353","31.73",33.96,"2.14","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0353"
"E7","ILWE_AA_0353","7.49",15.02,"6.56","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0353"
"E8","ILWE_AA_0353","18.05",15.02,"6.56","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0353"
"E9","ILWE_AA_0353","19.52",15.02,"6.56","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0353"
"E10","ILWE_AA_0353","31.84",30.37,"1.35","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0353"
"E11","ILWE_AA_0353","30.11",30.37,"1.35","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0353"
"E12","ILWE_AA_0353","29.17",30.37,"1.35","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0353"
"F1","CEWE_AA_0354","19.05",21.47,"3.53","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0354"
"F2","CEWE_AA_0354","19.84",21.47,"3.53","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0354"
"F3","CEWE_AA_0354","25.52",21.47,"3.53","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0354"
"F4","CEWE_AA_0354","28.74",28.68,"0.25","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0354"
"F5","CEWE_AA_0354","28.9",28.68,"0.25","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0354"
"F6","CEWE_AA_0354","28.4",28.68,"0.25","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0354"
"F7","ILWE_AA_0354","23.92",24.19,"0.28","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0354"
"F8","ILWE_AA_0354","24.47",24.19,"0.28","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0354"
"F9","ILWE_AA_0354","24.2",24.19,"0.28","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0354"
"F10","ILWE_AA_0354","34.62",35.12,"1.24","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0354"
"F11","ILWE_AA_0354","34.2",35.12,"1.24","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0354"
"F12","ILWE_AA_0354","36.53",35.12,"1.24","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0354"
"G1","CEWE_AA_0355","19.93",20.3,"0.44","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0355"
"G2","CEWE_AA_0355","20.2",20.3,"0.44","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0355"
"G3","CEWE_AA_0355","20.78",20.3,"0.44","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0355"
"G4","CEWE_AA_0355","30.41",30.19,"0.41","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0355"
"G5","CEWE_AA_0355","30.45",30.19,"0.41","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0355"
"G6","CEWE_AA_0355","29.71",30.19,"0.41","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0355"
"G7","ILWE_AA_0355","20.65",21.34,"0.67","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0355"
"G8","ILWE_AA_0355","21.37",21.34,"0.67","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0355"
"G9","ILWE_AA_0355","22",21.34,"0.67","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0355"
"G10","ILWE_AA_0355","34.21",33.88,"0.71","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0355"
"G11","ILWE_AA_0355","34.36",33.88,"0.71","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0355"
"G12","ILWE_AA_0355","33.06",33.88,"0.71","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0355"
"A1","ILWE_AA_0489","19.82",19.84,"0.11","1",NA,NA,"mouse "," QPCR02.07.2018.XLS.csv","ILWE","AA_0489"
"A2","ILWE_AA_0489","19.74",19.84,"0.11","1",NA,NA,"mouse "," QPCR02.07.2018.XLS.csv","ILWE","AA_0489"
"A3","ILWE_AA_0489","19.96",19.84,"0.11","1",NA,NA,"mouse "," QPCR02.07.2018.XLS.csv","ILWE","AA_0489"
"A4","ILWE_AA_0489","32.11",33.43,"1.35","1",NA,NA,"eimeria "," QPCR02.07.2018.XLS.csv","ILWE","AA_0489"
"A5","ILWE_AA_0489","34.8",33.43,"1.35","1",NA,NA,"eimeria "," QPCR02.07.2018.XLS.csv","ILWE","AA_0489"
"A6","ILWE_AA_0489","33.38",33.43,"1.35","1",NA,NA,"eimeria "," QPCR02.07.2018.XLS.csv","ILWE","AA_0489"
"A7","ILWE_AA_0491","21.92",21.9,"0.05","1",NA,NA,"mouse "," QPCR02.07.2018.XLS.csv","ILWE","AA_0491"
"A8","ILWE_AA_0491","21.84",21.9,"0.05","1",NA,NA,"mouse "," QPCR02.07.2018.XLS.csv","ILWE","AA_0491"
"A9","ILWE_AA_0491","21.93",21.9,"0.05","1",NA,NA,"mouse "," QPCR02.07.2018.XLS.csv","ILWE","AA_0491"
"A10","ILWE_AA_0491","33.91",35.18,"1.12","1",NA,NA,"eimeria "," QPCR02.07.2018.XLS.csv","ILWE","AA_0491"
"A11","ILWE_AA_0491","35.99",35.18,"1.12","1",NA,NA,"eimeria "," QPCR02.07.2018.XLS.csv","ILWE","AA_0491"
"A12","ILWE_AA_0491","35.65",35.18,"1.12","1",NA,NA,"eimeria "," QPCR02.07.2018.XLS.csv","ILWE","AA_0491"
"B1","ILWE_AA_0471","20.57",20.28,"0.34","1",NA,NA,"mouse "," QPCR02.07.2018.XLS.csv","ILWE","AA_0471"
"B2","ILWE_AA_0471","20.37",20.28,"0.34","1",NA,NA,"mouse "," QPCR02.07.2018.XLS.csv","ILWE","AA_0471"
"B3","ILWE_AA_0471","19.9",20.28,"0.34","1",NA,NA,"mouse "," QPCR02.07.2018.XLS.csv","ILWE","AA_0471"
