"","Mouse_ID","Sex","Longitude","Latitude","Year","HI_NLoci","HI","Body_weight","Body_length","Species","Spleen_mass","Status","mean_neubauer","OPG","delta_ct_cewe_MminusE","eimeriaSpecies","observer"
"57","AA_0465","M",13.3047,52.9936,2017,"HI 6",0.083333333,16.78,80.95,"Mus musculus","0.0376","adult",0.875,230263.157894737,-2.84,"E_ferrisi","Lorenzo"
"58","AA_0469","F",13.925,51.9447,2017,"HI 12",0.695652174,12.73,82,"Mus musculus","21","adult",64.875,14744318.1818182,-5,"E_ferrisi","Lorenzo"
"59","AA_0495","M",11.6069,53.94049,2017,"HI 12",0.944444444444444,NA,NA,"Mus musculus","46","adult",10.25,5694444.44444444,NA,"E_ferrisi",NA
"60","AA_0518","M",13.912772,51.733743,2017,"HI 12",0.666666666666667,7.357,60,"Mus musculus","15","adult",NA,NA,NA,"E_ferrisi","Lorenzo"
"61","AA_0522","F",13.679507,51.676761,2017,"HI 11",0.227272727272727,15.129,81,"Mus musculus","26","adult",NA,NA,-10.68,"E_ferrisi","Lorenzo"
"62","SK_2659","M",12.5067,50.1489,2014,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"63","SK_2661","F",12.5067,50.1489,2014,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"64","SK_2663","M",13.2308,50.1494,2014,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"65","SK_2664","M",13.2308,50.1494,2014,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"66","SK_2665","F",13.2308,50.1494,2014,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"67","SK_2666","M",13.0325,50.1083,2014,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"68","SK_2668","F",13.0325,50.1083,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"69","SK_2684","F",13.3741666667,50.2216666667,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"70","SK_2688","F",13.3741666667,50.2216666667,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"71","SK_2691","F",12.4842,50.1044,2014,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"72","SK_2693","F",13.0325,50.1083,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"73","SK_2695","F",13.2933,50.1775,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"74","SK_2789","F",12.4086111111,49.9877777778,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"75","SK_2796","M",12.4583333333,50.1588888889,2014,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"76","SK_2798","F",12.4583333333,50.1588888889,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"77","SK_2807","F",13.3994,52.7969,2014,"HI 13",0,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"78","SK_2810","M",13.3994,52.7969,2014,"HI 14",0,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"79","SK_2811","F",13.3994,52.7969,2014,"HI 12",0,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"80","SK_2812","F",13.3994,52.7969,2014,"HI 13",0.04,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"81","SK_2815","F",13.4636,52.9156,2014,"HI 12",0.086956522,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"82","SK_2827","M",13.666418,52.733898,2014,"HI 14",0.15,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"83","SK_2829","F",13.666418,52.733898,2014,"HI 13",0.04,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"84","SK_2831","M",13.666418,52.733898,2014,"HI 14",0,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"85","SK_2847","M",13.666418,52.733898,2014,"HI 14",0.1,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"86","SK_2848","M",13.666418,52.733898,2014,"HI 14",0.05,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"87","SK_2911","F",13.7328,52.9789,2014,"HI 13",0.72,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"88","SK_2913","M",14.1189,52.8367,2014,"HI 14",0.75,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"89","SK_2917","M",13.1972,52.9008,2014,"HI 14",0,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"90","SK_2918","M",13.1972,52.9008,2014,"HI 14",0,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"91","SK_2919","F",13.1972,52.9008,2014,"HI 13",0,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"92","SK_2920","F",13.1972,52.9008,2014,"HI 13",0.2,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"93","SK_2924","M",13.7556,53.0967,2014,"HI 14",0.9,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"94","SK_2951","M",12.2875,49.60444444,2015,"HI 14",0.05,11.88,74,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"95","SK_2972","M",12.50277778,49.15277778,2015,"HI 13",0.631578947,11.8,71.3,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"96","SK_2975","M",12.38361111,49.06638889,2015,"HI 14",0.45,12.43,76.5,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"97","SK_2998","F",12.245,49.67722222,2015,"HI 13",0.16,16.91,83.5,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"98","SK_3003","F",12.38361111,49.06638889,2015,"HI 12",0.434782609,18.67,81.9,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"99","SK_3025","M",12.52277778,49.36694444,2015,"HI 14",0.3,16.96,82.8,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"100","SK_3028","F",12.38361111,49.06638889,2015,"HI 13",0.44,25.55,86.5,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"101","SK_3029","M",12.43472222,48.09305556,2015,"HI 14",0.8,16.95,81.2,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"102","SK_3035","F",12.2125,49.46388889,2015,"HI 12",0.173913043,22.85,85.4,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"103","SK_3041","M",12.09333333,48.85194444,2015,"HI 14",0.75,11.03,73.5,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"104","SK_3042","M",12.09333333,48.85194444,2015,"HI 13",0.578947368,13.99,77.8,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"105","SK_3103","M",13.4458,53.0478,2015,"HI 14",0.5,16.53,76,NA,NA,NA,0,0,NA,"E_ferrisi",NA
"106","SK_3106","F",13.4458,53.0478,2015,"HI 13",0.8,18.26,89.2,NA,NA,NA,0,0,NA,"E_ferrisi",NA
"107","SK_3126","M",13.666418,52.733898,2015,"HI 14",0,16.48,77.8,NA,NA,NA,9.25,3670634.92063492,NA,"E_ferrisi",NA
"108","SK_3128","F",13.666418,52.733898,2015,"HI 13",0,21.34,84.2,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"109","SK_3129","F",13.666418,52.733898,2015,"HI 13",0.04,20.81,85.6,NA,NA,NA,0,0,NA,"E_ferrisi",NA
"110","SK_3131","M",13.666418,52.733898,2015,"HI 14",0.05,16.26,77.4,NA,NA,NA,17.375,10404191.6167665,NA,"E_ferrisi",NA
"111","SK_3151","M",13.4636,52.9156,2015,"HI 14",0.1,15.18,76.4,NA,NA,NA,16,10810810.8108108,NA,"E_ferrisi",NA
"112","SK_3184","M",13.1278,52.8925,2015,"HI 14",0.2,13.88,78.2,NA,NA,NA,9.375,7440476.19047619,NA,"E_ferrisi",NA
"113","SK_3186","M",13.97029,53.00394,2015,"HI 14",0.9,19.35,86.6,NA,NA,NA,0,0,NA,"E_ferrisi",NA
"114","SK_3203","F",13.6025,52.2225,2015,"HI 13",0,10.53,67.8,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"115","AA_0069","M",13.4642,52.4164,2016,"HI 14",0,14.252,78,"mus musculus","29",NA,4.125,165000,-3.84,"E_falciformis","Tabea"
"116","AA_0079","M",13.84,52.2678,2016,"HI 14",0.1,14.533,75,"mus musculus","71",NA,0,0,2.9,"E_falciformis","Mert"
"117","AA_0082","F",13.84,52.2678,2016,"HI 13",0,12.015,72,"mus musculus","33",NA,0.125,5000,-0.3533333333,"E_falciformis","Mert"
"118","AA_0088","M",13.84,52.2678,2016,"HI 14",0.2,12.439,73,"mus musculus","19",NA,NA,NA,-2.34,"E_falciformis","Mert&Victor"
"119","AA_0112","M",13.895,52.9581,2016,"HI 13",0.894736842,4.11,46,"mus musculus","7",NA,NA,NA,-0.0766666667,"E_falciformis","Mert"
"120","AA_0249","M",13.6025,52.2225,2017,"HI 14",0,25.74,94.62,"Mus musculus","0.11","adult",13,1585365.85365854,-8.755,"E_falciformis","Lorenzo"
"121","AA_0261","M",13.5994,52.2458,2017,"HI 12",0,11.69,72,"Mus musculus","0.02","adult",0,0,-4.21,"E_falciformis","Lorenzo"
"122","AA_0310","F",14.0953,52.7383,2017,"HI 13",0.8,7.75,60.4,"Mus musculus","0.01","young",0.875,1250000,-9.21,"E_falciformis","Lorenzo"
"123","AA_0328","F",13.4408,53.0497,2017,"HI 13",0.76,7.65,64.2,"Mus musculus","19","young",0,0,-7.13,"E_falciformis","Lorenzo"
"124","AA_0343","F",14.0189,51.9661,2017,"HI 13",0.76,14.79,80.06,"Mus musculus","0.0414",NA,0,0,-11.9933333333333,"E_falciformis","Lorenzo"
"125","AA_0345","M",13.4408,53.0497,2017,"HI 14",0.8,9.25,64.07,"Mus musculus","0.03","young",0,0,-7.83,"E_falciformis","Lorenzo"
"126","AA_0347","M",13.4408,53.0497,2017,"HI 12",0.705882353,6.77,64.54,"Mus musculus","0.02","young",0.25,625000,-10.955,"E_falciformis","Lorenzo"
"127","AA_0366","M",13.4864,53.1275,2017,"HI 13",0.947368421,11.88,71.9,"Mus musculus","0.0187","adult",70.875,21477272.7272727,-11.76,"E_falciformis","Lorenzo"
"128","AA_0397","M",14.1442,52.0172,2017,"HI 14",0.75,9.09,65.73,"Mus musculus","0.03","adult",12.25,61250000,-2.355,"E_falciformis","Lorenzo"
"129","AA_0408","F",14.1442,52.0172,2017,"HI 13",0.8,12.48,69.31,"Mus musculus","0.03","adult",7,1794871.79487179,-9.07,"E_falciformis","Lorenzo"
"130","AA_0445","F",14.2272,52.0753,2017,"HI 12",0.913043478,16.61,80.85,"Mus musculus","35","adult",66.75,11919642.8571429,-3.17,"E_falciformis","Lorenzo"
"131","AA_0467","F",13.3047,52.9936,2016,"HI 6",0,16.02,81.75,"Mus musculus","45","adult",1.5,3e+05,-12.03,"E_falciformis","Lorenzo"
"132","AA_0498","M",11.6069,53.94049,2017,"HI 12",0.944444444444444,16.541,85,"Mus musculus","48","adult",0.5,96153.8461538461,-11.59,"E_falciformis","Lorenzo"
"133","AA_0523","M",13.679507,51.676761,2017,"HI 13",0.421052631578947,12.405,72,"Mus musculus","12","adult",NA,NA,-6.8,"E_falciformis","Lorenzo"
"134","SK_2808","F",13.3994,52.7969,2014,"HI 13",0.08,NA,NA,NA,NA,NA,NA,NA,NA,"E_falciformis",NA
"135","SK_2809","M",13.3994,52.7969,2014,"HI 14",0,NA,NA,NA,NA,NA,NA,NA,NA,"E_falciformis",NA
"136","SK_2822","M",13.0447,52.6372,2014,"HI 14",0.1,NA,NA,NA,NA,NA,NA,NA,NA,"E_falciformis",NA
"137","SK_2823","F",13.0447,52.6372,2014,"HI 13",0,NA,NA,NA,NA,NA,NA,NA,NA,"E_falciformis",NA
"138","SK_2824","F",13.0447,52.6372,2014,"HI 13",0,NA,NA,NA,NA,NA,NA,NA,NA,"E_falciformis",NA
"139","SK_2825","M",13.0447,52.6372,2014,"HI 14",0,NA,NA,NA,NA,NA,NA,NA,NA,"E_falciformis",NA
"140","SK_2996","F",12.245,49.67722222,2015,"HI 13",0.08,12.86,73.7,NA,NA,NA,NA,NA,NA,"E_falciformis",NA
"141","SK_3019","F",12.145,48.83361111,2015,"HI 13",0.76,18.65,84.7,NA,NA,NA,NA,NA,NA,"E_falciformis",NA
"142","SK_3140","F",13.7586,53.1406,2015,"HI 13",0.88,14.86,78,NA,NA,NA,0,0,NA,"E_falciformis",NA
"143","AA_0080","F",13.84,52.2678,2016,"HI 13",0,12.512,72,"mus musculus","42",NA,0,0,0.420000000000002,"Double","Victor"
"144","AA_0100c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Double",NA
"145","SK_3127","M",13.666418,52.733898,2015,"HI 14",0,13.49,72.8,NA,NA,NA,38.375,20304232.8042328,NA,"Double",NA
"146","AA_0244","F",13.5994,52.2458,2017,"HI 12",0.083333333,10.47,69.45,"Mus musculus","0.0147","young",NA,NA,-2.6,"Double_tbd","Lorenzo"
"147","AA_0245","M",13.6025,52.2225,2017,"HI 14",0.1,19.13,86.99,"Mus musculus","0.0495","adult",9.125,2683823.52941176,-4.58,"Double_tbd","Lorenzo"
"148","AA_0436","F",14.2606,52.0875,2017,"HI 12",0.782608696,16.31,79.01,"Mus musculus","0.0678","adult",5.375,839843.75,-1.175,"Double_tbd","Lorenzo"
"149","AA_0497","M",11.6069,53.94049,2017,"HI 13",0.947368421052632,13.985,80,"Mus musculus","0.05","adult",29.625,4557692.30769231,-0.18,"Double_tbd","Lorenzo"
"150","AA_0111","F",13.895,52.9581,2016,"HI 12",0.869565217,6.71,68,"mus musculus","14",NA,NA,NA,-0.6966666667,"Double_ferrisi_vermiformis","Mert"
"151","AA_0273","M",13.5353,52.8969,2017,"HI 13",0.277777778,6.55,58.02,"Mus musculus","0.0129","adult",0,0,-5,"Other","Lorenzo"
"152","AA_0420","M",14.272369,52.682267,2017,NA,NA,12.69,72.44,"Mus musculus",NA,"adult",NA,NA,NA,"Other",NA
