"Mouse_ID","Feces_Weight","Year","counter","date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","Ncells","PBS_dil_in_mL","OPG","mean_neubauer"
"AA_0884",0.08,2021,"Josi","December2021",1,1,0,0,0,1,0,0,8,1,5859.375,0.375
"AA_0885",0.07,2021,"Josi","December2021",0,1,1,0,0,0,0,0,8,1,4464.28571428571,0.25
"AA_0886",0.13,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0887",0.21,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0888",0.2,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0889",0.52,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0890",0.01,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0891",0.04,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0892",0.09,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0893",0.24,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0894",0.36,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0895",0.09,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0896",NA,2021,"Josi","December2021",NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA
"AA_0897",0.2,2021,"Josi","December2021",0,0,0,0,0,0,0,1,8,1,781.25,0.125
"AA_0898",0.42,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0899",0.16,2021,"Josi","December2021",0,0,0,0,1,0,0,0,8,1,976.5625,0.125
"AA_0900",0.6,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0901",0.12,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0902",0.01,2021,"Josi","December2021",0,1,0,0,0,0,0,0,8,1,15625,0.125
"AA_0903",0.29,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0904",0.19,2021,"Josi","December2021",0,0,1,0,0,0,0,0,8,1,822.368421052632,0.125
"AA_0905",0.17,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0906",0.22,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0907",1.12,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0908",0.22,2021,"Josi","December2021",0,1,2,0,0,0,0,0,8,1,2130.68181818182,0.375
"AA_0909",0.08,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0910",0.08,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0911",NA,2021,"Josi","December2021",0,0,0,0,0,0,0,1,8,1,NA,0.125
"AA_0912",NA,2021,"Josi","December2021",NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA
"AA_0913",0.08,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0914",0.42,2021,"Josi","December2021",0,0,0,0,0,0,0,1,8,1,372.02380952381,0.125
"AA_0915",0.08,2021,"Josi","December2021",0,2,0,0,0,0,2,0,8,1,7812.5,0.5
"AA_0916",0.12,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0917",0.18,2021,"Josi","December2021",0,1,0,0,0,0,0,0,8,1,868.055555555556,0.125
"AA_0918",0.33,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0919",NA,2021,"Josi","December2021",NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA
"AA_0920",0.15,2021,"Josi","December2021",0,0,1,0,0,0,0,0,8,1,1041.66666666667,0.125
"AA_0921",0.37,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0922",1.23,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0923",0.81,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0924",NA,2021,"Josi","December2021",0,0,0,0,1,0,0,0,8,1,NA,0.125
"AA_0925",NA,2021,"Josi","December2021",1,1,1,0,0,0,0,1,8,1,NA,0.5
"AA_0926",NA,2021,"Josi","December2021",0,3,0,0,0,0,0,0,8,1,NA,0.375
"AA_0927",NA,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,NA,0
"AA_0928",NA,2021,"Josi","December2021",0,5,2,1,1,4,0,2,8,1,NA,1.875
"AA_0929",0.5,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0930",0.47,2021,"Josi","December2021",0,0,0,0,0,0,1,0,8,1,332.446808510638,0.125
"AA_0931",0.83,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0932",0.7,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0933",0.31,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0934",0.78,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0935",0.59,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0936",0.68,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0937",0.74,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0938",0.4,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0939",NA,2021,"Josi","December2021",0,0,0,1,0,0,1,1,8,1,NA,0.375
"AA_0940",0.96,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0941",NA,2021,"Josi","December2021",NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA
"AA_0942",0.53,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0943",0.32,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0944",0.45,2021,"Josi","December2021",0,0,1,0,0,0,0,0,8,1,347.222222222222,0.125
"AA_0945",0.59,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0946",0.35,2021,"Josi","December2021",0,0,1,0,0,0,0,0,8,1,446.428571428571,0.125
"AA_0947",0.63,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0948",0.77,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0949",0.7,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0950",0.3,2021,"Josi","December2021",1,0,0,0,0,0,0,0,8,1,520.833333333333,0.125
"AA_0951",0.21,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0952",0.13,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0953",0.2,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0954",0.14,2021,"Josi","December2021",0,0,0,0,0,0,1,0,8,1,1116.07142857143,0.125
"AA_0955",0.09,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
