Mouse_ID,DNA_Dilution_ng/microliter,dest_Water,Nanodrop_1,Nanodrop_2,ILWE_260/280,ILWE_260/230,ILWE_Tissue_used_up,Date_Extraction,ILWE_DNA_Content_ng/microliter
AA_0554,41.53,58.47,,,2.1,1.80,NA,NA,120.4
AA_0555,15.89,84.11,,,2.0,2.11,NA,NA,314.6
AA_0556,13.07,86.93,,,1.9,2.08,NA,NA,382.5
AA_0557,11.26,88.74,,,1.9,2.18,NA,NA,444.2
AA_0558,51.80,48.20,,,2.7,0.80,NA,NA,96.5
AA_0559,18.16,81.84,,,2.0,1.81,NA,NA,275.4
AA_0560,26.27,73.73,,,2.0,1.62,NA,NA,190.3
AA_0561,14.62,85.38,,,2.6,1.44,NA,NA,342.0
AA_0562,22.69,77.31,,,2.0,1.28,NA,NA,220.4
AA_0564,17.93,82.07,,,2.0,2.23,NA,NA,278.8
AA_0565,7.28,92.72,,,2.0,2.12,NA,NA,686.8
AA_0566,32.45,67.55,,,2.2,1.45,NA,NA,154.1
AA_0567,14.15,85.85,,,2.0,1.44,NA,NA,353.3
AA_0568,46.00,54.00,,,2.3,1.78,NA,NA,108.7
AA_0569,25.65,74.35,,,2.0,1.92,NA,NA,194.9
AA_0570,39.40,60.60,,,2.2,0.91,NA,NA,126.9
AA_0571,28.09,71.91,,,2.0,1.35,NA,NA,178.0
AA_0572,15.13,84.87,,,1.9,1.43,NA,NA,330.4
AA_0573,40.42,59.58,,,1.4,0.51,NA,NA,123.7
AA_0574,49.80,50.20,,,2.3,1.41,NA,NA,100.4
AA_0575,44.92,55.08,,,2.2,1.14,NA,NA,111.3
AA_0576,59.74,40.26,,,2.3,1.42,NA,NA,83.7
AA_0577,25.38,74.62,,,2.0,2.06,NA,NA,197.0
AA_0578,18.99,81.01,,,1.7,1.64,NA,NA,263.3
AA_0579,35.92,64.08,,,2.2,1.49,NA,NA,139.2
AA_0580,25.05,74.95,,,1.9,2.12,NA,NA,199.6
AA_0581,37.82,62.18,,,2.1,1.63,NA,NA,132.2
AA_0582,38.55,61.45,,,2.2,1.97,NA,NA,129.7
AA_0583,17.72,82.28,,,1.9,1.62,NA,NA,282.1
AA_0584,54.29,45.71,,,1.2,0.82,NA,NA,92.1
AA_0585,22.56,77.44,,,1.9,1.71,NA,NA,221.6
AA_0586,69.16,30.84,,,2.2,1.59,NA,NA,72.3
AA_0587,19.95,80.05,,,2.0,1.76,NA,NA,250.6
AA_0588,47.76,52.24,,,2.1,0.51,NA,NA,104.7
AA_0589,62.27,37.73,,,2.4,1.47,NA,NA,80.3
AA_0590,34.04,65.96,,,2.0,1.67,NA,NA,146.9
AA_0591,28.99,71.01,,,2.1,1.71,NA,NA,172.5
AA_0592,9.18,90.82,,,1.9,2.04,NA,NA,544.5
AA_0593,54.59,45.41,,,2.0,1.50,NA,NA,91.6
AA_0594,3.42,96.58,,,1.9,2.15,NA,NA,1462.3
AA_0595,25.35,74.65,,,2.1,1.71,NA,NA,197.2
AA_0596,16.64,83.36,,,2.0,1.61,NA,NA,300.5
AA_0597,9.90,90.10,,,1.9,1.96,NA,NA,504.9
AA_0598,16.62,83.38,,,1.9,2.23,NA,NA,300.8
AA_0599,45.83,54.17,,,2.1,1.96,NA,NA,109.1
AA_0600,40.13,59.87,,,2.1,1.80,NA,NA,124.6
AA_0601,15.66,84.34,,,1.9,1.67,NA,NA,319.2
AA_0602,15.51,84.49,,,1.9,1.86,NA,NA,322.4
AA_0603,22.06,77.94,,,1.9,1.58,NA,NA,226.7
AA_0604,31.45,68.55,,,1.9,1.89,NA,NA,159.0
AA_0605,14.59,85.41,,,1.9,1.62,NA,NA,342.6
AA_0606,20.15,79.85,,,1.9,1.85,NA,NA,248.1
AA_0607,18.29,81.71,,,2.0,1.89,NA,NA,273.3
AA_0608,38.82,61.18,,,2.2,1.56,NA,NA,128.8
AA_0609,24.21,75.79,,,2.0,1.49,NA,NA,206.5
AA_0610,8.03,91.97,,,2.0,2.11,NA,NA,622.4
AA_0611,40.92,59.08,,,1.9,0.68,NA,NA,122.2
AA_0612,30.23,69.77,,,2.0,1.95,NA,NA,165.4
AA_0613,67.75,32.25,,,2.1,1.20,NA,NA,73.8
AA_0614,33.20,66.80,,,1.9,0.54,NA,NA,150.6
AA_0615,55.43,44.57,,,2.1,1.71,NA,NA,90.2
AA_0616,17.43,82.57,,,2.0,2.12,NA,NA,286.9
AA_0617,8.08,91.92,,,1.9,2.07,NA,NA,619.1
AA_0618,35.34,64.66,,,2.1,1.65,NA,NA,141.5
AA_0619,32.01,67.99,,,2.2,0.51,NA,NA,156.2
AA_0620,22.60,77.40,,,2.7,0.42,NA,NA,221.2
AA_0621,20.60,79.40,,,2.0,1.75,NA,NA,242.7
AA_0622,7.46,92.54,,,1.9,2.17,NA,NA,670.4
AA_0623,24.05,75.95,,,2.1,1.44,NA,NA,207.9
AA_0624,13.19,86.81,,,1.9,1.83,NA,NA,379.1
AA_0625,17.00,83.00,,,3.3,0.34,NA,NA,294.1
AA_0626,56.70,43.30,,,1.3,0.57,NA,NA,88.2
AA_0627,25.41,74.59,,,2.0,1.99,NA,NA,196.8
AA_0628,26.19,73.81,,,2.1,2.07,NA,NA,190.9
AA_0629,43.67,56.33,,,2.0,1.38,NA,NA,114.5
AA_0630,65.27,34.73,,,2.4,1.15,NA,NA,76.6
AA_0632,6.33,93.67,,,1.9,2.24,NA,NA,790.5
AA_0633,12.62,87.38,,,1.9,1.82,NA,NA,396.2
AA_0634,22.41,77.59,,,2.0,1.76,NA,NA,223.1
AA_0635,19.39,80.61,,,2.0,2.17,NA,NA,257.9
AA_0636,30.53,69.47,,,1.9,1.44,NA,NA,163.8
AA_0637,18.81,81.19,,,2.0,1.87,NA,NA,265.8
AA_0638,33.85,66.15,,,2.1,1.39,NA,NA,147.7
AA_0639,15.19,84.81,,,1.9,1.98,NA,NA,329.2
AA_0640,15.37,84.63,,,1.9,1.93,NA,NA,325.3
AA_0641,22.09,77.91,,,2.0,1.13,NA,NA,226.3
AA_0642,12.10,87.90,,,5.3,0.35,NA,NA,413.2
AA_0643,53.20,46.80,,,2.8,1.03,NA,NA,94.0
AA_0644,29.85,70.15,,,1.9,1.79,NA,NA,167.5
AA_0645,33.90,66.10,,,2.0,1.44,NA,NA,147.5
AA_0647,7.69,92.31,,,2.0,2.16,NA,NA,650.4
AA_0648,61.27,38.73,,,2.1,1.44,NA,NA,81.6
AA_0649,40.92,59.08,,,2.2,0.78,NA,NA,122.2
AA_0650,4.22,95.78,,,1.9,2.15,NA,NA,1185.4
AA_0651,17.10,82.90,,,6.0,0.17,NA,NA,292.4
AA_0652,19.61,80.39,,,1.9,1.91,NA,NA,255.0
AA_0653,17.55,82.45,,,2.0,2.08,NA,NA,284.9
AA_0654,14.47,85.53,,,1.9,1.98,NA,NA,345.6
AA_0655,14.03,85.97,,,1.9,1.99,NA,NA,356.3
AA_0656,6.28,93.72,,,1.8,2.25,NA,NA,796.0
AA_0657,20.17,79.83,,,1.9,2.09,NA,NA,247.9
AA_0658,25.80,74.20,,,2.0,1.60,NA,NA,193.8
AA_0659,17.41,82.59,,,1.9,2.05,NA,NA,287.2
AA_0660,22.40,77.60,,,2.0,1.79,NA,NA,223.2
AA_0661,25.24,74.76,,,1.9,1.72,NA,NA,198.1
AA_0662,9.70,90.30,,,1.9,1.91,NA,NA,515.3
AA_0663,46.55,53.45,,,1.8,0.56,NA,NA,107.4
AA_0664,29.33,70.67,,,2.2,2.09,NA,NA,170.5
AA_0665,33.05,66.95,,,2.1,1.55,NA,NA,151.3
AA_0666,8.97,91.03,,,1.9,1.90,NA,NA,557.6
AA_0667,33.78,66.22,,,2.2,1.66,NA,NA,148.0
AA_0668,66.84,33.16,,,2.1,0.44,NA,NA,74.8
AA_0669,22.54,77.46,,,1.9,1.98,NA,NA,221.8
AA_0670,17.34,82.66,,,2.0,1.76,NA,NA,288.4
AA_0671,18.50,81.50,,,1.9,1.76,NA,NA,270.2
AA_0672,31.37,68.63,,,2.0,1.46,NA,NA,159.4
AA_0673,9.62,90.38,,,1.9,2.06,NA,NA,519.6
AA_0674,69.93,30.07,,,1.9,0.69,NA,NA,71.5
AA_0675,44.21,55.79,,,2.0,1.15,NA,NA,113.1
AA_0676,20.90,79.10,,,2.0,2.08,NA,NA,239.2
AA_0677,22.78,77.22,,,2.0,1.97,NA,NA,219.5
AA_0678,12.96,87.04,,,2.0,2.14,NA,NA,385.8
AA_0679,27.59,72.41,,,2.1,1.40,NA,NA,181.2
AA_0680,25.15,74.85,,,2.1,1.93,NA,NA,198.8
AA_0681,6.76,43.24,,,2.00,1.82,FALSE,1/19/2021,369.7
AA_0682,14.85,35.15,,,2.04,1.03,FALSE,1/19/2021,168.3
AA_0683,19.58,30.42,,,2.05,0.36,FALSE,1/21/2021,127.7
AA_0684,5.86,44.14,,,1.92,1.61,FALSE,1/26/2021,426.6
AA_0685,6.19,43.81,,,2.00,0.67,FALSE,1/19/2021,403.9
AA_0686,20.39,29.61,,,2.00,1.68,FALSE,1/7/2021,122.6
AA_0687,2.28,47.72,,,1.98,1.58,FALSE,1/19/2021,1096.5
AA_0688,3.79,46.21,,,1.95,1.57,FALSE,1/26/2021,660.0
AA_0689,15.62,34.38,,,2.01,1.96,FALSE,1/6/2021,160.1
AA_0690,12.78,37.22,,,2.01,1.43,FALSE,1/11/2021,195.6
AA_0691,5.87,44.13,,,1.89,1.76,FALSE,1/26/2021,425.8
AA_0692,6.51,43.49,,,1.93,1.61,FALSE,1/26/2021,384.1
AA_0693,31.06,18.94,,,1.99,0.65,FALSE,1/20/2021,80.5
AA_0694,16.44,33.56,,,2.01,0.45,FALSE,1/11/2021,152.1
AA_0695,32.30,17.70,,,1.93,1.32,FALSE,1/6/2021,77.4
AA_0696,8.05,41.95,,,1.97,1.20,FALSE,1/21/2021,310.4
AA_0697,9.23,40.77,,,1.93,1.71,TRUE,1/27/2021,270.9
AA_0699,34.01,15.99,,,2.24,0.40,FALSE,1/12/2021,73.5
AA_0700,20.92,29.08,,,2.01,1.83,FALSE,1/19/2021,119.5
AA_0701,36.18,13.82,,,1.94,0.61,FALSE,1/20/2021,69.1
AA_0702,26.88,23.12,,,1.95,0.59,FALSE,1/11/2021,93.0
AA_0703,7.45,42.55,,,2.02,1.19,FALSE,1/21/2021,335.4
AA_0704,18.63,31.37,,,2.05,0.28,FALSE,1/21/2021,134.2
AA_0705,7.46,42.54,,,1.93,1.00,TRUE,1/27/2021,335.3
AA_0706,6.75,43.25,,,1.88,1.17,FALSE,1/26/2021,370.4
AA_0707,5.12,44.88,,,1.99,0.69,FALSE,1/21/2021,488.7
AA_0708,15.34,34.66,,,1.95,0.67,FALSE,1/21/2021,163.0
AA_0709,8.67,41.33,,,1.97,1.17,FALSE,1/24/2021,288.3
AA_0710,7.78,42.22,,,1.91,1.18,FALSE,1/26/2021,321.3
AA_0711,16.48,33.52,,,1.98,1.35,FALSE,1/25/2021,151.7
AA_0712,10.65,39.35,,,1.98,0.70,FALSE,1/24/2021,234.7
AA_0713,17.04,32.96,,,1.94,0.73,FALSE,1/24/2021,146.7
AA_0714,11.93,38.07,,,1.98,1.07,FALSE,1/25/2021,209.5
AA_0715,6.41,43.59,,,2.01,1.49,FALSE,1/19/2021,390.1
AA_0716,29.07,20.93,,,2.01,0.29,FALSE,1/11/2021,86.0
AA_0717,5.18,44.82,,,1.92,1.19,FALSE,1/26/2021,483.0
AA_0718,16.70,33.30,,,2.03,1.07,FALSE,1/21/2021,149.7
AA_0719,10.67,39.33,,,2.03,0.59,FALSE,1/19/2021,234.2
AA_0720,5.81,44.19,,,2.01,1.26,FALSE,1/21/2021,430.1
AA_0721,9.49,40.51,,,1.91,1.19,FALSE,1/26/2021,263.5
AA_0722,2.63,47.37,,,2.04,1.13,FALSE,1/19/2021,950.7
AA_0723,11.93,38.07,,,1.94,1.10,FALSE,1/26/2021,209.6
AA_0724,3.55,46.45,,,1.90,1.54,FALSE,1/26/2021,705.2
AA_0725,11.62,38.38,,,1.98,2.03,FALSE,1/7/2021,215.1
AA_0726,21.33,28.67,,,2.03,0.60,FALSE,1/19/2021,117.2
AA_0727,3.34,46.66,,,1.91,2.03,FALSE,1/26/2021,748.9
AA_0728,5.78,44.22,,,1.85,1.70,TRUE,1/27/2021,432.9
AA_0729,3.39,46.61,,,1.91,1.44,FALSE,1/25/2021,738.1
AA_0730,9.14,40.86,,,1.98,0.93,FALSE,1/24/2021,273.5
AA_0731,22.48,27.52,,,2.21,0.59,FALSE,1/12/2021,111.2
AA_0732,13.74,36.26,,,2.03,0.98,FALSE,1/21/2021,181.9
AA_0733,19.89,30.11,,,2.19,0.87,FALSE,1/12/2021,125.7
AA_0734,7.91,42.09,,,1.95,1.47,FALSE,1/25/2021,316.2
AA_0735,9.57,40.43,,,2.02,1.76,FALSE,1/21/2021,261.3
AA_0736,24.34,25.66,,,2.04,0.53,FALSE,1/19/2021,102.7
AA_0737,9.91,40.09,,,1.91,0.90,TRUE,1/27/2021,252.2
AA_0738,9.32,40.68,,,1.96,1.50,FALSE,1/25/2021,268.3
AA_0739,15.35,34.65,,,2.04,1.57,FALSE,1/21/2021,162.9
AA_0740,7.17,42.83,,,2.00,1.26,FALSE,1/21/2021,348.7
AA_0741,21.76,28.24,,,2.03,1.26,FALSE,1/7/2021,114.9
AA_0742,6.96,43.04,,,1.95,1.91,FALSE,1/25/2021,359.1
AA_0743,8.21,41.79,,,1.97,1.38,FALSE,1/24/2021,304.6
AA_0744,15.50,34.50,,,2.02,0.71,FALSE,1/19/2021,161.3
AA_0745,4.34,45.66,,,1.96,1.79,FALSE,1/20/2021,576.5
AA_0746,10.25,39.75,,,1.94,0.96,FALSE,1/24/2021,244.0
AA_0747,5.95,44.05,,,1.91,2.03,FALSE,1/25/2021,419.9
AA_0748,6.12,43.88,,,1.93,1.26,FALSE,1/26/2021,408.2
AA_0749,5.49,44.51,,,1.89,1.31,TRUE,1/27/2021,455.1
AA_0750,4.69,45.31,,,1.90,0.96,FALSE,1/26/2021,533.4
AA_0752,6.44,43.56,,,1.98,0.78,FALSE,1/19/2021,388.0
AA_0753,14.21,35.79,,,1.97,0.71,FALSE,1/26/2021,175.9
AA_0754 I,21.74,28.26,,,2.01,0.71,FALSE,1/20/2021,115.0
AA_0754 II,31.69,18.31,,,1.92,0.79,FALSE,1/24/2021,78.9
AA_0755 I,6.75,43.25,,,2.00,1.24,FALSE,1/21/2021,370.3
AA_0755 II,8.38,41.62,,,1.95,1.09,TRUE,1/26/2021,298.2
AA_0756,12.38,37.62,,,1.94,1.00,FALSE,1/26/2021,202.0
AA_0757,8.54,41.46,,,1.97,1.11,FALSE,1/25/2021,292.9
AA_0758,18.98,31.02,,,2.04,0.77,FALSE,1/21/2021,131.7
AA_0759,11.65,38.35,,,1.99,2.10,FALSE,1/6/2021,214.6
AA_0760,9.90,40.10,,,1.92,0.81,FALSE,1/26/2021,252.5
AA_0761,7.30,42.70,,,2.00,1.04,FALSE,1/21/2021,342.4
AA_0762,24.46,25.54,,,2.19,1.04,FALSE,1/12/2021,102.2
AA_0763,8.28,41.72,,,1.95,1.80,FALSE,1/26/2021,301.9
AA_0764,8.68,41.32,,,1.96,1.16,FALSE,1/24/2021,288.1
AA_0765,8.45,41.55,,,1.90,1.48,FALSE,1/24/2021,295.9
AA_0766,14.38,35.62,,,2.03,0.87,FALSE,1/19/2021,173.9
AA_0767,3.26,46.74,,,1.94,1.05,TRUE,1/27/2021,766.1
AA_0768,12.72,37.28,,,2.04,1.19,FALSE,1/21/2021,196.6
AA_0769,3.43,46.57,,,1.96,1.80,FALSE,1/19/2021,728.2
AA_0770,10.24,39.76,,,1.99,1.02,FALSE,1/11/2021,244.1
AA_0771,5.64,44.36,,,1.90,1.88,FALSE,1/26/2021,443.6
AA_0772,9.67,40.33,,,2.09,2.17,FALSE,1/12/2021,258.5
AA_0773,5.91,44.09,,,1.92,1.26,FALSE,1/26/2021,423.2
AA_0774,4.10,45.90,,,2.02,1.43,FALSE,1/21/2021,609.9
AA_0775,10.43,39.57,,,1.96,0.71,FALSE,1/25/2021,239.7
AA_0780,11.37,38.63,,,1.94,1.38,TRUE,1/25/2021,219.9
AA_0783,11.06,38.94,,,1.96,1.25,FALSE,1/24/2021,226.1
AA_0784,3.75,46.25,,,1.91,1.64,FALSE,1/26/2021,666.1
AA_0786,7.55,42.45,,,1.93,1.21,FALSE,1/26/2021,331.1
AA_0788,2.63,47.37,,,1.92,1.08,TRUE,1/27/2021,951.7
AA_0789,13.39,36.61,,,2.04,1.56,FALSE,1/20/2021,186.7
AA_0790,4.41,45.59,,,1.97,1.59,FALSE,1/21/2021,567.0
AA_0791,3.40,46.60,,,2.02,1.86,FALSE,1/20/2021,734.8
AA_0793,3.43,46.57,,,1.93,1.44,FALSE,1/24/2021,729.4
AA_0794,11.67,38.33,,,1.96,1.37,FALSE,1/24/2021,214.2
AA_0799,3.89,46.11,,,1.94,1.36,FALSE,1/24/2021,643.1
AA_0801,3.37,46.63,,,1.88,1.90,FALSE,1/26/2021,741.1
AA_0801 I,6.53,43.47,,,1.93,1.36,FALSE,1/26/2021,383.1
AA_0804,2.96,47.04,,,1.97,2.03,FALSE,1/20/2021,844.3
AA_0805,5.25,44.75,,,1.99,2.03,FALSE,1/20/2021,476.0
AA_0806,3.32,46.68,,,1.99,19.40,FALSE,1/21/2021,753.1
AA_0807,2.58,47.42,,,2.04,0.34,FALSE,1/20/2021,967.6
AA_0808,12.04,37.96,,,2.10,1.70,FALSE,1/12/2021,207.6
AA_0811,12.93,37.07,,,1.97,1.54,FALSE,1/24/2021,193.4
AA_0815,6.79,43.21,,,1.98,0.97,FALSE,1/20/2021,368.4
AA_0820,17.37,32.63,,,2.03,0.34,FALSE,1/20/2021,143.9
AA_0821 I,6.22,43.78,,,1.99,1.70,FALSE,1/21/2021,402.2
AA_0821 II,5.35,44.65,,,1.96,1.87,FALSE,1/20/2021,467.7
AA_0823,8.02,41.98,,,2.02,0.78,FALSE,1/20/2021,311.7
AA_0827,20.63,29.37,,,2.01,0.79,FALSE,1/20/2021,121.2
AA_0828,18.46,31.54,,,1.95,0.44,TRUE,1/27/2021,135.4
AA_0830,6.71,43.29,,,1.97,0.68,TRUE,1/27/2021,372.8
AA_0837,7.83,42.17,,,1.96,1.18,FALSE,1/24/2021,319.3
AA_0844,3.60,46.40,,,1.98,1.77,FALSE,1/21/2021,694.2
AA_0845,12.33,37.67,,,1.99,0.82,FALSE,1/24/2021,202.7
AA_0846,11.99,38.01,,,1.97,1.67,FALSE,1/7/2021,208.5
AA_0847,10.11,39.89,,,1.99,1.27,FALSE,1/11/2021,247.4
AA_0848,4.51,45.49,,,1.88,1.76,FALSE,1/26/2021,553.9
AA_0849,7.64,42.36,,,1.95,1.01,FALSE,1/25/2021,327.4
AA_0850,4.44,45.56,,,1.96,1.83,FALSE,1/21/2021,563.6
AA_0851,9.09,40.91,,,2.02,1.73,FALSE,1/21/2021,275.0
AA_0852,2.98,47.02,,,1.95,1.53,FALSE,1/25/2021,838.0
AA_0853,6.18,43.82,,,1.99,1.67,FALSE,1/19/2021,404.8
AA_0854,25.54,24.46,,,1.99,0.76,FALSE,1/11/2021,97.9
AA_0855,3.25,46.75,,,1.94,1.46,FALSE,1/25/2021,770.2
AA_0856,7.62,42.38,,,1.96,1.25,FALSE,1/25/2021,328.0
AA_0857,6.01,43.99,,,1.91,1.68,FALSE,1/25/2021,416.2
AA_0858,11.63,38.37,219.3,210.6,2.01,1.79,FALSE,9/22/2021,215.0
AA_0859,42.55,7.45,33.2,84.3,2.09,0.18,FALSE,9/24/2021,58.8
AA_0860,18.53,31.47,128.6,141.3,2.09,0.48,FALSE,9/23/2021,135.0
AA_0861,9.99,40.01,250.0,250.6,2.04,1.61,FALSE,9/23/2021,250.3
AA_0862,7.86,42.14,323.9,312.5,2.03,1.05,FALSE,9/22/2021,318.2
AA_0863,14.83,35.17,165.1,172.0,2.05,0.70,FALSE,9/23/2021,168.6
AA_0865,9.25,40.75,272.9,267.8,2.03,1.85,FALSE,9/24/2021,270.4
AA_0866,6.00,44.00,418.4,414.6,1.99,1.97,FALSE,9/23/2021,416.5
AA_0867,7.33,42.67,338.5,343.2,1.98,1.90,FALSE,9/23/2021,340.9
AA_0868,9.81,40.19,243.1,266.7,2.02,1.24,FALSE,9/23/2021,254.9
AA_0869,9.31,40.69,247.4,289.7,2.02,1.11,FALSE,9/24/2021,268.6
AA_0870,15.87,34.13,158.1,156.9,2.12,0.71,FALSE,9/24/2021,157.5
AA_0871,8.72,41.28,283.5,289.9,1.98,1.28,FALSE,9/23/2021,286.7
AA_0872,5.69,44.31,438.9,439.8,2.00,1.57,FALSE,9/24/2021,439.4
AA_0873,19.44,30.56,129.7,127.5,1.99,0.58,FALSE,9/22/2021,128.6
AA_0874,9.63,40.37,264.2,255.0,2.04,1.56,FALSE,9/22/2021,259.6
AA_0875,11.92,38.08,210.1,209.2,2.03,1.80,FALSE,9/24/2021,209.7
AA_0876,7.46,42.54,332.9,337.7,2.01,1.85,FALSE,9/24/2021,335.3
AA_0877,12.78,37.22,195.1,196.1,2.06,0.92,FALSE,9/24/2021,195.6
AA_0878,9.36,40.64,263.0,271.2,2.04,1.81,FALSE,9/23/2021,267.1
AA_0879,12.02,37.98,221.0,195.0,2.05,0.79,FALSE,9/23/2021,208.0
AA_0880,9.97,40.03,251.7,249.6,2.04,1.82,FALSE,9/24/2021,250.7
AA_0881,13.16,36.84,193.7,186.2,2.04,1.98,TRUE,9/23/2021,190.0
AA_0882,11.27,38.73,221.2,222.4,2.02,2.14,FALSE,9/22/2021,221.8
AA_0883,8.85,41.15,280.8,284.3,2.02,1.34,FALSE,9/24/2021,282.6
AA_0884,9.29,40.71,271.2,266.8,2.04,1.75,FALSE,9/22/2021,269.0
AA_0885,8.30,41.70,302.4,299.7,2.03,0.94,FALSE,9/22/2021,301.1
AA_0886,3.63,46.37,750.2,626.4,1.88,1.29,FALSE,9/23/2021,688.3
AA_0887,6.46,43.54,390.6,383.7,2.01,1.73,FALSE,9/24/2021,387.2
AA_0888,9.71,40.29,255.3,259.6,2.04,0.93,FALSE,9/23/2021,257.5
AA_0889,25.14,24.86,98.6,100.3,2.04,0.85,FALSE,9/23/2021,99.5
AA_0890,17.34,32.66,145.9,142.5,2.01,2.90,FALSE,9/23/2021,144.2
AA_0891,7.38,42.62,358.4,319.3,2.04,1.91,FALSE,9/22/2021,338.9
AA_0892,12.35,37.65,212.5,192.5,2.02,1.91,FALSE,9/23/2021,202.5
AA_0893,11.17,38.83,227.7,219.8,2.04,1.19,FALSE,9/24/2021,223.8
AA_0894,4.82,45.18,541.3,495.5,2.00,2.08,FALSE,9/24/2021,518.4
AA_0895,4.89,45.11,561.0,462.3,2.00,1.77,FALSE,9/23/2021,511.7
AA_0896,7.63,42.37,302.5,352.5,1.96,2.00,FALSE,9/22/2021,327.5
AA_0897,10.70,39.30,236.5,230.8,2.02,1.10,FALSE,9/23/2021,233.7
AA_0898,6.39,43.61,397.5,385.5,2.00,1.22,FALSE,9/23/2021,391.5
AA_0899,7.56,42.44,329.9,331.2,2.06,1.15,FALSE,9/22/2021,330.6
AA_0900,9.18,40.82,269.7,274.9,2.04,1.71,FALSE,9/22/2021,272.3
AA_0901,8.36,41.64,295.0,303.2,2.01,1.49,FALSE,9/24/2021,299.1
AA_0902,10.54,39.46,219.0,255.5,1.99,1.32,FALSE,9/22/2021,237.3
AA_0903,6.43,43.57,392.8,384.5,2.02,1.26,FALSE,9/23/2021,388.7
AA_0904,50.25,-0.25,51.7,47.8,2.06,0.43,FALSE,9/22/2021,49.8
AA_0905,6.44,43.56,386.9,389.9,2.00,1.30,FALSE,9/23/2021,388.4
AA_0906,34.04,15.96,71.9,75.0,1.95,1.86,FALSE,9/22/2021,73.5
AA_0907,41.08,8.92,60.7,61.0,2.20,0.41,FALSE,9/24/2021,60.9
AA_0908,7.06,42.94,368.3,339.6,2.03,2.15,FALSE,9/22/2021,354.0
AA_0909,8.33,41.67,306.8,293.5,2.01,1.83,FALSE,9/22/2021,300.2
AA_0910,9.28,40.72,271.8,266.9,2.02,1.17,FALSE,9/23/2021,269.4
AA_0911,7.38,42.62,337.5,340.3,2.03,1.91,FALSE,9/22/2021,338.9
AA_0912,5.88,44.12,423.6,426.9,1.99,1.46,FALSE,9/23/2021,425.3
AA_0913,5.73,44.27,432.1,440.2,1.96,1.45,FALSE,9/23/2021,436.2
AA_0914,2.38,47.62,1005.0,1099.5,1.92,2.07,FALSE,9/22/2021,1052.3
AA_0915,22.94,27.06,113.7,104.3,2.10,2.15,FALSE,9/23/2021,109.0
AA_0916,8.22,41.78,304.8,303.3,1.99,1.85,FALSE,9/23/2021,304.1
AA_0917,9.17,40.83,281.9,263.6,2.06,1.09,FALSE,9/24/2021,272.8
AA_0918,3.28,46.72,770.6,755.0,2.03,1.02,FALSE,9/23/2021,762.8
AA_0919,6.55,43.45,365.2,397.9,2.02,1.34,FALSE,9/24/2021,381.6
AA_0920,32.32,17.68,76.0,78.7,1.97,0.79,FALSE,9/22/2021,77.4
AA_0921,17.83,32.17,141.5,138.9,2.01,0.49,FALSE,9/24/2021,140.2
AA_0922,8.32,41.68,319.2,281.7,2.02,0.93,FALSE,9/22/2021,300.5
AA_0923,8.29,41.71,299.2,304.3,2.03,1.39,FALSE,9/24/2021,301.8
AA_0924,10.93,39.07,227.8,229.7,2.02,0.99,FALSE,9/22/2021,228.8
