# File Name: qPCR_eimeria_field_faeces_FW_27012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-27 02:45:26 PM UTC
# Run End Date/Time: 2022-01-27 04:06:06 PM UTC
# Run Duration: 80 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 02:47:00 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 02:47:27 PM UTC
"Well","Well Position","Reading Number","Target","Temperature","Fluorescence","Derivative"
"2","A2","37","Eim","70.87187194824219","559474.25","16052.826171875"
"2","A2","38","Eim","71.17404174804688","553942.5625","16568.5390625"
"2","A2","39","Eim","71.47621154785156","548829.1875","17087.208984375"
"2","A2","40","Eim","71.77838134765625","544739.875","17614.2578125"
"2","A2","41","Eim","72.08055877685547","540156.9375","18142.37109375"
"2","A2","42","Eim","72.38272857666016","533471.3125","18656.017578125"
"2","A2","43","Eim","72.68489837646484","526288.9375","19140.892578125"
"2","A2","44","Eim","72.98707580566406","520489.0","19587.548828125"
"2","A2","45","Eim","73.28924560546875","516896.78125","19987.59375"
"2","A2","46","Eim","73.59141540527344","509618.5625","20332.4453125"
"2","A2","47","Eim","73.89358520507812","501940.0625","20627.1328125"
"2","A2","48","Eim","74.19575500488281","495775.0625","20916.94921875"
"2","A2","49","Eim","74.4979248046875","489024.625","21315.04296875"
"2","A2","50","Eim","74.80010223388672","480758.09375","22015.642578125"
"2","A2","51","Eim","75.1022720336914","476090.8125","23284.3046875"
"2","A2","52","Eim","75.4044418334961","469560.34375","25424.455078125"
"2","A2","53","Eim","75.70661926269531","463303.21875","28716.697265625"
