# File Name: qPCR_eimeria_field_faeces_JK_07022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-07 01:32:05 PM UTC
# Run End Date/Time: 2022-02-07 02:51:33 PM UTC
# Run Duration: 79 minutes 27 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-07 03:40:32 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-07 03:40:46 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"34","C10","false","AA624","Eim","UNKNOWN","SYBR","None","Amp","1.4779220629615604","","","30.786559321197323","0.8520411767154284","31.357759693376675","0.5443032101654395","true","0.10398790081334369","true","3","26","81.46178436279297","","",""
"35","C11","false","AA624","Eim","UNKNOWN","SYBR","None","Amp","1.424342769866604","","","31.416283712260636","0.8024865814866855","31.357759693376675","0.5443032101654395","true","0.10398790081334369","true","3","27","81.31060028076172","74.5073013305664","85.0902099609375",""
"36","C12","false","AA624","Eim","UNKNOWN","SYBR","None","Amp","1.4326470289760742","","","31.87043604667207","0.7854847328921909","31.357759693376675","0.5443032101654395","true","0.10398790081334369","true","3","27","81.46178436279297","","",""
"37","D1","false","AA524","Eim","UNKNOWN","SYBR","None","Amp","1.4447869787894572","","","25.47222425040816","0.9238718605392595","25.166374962253172","0.27586817551856346","true","0.10398790081334369","true","3","21","75.54110717773438","","",""
"38","D2","false","AA524","Eim","UNKNOWN","SYBR","None","Amp","1.4403099548970304","","","24.936343833589177","0.8820777136687655","25.166374962253172","0.27586817551856346","true","0.10398790081334369","true","3","21","75.54110717773438","","",""
"39","D3","false","AA524","Eim","UNKNOWN","SYBR","None","Amp","1.4383226250774173","","","25.090556802762173","0.8547636097468325","25.166374962253172","0.27586817551856346","true","0.10398790081334369","true","3","21","75.3901596069336","","",""
"40","D4","false","AA639","Eim","UNKNOWN","SYBR","None","Amp","1.4604885994719694","","","27.30328257332809","0.9294542338530376","27.30760711706041","0.1897275239552203","true","0.10398790081334369","true","3","23","75.23921203613281","","",""
"41","D5","false","AA639","Eim","UNKNOWN","SYBR","None","Amp","1.4687686148302983","","","27.12007883279051","0.9058264356078144","27.30760711706041","0.1897275239552203","true","0.10398790081334369","true","3","23","75.24961853027344","","",""
"42","D6","false","AA639","Eim","UNKNOWN","SYBR","None","Amp","1.4487355191840352","","","27.499459945062632","0.907020988259389","27.30760711706041","0.1897275239552203","true","0.10398790081334369","true","3","24","75.09855651855469","","",""
"43","D7","false","AA595","Eim","UNKNOWN","SYBR","None","Amp","1.5093330594771608","","","29.575906136757553","0.9444859934182691","29.77908370689499","0.18955324919303002","true","0.10398790081334369","true","3","25","81.29191589355469","","",""
"44","D8","false","AA595","Eim","UNKNOWN","SYBR","None","Amp","1.4969880450180184","","","29.810177169251624","0.9288092089313705","29.77908370689499","0.18955324919303002","true","0.10398790081334369","true","3","26","81.14086151123047","","",""
"45","D9","false","AA595","Eim","UNKNOWN","SYBR","None","Amp","1.4703560890897005","","","29.95116781467579","0.9120164609271069","29.77908370689499","0.18955324919303002","true","0.10398790081334369","true","3","25","81.00823211669922","69.82058715820312","",""
"46","D10","false","AA677","Eim","UNKNOWN","SYBR","None","Amp","1.4319406472988672","","","31.71633439753385","0.7657289149276283","32.06561719823395","0.3369352798669714","true","0.10398790081334369","true","3","27","85.997314453125","74.65848541259766","79.04283142089844",""
"47","D11","false","AA677","Eim","UNKNOWN","SYBR","None","Amp","1.4376838225798123","","","32.09184523439322","0.742031840592745","32.06561719823395","0.3369352798669714","true","0.10398790081334369","true","3","28","86.14849853515625","82.06652069091797","78.28691101074219",""
"48","D12","false","AA677","Eim","UNKNOWN","SYBR","None","Amp","1.3798229779318","","","32.38867196277478","0.683609929097769","32.06561719823395","0.3369352798669714","true","0.10398790081334369","true","3","28","79.49638366699219","86.14849853515625","",""
"49","E1","false","AA655","Eim","UNKNOWN","SYBR","None","Amp","1.4494717114272448","","","31.766615883624198","0.9322238338008781","32.24903037356721","0.5218771150091002","true","0.10398790081334369","true","3","27","83.54112243652344","","",""
