"","Got.the.sheet.","location","Adress","GPS.coordinates.long","GPS.coordinates.lat","trapping_date","trapping_time","number_of_traps","collection_date","collection_time","number_of_mice","collection_team","comment..by.catch..etc.","area"
"97","","E_KI13","Kirchstr.13, Tuchen",52.754538,13.787479,"25.09.2016","10h20",10,"26.09.2016","17h00",3,"Gregor-Pedro","1 Spitzmaus","C"
"102","","E_ALTE","Altedorfstr.  Altlüdersdorf",53.038544,13.186732,"25.09.2016","16h30",21,"26.09.2016","11h50",1,"Thomas-Jana-Lisa-Kati","","A"
"103","","E_RIB8","Ribbecker Dorfstr. 8, Ribbeck",53.032128,13.256764,"25.09.2016","17h00",14,"26.09.2016","11h00",2,"Thomas-Jana-Lisa-Kati","+1tote","A"
"105","","E_GUTS","Micheal Nier, Gutsmannstr. 41, 15755",52.130086,13.608102,"25.09.2016","10h20",14,"26.09.2016","11h50",1,"Nadine-Nicole-Sascha","3 Brandmäuse, 1 Mus musculus tot","E"
"108","","E_EGS7","Egsdorferstr. 7, 15749",52.15826,13.58764,"25.06.2016","16h00",9,"26.09.2016","15h00",5,"Nadine-Nicole-Sascha","","E"
"112","","E_LUD","Lüdersdorfer Dorfstraße 8, Wriezen – Lüdersdorf",52.699579,14.082995,"26.09.2016","16h00",8,"27.09.2016","14h45",1,"Gregor-Pedro","","C"
"113","","E_WRI6","Wriezener Straße 6, Frankenfelde",52.669965,14.058403,"26.09.2016","16h35",10,"27.09.2016","14h05",1,"Gregor-Pedro","1 Brandmaus, 1 Wühlmaus","C"
"119","","E_WILM","Wilmine 5, 17268 Gerswalde",53.116421,13.772821,"26.09.2016","16h15",6,"27.09.2016","11h00",3,"Paula-Naomi","","B"
"121","","E_ANDE","An der Schäferei 10, 15518, Steinhöfel",52.430311,14.043857,"26.09.2016","18h00",30,"27.09.2016","12h00",1,"Fiona- Irina","","D"
"126","","E_STE1","Steinhöfelerstr. 1, 15518, Steinhöfel Buchholz",52.421551,14.127122,"26.09.2016","14h20",30,"27.09.2016","13h00",1,"Fiona- Irina","","D"
"130","","E_DU19","Dubenerhauptstr. 19, 15926",51.897811,13.809616,"27.09.2016","10h40",27,"28.09.2016","11h00",13,"Emanuel-Nicole-Phuong","1 M.m entwischt ","F"
"131","","E_LUCK","Freiimfelde 1 15926 Luckau/ Duben",51.885597,13.787119,"27.09.2016","11h10",24,"28.09.2016","11h30",2,"Emanuel-Nicole-Phuong","","F"
"132","","E_HIND","Hindenbergerdorfstr. 31 03222",51.853542,13.847336,"27.09.2016","14h30",28,"28.09.2016","12h00",13,"Emanuel-Nicole-Phuong ","3 junge M.m tot","F"
"134","","E_DORW","Dorfweg. 21, 15936 Dahme",51.848838,13.534375,"27.09.2016","12h00",23,"28.09.2016","14h00",3,"Emanuel-Nicole-Phuong","2 Spitzmäuse (1 tot)","F"
"138","","E_MU14","Mühlengasse 14, 16348 Wandlitz (Prenden)",52.78755,13.55461,"22.09.2016","10h45",24,"27.09.2016","14h00",1,"Victor-Sascha-Naomi","","B"
"139","","E_GERS","Böckenberg 31, 17268 Gerswalde",53.13322,13.755,"27.09.2016","15h00",30,"28.09.2016","15h15",2,"Paula-Naomi-Sascha","+1 Wühlmaus","B"
"143","","STEG1","Fredenwalder Weg 1, Stegelitz",53.126703,13.843372,"27.09.2016","15h30",11,"28.09.2016","13h00",1,"Paula-Naomi-Sascha","+3 Spitzmäuse","B"
"151","","E_NE20","Neulüdersdorf 20, Neulüdersdorf",53.050558,13.172672,"26.09.2016","12h30",10,"28.09.2016","17h30",1,"Thomas-Jana-Lisa-Kati","Fallen am 27.09 neu gesetzt","A"
"154","","E_ZOOT","Dorfstr. 16, Zootzen",53.151642,13.213816,"27.09.2016","12h00",19,"28.09.2016","13h45",4,"Thomas-Jana-Lisa-Kati","7 Feldmäuse","A"
"156","","E_DOB1","Poststr. 1, Dobberzin",53.019926,14.035729,"28.09.2016","11h00",10,"29.09.2016","10h00",2,"Gregor-Pedro","1 Spitzmaus","C"
"157","","DOBB8","Poststr. 8, Dobberzin",53.020251,14.035471,"28.09.2016","10h30",10,"29.09.2016","10h05",5,"Gregor-Pedro","","C"
"158","","STERNF2","Kastanienallee 2, 16278 Angermünde - Sternfelde",53.00394,13.97029,"28.09.2016","12h00",15,"29.09.2016","11h00",1,"Gregor-Pedro","1 Spitzmaus","C"
"163","","LETS38","Wriezenerstr. 38 Wilhermsauer Loose",52.650566,14.321733,"28.09.2016","17h00",20,"29.09.2016","15h00",1,"Gregor-Pedro","","C"
"164","","E_MA20","Mahlerstr. 20, Wriezen",52.733087,14.125579,"28.09.2016","16h00",20,"29.09.2016","16h00",6,"Gregor-Pedro","","C"
"165","","E_ST18","Storkower Str 18, Storkow",53.04789,13.445741,"28.09.2016","11h30",5,"29.09.2016","12h00",3,"Thomas-Jana-Lisa-Kati","","A"
"166","","E_AMR1","Am Röddelinsee1, 17268 Templin",53.094694,13.449635,"28.09.2016","12h15",21,"29.09.2016","13h00",2,"Thomas-Jana-Lisa-Kati","Eigentlich 8, aber von Hofleuten frei gelassen","A"
"169","","E_AD23","Altthymer Dorfstr. 23, Altthymen",53.239927,13.164659,"28.09.2016","16h45",22,"29.09.2016","15h20",7,"Thomas-Jana-Lisa-Kati","","A"
"175","","E_MO12","Molkenberger Str. 12, Fürstenwalde/Spree",52.3846215,14.062102,"28.09.2016","15h30",36,"29.09.2016","12h00",2,"Nadine-Irina","","D"
