# File Name: qPCR_eimeria_field_faeces_JK_09022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 12:17:00 PM UTC
# Run End Date/Time: 2022-02-09 01:35:11 PM UTC
# Run Duration: 78 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:52:46 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:53:35 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"85","H1","2","161560.75","54775.3","170381.62"
"86","H2","2","152689.23","45634.477","133706.47"
"87","H3","2","175214.62","48511.53","129857.82"
"88","H4","2","127253.56","43011.69","136393.81"
"89","H5","2","132610.6","40705.496","122429.25"
"90","H6","2","139660.47","38455.344","112731.59"
"91","H7","2","157655.88","45952.676","136476.28"
"92","H8","2","154847.66","42344.703","119039.58"
"93","H9","2","108390.03","30714.064","85132.7"
"94","H10","2","57513.38","27948.225","114822.6"
"95","H11","2","53968.656","29593.004","126269.67"
"96","H12","2","57176.324","26317.059","128055.72"
"1","A1","2","67754.18","30474.799","134230.78"
"2","A2","2","57555.85","28006.787","122858.336"
"3","A3","2","46368.844","24405.475","99393.77"
"4","A4","2","55607.973","30659.66","125324.71"
"5","A5","2","36170.816","25533.732","101441.766"
"6","A6","2","33520.895","22332.416","92404.516"
"7","A7","2","61563.19","26851.322","104520.0"
"8","A8","2","59401.684","26785.783","103051.04"
"9","A9","2","43156.3","22261.604","85501.6"
"10","A10","2","51707.64","25954.223","104716.88"
"11","A11","2","33721.98","15355.478","63654.133"
"12","A12","2","64138.215","27389.604","111873.375"
"13","B1","2","64150.668","30797.705","130226.64"
"14","B2","2","81663.28","37378.45","144888.33"
"15","B3","2","80357.016","33975.086","127344.336"
"16","B4","2","69311.01","35120.176","138155.92"
"17","B5","2","67009.24","28333.352","103691.125"
"18","B6","2","56993.234","29581.498","112154.2"
"19","B7","2","66851.99","30115.59","110951.42"
"20","B8","2","53092.137","21954.914","83444.16"
"21","B9","2","55174.59","23017.506","87507.664"
"22","B10","2","56446.426","26701.803","101557.76"
"23","B11","2","62660.51","23859.361","89460.125"
"24","B12","2","47750.137","23211.678","89354.86"
"25","C1","2","55281.22","33497.168","143370.39"
"26","C2","2","69483.86","31890.846","123019.13"
"27","C3","2","61137.188","30014.305","113480.125"
"28","C4","2","62818.883","33313.594","131380.98"
"29","C5","2","52652.965","25800.602","97506.32"
"30","C6","2","50971.11","24773.14","92990.17"
"31","C7","2","59391.996","34968.383","139932.83"
"32","C8","2","50411.24","24636.7","93210.44"
"33","C9","2","52211.21","27912.797","106941.81"
"34","C10","2","55597.062","28750.51","110747.36"
"35","C11","2","45551.97","19411.873","74737.73"
"36","C12","2","44183.543","17782.658","67471.18"
"37","D1","2","65796.85","33177.05","134953.28"
"38","D2","2","70240.19","32337.904","125437.44"
"39","D3","2","62054.992","29960.098","113108.27"
"40","D4","2","66574.914","34431.605","132975.16"
"41","D5","2","63942.11","31170.285","116922.914"
"42","D6","2","47655.48","23281.836","88988.55"
"43","D7","2","61958.387","30476.826","114287.664"
"44","D8","2","59547.836","29426.285","115316.555"
"45","D9","2","45776.23","22013.771","84052.17"
"46","D10","2","65863.234","31358.428","116316.78"
"47","D11","2","51373.035","23432.559","87362.24"
"48","D12","2","49075.78","22946.393","84011.33"
"49","E1","2","60629.543","27799.627","113261.75"
"50","E2","2","65969.04","29049.324","110084.98"
"51","E3","2","43016.562","21440.994","83246.93"
"52","E4","2","61647.094","32050.734","121996.02"
"53","E5","2","54854.258","26405.457","100560.11"
"54","E6","2","57974.625","27694.21","102561.74"
"55","E7","2","72580.65","32813.418","121762.766"
"56","E8","2","55140.355","24039.102","86764.34"
"57","E9","2","53235.266","23608.395","85287.48"
"58","E10","2","68556.14","30491.242","108073.25"
"59","E11","2","65793.11","26504.049","94590.04"
"60","E12","2","64312.445","25786.844","88464.375"
"61","F1","2","71920.14","33185.656","132997.17"
"62","F2","2","70701.266","32552.938","129330.484"
"63","F3","2","62225.266","27266.607","102308.68"
