# File Name: qPCR_eimeria_field_faeces_JK_09022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 12:17:00 PM UTC
# Run End Date/Time: 2022-02-09 01:35:11 PM UTC
# Run Duration: 78 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:52:46 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:53:35 PM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"44","D8","AA846","Eim","75.40662384033203","133034.328125"
"44","D8","AA846","Eim","88.25155639648438","1979.469970703125"
"44","D8","AA846","Eim","0.0","0.0"
"44","D8","AA846","Eim","0.0","0.0"
"44","D8","AA846","Eim","0.0","0.0"
"45","D9","AA846","Eim","75.26861572265625","100945.109375"
"45","D9","AA846","Eim","84.04057312011719","943.988525390625"
"45","D9","AA846","Eim","0.0","0.0"
"45","D9","AA846","Eim","0.0","0.0"
"45","D9","AA846","Eim","0.0","0.0"
"46","D10","AA821","Eim","74.96613311767578","64514.44921875"
"46","D10","AA821","Eim","81.16699981689453","14087.96875"
"46","D10","AA821","Eim","61.65694808959961","11122.408203125"
"46","D10","AA821","Eim","94.17369842529297","245.1640625"
"46","D10","AA821","Eim","0.0","0.0"
"47","D11","AA821","Eim","74.81488800048828","69020.15625"
"47","D11","AA821","Eim","80.86451721191406","9358.5869140625"
"47","D11","AA821","Eim","61.95943069458008","7368.01806640625"
"47","D11","AA821","Eim","92.81253051757812","155.51220703125"
"47","D11","AA821","Eim","0.0","0.0"
"48","D12","AA821","Eim","75.11737060546875","39689.703125"
"48","D12","AA821","Eim","80.86451721191406","14757.982421875"
"48","D12","AA821","Eim","84.64553833007812","9571.5654296875"
