# File Name: qPCR_eimeria_field_faeces_FW_28012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-28 02:33:23 PM UTC
# Run End Date/Time: 2022-01-28 03:54:21 PM UTC
# Run Duration: 80 minutes 58 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 03:12:47 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 03:13:03 PM UTC
"Well","Well Position","Cycle Number","SYBR","ROX"
"3","A3","125","546881.8","0.0"
"3","A3","126","541744.06","0.0"
"3","A3","127","535527.0","0.0"
"3","A3","128","530664.75","0.0"
"3","A3","129","526087.9","0.0"
"3","A3","130","519970.8","0.0"
"3","A3","131","514689.53","0.0"
"3","A3","132","507010.97","0.0"
"3","A3","133","502656.47","0.0"
"3","A3","134","493977.25","0.0"
"3","A3","135","487206.28","0.0"
"3","A3","136","479894.8","0.0"
"3","A3","137","472995.75","0.0"
"3","A3","138","465668.16","0.0"
"3","A3","139","457719.8","0.0"
"3","A3","140","448787.1","0.0"
"3","A3","141","438404.56","0.0"
"3","A3","142","427296.47","0.0"
"3","A3","143","418009.97","0.0"
"3","A3","144","408313.88","0.0"
"3","A3","145","397619.84","0.0"
"3","A3","146","384756.53","0.0"
"3","A3","147","368753.25","0.0"
"3","A3","148","351800.03","0.0"
"3","A3","149","336639.9","0.0"
"3","A3","150","320521.3","0.0"
"3","A3","151","306431.0","0.0"
"3","A3","152","294209.25","0.0"
"3","A3","153","278797.34","0.0"
"3","A3","154","265175.47","0.0"
"3","A3","155","250000.38","0.0"
"3","A3","156","239600.98","0.0"
"3","A3","157","228626.0","0.0"
"3","A3","158","216011.66","0.0"
"3","A3","159","206549.61","0.0"
"3","A3","160","194364.0","0.0"
"3","A3","161","184150.4","0.0"
"3","A3","162","173120.23","0.0"
"3","A3","163","158028.16","0.0"
"3","A3","164","139038.17","0.0"
"3","A3","165","118832.34","0.0"
"3","A3","166","103093.07","0.0"
"3","A3","167","96099.83","0.0"
"3","A3","168","92406.85","0.0"
"3","A3","169","91569.77","0.0"
"3","A3","170","88617.37","0.0"
"3","A3","171","81629.8","0.0"
"3","A3","172","73969.17","0.0"
"3","A3","173","68156.87","0.0"
"3","A3","174","66092.4","0.0"
"3","A3","175","62150.426","0.0"
"3","A3","176","61178.688","0.0"
"3","A3","177","60649.785","0.0"
"3","A3","178","60006.418","0.0"
"3","A3","179","59505.56","0.0"
"3","A3","180","58306.9","0.0"
"3","A3","181","58004.523","0.0"
"3","A3","182","58084.56","0.0"
"3","A3","183","58295.203","0.0"
"3","A3","184","57724.523","0.0"
"3","A3","185","57767.06","0.0"
"3","A3","186","56226.06","0.0"
"3","A3","187","58897.812","0.0"
"3","A3","188","56337.656","0.0"
"3","A3","189","57278.355","0.0"
"3","A3","190","57019.97","0.0"
"3","A3","191","55347.96","0.0"
"3","A3","192","56178.25","0.0"
"3","A3","193","56637.957","0.0"
"3","A3","194","55218.77","0.0"
"3","A3","195","55040.51","0.0"
"3","A3","196","56432.586","0.0"
"4","A4","1","170438.12","167349.77"
"4","A4","2","95152.164","160146.92"
"4","A4","3","174810.77","167831.06"
"4","A4","4","97247.83","161135.22"
"4","A4","5","182362.73","168105.94"
"4","A4","6","100208.51","161707.64"
"4","A4","7","187394.03","167941.6"
"4","A4","8","102509.53","161890.12"
"4","A4","9","191391.56","167564.56"
"4","A4","10","104442.1","161852.6"
"4","A4","11","194482.58","167356.97"
"4","A4","12","105411.42","161995.4"
"4","A4","13","197268.11","167116.64"
"4","A4","14","106479.04","162049.78"
