# File Name: qPCR_eimeria_field_faeces_FW_28012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-28 02:33:23 PM UTC
# Run End Date/Time: 2022-01-28 03:54:21 PM UTC
# Run Duration: 80 minutes 58 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 03:12:47 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 03:13:03 PM UTC
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"3","A3","8","Eim","0.6500495672225952","0.004175560428546002","AA899","false"
"3","A3","9","Eim","0.6610912680625916","0.010948312924458473","AA899","false"
"3","A3","10","Eim","0.6630377769470215","0.008625873464804427","AA899","false"
"3","A3","11","Eim","0.670593798160553","0.011912946334252054","AA899","false"
"3","A3","12","Eim","0.6756816506385803","0.01273185046819542","AA899","false"
"3","A3","13","Eim","0.6753507256507874","0.008131977136318472","AA899","false"
"3","A3","14","Eim","0.6830917000770569","0.011604003218504137","AA899","false"
"3","A3","15","Eim","0.6851928234100342","0.009436178207397453","AA899","false"
"3","A3","16","Eim","0.6906434893608093","0.010617895814088622","AA899","false"
"3","A3","17","Eim","0.6947197914123535","0.010425249521548944","AA899","false"
"3","A3","18","Eim","0.6943914890289307","0.005827998794042113","AA899","false"
"3","A3","19","Eim","0.6962186098098755","0.0033861712309030704","AA899","false"
"3","A3","20","Eim","0.6971690654754639","6.767855240747116E-5","AA899","false"
"3","A3","21","Eim","0.7032396793365479","0.0018693440694075884","AA899","false"
"3","A3","22","Eim","0.6971860527992249","-0.008453230811999387","AA899","false"
"3","A3","23","Eim","0.6970171928405762","-0.012891039114732047","AA899","false"
"3","A3","24","Eim","0.7115695476531982","-0.0026076326461938444","AA899","false"
"3","A3","25","Eim","0.7157884240150452","-0.0026577046284308988","AA899","false"
"3","A3","26","Eim","0.7137575745582581","-0.008957502429301985","AA899","false"
