"Mouse_ID","inf","Target","NE","HI","deltaCtMmE_tissue"
"AA_0635",TRUE,"IL-6",8.89666666666667,0.736842105,-5.82
"AA_0636",TRUE,"CXCR3",11.385,0.8,-6.82
"AA_0636",TRUE,"GBP2",8.125,0.8,-6.82
"AA_0636",TRUE,"IL-12b",12.4283333333333,0.8,-6.82
"AA_0636",TRUE,"IRG6",7.70166666666667,0.8,-6.82
"AA_0636",TRUE,"IL-6",9.23166666666667,0.8,-6.82
"AA_0643",TRUE,"CXCR3",1.87,0.84,-8.06
"AA_0643",TRUE,"IL-12b",9.75333333333334,0.84,-8.06
"AA_0643",TRUE,"GBP2",5.83666666666667,0.84,-8.06
"AA_0643",TRUE,"IL-6",4.79666666666667,0.84,-8.06
"AA_0643",TRUE,"IRG6",4.83,0.84,-8.06
"AA_0646",TRUE,"IL-6",9.775,0.842105263,-5.08
"AA_0646",TRUE,"IL-12b",10.6516666666667,0.842105263,-5.08
"AA_0646",TRUE,"CXCR3",7.90166666666667,0.842105263,-5.08
"AA_0646",TRUE,"IRG6",5.325,0.842105263,-5.08
"AA_0646",TRUE,"GBP2",6.325,0.842105263,-5.08
"AA_0650",TRUE,"IL-6",5.76333333333333,0.8,-2.15
"AA_0650",TRUE,"CXCR3",8.45333333333333,0.8,-2.15
"AA_0650",TRUE,"IRG6",4.02,0.8,-2.15
"AA_0650",TRUE,"IL-12b",8.01333333333334,0.8,-2.15
"AA_0650",TRUE,"GBP2",4.80666666666666,0.8,-2.15
"AA_0661",TRUE,"CXCR3",8.22833333333333,0.88,-1.81
"AA_0661",TRUE,"GBP2",6.83833333333333,0.88,-1.81
"AA_0661",TRUE,"IL-6",7.62166666666666,0.88,-1.81
"AA_0661",TRUE,"IL-12b",9.695,0.88,-1.81
"AA_0661",TRUE,"IRG6",6.53833333333333,0.88,-1.81
"AA_0662",TRUE,"GBP2",7.36333333333333,0.95,-2.5
"AA_0662",TRUE,"CXCR3",10.7433333333333,0.95,-2.5
"AA_0662",TRUE,"IL-12b",11.5266666666667,0.95,-2.5
"AA_0662",TRUE,"IL-6",10.72,0.95,-2.5
"AA_0662",TRUE,"IRG6",6.68666666666666,0.95,-2.5
"AA_0666",TRUE,"GBP2",6.21666666666667,0.84,-5.13
"AA_0666",TRUE,"IL-6",5.98666666666666,0.84,-5.13
"AA_0666",TRUE,"IL-12b",8.97,0.84,-5.13
"AA_0666",TRUE,"CXCR3",6.01666666666667,0.84,-5.13
"AA_0666",TRUE,"IRG6",4.57,0.84,-5.13
