"","Mouse_ID","Target","delta","NE","HI","MC"
"158","AA_0529","IRG6",-10.38,-2.06,0.05,"FALSE"
"159","AA_0529","IL.12",-10.38,-3.96666666666667,0.05,"FALSE"
"160","AA_0530","IL.12",1.29,-7.94333333333334,0.4,"TRUE"
"161","AA_0530","IRG6",1.29,-3.33,0.4,"TRUE"
"162","AA_0530","CXCR3",1.29,-8.66333333333333,0.4,"TRUE"
"163","AA_0531","IL.12",0.940000000000001,-2.345,0,"TRUE"
"164","AA_0531","IRG6",0.940000000000001,-2.18833333333333,0,"TRUE"
"165","AA_0531","CXCR3",0.940000000000001,-4.00166666666667,0,"TRUE"
"166","AA_0532","IL.12",-8.52,-3.84166666666667,0.1,"FALSE"
"167","AA_0532","IRG6",-8.52,-2.55166666666667,0.1,"FALSE"
"168","AA_0532","CXCR3",-8.52,-5.65166666666667,0.1,"FALSE"
"169","AA_0533","IRG6",-8.55,-2.02333333333333,0,"FALSE"
"170","AA_0533","CXCR3",-8.55,-4.65333333333333,0,"FALSE"
"171","AA_0533","IL.12",-8.55,-4.97333333333333,0,"FALSE"
"172","AA_0534","CXCR3",-7.49,-5.53333333333333,0.1,"FALSE"
"173","AA_0534","IRG6",-7.49,-2.41,0.1,"FALSE"
"174","AA_0534","IL.12",-7.49,-4.87,0.1,"FALSE"
"175","AA_0535","CXCR3",-9.2,-5.275,0.15,"FALSE"
"176","AA_0535","IRG6",-9.2,-1.92833333333333,0.15,"FALSE"
"177","AA_0535","IL.12",-9.2,-4.65166666666666,0.15,"FALSE"
"178","AA_0536","IL.12",-10.73,-3.53833333333333,0.1,"FALSE"
"179","AA_0536","CXCR3",-10.73,-4.38166666666667,0.1,"FALSE"
"180","AA_0536","IRG6",-10.73,-1.26166666666667,0.1,"FALSE"
"181","AA_0537","IL.12",-8.99,-3.76166666666667,0.05,"FALSE"
"182","AA_0537","IRG6",-8.99,-1.945,0.05,"FALSE"
"183","AA_0537","CXCR3",-8.99,-4.775,0.05,"FALSE"
"184","AA_0538","IL.12",-10.6,-4.41833333333333,0,"FALSE"
"185","AA_0538","IRG6",-10.6,-2.315,0,"FALSE"
"186","AA_0538","CXCR3",-10.6,-3.855,0,"FALSE"
"187","AA_0539","CXCR3",-8.27,-4.80833333333334,0.111111111,"FALSE"
"188","AA_0539","IL.12",-8.27,-4.63166666666667,0.111111111,"FALSE"
"189","AA_0539","IRG6",-8.27,-2.28166666666667,0.111111111,"FALSE"
"190","AA_0540","IL.12",-7.98,-4.59666666666667,0,"FALSE"
"191","AA_0540","IRG6",-7.98,-2.80666666666667,0,"FALSE"
"192","AA_0540","CXCR3",-7.98,-4.33666666666667,0,"FALSE"
"193","AA_0542","CXCR3",-1.69,NA,0.882352941,"TRUE"
"194","AA_0542","IRG6",-1.69,-5.28666666666667,0.882352941,"TRUE"
"195","AA_0542","IL.12",-1.69,NA,0.882352941,"TRUE"
"196","AA_0543","IL.12",-8.91,-3.74166666666667,0,"FALSE"
"197","AA_0543","IRG6",-8.91,-2.625,0,"FALSE"
"198","AA_0543","CXCR3",-8.91,-3.75166666666667,0,"FALSE"
"199","AA_0544","IRG6",-6.88,-1.895,0.894736842,"FALSE"
"200","AA_0544","CXCR3",-6.88,-4.73166666666667,0.894736842,"FALSE"
"201","AA_0544","IL.12",-6.88,-1.06166666666666,0.894736842,"FALSE"
"202","AA_0546","IRG6",-8.05,-1.87333333333333,0.1,"FALSE"
"203","AA_0546","IL.12",-8.05,-4.09,0.1,"FALSE"
"204","AA_0546","CXCR3",-8.05,-4.51333333333334,0.1,"FALSE"
"205","AA_0547","CXCR3",-9.43,-5.94,0.043478261,"FALSE"
"206","AA_0547","IL.12",-9.43,-6.62666666666667,0.043478261,"FALSE"
"207","AA_0547","IRG6",-9.43,-4.57,0.043478261,"FALSE"
"208","AA_0548","IL.12",-8.65,-4.6,0.086956522,"FALSE"
"209","AA_0548","CXCR3",-8.65,-4.09,0.086956522,"FALSE"
"210","AA_0548","IRG6",-8.65,-1.65333333333333,0.086956522,"FALSE"
"211","AA_0549","IL.12",-8.7,-3.87833333333333,0.04,"FALSE"
"212","AA_0549","CXCR3",-8.7,-4.14166666666667,0.04,"FALSE"
"213","AA_0549","IRG6",-8.7,-2.34833333333333,0.04,"FALSE"
"214","AA_0550","CXCR3",-9.66,-4.90166666666667,0.05,"FALSE"
"215","AA_0550","IRG6",-9.66,-2.28833333333333,0.05,"FALSE"
"216","AA_0550","IL.12",-9.66,-4.16833333333333,0.05,"FALSE"
"217","AA_0551","IRG6",-9.85,-1.98666666666667,0,"FALSE"
"218","AA_0551","CXCR3",-9.85,-4.58333333333334,0,"FALSE"
"219","AA_0551","IL.12",-9.85,-5.68666666666667,0,"FALSE"
"220","AA_0552","CXCR3",-9.46,-4.07333333333333,0,"FALSE"
"221","AA_0552","IRG6",-9.46,-1.75333333333333,0,"FALSE"
"222","AA_0552","IL.12",-9.46,-4.88333333333333,0,"FALSE"
"223","AA_0553","CXCR3",-10.21,-4.44333333333334,0.894736842,"FALSE"
"224","AA_0553","IL.12",-10.21,-4.90666666666667,0.894736842,"FALSE"
"225","AA_0553","IRG6",-10.21,-1.08,0.894736842,"FALSE"
"226","AA_0554","IL.12",1.25,-9.48,0.88,"TRUE"
"227","AA_0554","IRG6",1.25,-4.58,0.88,"TRUE"
"228","AA_0554","CXCR3",1.25,-6.19,0.88,"TRUE"
"229","AA_0555","IRG6",-4.85,-7.34666666666667,0.88,"TRUE"
"230","AA_0555","CXCR3",-4.85,-8.35666666666667,0.88,"TRUE"
"231","AA_0555","IL.12",-4.85,NA,0.88,"TRUE"
"232","AA_0556","IL.12",-6.83,-10.6933333333333,0.65,"TRUE"
"233","AA_0556","CXCR3",-6.83,-10.08,0.65,"TRUE"
"234","AA_0556","IRG6",-6.83,-6.26666666666667,0.65,"TRUE"
"235","AA_0559","CXCR3",1.41,-5.6,0.857142857,"TRUE"
"236","AA_0559","IL.12",1.41,-8.46333333333333,0.857142857,"TRUE"
"237","AA_0559","IRG6",1.41,-4.13333333333333,0.857142857,"TRUE"
"238","AA_0561","CXCR3",1.31,NA,0.869565217,"TRUE"
"239","AA_0561","IL.12",1.31,NA,0.869565217,"TRUE"
"240","AA_0561","IRG6",1.31,NA,0.869565217,"TRUE"
"241","AA_0569","IL.12",-5.74,-11.9616666666667,0,"TRUE"
"242","AA_0569","CXCR3",-5.74,-9.445,0,"TRUE"
"243","AA_0569","IRG6",-5.74,-6.615,0,"TRUE"
"244","AA_0572","CXCR3",-7.71,-8.875,0.04,"TRUE"
"245","AA_0572","IL.12",-7.71,-13.4083333333333,0.04,"TRUE"
"246","AA_0572","IRG6",-7.71,-9.29500000000001,0.04,"TRUE"
"247","AA_0579","IRG6",-0.100000000000001,NA,0.95,"TRUE"
"248","AA_0579","IL.12",-0.100000000000001,NA,0.95,"TRUE"
"249","AA_0579","CXCR3",-0.100000000000001,NA,0.95,"TRUE"
"250","AA_0591","CXCR3",3.25,NA,0.611111111,"TRUE"
"251","AA_0591","IL.12",3.25,NA,0.611111111,"TRUE"
"252","AA_0591","IRG6",3.25,NA,0.611111111,"TRUE"
"253","AA_0620","IL.12",-7.81,-13.6733333333333,0.16,"FALSE"
"254","AA_0620","IRG6",-7.81,-7.85,0.16,"FALSE"
"255","AA_0620","CXCR3",-7.81,-8.64,0.16,"FALSE"
"256","AA_0623","IRG6",-6.78,-7.56,0,"TRUE"
"257","AA_0623","IL.12",-6.78,-13,0,"TRUE"
"258","AA_0623","CXCR3",-6.78,-11.1633333333333,0,"TRUE"
"259","AA_0631","CXCR3",-7.74,NA,0.777777778,"TRUE"
"260","AA_0631","IL.12",-7.74,NA,0.777777778,"TRUE"
"261","AA_0631","IRG6",-7.74,-8.755,0.777777778,"TRUE"
"262","AA_0635","IL.12",-5.82,-11.8166666666667,0.736842105,"TRUE"
"263","AA_0635","IRG6",-5.82,-6.71,0.736842105,"TRUE"
"264","AA_0635","CXCR3",-5.82,-9.98333333333333,0.736842105,"TRUE"
"265","AA_0636","CXCR3",-6.82,-11.385,0.8,"TRUE"
"266","AA_0636","IL.12",-6.82,-12.4283333333333,0.8,"TRUE"
"267","AA_0636","IRG6",-6.82,-7.70166666666667,0.8,"TRUE"
"268","AA_0643","IRG6",-8.06,-4.83,0.84,"TRUE"
"269","AA_0643","CXCR3",-8.06,-1.87,0.84,"TRUE"
"270","AA_0643","IL.12",-8.06,-9.75333333333334,0.84,"TRUE"
"271","AA_0646","IL.12",-5.08,-10.6516666666667,0.842105263,"TRUE"
"272","AA_0646","IRG6",-5.08,-5.325,0.842105263,"TRUE"
"273","AA_0646","CXCR3",-5.08,-7.90166666666667,0.842105263,"TRUE"
"274","AA_0650","CXCR3",-2.15,-8.45333333333333,0.8,"TRUE"
"275","AA_0650","IL.12",-2.15,-8.01333333333334,0.8,"TRUE"
"276","AA_0650","IRG6",-2.15,-4.02,0.8,"TRUE"
"277","AA_0661","IRG6",-1.81,-6.53833333333333,0.88,"TRUE"
"278","AA_0661","IL.12",-1.81,-9.695,0.88,"TRUE"
"279","AA_0661","CXCR3",-1.81,-8.22833333333333,0.88,"TRUE"
"280","AA_0662","IL.12",-2.5,-11.5266666666667,0.95,"TRUE"
"281","AA_0662","IRG6",-2.5,-6.68666666666666,0.95,"TRUE"
"282","AA_0662","CXCR3",-2.5,-10.7433333333333,0.95,"TRUE"
"283","AA_0666","IRG6",-5.13,-4.57,0.84,"TRUE"
"284","AA_0666","CXCR3",-5.13,-6.01666666666667,0.84,"TRUE"
"285","AA_0666","IL.12",-5.13,-8.97,0.84,"TRUE"
"286","AA_0524","CXCR3",-5.29,-4.30833333333333,0.8,"TRUE"
"287","AA_0524","IL-6",-5.29,-3.86833333333333,0.8,"TRUE"
"288","AA_0524","IL.12",-5.29,-3.915,0.8,"TRUE"
"289","AA_0524","IRG6",-5.29,-1.36833333333333,0.8,"TRUE"
"290","AA_0524","GBP2",-5.29,-6.20166666666667,0.8,"TRUE"
"291","AA_0525","CXCR3",-1.53,-5.49333333333334,0.578947368,"TRUE"
"292","AA_0525","IRG6",-1.53,-2.24333333333334,0.578947368,"TRUE"
"293","AA_0525","IL.12",-1.53,-3.48666666666667,0.578947368,"TRUE"
"294","AA_0525","IL-6",-1.53,-6.03333333333333,0.578947368,"TRUE"
"295","AA_0525","GBP2",-1.53,-6.97,0.578947368,"TRUE"
"296","AA_0526","CXCR3",-8.55,-5.12166666666667,0.789473684,"FALSE"
"297","AA_0526","IL.12",-8.55,-4.04833333333333,0.789473684,"FALSE"
"298","AA_0526","IRG6",-8.55,-2.54166666666666,0.789473684,"FALSE"
"299","AA_0526","GBP2",-8.55,-7.365,0.789473684,"FALSE"
"300","AA_0526","IL-6",-8.55,-5.01166666666667,0.789473684,"FALSE"
"301","AA_0527","GBP2",-7.02,-3.665,0.8,"FALSE"
"302","AA_0527","IL.12",-7.02,-3.72833333333333,0.8,"FALSE"
"303","AA_0527","CXCR3",-7.02,-4.14166666666667,0.8,"FALSE"
"304","AA_0527","IL-6",-7.02,-4.46833333333333,0.8,"FALSE"
"305","AA_0527","IRG6",-7.02,-1.62833333333333,0.8,"FALSE"
"306","AA_0528","GBP2",-10.36,-4.45,0,"FALSE"
"307","AA_0528","CXCR3",-10.36,-4.03666666666667,0,"FALSE"
"308","AA_0528","IL-6",-10.36,NA,0,"FALSE"
"309","AA_0528","IL.12",-10.36,-3.9,0,"FALSE"
"310","AA_0528","IRG6",-10.36,-2.58333333333334,0,"FALSE"
"311","AA_0529","CXCR3",-10.38,-4.24,0.05,"FALSE"
"312","AA_0529","IRG6",-10.38,-2.06,0.05,"FALSE"
"313","AA_0529","GBP2",-10.38,-4.25333333333333,0.05,"FALSE"
"314","AA_0529","IL.12",-10.38,-3.96666666666667,0.05,"FALSE"
"315","AA_0529","IL-6",-10.38,-4.48666666666666,0.05,"FALSE"
"316","AA_0530","IRG6",1.29,-3.33,0.4,"TRUE"
"317","AA_0530","CXCR3",1.29,-8.66333333333333,0.4,"TRUE"
"318","AA_0530","IL.12",1.29,-7.94333333333334,0.4,"TRUE"
"319","AA_0530","GBP2",1.29,-4.21333333333333,0.4,"TRUE"
"320","AA_0530","IL-6",1.29,-6.6,0.4,"TRUE"
"321","AA_0531","IRG6",0.940000000000001,-2.18833333333333,0,"TRUE"
"322","AA_0531","GBP2",0.940000000000001,-6.10166666666667,0,"TRUE"
"323","AA_0531","IL.12",0.940000000000001,-2.345,0,"TRUE"
"324","AA_0531","CXCR3",0.940000000000001,-4.00166666666667,0,"TRUE"
"325","AA_0531","IL-6",0.940000000000001,-4.81833333333333,0,"TRUE"
"326","AA_0532","IL-6",-8.52,-5.135,0.1,"FALSE"
"327","AA_0532","GBP2",-8.52,-5.48166666666667,0.1,"FALSE"
"328","AA_0532","IRG6",-8.52,-2.55166666666667,0.1,"FALSE"
"329","AA_0532","CXCR3",-8.52,-5.65166666666667,0.1,"FALSE"
"330","AA_0532","IL.12",-8.52,-3.84166666666667,0.1,"FALSE"
"331","AA_0533","IL-6",-8.55,-5.33666666666667,0,"FALSE"
"332","AA_0533","CXCR3",-8.55,-4.65333333333333,0,"FALSE"
"333","AA_0533","IRG6",-8.55,-2.02333333333333,0,"FALSE"
"334","AA_0533","GBP2",-8.55,-8.57333333333333,0,"FALSE"
"335","AA_0533","IL.12",-8.55,-4.97333333333333,0,"FALSE"
"336","AA_0534","IL-6",-7.49,-4.66666666666667,0.1,"FALSE"
"337","AA_0534","IRG6",-7.49,-2.41,0.1,"FALSE"
"338","AA_0534","CXCR3",-7.49,-5.53333333333333,0.1,"FALSE"
"339","AA_0534","IL.12",-7.49,-4.87,0.1,"FALSE"
"340","AA_0534","GBP2",-7.49,-9.38666666666667,0.1,"FALSE"
"341","AA_0535","IL.12",-9.2,-4.65166666666666,0.15,"FALSE"
"342","AA_0535","IRG6",-9.2,-1.92833333333333,0.15,"FALSE"
"343","AA_0535","IL-6",-9.2,-5.40833333333333,0.15,"FALSE"
"344","AA_0535","GBP2",-9.2,-7.59166666666667,0.15,"FALSE"
"345","AA_0535","CXCR3",-9.2,-5.275,0.15,"FALSE"
"346","AA_0536","IL.12",-10.73,-3.53833333333333,0.1,"FALSE"
"347","AA_0536","IL-6",-10.73,-4.24166666666667,0.1,"FALSE"
"348","AA_0536","GBP2",-10.73,-7.235,0.1,"FALSE"
"349","AA_0536","IRG6",-10.73,-1.26166666666667,0.1,"FALSE"
"350","AA_0536","CXCR3",-10.73,-4.38166666666667,0.1,"FALSE"
"351","AA_0537","IL-6",-8.99,-4.34833333333334,0.05,"FALSE"
"352","AA_0537","CXCR3",-8.99,-4.775,0.05,"FALSE"
"353","AA_0537","IL.12",-8.99,-3.76166666666667,0.05,"FALSE"
"354","AA_0537","IRG6",-8.99,-1.945,0.05,"FALSE"
"355","AA_0537","GBP2",-8.99,-6.14166666666667,0.05,"FALSE"
"356","AA_0538","CXCR3",-10.6,-3.855,0,"FALSE"
"357","AA_0538","IL-6",-10.6,-4.545,0,"FALSE"
"358","AA_0538","IRG6",-10.6,-2.315,0,"FALSE"
"359","AA_0538","IL.12",-10.6,-4.41833333333333,0,"FALSE"
"360","AA_0538","GBP2",-10.6,-6.845,0,"FALSE"
"361","AA_0539","CXCR3",-8.27,-4.80833333333334,0.111111111,"FALSE"
"362","AA_0539","IL.12",-8.27,-4.63166666666667,0.111111111,"FALSE"
"363","AA_0539","IRG6",-8.27,-2.28166666666667,0.111111111,"FALSE"
"364","AA_0539","IL-6",-8.27,-5.00166666666667,0.111111111,"FALSE"
"365","AA_0539","GBP2",-8.27,-7.93833333333334,0.111111111,"FALSE"
"366","AA_0540","GBP2",-7.98,-4.72333333333334,0,"FALSE"
"367","AA_0540","IL.12",-7.98,-4.59666666666667,0,"FALSE"
"368","AA_0540","CXCR3",-7.98,-4.33666666666667,0,"FALSE"
"369","AA_0540","IL-6",-7.98,-5.34666666666667,0,"FALSE"
"370","AA_0540","IRG6",-7.98,-2.80666666666667,0,"FALSE"
"371","AA_0542","GBP2",-1.69,-4.04333333333333,0.882352941,"TRUE"
