"Mouse_ID","MC.Eimeria","delta_ct_cewe_MminusE","eimeriaSpecies","OPG","Sex","Latitude","Longitude","Year","HI"
"AA_0149",NA,-9.1833333333,"Negative",0,"F",51.8853,13.7875,2016,0.24
"AA_0150",NA,-8.5366666667,"Negative",0,"M",51.8978,13.81,2016,0.25
"AA_0151",NA,-8.62,"Negative",0,"F",51.8978,13.81,2016,0.12
"AA_0152",NA,-8.89,"Negative",0,"M",51.8978,13.81,2016,0.105263158
"AA_0153",NA,-8.9233333333,"Negative",0,"F",51.8978,13.81,2016,0.16
"AA_0154",NA,-8.0266666667,"Negative",0,"M",51.8978,13.81,2016,0.25
"AA_0155",NA,-8.1966666667,"Negative",0,"F",51.8978,13.81,2016,0.16
"AA_0156",NA,-9.7633333333,"Negative",0,"F",51.8978,13.81,2016,0.12
"AA_0157",NA,-8.5866666667,"Negative",0,"M",51.8978,13.81,2016,0.157894737
"AA_0158",NA,-8.42,"Negative",0,"F",51.8978,13.81,2016,0.2
"AA_0159",NA,-8.8666666667,"Negative",0,"F",51.8978,13.81,2016,0.12
"AA_0160",NA,-8.5833333333,"Negative",0,"F",51.8978,13.81,2016,0.16
"AA_0161",NA,-8.82,"Negative",0,"F",51.848838,13.534375,2016,0.2
"AA_0162",NA,-8.6633333333,"Negative",0,"F",51.848838,13.534375,2016,0
"AA_0163",NA,-9.0166666667,"Negative",0,"F",51.848838,13.534375,2016,0.32
"AA_0164",NA,-7.8433333333,"Negative",0,"M",51.853542,13.847336,2016,0.6
"AA_0165",NA,-2.2533333333,"E_ferrisi",0,"F",51.853542,13.847336,2016,0.4
"AA_0166",NA,-8.21,"Negative",0,"M",51.853542,13.847336,2016,0.5333333333
"AA_0167",NA,-4.6866666667,"E_ferrisi",0,"F",51.853542,13.847336,2016,0.52
"AA_0168",NA,-3.35,"E_ferrisi",0,"F",51.853542,13.847336,2016,0.52
"AA_0169",NA,-4.8333333333,"E_ferrisi",NA,"M",51.853542,13.847336,2016,0.2307692308
"AA_0170",NA,-8.8966666667,"Negative",0,"F",51.853542,13.847336,2016,0.72
"AA_0171",NA,-9.1,"Negative",0,"M",51.853542,13.847336,2016,0.7
"AA_0172",NA,-8.1333333333,"Negative",0,"F",51.853542,13.847336,2016,0.56
"AA_0173",NA,1.13,"E_ferrisi",233333.333333333,"M",53.02,14.0358,2016,0.9
"AA_0174",NA,-7.5166666667,"Negative",6250,"F",51.853542,13.847336,2016,0.6
"AA_0175",NA,-2.8966666667,"E_ferrisi",3125,"F",51.853542,13.847336,2016,0.3043478261
"AA_0176",NA,-4.7733333333,"Negative",0,"F",51.853542,13.847336,2016,0.6
"AA_0177",NA,-8.29,"Negative",0,"M",53.126703,13.843372,2016,0.714285714
"AA_0178",NA,-8.6266666667,"Negative",0,"F",53.1314,13.7542,2016,0.84
"AA_0179",NA,-6.1966666667,"Negative",112500,"M",53.1314,13.7542,2016,0.9
"AA_0180",NA,-9.43,"Negative",6250,"F",53.1514,13.2144,2016,0.8
"AA_0181",NA,-8.85,"Negative",0,"M",53.1514,13.2144,2016,0.65
"AA_0182",NA,-9.0366666667,"Negative",0,"F",53.0503,13.1725,2016,0.04
"AA_0183",NA,-8.9566666667,"Negative",15625,"M",53.1514,13.2144,2016,0.75
"AA_0184",NA,-6.0733333333,"Negative",0,"F",53.1514,13.2144,2016,0.84
"AA_0185",NA,-8.9666666667,"Negative",0,"M",53.020251,14.035471,2016,0.85
"AA_0186",NA,-7.82,"Negative",0,"F",53.020251,14.035471,2016,0.75
"AA_0187",NA,-8.75,"Negative",0,"M",53.020251,14.035471,2016,0.85
"AA_0188",NA,-8.0133333333,"Negative",0,"F",53.020251,14.035471,2016,0.72
"AA_0189",NA,-7.5333333333,"Negative",0,"M",53.020251,14.035471,2016,0.8
"AA_0190",NA,-3.0766666667,"E_ferrisi",0,"F",51.853542,13.847336,2016,0.56
"AA_0191",NA,-8.3533333333,"Negative",0,"M",53.02,14.0358,2016,0.857142857
"AA_0192",NA,-7.4233333333,"Negative",0,"F",52.7347,14.1267,2016,0.88
"AA_0193",NA,-8.4466666667,"Negative",0,"F",52.7347,14.1267,2016,0.88
"AA_0194",NA,-7.7833333333,"Negative",0,"M",52.7347,14.1267,2016,0.947368421
"AA_0195",NA,-6.6016666667,"Negative",0,"F",52.7347,14.1267,2016,0.88
"AA_0196",NA,-6.1733333333,"Negative",0,"M",53.2397,13.1633,2016,0.9
"AA_0197",NA,-8.7133333333,"Negative",0,"F",52.7347,14.1267,2016,0.88
"AA_0198",NA,-8.12,"Negative",0,"M",53.0947,13.4497,2016,0.789473684
"AA_0199",NA,-8.4233333333,"Negative",0,"F",53.2397,13.1633,2016,0.84
"AA_0200",NA,-7.08,"Negative",3571.42857142857,"M",53.2397,13.1633,2016,0.85
"AA_0201",NA,-8.62,"Negative",0,"F",53.2397,13.1633,2016,0.96
"AA_0202",NA,-8.4833333333,"Negative",3125,"M",53.2397,13.1633,2016,0.95
"AA_0203",NA,-8.7433333333,"Negative",8333.33333333333,"F",53.0481,13.4464,2016,0.72
"AA_0204",NA,-8.3133333333,"E_vermiformis",131250,"M",53.2397,13.1633,2016,0.9
"AA_0205",NA,-8.98,"Negative",0,"F",53.0481,13.4464,2016,0.64
"AA_0206",NA,-7.6833333333,"Negative",0,"M",53.2397,13.1633,2016,0.85
"AA_0207",NA,-8.69,"Negative",0,"F",52.4019,14.0672,2016,0.64
"AA_0208",NA,-8.4033333333,"Negative",3125,"F",53.0481,13.4464,2016,0.76
"AA_0209",NA,-7.4633333333,"Negative",0,"F",52.4019,14.0672,2016,0.739130435
"AA_0210",NA,-8.35,"Negative",0,"F",52.650566,14.321733,2016,0.714285714
"AA_0211",NA,-8.7533333333,"Negative",0,"F",52.7347,14.1267,2016,0.823529412
"AA_0212",NA,NA,NA,NA,"F",53.8444,11.4811,2017,0.956521739130435
"AA_0213",NA,NA,NA,NA,"M",53.8444,11.4811,2017,0.857142857142857
"AA_0214",NA,NA,NA,NA,"M",53.8444,11.4811,2017,0.789473684210526
"AA_0215",NA,NA,NA,NA,"F",53.8444,11.4811,2017,0.857142857142857
"AA_0216",NA,NA,NA,NA,"F",53.8444,11.4811,2017,0.956521739130435
"AA_0217",NA,NA,NA,NA,"F",53.8444,11.4811,2017,0.956521739130435
"AA_0218",NA,NA,NA,NA,"M",53.8444,11.4811,2017,0.842105263157895
"AA_0219",NA,NA,NA,NA,"M",53.8444,11.4811,2017,0.944444444444444
"AA_0220",NA,NA,NA,NA,"M",53.8444,11.4811,2017,0.947368421052632
"AA_0221",NA,NA,NA,NA,"M",53.8444,11.4811,2017,0.8
"AA_0222",NA,NA,NA,NA,"M",53.8444,11.4811,2017,0.85
"AA_0223",NA,NA,NA,NA,"M",53.8444,11.4811,2017,0.789473684210526
"AA_0224",NA,NA,NA,NA,"F",53.8444,11.4811,2017,0.857142857142857
"AA_0225",NA,NA,NA,NA,"M",53.8444,11.4811,2017,0.894736842105263
"AA_0226",NA,NA,NA,NA,"M",53.8444,11.4811,2017,0.95
"AA_0227",NA,NA,NA,NA,"M",53.9403,11.6072,2017,0.888888888888889
"AA_0228",NA,NA,NA,NA,"M",53.9403,11.6072,2017,0.9
"AA_0229",NA,NA,NA,NA,"M",53.9403,11.6072,2017,0.9
"AA_0230",NA,NA,NA,NA,"F",53.9403,11.6072,2017,0.96
"AA_0231",NA,NA,NA,NA,"F",53.9403,11.6072,2017,0.956521739130435
"AA_0232",NA,NA,NA,NA,"M",53.9403,11.6072,2017,0.947368421052632
"AA_0233",NA,NA,NA,NA,"M",53.9403,11.6072,2017,0.95
"AA_0234",NA,NA,NA,NA,"F",53.9403,11.6072,2017,0.952380952380952
"AA_0235",NA,NA,NA,NA,"M",53.9403,11.6072,2017,0.947368421052632
"AA_0236",NA,NA,NA,NA,"F",53.9403,11.6072,2017,0.956521739130435
"AA_0237",NA,-4.82,"E_ferrisi",0,"F",52.733898,13.666418,2017,0
"AA_0238",NA,-10.57,"Negative",0,"F",52.5861,13.7897,2017,0.12
"AA_0239",NA,-8.425,"Negative",0,"M",52.5861,13.7897,2017,0.210526316
"AA_0240",NA,-10.985,"Negative",0,"F",52.5844,13.7881,2017,0.24
"AA_0241",NA,-11.195,"Negative",NA,"F",52.6242,14.0103,2017,0.84
"AA_0242",NA,-15.45,"Negative",0,"M",52.8075,14.0378,2017,0.9
"AA_0243",NA,-2.375,"E_ferrisi",578703.703703704,"M",52.8875,13.8119,2017,0.85
"AA_0244",NA,-2.6,"Double_tbd",NA,"F",52.2458,13.5994,2017,0.083333333
"AA_0245",NA,-4.58,"Double_tbd",2683823.52941176,"M",52.2225,13.6025,2017,0.1
"AA_0246",NA,-9.895,"Negative",795454.545454545,"F",52.2225,13.6025,2017,0.16
"AA_0247",NA,-8.31,"Negative",343750,"M",52.2225,13.6025,2017,0
"AA_0248",NA,-6.685,"E_ferrisi",30487.8048780488,"F",52.2225,13.6025,2017,0
"AA_0249",NA,-8.755,"E_falciformis",1585365.85365854,"M",52.2225,13.6025,2017,0
"AA_0250",NA,-5.87,"Negative",0,"M",52.2225,13.6025,2017,0
"AA_0251",NA,-11.06,"Negative",281862.745098039,"F",52.2225,13.6025,2017,0
"AA_0252",NA,-8.63,"E_ferrisi",0,"M",52.2225,13.6025,2017,0.05
"AA_0253",NA,NA,"Negative",0,"F",52.2225,13.6025,2017,0.1
"AA_0254",NA,NA,"Negative",0,"M",52.2458,13.5994,2017,0
"AA_0255",NA,-8.53,"Negative",0,"M",52.2458,13.5994,2017,0
"AA_0256",NA,-10.86,"Negative",89285.7142857143,"F",52.2225,13.6025,2017,0.16
"AA_0257",NA,-1.61,"E_ferrisi",1720588.23529412,"M",52.2225,13.6025,2017,0
"AA_0258",NA,-11.44,"Negative",0,"F",52.273117,13.599425,2017,0.16
"AA_0259",NA,-4.55,"E_ferrisi",1875000,"F",52.2225,13.6025,2017,0.083333333
"AA_0260",NA,-7.17,"E_ferrisi",367647.058823529,"F",52.2225,13.6025,2017,0
"AA_0261",NA,-4.21,"E_falciformis",0,"M",52.2458,13.5994,2017,0
"AA_0262",NA,-12.03,"Negative",0,"F",52.2458,13.5994,2017,0
"AA_0263",NA,-8.7,"Negative",0,"F",52.2458,13.5994,2017,0
"AA_0264",NA,-12.19,"Negative",0,"M",52.3989,13.7581,2017,0.222222222
"AA_0265",NA,-12.13,"Negative",0,"M",52.385,13.7608,2017,0.1
"AA_0266",NA,NA,"Negative",NA,"F",52.6792,14.0503,2016,0.956521739
"AA_0267",NA,-12.575,"Negative",NA,"F",52.9217,13.5472,2017,0.08
"AA_0268",NA,-7.48,"Negative",0,"M",52.2422,13.7072,2017,0.15
"AA_0269",NA,-12.74,"Negative",0,"M",52.6053,13.8756,2017,0.615384615
"AA_0270",NA,-12.53,"Negative",0,"F",52.6053,13.8756,2017,0.444444444
"AA_0271",NA,-12.26,"Negative",0,"F",52.8969,13.5353,2017,0.666666667
"AA_0272",NA,-13.64,"Negative",0,"M",52.8969,13.5353,2017,0.375
"AA_0273",NA,-5,"Other",0,"M",52.8969,13.5353,2017,0.277777778
"AA_0274",NA,-11.23,"Negative",89285.7142857143,"F",52.6053,13.8756,2017,0.666666667
"AA_0275",NA,-14.61,"Negative",0,"F",52.6053,13.8756,2017,0.615384615
"AA_0276",NA,-12.7,"Negative",0,"M",52.8969,13.5353,2017,0.333333333
"AA_0277",NA,-12.7466666666667,"Negative",0,"M",52.8969,13.5353,2017,0.307692308
"AA_0278",NA,-11.44,"Negative",0,"F",52.8969,13.5353,2017,0.230769231
"AA_0279",NA,-12.2533333333333,"Negative",0,"M",52.6053,13.8756,2017,1
"AA_0280",NA,-12.4033333333333,"Negative",178571.428571429,"F",52.6053,13.8756,2017,0.6
"AA_0281",NA,-10.6166666666667,"Negative",0,"M",52.8969,13.5353,2017,0.214285714
"AA_0282",NA,-11.33,"Negative",0,"M",52.8969,13.5353,2017,0.166666667
