"Mouse_ID","delta_ct_cewe_MminusE","Ct_Mus","Ct1_Mus","Ct2_Mus","Ct3_Mus","Ct_Eim","Ct1_Eim","Ct2_Eim","Ct3_Eim","Tm1_Mus","Tm2_Mus","Tm3_Mus","Tm4_Mus","Tm1_Eim","Tm2_Eim","Tm3_Eim","Tm4_Eim","Ct_StDev_Mus","Ct_StDev_Eim","plate"
"AA_0878",-10.8416033720714,22.7692388392567,23.0578095389055,23.0578095389055,23.0578095389055,33.6108422113281,32.8328609056052,32.8328609056052,32.8328609056052,79.9463958740234,NA,NA,NA,80.3761444091797,74.2024078369141,NA,NA,0.411682257282523,0.839518988271125,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0879",3.7647427511215,26.5803069330236,28.4456903594858,28.4456903594858,28.4456903594858,22.8155641819021,22.4152823649991,22.4152823649991,22.4152823649991,79.7952423095703,NA,NA,NA,75.2425079345703,NA,NA,NA,3.36815594262605,0.359415083969725,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0880",1.1460352960882,27.0613205429385,26.3139340754467,26.3139340754467,26.3139340754467,25.9152852468503,25.344002332292,25.344002332292,25.344002332292,80.2461395263672,NA,NA,NA,75.5608062744141,NA,NA,NA,0.782863975875069,0.524487090876862,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0881",2.3147793313768,23.8100845425905,23.2145227925941,23.2145227925941,23.2145227925941,21.4953052112137,21.1430926703351,21.1430926703351,21.1430926703351,80.2461395263672,NA,NA,NA,75.5608062744141,NA,NA,NA,0.537978132586736,0.333221659069336,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0882",0.954354326007202,26.3569092597664,25.5626972835986,25.5626972835986,25.5626972835986,25.4025549337592,25.1924139480401,25.1924139480401,25.1924139480401,80.0950012207031,NA,NA,NA,75.5608062744141,NA,NA,NA,0.709228558950013,0.281719906323415,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0883",3.2882308035973,26.7645092751232,26.6648295266518,26.6648295266518,26.6648295266518,23.4762784715259,22.7168726179858,22.7168726179858,22.7168726179858,79.9438552856445,NA,NA,NA,75.2585220336914,NA,NA,NA,0.0883006418828721,0.673143060516622,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0884",-5.5664429126964,23.5282109624472,23.3239830134403,23.3239830134403,23.3239830134403,29.0946538751436,28.6948981650275,28.6948981650275,28.6948981650275,80.0950012207031,NA,NA,NA,75.5608062744141,NA,NA,NA,0.240986807243274,0.346752272754648,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0885",-1.2540941057424,26.2493793822068,25.6357611097855,25.6357611097855,25.6357611097855,27.5034734879492,26.5240766760777,26.5240766760777,26.5240766760777,79.9438552856445,NA,NA,NA,75.4096603393555,NA,NA,NA,0.55746669555395,0.867377438299782,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0886",-6.6264223514046,24.1416609456223,23.9099303562386,23.9099303562386,23.9099303562386,30.7680832970269,30.2721396668603,30.2721396668603,30.2721396668603,79.9438552856445,NA,NA,NA,75.4096603393555,NA,NA,NA,0.358309206201739,0.641649035689095,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0887",-0.582475180817102,25.9367735265684,25.279412562016,25.279412562016,25.279412562016,26.5192487073855,26.288043742108,26.288043742108,26.288043742108,79.9438552856445,NA,NA,NA,75.4096603393555,NA,NA,NA,0.660401304519504,0.31635228304672,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0888",-5.4027608315322,25.450906844712,25.8934132144347,25.8934132144347,25.8934132144347,30.8536676762442,30.2646642358653,30.2646642358653,30.2646642358653,80.1198272705078,NA,NA,NA,75.1130676269531,NA,NA,NA,0.437794072359612,1.11249364842766,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0889",1.6972561562498,24.8792473590854,25.2564518966041,25.2564518966041,25.2564518966041,23.1819912028356,22.8292818445046,22.8292818445046,22.8292818445046,80.2711486816406,NA,NA,NA,75.5666809082031,NA,NA,NA,0.374111684059117,0.374457956101642,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0890",-9.1200605082748,24.9593375223625,25.1258800548437,25.1258800548437,25.1258800548437,34.0793980306373,33.8379935824149,33.8379935824149,33.8379935824149,80.2711486816406,NA,NA,NA,79.9516448974609,82.994987487793,NA,NA,0.177408275792973,0.243647535251904,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0891",-7.2601837521913,25.2921203895758,25.6122202853018,25.6122202853018,25.6122202853018,32.5523041417671,33.1502580271862,33.1502580271862,33.1502580271862,80.2711486816406,NA,NA,NA,74.9618530273438,NA,NA,NA,0.42220881305981,0.67985403438996,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0892",NA,NA,NA,NA,NA,34.2474509998649,33.1529010386333,33.1529010386333,33.1529010386333,88.7453079223633,75.7314224243164,82.8436584472656,79.5145263671875,80.2540512084961,83.1463088989258,NA,NA,NA,0.95730652469554,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0895",-7.7425870854517,24.4010121048634,24.8112377564275,24.8112377564275,24.8112377564275,32.1435991903151,32.5528570402701,32.5528570402701,32.5528570402701,80.1198272705078,NA,NA,NA,75.5666809082031,79.6492309570312,62.5629959106445,82.5221405029297,0.442847527070411,0.420931855047147,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0896",-7.3943915764445,23.4319583068151,23.4814618751,23.4814618751,23.4814618751,30.8263498832596,30.6688740207931,30.6688740207931,30.6688740207931,80.1198272705078,NA,NA,NA,82.67333984375,79.1956176757812,62.1093788146973,73.4497985839844,0.0576115752070556,0.203049545278244,"qPCR_eimeria_field_CEWE_JK_25022022_2.eds"
"AA_0897",-0.161779590126198,23.4411509398635,23.5561881098247,23.5561881098247,23.5561881098247,23.6029305299897,23.5256395094249,23.5256395094249,23.5256395094249,80.230354309082,NA,NA,NA,75.2467269897461,NA,NA,NA,0.0996273956470005,0.0694478857460164,"qPCR_eimeria_field_CEWE_JK_04032022.eds"
"AA_0898",-10.6079597937491,23.6940766062513,23.4504198731673,23.4504198731673,23.4504198731673,34.3020364000004,33.6830842245544,33.6830842245544,33.6830842245544,80.0793380737305,NA,NA,NA,73.5855178833008,78.7201690673828,82.6466598510742,NA,0.217530362316653,0.601339747031587,"qPCR_eimeria_field_CEWE_JK_04032022.eds"
"AA_0899",-10.456600667443,21.8925726520099,21.8399538968832,21.8399538968832,21.8399538968832,32.3491733194529,31.9993322394424,31.9993322394424,31.9993322394424,80.0793380737305,NA,NA,NA,79.0222015380859,82.3446197509766,71.7732849121094,NA,0.0462858046559774,0.312910761577688,"qPCR_eimeria_field_CEWE_JK_04032022.eds"
"AA_0900",-9.2217342985985,22.8654492754163,22.9267661551039,22.9267661551039,22.9267661551039,32.0871835740148,32.0550076894878,32.0550076894878,32.0550076894878,80.0793380737305,NA,NA,NA,82.3446197509766,77.9650726318359,61.9570503234863,NA,0.056292917907987,0.280840478800349,"qPCR_eimeria_field_CEWE_JK_04032022.eds"
"AA_0901",-4.6250566555457,23.3839627784146,23.1606564635005,23.1606564635005,23.1606564635005,28.0090194339603,27.8956858065589,27.8956858065589,27.8956858065589,79.9283142089844,NA,NA,NA,75.0957107543945,NA,NA,NA,0.270188295115977,0.171977259809584,"qPCR_eimeria_field_CEWE_JK_04032022.eds"
