"Mouse_ID","Target","Task","Reporter","Amp Status","Amp Score","Cq Confidence","ILWE_Crypto_Ct","Cq SD","Threshold","Auto Baseline","Baseline Start","Baseline End","plate","ILWE_Crypto_Ct1","ILWE_Crypto_Ct2","ILWE_Crypto_Ct3"
"AA_0690","Unknown","UNKNOWN","FAM","Amp",1.46461775234805,0.975050392710323,31.13,0.175792512616559,0.269380199710307,"TRUE",3,26,"HZ19_ILWE_Crypto_Plate1.eds",31.3081296584544,30.9565631602633,31.1354721874866
"AA_0691","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0692","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0693","Unknown","UNKNOWN","FAM","Amp",1.42443860076192,0.972575758132014,32.81,0.342421336231127,0.265073790415862,"TRUE",3,27,"HZ19_ILWE_Crypto_Plate5.eds",32.4165061309494,33.0113021814924,33.0078775533382
"AA_0694","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0695","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0696","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0697","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0699","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0700","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0701","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0702","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0703","Unknown","UNKNOWN","FAM","Amp",1.33712379473154,0.979512670841363,34.23,0.436847316401406,0.211462620160383,"TRUE",3,28,"HZ19_ILWE_Crypto_Plate2.eds",34.7328570566698,33.9531425726404,34.001619197033
"AA_0704","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0704","Unknown","UNKNOWN","FAM","No Amp",0.337476449686766,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0705","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0706","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0707","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0708","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0709","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,14,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0710","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0711","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0712","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0713","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0714","Unknown","UNKNOWN","FAM","Inconclusive",1.12906662910443,0.913331898236032,37.12,0.366106840450288,0.12809791932362,"TRUE",3,32,"HZ19_ILWE_Crypto_Plate3.eds",36.8640997645507,36.7735975713953,37.381853023593
"AA_0715","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0716","Unknown","UNKNOWN","FAM","No Amp",0.791379490698815,0,0,NA,0.265073790415862,"TRUE",3,34,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0717","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0718","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0719","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0720","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0721","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,35.6860886856797,NA
"AA_0722","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0723","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0724","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0725","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0726","Unknown","UNKNOWN","FAM","Inconclusive",1.12388326711725,0.937164726090069,37.96,NA,0.265073790415862,"TRUE",3,32,"HZ19_ILWE_Crypto_Plate5.eds",37.9615789224318,NA,NA
"AA_0727","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0728","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0729","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0730","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0731","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0732","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0733","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0734","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0735","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0736","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0737","Unknown","UNKNOWN","FAM","Amp",0.976509854099533,0.859914495704699,34.26,NA,0.0399999991059303,"TRUE",3,31,"HZ19_ILWE_Crypto_Plate4.eds",34.2590605569971,NA,NA
"AA_0738","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0739","Unknown","UNKNOWN","FAM","Amp",1.46044833704043,0.97014657530852,33.38,0.410551335740175,0.211462620160383,"TRUE",3,27,"HZ19_ILWE_Crypto_Plate2.eds",33.0280127106511,33.8324489788804,33.2876864109806
"AA_0740","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0741","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0742","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0743","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0744","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0745","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0746","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0926475283105291,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate6.eds",NA,NA,NA
"AA_0747","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0748","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0749","Unknown","UNKNOWN","FAM","Amp",0.998873164351011,0.890082625190279,33.68,1.20359846831169,0.0399999991059303,"TRUE",3,29,"HZ19_ILWE_Crypto_Plate4.eds",34.1645772721512,32.3113366417461,34.5683975580763
"AA_0750","Unknown","UNKNOWN","FAM","Amp",1.36092606372248,0.953702817666289,32.29,0.163698205129071,0.0926475283105291,"TRUE",3,29,"HZ19_ILWE_Crypto_Plate6.eds",32.2897009107696,32.1320905075694,32.4594123639232
"AA_0752","Unknown","UNKNOWN","FAM","Amp",1.40519693658239,0.963307022958979,31.95,0.235587235933763,0.0926475283105291,"TRUE",3,27,"HZ19_ILWE_Crypto_Plate6.eds",31.7236444503758,31.9223838030938,32.1929885035028
"AA_0753","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0926475283105291,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate6.eds",NA,NA,NA
"AA_0754","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0926475283105291,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate6.eds",NA,NA,NA
"AA_0754","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0926475283105291,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate6.eds",NA,NA,NA
"AA_0755","Unknown","UNKNOWN","FAM","Amp",1.37018636186048,0.955005830811647,34.17,0.460184021205662,0.211462620160383,"TRUE",3,28,"HZ19_ILWE_Crypto_Plate2.eds",34.0411415070681,34.6784070022353,33.7846851166735
"AA_0755","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0756","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0757","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0758","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0926475283105291,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate6.eds",NA,NA,NA
"AA_0759","Unknown","UNKNOWN","FAM","Amp",1.41831686233364,0.979524599182426,30.71,0.0553160028626245,0.269380199710307,"TRUE",3,25,"HZ19_ILWE_Crypto_Plate1.eds",30.7733041585336,30.7016329899067,30.6644821836562
"AA_0760","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0761","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0762","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0926475283105291,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate6.eds",NA,NA,NA
"AA_0763","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0764","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0765","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0766","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0926475283105291,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate6.eds",NA,NA,NA
"AA_0767","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0768","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0769","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0770","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0771","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0772","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,37.9597184582703,NA
