Mouse_ID,Transect,State,Code,GPS.latitude,GPS.longitude,Year,Sex,HI,Species,Ectoparasites(TRUE),Eimeria_atleasforonedetectionmethod,Wormspresence,Hymenolepis_microstoma,Hymenolepis_diminuta,Catenotaenia_pusilla,Cysticercus,Taenia_martis,Mesocestoides_litteratus,Mastophorus_muris,Trichuris_muris,Heterakis,Syphacia_obvelata,Aspiculuris_tetraptera,Syphacia_Aspiculuris,S_A,
AA_0064,HZ_BR,Germany,E_LIEB,52.91614,13.4638,2016,F,0.08,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,1,
AA_0065,HZ_BR,Germany,E_LIEB,52.91614,13.4638,2016,M,0,mus musculus,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0066,HZ_BR,Germany,E_LIEB,52.91614,13.4638,2016,F,0.12,mus musculus,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0067,HZ_BR,Germany,E_LIEB,52.91614,13.4638,2016,M,0.1,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,1,
AA_0068,HZ_BR,Germany,E_LIEB,52.91614,13.4638,2016,F,0.04,mus musculus,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0069,HZ_BR,Germany,E_LIEB,52.91614,13.4638,2016,M,0,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,1,
AA_0070,HZ_BR,Germany,E_LIEB,52.91614,13.4638,2016,F,0,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,9,0,0,9,
AA_0071,HZ_BR,Germany,E_KLAN,52.28421,13.5998,2016,F,0.04,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0072,HZ_BR,Germany,E_MIL1,52.29935,13.30472,2016,F,0,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0073,HZ_BR,Germany,E_MIL1,52.29935,13.30472,2016,F,0,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,1,
AA_0074,HZ_BR,Germany,E_MIL1,52.29935,13.30472,2016,F,0,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,17,0,0,17,
AA_0075,HZ_BR,Germany,E_MIL1,52.29935,13.30472,2016,F,0,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,9,0,0,9,
AA_0076,HZ_BR,Germany,E_GRAB,52.42122,13.707342,2016,M,0.05,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,15,0,0,2,0,0,2,
AA_0077,HZ_BR,Germany,E_AMTO,52.21563,13.58843,2016,F,0,mus musculus,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0078,HZ_BR,Germany,E_AMTO,52.21563,13.58843,2016,F,0,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,26,0,0,26,
AA_0079,HZ_BR,Germany,E_WOLZ,52.67513,13.840138,2016,M,0.1,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,3,0,0,3,
AA_0080,HZ_BR,Germany,E_WOLZ,52.67513,13.840138,2016,F,0,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,3,0,0,3,
AA_0081,HZ_BR,Germany,E_WOLZ,52.67513,13.840138,2016,M,0.05,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,1,
AA_0082,HZ_BR,Germany,E_WOLZ,52.67513,13.840138,2016,F,0,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,1,
AA_0083,HZ_BR,Germany,HOPPE1,52.97666,13.676085,2016,F,0.91,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,4,0,0,4,
AA_0084,HZ_BR,Germany,HOPPE1,52.97666,13.676085,2016,M,0.5,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,3,0,0,3,
AA_0085,HZ_BR,Germany,HOPPE1,52.97666,13.676085,2016,F,0.8,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0086,HZ_BR,Germany,HOPPE1,52.97666,13.676085,2016,M,0.12,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,10,0,0,10,
AA_0087,HZ_BR,Germany,HOPPE1,52.97666,13.676085,2016,F,0.78,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,1,
AA_0088,HZ_BR,Germany,E_WOLZ,52.67513,13.840138,2016,M,0.2,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,19,0,0,19,
AA_0089,HZ_BR,Germany,E_WOLZ,52.67513,13.840138,2016,F,0.05,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0090,HZ_BR,Germany,E_GRAB,52.42122,13.707342,2016,M,0,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,3,0,0,3,
AA_0091,HZ_BR,Germany,E_MU14,52.78755,13.55461,2016,F,0,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,32,0,0,32,
AA_0092,HZ_BR,Germany,E_MU14,52.78755,13.55461,2016,M,0,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,22,0,0,22,
AA_0093,HZ_BR,Germany,E_MIL1,52.29935,13.30472,2016,M,0.06,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,3,0,0,3,
AA_0094,HZ_BR,Germany,E_MIL1,52.29935,13.30472,2016,F,0.04,mus musculus,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,8,0,0,8,
AA_0095,HZ_BR,Germany,E_MIL1,52.29935,13.30472,2016,M,0.05,mus musculus,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0096,HZ_BR,Germany,E_OE62,51.29943,13.043982,2016,F,0,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,10,0,0,10,
AA_0097,HZ_BR,Germany,RUDN21,52.16944,13.64,2016,M,0.06,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0098,HZ_BR,Germany,RUDN21,52.16944,13.64,2016,M,0,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,3,0,0,3,
AA_0099,HZ_BR,Germany,E_GR17,52.31213,13.082355,2016,M,0.29,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,81,0,0,0,0,0,
AA_0100,HZ_BR,Germany,E_RO38,51.62758,13.463558,2016,F,0,mus musculus,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,7,0,0,7,
AA_0101,HZ_BR,Germany,E_RO38,51.62758,13.463558,2016,M,0,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,1,
AA_0102,HZ_BR,Germany,E_GRAF,51.09612,13.1949,2016,M,0,mus musculus,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0103,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,F,0.91,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,9,0,0,172,172,
AA_0104,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,M,0.95,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,2,0,0,0,73,73,
AA_0105,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,F,0.87,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,2,0,2,
AA_0106,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,M,0.89,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,43,0,0,0,0,0,
AA_0107,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,F,0.88,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,489,489,
AA_0108,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,M,0.84,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,2,0,0,0,85,85,
AA_0109,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,M,0.95,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,1,0,0,0,76,76,
AA_0110,HZ_BR,Germany,HOPPE1,52.97666,13.676085,2016,M,0.58,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,2,0,0,2,
AA_0111,HZ_BR,Germany,E_KIR1,52.95691,13.89739,2016,F,0.87,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0112,HZ_BR,Germany,E_KIR1,52.95691,13.89739,2016,M,0.89,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0113,HZ_BR,Germany,E_WOLZ,52.67513,13.840138,2016,M,0.16,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,28,0,0,28,
AA_0114,HZ_BR,Germany,E_KIR1,52.95691,13.89739,2016,F,0.78,mus musculus,FALSE,FALSE,TRUE,0,0,1,0,0,0,0,0,8,22,0,0,22,
AA_0115,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,M,0.95,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,9,9,
AA_0116,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,M,0.88,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0117,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,F,0.92,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,16,16,
AA_0118,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,F,0.91,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,3,0,0,0,225,225,
AA_0119,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,F,0.87,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,3,0,3,
AA_0120,HZ_BR,Germany,E_KIR1,52.95691,13.89739,2016,F,0.87,mus musculus,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,26,117,0,0,117,
AA_0121,HZ_BR,Germany,E_KIR1,52.95691,13.89739,2016,F,0.89,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,51,0,0,51,
AA_0122,HZ_BR,Germany,E_ZEH8,52.29784,13.7336,2016,F,1,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,116,0,116,
AA_0123,HZ_BR,Germany,E_MIL1,52.29935,13.30472,2016,F,0,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,2,0,0,2,
AA_0124,HZ_BR,Germany,E_MIL1,52.29935,13.30472,2016,F,0.04,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,7,0,0,7,
AA_0125,HZ_BR,Germany,E_MIL1,52.29935,13.30472,2016,F,0.04,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,6,0,0,0,0,0,
AA_0126,HZ_BR,Germany,E_KI13,52.54538,13.787479,2016,F,0.24,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0127,HZ_BR,Germany,E_RIB8,53.32128,13.256764,2016,M,0.05,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,8,0,0,8,
AA_0128,HZ_BR,Germany,E_ALTE,53.38544,13.186732,2016,M,0,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,3,0,0,5,0,0,5,
AA_0129,HZ_BR,Germany,E_RIB8,53.32128,13.256764,2016,F,0,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,80,80,
AA_0130,HZ_BR,Germany,E_EGS7,52.15826,13.58764,2016,F,0,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0131,HZ_BR,Germany,E_EGS7,52.15826,13.58764,2016,M,0,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0132,HZ_BR,Germany,E_EGS7,52.15826,13.58764,2016,M,0,mus musculus,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0133,HZ_BR,Germany,E_GUTS,52.30086,13.608102,2016,M,0,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,1,
AA_0134,HZ_BR,Germany,E_EGS7,52.15826,13.58764,2016,F,0,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0135,HZ_BR,Germany,E_EGS7,52.15826,13.58764,2016,M,0,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,
AA_0136,HZ_BR,Germany,E_KI13,52.54538,13.787479,2016,M,0.1,mus musculus,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0137,HZ_BR,Germany,E_KI13,52.54538,13.787479,2016,F,0.13,mus musculus,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0138,HZ_BR,Germany,E_STE1,52.21551,14.127122,2016,F,0.84,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,55,55,
AA_0139,HZ_BR,Germany,E_ANDE,52.30311,14.043857,2016,M,0.85,mus musculus,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0140,HZ_BR,Germany,E_WILM,53.16421,13.772821,2016,F,0.8,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,78,0,78,
AA_0141,HZ_BR,Germany,E_WILM,53.16421,13.772821,2016,M,0.88,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0142,HZ_BR,Germany,E_WILM,53.16421,13.772821,2016,F,0.78,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,180,180,
AA_0143,HZ_BR,Germany,E_MU14,52.78755,13.55461,2016,M,0,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,13,0,0,13,
AA_0144,HZ_BR,Germany,E_LUDE,52.99579,14.082995,2016,F,0.87,mus musculus,TRUE,FALSE,TRUE,1,0,0,0,0,0,0,1,0,0,0,38,38,
AA_0145,HZ_BR,Germany,E_WRI6,52.69965,14.058403,2016,F,0.92,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0146,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,M,0.2,mus musculus,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0147,HZ_BR,Germany,E_LUCK,51.85597,13.787119,2016,F,0.17,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0148,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,M,0.05,mus musculus,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0149,HZ_BR,Germany,E_LUCK,51.85597,13.787119,2016,F,0.24,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,10,0,0,10,
AA_0150,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,M,0.25,mus musculus,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0151,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,F,0.12,mus musculus,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0152,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,M,0.11,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,4,0,0,4,
AA_0153,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,F,0.16,mus musculus,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0154,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,M,0.25,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,6,0,7,0,0,7,
AA_0155,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,F,0.16,mus musculus,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0156,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,F,0.12,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0157,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,M,0.16,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,4,0,0,4,
AA_0158,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,F,0.2,mus musculus,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0159,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,F,0.12,mus musculus,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0160,HZ_BR,Germany,E_DU19,51.97811,13.809616,2016,F,0.16,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0161,HZ_BR,Germany,E_DORW,51.48838,13.534375,2016,F,0.2,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,3,0,0,3,
AA_0162,HZ_BR,Germany,E_DORW,51.48838,13.534375,2016,F,0,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,3,0,0,0,0,0,
AA_0163,HZ_BR,Germany,E_DORW,51.48838,13.534375,2016,F,0.32,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0164,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,M,0.6,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0165,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,F,0.4,mus musculus,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0166,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,M,0.53,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,4,0,0,4,
AA_0167,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,F,0.52,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,28,0,0,28,
AA_0168,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,F,0.52,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,18,0,0,18,
AA_0169,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,M,0.23,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,4,0,0,4,
AA_0170,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,F,0.72,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,9,0,0,9,
AA_0171,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,M,0.7,mus musculus,FALSE,FALSE,TRUE,1,0,0,0,0,0,0,0,0,2,0,0,2,
AA_0172,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,F,0.56,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,34,0,0,34,
AA_0173,HZ_BR,Germany,E_DOB1,53.19926,14.035729,2016,M,0.9,mus musculus,TRUE,TRUE,TRUE,1,0,0,0,0,0,0,0,0,0,0,66,66,
AA_0174,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,F,0.6,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,46,0,0,46,
AA_0175,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,F,0.3,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,5,0,0,5,
AA_0176,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,M,0.6,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,3,0,0,3,
AA_0177,HZ_BR,Germany,STEG1,53.26703,13.843372,2016,M,0.71,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0178,HZ_BR,Germany,E_GERS,53.13322,13.755,2016,F,0.84,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0179,HZ_BR,Germany,E_GERS,53.13322,13.755,2016,M,0.9,mus musculus,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0180,HZ_BR,Germany,E_ZOOT,53.51642,13.213816,2016,F,0.8,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0181,HZ_BR,Germany,E_ZOOT,53.51642,13.213816,2016,M,0.65,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,5,0,0,5,
AA_0182,HZ_BR,Germany,E_NE20,53.50558,13.172672,2016,F,0.04,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0183,HZ_BR,Germany,E_ZOOT,53.51642,13.213816,2016,M,0.75,mus musculus,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,41,0,41,
AA_0184,HZ_BR,Germany,E_ZOOT,53.51642,13.213816,2016,F,0.84,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,70,70,
AA_0185,HZ_BR,Germany,DOBB8,53.20251,14.035471,2016,M,0.85,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,13,13,
AA_0186,HZ_BR,Germany,DOBB8,53.20251,14.035471,2016,F,0.75,mus musculus,FALSE,TRUE,TRUE,2,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0187,HZ_BR,Germany,DOBB8,53.20251,14.035471,2016,M,0.85,mus musculus,FALSE,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0188,HZ_BR,Germany,DOBB8,53.20251,14.035471,2016,F,0.72,mus musculus,TRUE,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,10,10,
AA_0189,HZ_BR,Germany,DOBB8,53.20251,14.035471,2016,M,0.8,mus musculus,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,38,0,0,38,
AA_0190,HZ_BR,Germany,E_HIND,51.53542,13.847336,2016,F,0.56,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,4,0,4,
AA_0191,HZ_BR,Germany,E_DOB1,53.19926,14.035729,2016,M,0.86,mus musculus,TRUE,TRUE,TRUE,1,0,0,0,0,0,3,0,0,0,0,0,0,
AA_0192,HZ_BR,Germany,E_MA20,52.33087,14.125579,2016,F,0.88,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,1,
AA_0193,HZ_BR,Germany,E_MA20,52.33087,14.125579,2016,F,0.88,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,26,0,0,26,
AA_0194,HZ_BR,Germany,E_MA20,52.33087,14.125579,2016,M,0.95,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,1,
AA_0195,HZ_BR,Germany,E_MA20,52.33087,14.125579,2016,F,0.88,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,28,28,
AA_0196,HZ_BR,Germany,E_AD23,53.39927,13.164659,2016,M,0.9,mus musculus,FALSE,FALSE,TRUE,0,0,1,0,0,0,0,20,0,0,0,0,0,
