Mouse_ID;Transect;State;Address;Code;Latitude;Longitude;Sex;Status;Species;Year;Trap_date;Dissection_date;Dissectors;Ectoparasites;Body_weight;Body_length;Tail_length;Spleen;Left_Testis;Right_Testis;Left_epididymis;Seminal_vesicles;Left_ovarium;Right_ovarium;Total;Embryo_left;Embryo_right;Feces;Worms_presence;HM;HD;CP;Cysticercus;Mesocestoides;MM;TM;Heterakis_spumosa;SYP;ASP;Heligmosomoides_polygurus;Notes
AA_0250;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;male;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;13. Mrz;76.88;75.31;31;0.0575;0.0594;0.0122;NA;NA;NA;NA;NA;NA;0.34;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0251;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;female;pregnant;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;17.39;84.83;88.81;0.0477;NA;NA;NA;NA;0.0036;0.0046;0.0082;0;0;01. Feb;TRUE;0;0;0;0;0;0;0;0;20;0;0;NA
AA_0252;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;male;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;18.36;84.24;81;0.0316;0.0881;0.0932;0.0272;0.1176;NA;NA;NA;NA;NA;0.9;TRUE;0;0;0;0;0;0;0;0;7;0;0;NA
AA_0253;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;female;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;16.71;85.36;80.96;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0.12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Died in cage. Small protocol (1 tube “All digestive tract”)
AA_0254;HZ_BR;Germany;Marienhof 6 15741 Bestensee;MARIE;522.458;135.994;male;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;16.46;82.03;79.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Died in cage. Small protocol (1 tube “All digestive tract”)
AA_0255;HZ_BR;Germany;Marienhof 6 15741 Bestensee;MARIE;522.458;135.994;male;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;Aug 76;65.53;75.2;0.0127;0.0151;0.0154;NA;NA;NA;NA;NA;NA;NA;0.06;TRUE;0;0;0;0;0;0;0;0;40;0;0;NA
AA_0256;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;female;adult;Mus musculus;2017;11.09.2017;12.09.2017;German;TRUE;19.31;83.51;90.74;0.09;NA;NA;NA;NA;NA;NA;NA;0;0;0.28;TRUE;0;0;0;0;0;46;0;0;0;0;0;NA
AA_0257;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;male;adult;Mus musculus;2017;11.09.2017;12.09.2017;German;TRUE;16.84;82.62;75.34;0.03;0.0859;0.0842;29;NA;NA;NA;NA;NA;NA;0.85;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0258;HZ_BR;Germany;An den Eiskuten 8, 15479 Mittenwalde / Schenkendorf;SCHEN8h;522.747;135.905;female;adult;Mus musculus;2017;11.09.2017;12.09.2017;German;FALSE;13. Mrz;77.94;77.52;0.03;NA;NA;NA;NA;NA;NA;NA;0;0;0.3;TRUE;0;0;0;0;0;0;0;0;6;0;0;NA
AA_0259;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;female;adult;Mus musculus;2017;11.09.2017;12.09.2017;German;FALSE;Dez 85;71.94;73.96;0.05;NA;NA;NA;NA;NA;NA;NA;0;0;0.28;TRUE;0;0;0;0;0;0;0;0;1;0;0;NA
AA_0260;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;female;adult;Mus musculus;2017;11.09.2017;12.09.2017;German;FALSE;17.82;83.01;79.18;0.07;NA;NA;NA;NA;NA;NA;NA;0;0;0.34;TRUE;0;0;0;0;0;0;0;0;9;0;0;NA
AA_0261;HZ_BR;Germany;Marienhof 6 15741 Bestensee;MARIE;522.458;135.994;male;adult;Mus musculus;2017;11.09.2017;12.09.2017;German;FALSE;Nov 69;72;71.17;0.02;0.0221;0.0242;0.0031;NA;NA;NA;NA;NA;NA;0.43;TRUE;0;0;0;0;0;0;0;4;0;0;0;NA
AA_0262;HZ_BR;Germany;Marienhof 6 15741 Bestensee;MARIE;522.458;135.994;female;adult;Mus musculus;2017;11.09.2017;12.09.2017;German;TRUE;21.39;87.56;83.37;0.08;NA;NA;NA;NA;NA;NA;NA;0;0;0.2;TRUE;0;0;0;0;0;0;0;0;20;0;0;NA
AA_0263;HZ_BR;Germany;Marienhof 6 15741 Bestensee;MARIE;522.458;135.994;female;pregnant;Mus musculus;2017;11.09.2017;12.09.2017;German;FALSE;27.83;83.43;80.67;0.03;NA;NA;NA;NA;NA;NA;NA;5;2;0.27;TRUE;0;1;0;0;0;1;2;1;8;0;0;NA
AA_0264;HZ_BR;Germany;Erkner Kinderbauernhof;ERKNKI;523.989;137.581;female;adult;Mus musculus;2017;11.09.2017;12.09.2017;German;FALSE;18.98;82.8;75.69;0.03;NA;NA;NA;NA;NA;NA;NA;0;0;0.19;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0265;HZ_BR;Germany;Walter-rathenau strasse 14 Neu Zittenau;NA;52.384.336;13.760.233;male;young;Mus musculus;2017;11.09.2017;12.09.2017;German;FALSE;Aug 33;63.74;63.49;0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.13;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0266;HZ_BR;Germany;Pflasterstraße 8, 16269 Wriezen;NA;526.788.854;140.506.342;NA;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;NA;14. Jul;79.68;78.32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Died in cage. Small protocol (1 tube “All digestive tract”)
AA_0267;HZ_BR;Germany;Wildpark Schorfheide;SCHORFHOF;52.921.731;13.547.089;female;adult;Mus musculus;2017;11.09.2017;12.09.2017;German;FALSE;16.24;79.5;84.22;0.04;NA;NA;NA;NA;NA;NA;NA;0;0;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0268;HZ_BR;Germany;Dorfanger 7 15754 Heidesee;NA;52.242.473;1.370.713;male;adult;Mus musculus;2017;12.09.2017;13.09.2017;Czech;TRUE;17.83;82;80.27;0.0847;0.0646;0.0703;0.0238;145;NA;NA;NA;NA;NA;0.75;TRUE;0;0;0;0;0;2;9;0;12;0;0;NA
AA_0269;HZ_BR;Germany;Alt-Gielsdorf 68 15345 Alt-Landsberg;GIEL68;526.053;138.756;male;adult;Mus musculus;2017;12.09.2017;13.09.2017;Czech;FALSE;Sep 62;69.25;72.22;0.03;0.0349;0.0393;5;NA;NA;NA;NA;NA;NA;0.09;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0270;HZ_BR;Germany;Dorfanger 7 15754 Heidesee;NA;52.242.473;1.370.713;female;pregnant;Mus musculus;2017;12.09.2017;13.09.2017;Czech;TRUE;18.38;83.31;77.16;0.0493;NA;NA;NA;NA;NA;NA;NA;3;5;01. Dez;TRUE;0;0;2;0;0;0;9;0;0;85;0;white spot on belly. Resorbed embryos (2/3 left, 4/5 right)
AA_0271;HZ_BR;Germany;Reiterhof Böse;NA;52.896.941;13.535.213;female;adult;Mus musculus;2017;12.09.2017;13.09.2017;Czech;FALSE;25.42;98.5;95.6;0.0534;NA;NA;NA;NA;0.0074;0.0075;0.0149;0;0;0.28;FALSE;0;0;0;0;0;0;0;0;0;0;0;post partum?
AA_0272;HZ_BR;Germany;Reiterhof Böse;NA;52.896.941;13.535.213;male;adult;Mus musculus;2017;12.09.2017;13.09.2017;Czech;FALSE;11. Feb;69.54;76.51;0.0239;0.0368;0.0375;0.0284;NA;NA;NA;NA;NA;NA;0.14;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0273;HZ_BR;Germany;Reiterhof Böse;NA;52.896.941;13.535.213;male;adult;Mus musculus;2017;12.09.2017;13.09.2017;Czech;FALSE;Jun 55;58.02;63.87;0.0129;0.0086;0.0071;NA;NA;NA;NA;NA;NA;NA;0.31;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0274;HZ_BR;Germany;Alt-Gielsdorf 68 15345 Alt-Landsberg;GIEL68;526.053;138.756;female;pregnant;Mus musculus;2017;12.09.2017;13.09.2017;Czech;TRUE;18.93;81.23;66.75;0.0723;NA;NA;NA;NA;NA;NA;NA;0 + 1 residual;3;0.28;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0275;HZ_BR;Germany;Alt-Gielsdorf 68 15345 Alt-Landsberg;GIEL68;526.053;138.756;female;adult;Mus musculus;2017;12.09.2017;13.09.2017;Czech;FALSE;Dez 25;76.65;73.81;0.0464;0.0026;0.0026;0.0052;NA;NA;NA;NA;0;0;0.13;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0276;HZ_BR;Germany;Reiterhof Böse;NA;52.896.941;13.535.213;male;adult;Mus musculus;2017;12.09.2017;13.09.2017;Czech;FALSE;24. Jan;92.89;105;0.0316;0.0925;0.0936;0.0371;0.1641;NA;NA;NA;NA;NA;0.21;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0277;HZ_BR;Germany;Wildpark Schorfheide;SCHORFHOF;52.921.731;13.547.089;male;adult;Mus musculus;2017;12.09.2017;13.09.2017;Czech;FALSE;14.24;79.54;84.24;0.0203;0.0705;0.0563;0.0166;0.0638;NA;NA;NA;NA;NA;0.22;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0278;HZ_BR;Germany;Reiterhof Böse;NA;52.896.941;13.535.213;female;young;Mus musculus;2017;12.09.2017;13.09.2017;Czech;FALSE;Sep 21;66.98;75;0.0176;NA;NA;NA;NA;0.0013;0.0011;0.0024;0;0;0.08;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0279;HZ_BR;Germany;Alt-Gielsdorf 68 15345 Alt-Landsberg;GIEL68;526.053;138.756;female;adult;Mus musculus;2017;12.09.2017;13.09.2017;Czech;FALSE;15.43;75.78;def;0.0273;0.1122;0.11;0.0202;0.0957;NA;NA;NA;0;0;0.35;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0280;HZ_BR;Germany;Alt-Gielsdorf 68 15345 Alt-Landsberg;GIEL68;526.053;138.756;female;young;Mus musculus;2017;12.09.2017;13.09.2017;Czech;FALSE;Jul 45;63.95;67.4;0.0219;NA;NA;NA;NA;NA;NA;NA;0;0;0.07;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0281;HZ_BR;Germany;Wildpark Schorfheide;SCHORFHOF;52.921.731;13.547.089;male;young;Mus musculus;2017;12.09.2017;13.09.2017;Czech;FALSE;Nov 39;74.14;74.14;0.0187;0.0248;0.0265;0.0065;NA;NA;NA;NA;NA;NA;0.19;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0282;HZ_BR;Germany;Wildpark Schorfheide;SCHORFHOF;52.921.731;13.547.089;male;adult;Mus musculus;2017;12.09.2017;13.09.2017;Czech;FALSE;Sep 57;66.58;72.23;0.0128;0.0234;0.0235;NA;NA;NA;NA;NA;NA;NA;0.21;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0283;HZ_BR;Germany;Wildpark Schorfheide;SCHORFHOF;52.921.731;13.547.089;female;adult;Mus musculus;2017;12.09.2017;13.09.2017;German;FALSE;16.45;77.02;77.01;0.2;NA;NA;NA;NA;NA;NA;NA;0;0;0.19;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0284;HZ_BR;Germany;Wildpark Schorfheide;SCHORFHOF;52.921.731;13.547.089;female;adult;Mus musculus;2017;12.09.2017;13.09.2017;German;FALSE;21.51;84.53;85.33;0.05;NA;NA;NA;NA;NA;NA;NA;0;0;0.05;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0285;HZ_BR;Germany;Wildpark Schorfheide;SCHORFHOF;52.921.731;13.547.089;male;young;Mus musculus;2017;12.09.2017;13.09.2017;German;FALSE;10. Apr;66.99;70.05;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.08;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0286;HZ_BR;Germany;Kiefernweg 8, 15537 Gosen-Neu Zittau, Germany;NA;52.374.656;13.777.103;NA;adult;Mus musculus;2017;12.09.2017;13.09.2017;German;FALSE;Nov 87;71.15;79.27;<0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.08;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0287;HZ_BR;Germany;Alt-Gielsdorf 68 15345 Alt-Landsberg;GIEL68;526.053;138.756;male;young;Mus musculus;2017;12.09.2017;13.09.2017;German;FALSE;Jul 89;65.91;60.55;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0288;HZ_BR;Germany;Alt-Gielsdorf 68 15345 Alt-Landsberg;GIEL68;526.053;138.756;male;young;Mus musculus;2017;12.09.2017;13.09.2017;German;TRUE;07. Jan;62.14;60.69;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.26;TRUE;0;0;0;0;0;0;0;0;3;0;0;NA
AA_0289;HZ_BR;Germany;Alt-Gielsdorf 68 15345 Alt-Landsberg;GIEL68;526.053;138.756;male;adult;Mus musculus;2017;12.09.2017;13.09.2017;German;FALSE;Aug 82;63.95;59.64;0.03;18;19;6;NA;NA;NA;NA;NA;NA;0.08;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0290;HZ_BR;Germany;Alt-Gielsdorf 68 15345 Alt-Landsberg;GIEL68;526.053;138.756;female;adult;Mus musculus;2017;12.09.2017;13.09.2017;German;TRUE;15.34;82.63;73.52;0.06;NA;NA;NA;NA;NA;NA;NA;0;0;0.18;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0291;HZ_BR;Germany;Wildpark Schorfheide;SCHORFHOF;52.921.731;13.547.089;NA;adult;Mus musculus;2017;12.09.2017;13.09.2017;German;FALSE;13.94;73.79;75.48;0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.34;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0292;HZ_BR;Germany;Wildpark Schorfheide;SCHORFHOF;52.921.731;13.547.089;female;adult;Mus musculus;2017;12.09.2017;13.09.2017;German;FALSE;15.55;74.77;80.31;0.02;NA;NA;NA;NA;NA;NA;NA;0;0;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;extra piece of liver in ethanol with potential cisticercous. Big mes lymph nodes
AA_0293;HZ_BR;Germany;Berkenlatten;NA;531.406;137.586;NA;adult;Mus musculus;2017;13.09.2017;13.09.2017;Czech;FALSE;13.69;74.77;74.66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Died in cage. Small protocol 
AA_0294;HZ_BR;Germany;Croustillier 17, 16259 oderage;NA;52.791.376;14.116.181;male;young;Mus musculus;2017;13.09.2017;13.09.2017;Czech;FALSE;Mrz 96;53.98;50.98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Died in cage. Small protocol 
AA_0295;HZ_BR;Germany;Croustillier 17, 16259 oderage;NA;52.791.376;14.116.181;male;adult;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;16.24;82.04;69.37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Died in cage. Small protocol 
AA_0296;HZ_BR;Germany;Alt Gaul 26b 16269 Wriezen florian köhler;NA;52.738.064;14.095.413;male;adult;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;14.62;77.35;68.87;0.0288;0.0651;0.0633;0.0156;0.0887;NA;NA;NA;NA;NA;0.91;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0297;HZ_BR;Germany;Croustillier 17, 16259 oderage;NA;52.791.376;14.116.181;female;pregnant;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;17.74;82.33;79.2;0.0316;NA;NA;NA;NA;NA;NA;NA;3;3;0.39;TRUE;0;0;0;0;0;0;96;17;0;0;0;NA
AA_0298;HZ_BR;Germany;Alt Gaul 26b 16269 Wriezen florian köhler;NA;52.738.064;14.095.413;female;young;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;Sep 58;69.5;70.3;0.0235;NA;NA;NA;NA;0.0015;0.0013;0.0028;0;0;0.13;TRUE;0;0;0;0;0;0;0;0;18;0;0;NA
AA_0299;HZ_BR;Germany;Alt Gaul 26b 16269 Wriezen florian köhler;NA;52.738.064;14.095.413;male;adult;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;16.97;85.87;84.22;48;0.0977;0.0942;25;0.1304;NA;NA;NA;NA;NA;0.45;TRUE;0;0;0;0;0;0;83;24;0;5;0;NA
AA_0300;HZ_BR;Germany;Croustillier 17, 16259 oderage;NA;52.791.376;14.116.181;female;adult;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;17.23;86.84;81.97;0.0684;NA;NA;NA;NA;0.0066;6;0.0126;4;2;0.24;TRUE;0;0;0;0;0;0;86;17;0;0;0;NA
AA_0301;HZ_BR;Germany;Alt Gaul 26b 16269 Wriezen florian köhler;NA;52.738.064;14.095.413;female;post partum;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;18. Jul;89.5;80.82;0.0323;NA;NA;NA;NA;0.0058;0.0064;0.0122;0;0;0.6;TRUE;0;0;0;0;0;0;0;49;0;0;0;NA
AA_0302;HZ_BR;Germany;Reitsport Münchehofe Minderhofer strasse;NA;52.496.944;13.677.066;male;adult;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;17. Sep;84.25;96.58;0.0205;0.0789;82;0.0262;0.2137;NA;NA;NA;NA;NA;0.43;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0303;HZ_BR;Germany;Pferdefreunde klein-schauen alte-dorfstrasse 31 15859 stokow;NA;52.242.982;13.867.386;male;adult;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;18.92;83.28;91.96;0.0528;0.0506;0.0538;0.0194;232;NA;NA;NA;NA;NA;0.04;TRUE;0;0;0;0;0;0;0;0;137;0;0;NA
AA_0304;HZ_BR;Germany;Reitsport Münchehofe Minderhofer strasse;NA;52.496.944;13.677.066;female;pregnant;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;15.58;82.08;81.92;0.0258;NA;NA;NA;NA;NA;NA;NA;2;1;0.69;TRUE;0;0;0;0;0;0;0;0;4;0;0;NA
AA_0305;HZ_BR;Germany;Reiterhof Böse;NA;52.896.941;13.535.213;female;young;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;07. Jul;57.55;66.71;0.0135;NA;NA;NA;NA;NA;NA;NA;0;0;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0306;HZ_BR;Germany;Pferdefreunde klein-schauen alte-dorfstrasse 31 15859 stokow;NA;52.242.982;13.867.386;male;adult;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;Dez 79;73.74;82.9;0.0274;0.0322;0.0334;0.0042;NA;NA;NA;NA;NA;NA;0.46;TRUE;0;0;0;0;0;0;0;0;17;0;0;NA
AA_0307;HZ_BR;Germany;Pferdefreunde klein-schauen alte-dorfstrasse 31 15859 stokow;NA;52.242.982;13.867.386;female;pregnant;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;16.75;78.75;85.58;368;NA;NA;NA;NA;NA;NA;NA;2;5;0.56;TRUE;0;0;0;0;0;0;0;0;43;0;0;NA
AA_0308;HZ_BR;Germany;Pferdefreunde klein-schauen alte-dorfstrasse 31 15859 stokow;NA;52.242.982;13.867.386;male;adult;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;14.44;75.23;82.77;0.0395;0.0358;0.0424;0.0112;19;NA;NA;NA;NA;NA;0.52;TRUE;0;0;0;0;0;0;0;0;1;0;0;white spot on belly + to check
AA_0309;HZ_BR;Germany;Pferdefreunde klein-schauen alte-dorfstrasse 31 15859 stokow;NA;52.242.982;13.867.386;female;adult;Mus musculus;2017;13.09.2017;14.09.2017;Czech;FALSE;15.87;83.14;89.49;0.0544;NA;NA;NA;NA;0.0049;4;NA;0;0;0.06;TRUE;0;0;0;0;0;0;0;0;56;0;0;NA
AA_0310;HZ_BR;Germany;Alt Gaul 26b 16269 Wriezen florian köhler;NA;52.738.064;14.095.413;female;young;Mus musculus;2017;13.09.2017;14.09.2017;German;FALSE;Jul 75;60.4;56.93;0.01;NA;NA;NA;NA;NA;NA;NA;0;0;0.07;TRUE;0;0;0;0;0;0;0;0;13;0;0;NA
AA_0311;HZ_BR;Germany;Alt Gaul 26b 16269 Wriezen florian köhler;NA;52.738.064;14.095.413;female;adult;Mus musculus;2017;13.09.2017;14.09.2017;German;FALSE;14. Dez;77.78;73.49;0.03;NA;NA;NA;NA;NA;NA;NA;0;0;0.29;TRUE;0;0;0;0;0;0;0;5;135;0;0;NA
AA_0312;HZ_BR;Germany;Alt Gaul 26b 16269 Wriezen florian köhler;NA;52.738.064;14.095.413;female;adult;Mus musculus;2017;13.09.2017;14.09.2017;German;TRUE;19.84;78.14;68.08;0.07;NA;NA;NA;NA;NA;NA;NA;0;0;0.45;TRUE;0;0;0;0;0;0;1;0;260;0;0;NA
AA_0313;HZ_BR;Germany;Reitsport Münchehofe Minderhofer strasse;NA;52.496.944;13.677.066;female;pregnant;Mus musculus;2017;13.09.2017;14.09.2017;German;FALSE;16.43;87.56;85.8;0.02;NA;NA;NA;NA;NA;NA;NA;0;0;0.16;TRUE;0;0;0;0;0;0;0;0;5;0;0;NA
AA_0314;HZ_BR;Germany;Pferdefreunde klein-schauen alte-dorfstrasse 31 15859 stokow;NA;52.242.982;13.867.386;male;adult;Mus musculus;2017;13.09.2017;14.09.2017;German;FALSE;13.68;66.99;83.2;28;83;86;26;45;NA;NA;NA;NA;NA;0.12;TRUE;0;0;0;0;0;0;0;0;17;0;0;NA
