Mouse_ID,Address,Address_ZIP,Latitude,Longitude,Trap_Date,Dissection_Date,Sex,Status,Body_Weight,Body_Length,Tail_Length,Spleen,Feces_Weight,Dead_in_Cage,Seminal_Vesicles_Weight,Left_Testis,Right_Testis,Left_Epididymis,Left_Ovarium_Weight,Right_Ovarium_Weight,Left_Embryo,Right_Embryo,Ectoparasites_Logical,Fleas,Ticks,Note,Heterakis_sp,Aspiculuris_sp,Catenotaenia_pusilla,Mastophorus_muris,Syphacia_sp,Trichuris_muris,Heligmosomoides_polygurus,Taenia_sp,Hymenolepis_sp,Digestive_Tract_taken
AA_0911,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,F,adult,15.57,72.29,41.05,,,FALSE,,,,,0.0070,0.0072,0,0,TRUE,TRUE,,,0,35,1,14,0,0,0,0,0,
AA_0912,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,F,pregnant,17.92,73.40,54.59,0.0709,,FALSE,,,,,0.0114,0.0126,1,4,,,,,0,1,3,4,2,0,0,0,0,
AA_0913,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,F,adult,14.96,76.69,66.38,0.0952,,FALSE,,,,,0.0080,0.0071,0,0,TRUE,TRUE,,,0,140,4,0,20,0,0,0,0,
AA_0914,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,M,adult,17.01,81.09,64.66,0.0410,,FALSE,0.0936,0.0473,0.0467,0.0190,,,,,TRUE,TRUE,,,0,17,7,7,0,0,0,0,0,
AA_0915,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,M,adult,19.23,88.34,64.11,0.1230,,FALSE,0.1710,0.0490,0.0489,0.0270,,,,,TRUE,TRUE,,,0,0,2,0,0,0,0,0,0,
AA_0916,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,F,pregnant,19.31,81.56,64.54,0.0748,,FALSE,,,,,0.0150,0.0093,3,3,TRUE,TRUE,,no COCE.2,0,79,2,16,0,0,0,0,0,
AA_0917,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,F,adult,16.25,82.74,68.44,0.0428,,FALSE,,,,,0.0088,0.0063,0,0,TRUE,TRUE,,,0,0,1,13,0,0,0,0,0,
AA_0918,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,F,adult,17.34,84.25,67.52,0.0399,,FALSE,,,,,0.0053,0.0065,0,0,TRUE,TRUE,,,0,0,1,19,0,0,0,0,0,
AA_0919,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,F,pregnant,17.26,89.68,61.27,0.1111,,FALSE,,,,,0.0065,0.0102,0,0,TRUE,TRUE,,,0,0,1,7,0,0,0,0,0,
AA_0920,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,F,pregnant,13.24,77.04,54.22,0.0719,,FALSE,,,,,0.0075,0.0072,3,1,TRUE,TRUE,,,0,2,0,0,0,0,0,0,0,
AA_0921,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,F,pregnant,23.67,84.26,64.86,0.0583,,FALSE,,,,,0.0127,0.0097,2,3,TRUE,TRUE,,,0,4,2,23,0,0,0,0,0,
AA_0922,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,F,pregnant,16.22,81.99,61.92,0.0507,,FALSE,,,,,0.0085,0.0106,2,2,TRUE,TRUE,,,0,14,5,7,0,0,0,0,0,
AA_0923,Schönholzer Str. 8C,"Schönholzer Str. 8, 16230 Sydower Fließ",52.7463,13.7305,18/09/2021,19/09/2021,M,adult,17.46,82.41,82.41,0.0333,0.83,FALSE,0.2668,0.0800,0.0825,0.0337,,,,,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0924,Schönholzer Str. 8C,"Schönholzer Str. 8, 16230 Sydower Fließ",52.7463,13.7305,18/09/2021,19/09/2021,M,adult,15.25,80.73,84.18,0.0205,,FALSE,0.0229,0.0577,0.0597,0.0222,,,,,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0925,Schönholzer Str. 8C,"Schönholzer Str. 8, 16230 Sydower Fließ",52.7463,13.7305,18/09/2021,19/09/2021,F,adult,17.08,81.74,78.21,0.0436,,FALSE,,,,,0.0115,0.0094,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0926,Schönholzer Str. 8C,"Schönholzer Str. 8, 16230 Sydower Fließ",52.7463,13.7305,18/09/2021,19/09/2021,F,adult,14.50,76.86,76.86,0.0286,,FALSE,,,,,0.0215,0.0153,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0927,Schönholzer Str. 8C,"Schönholzer Str. 8, 16230 Sydower Fließ",52.7463,13.7305,18/09/2021,19/09/2021,F,adult,18.54,84.17,94.98,0.0516,,FALSE,,,,,0.0109,0.0106,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0928,Schönebecker Str. 13,"Schönebecker Str. 21, 16247 Joachimsthal",52.9757,13.7316,18/09/2021,19/09/2021,M,young,15.77,81.01,63.71,0.0333,,FALSE,0.1478,0.0728,0.0731,0.0286,,,,,,,,,0,0,0,0,0,0,0,0,0,
AA_0929,Schönebecker Str. 13,"Schönebecker Str. 21, 16247 Joachimsthal",52.9757,13.7316,18/09/2021,19/09/2021,M,adult,15.01,81.80,69.26,0.0250,0.50,FALSE,0.1455,0.0770,0.0836,0.0264,,,,,,,,,0,0,0,0,0,0,0,0,0,
AA_0930,Schönebecker Str. 13,"Schönebecker Str. 21, 16247 Joachimsthal",52.9757,13.7316,18/09/2021,19/09/2021,F,adult,15.95,90.03,69.31,0.0478,0.47,FALSE,,,,,0.0075,0.0115,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0931,Schönebecker Str. 13,"Schönebecker Str. 21, 16247 Joachimsthal",52.9757,13.7316,18/09/2021,19/09/2021,F,pregnant,17.00,84.94,75.59,0.0348,0.83,FALSE,,,,,0.0149,0.0090,0,0,,,,,0,1,0,0,0,0,0,0,0,
AA_0932,Schönebecker Str. 13,"Schönebecker Str. 21, 16247 Joachimsthal",52.9757,13.7316,18/09/2021,19/09/2021,F,pregnant,18.46,91.99,62.99,0.0224,0.70,FALSE,,,,,0.0121,0.0095,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0933,Schönebecker Str. 13,"Schönebecker Str. 21, 16247 Joachimsthal",52.9757,13.7316,18/09/2021,19/09/2021,M,adult,17.92,88.86,67.78,0.0296,0.31,FALSE,0.1929,0.6580,0.0678,0.0342,,,,,,,,,0,0,0,0,0,0,0,0,0,
AA_0934,Schönebecker Str. 13,"Schönebecker Str. 21, 16247 Joachimsthal",52.9757,13.7316,18/09/2021,19/09/2021,M,adult,17.01,83.56,59.95,0.0341,0.78,FALSE,0.2243,0.0723,0.0742,0.0227,,,,,,,,,0,0,0,0,0,0,0,0,0,
AA_0935,Schönebecker Str. 13,"Schönebecker Str. 21, 16247 Joachimsthal",52.9757,13.7316,18/09/2021,19/09/2021,F,pregnant,16.65,81.70,68.30,0.0404,0.59,FALSE,,,,,0.0102,0.0070,5,2,,,,,0,0,0,0,0,0,0,0,0,
AA_0936,Zehdenicker Str 11,"Zehdenicker Str. 11, 16247 Joachimsthal",52.9787,13.7328,18/09/2021,19/09/2021,M,adult,15.75,74.51,63.48,0.0376,0.68,FALSE,0.1334,0.0689,0.0678,0.0447,,,,,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0937,Zehdenicker Str 11,"Zehdenicker Str. 11, 16247 Joachimsthal",52.9787,13.7328,18/09/2021,19/09/2021,M,adult,12.28,78.15,59.01,0.0413,0.74,FALSE,0.0876,0.0554,0.0604,0.0147,,,,,,,,,0,0,0,0,0,1,0,0,0,
AA_0938,Zehdenicker Str 11,"Zehdenicker Str. 11, 16247 Joachimsthal",52.9787,13.7328,18/09/2021,19/09/2021,M,adult,18.32,88.90,75.00,0.0777,0.40,FALSE,0.1545,0.0675,0.0662,0.0213,,,,,TRUE,TRUE,,,0,0,0,0,3,0,0,0,0,
AA_0939,Zehdenicker Str 11,"Zehdenicker Str. 11, 16247 Joachimsthal",52.9787,13.7328,18/09/2021,19/09/2021,F,adult,18.06,90.86,52.92,0.0616,,FALSE,,,,,0.0134,0.0094,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0940,"Bergsdorfer Str. 6, 16792 Zehdenick","Bergdorfer Str. 6, Zehdenick",52.9576,13.2839,18/09/2021,19/09/2021,F,young,17.25,82.00,84.70,0.0339,0.96,FALSE,,,,,0.0059,0.0065,0,0,,,,SPL2 only,0,0,0,0,8,0,0,0,0,
AA_0941,"Bergsdorfer Str. 6, 16792 Zehdenick","Bergdorfer Str. 6, Zehdenick",52.9576,13.2839,18/09/2021,19/09/2021,,young,6.17,54.60,65.18,0.0047,,FALSE,,,,,,,,,,,,,,,,,,,,,,TRUE
AA_0942,"Bergsdorfer Str. 6, 16792 Zehdenick","Bergdorfer Str. 6, Zehdenick",52.9576,13.2839,18/09/2021,19/09/2021,M,young,12.19,74.56,75.32,0.0202,0.53,FALSE,0.0588,0.0571,0.0569,0.0255,,,,,,,,,0,0,0,0,0,0,0,0,0,
AA_0943,"Bergsdorfer Str. 6, 16792 Zehdenick","Bergdorfer Str. 6, Zehdenick",52.9576,13.2839,18/09/2021,19/09/2021,M,young,16.05,83.60,80.20,0.0375,0.32,FALSE,0.2628,0.0544,0.0530,0.0230,,,,,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0944,"Bergsdorfer Str. 6, 16792 Zehdenick","Bergdorfer Str. 6, Zehdenick",52.9576,13.2839,18/09/2021,19/09/2021,F,young,13.38,83.48,83.66,0.0034,0.45,FALSE,,,,,0.0078,0.0078,0,0,,,,,0,0,0,2,2,0,0,0,0,
AA_0945,Kastanienweg 8,"Kastanienweg 8, 15345 Prötzel",52.6242,14.0108,18/09/2021,19/09/2021,M,adult,18.46,94.54,79.47,0.0296,0.59,FALSE,0.2031,0.0829,0.0646,0.0354,,,,,TRUE,TRUE,,,0,0,0,0,1,0,0,0,0,
AA_0946,Kraazter Weg,"Kraatzer Weg 8, 16775 Löwenberger Land",52.9461,13.2125,18/09/2021,19/09/2021,F,pregnant,16.77,79.60,81.33,0.0458,0.35,FALSE,,,,,0.0234,0.0132,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0947,Kraazter Weg,"Kraatzer Weg 8, 16775 Löwenberger Land",52.9461,13.2125,18/09/2021,19/09/2021,F,adult,21.92,99.99,96.70,0.0560,0.63,FALSE,,,,,0.0157,0.0195,0,0,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0948,Kraazter Weg,"Kraatzer Weg 8, 16775 Löwenberger Land",52.9461,13.2125,18/09/2021,19/09/2021,M,adult,20.92,89.63,88.62,0.0423,0.77,FALSE,0.2156,0.0866,0.0909,0.0364,,,,,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0949,Kraazter Weg,"Kraatzer Weg 8, 16775 Löwenberger Land",52.9461,13.2125,18/09/2021,19/09/2021,M,adult,21.47,98.70,80.83,0.0380,0.68,FALSE,0.1486,0.1012,0.0992,0.0422,,,,,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0950,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,19/09/2021,F,young,9.83,68.69,66.75,0.0405,0.30,FALSE,,,,,,,,,,,,,,,,,,,,,,TRUE
