Sample ID,WBC's/ µl,Comments,Neutrophil,Eosinophil,Basophil,Lymphocyte,Monocyte,transect,,X332,X347,X65,Tsx,Btk,Syap1
SK3041,,,,,,,,CZ,,,,,,,
SK3042,3500,,22,0,0,76,2,CZ,,,,,,,
SK3043,2750,,7,2,0,90,1,CZ,,,,,,,
SK3044,4350,,2,2,0,96,0,CZ,,,,,,,
SK3045,,,,,,,,CZ,,,,,,,
SK3046,8300,,3,3,0,93,1,CZ,,,,,,,
SK3047,2650,,12,5,0,83,0,CZ,,,,,,,
SK3048,,,0,0,0,100,0,CZ,,,,,,,
SK3049,4800,- good,1,0,0,99,0,CZ,,,,,,,
SK3050,2450,,0,0,0,100,0,CZ,,,,,,,
SK3051,5250,,43,1,0,56,0,CZ,,,,,,,
SK3052,2650,,5,0,0,95,0,CZ,,,,,,,
SK3053,,,0,2,0,97,1,CZ,,,,,,,
SK3054,1600,,2,0,0,98,0,CZ,,,,,,,
SK3055,1400,,7,0,0,93,0,CZ,,,,,,,
SK3056,6550,,0,1,0,99,0,CZ,,,,,,,
SK3057,,,2,0,0,98,0,CZ,,,,,,,
SK3058,,,4,1,0,95,0,CZ,,,,,,,
SK3059,6050,bloodparasites,3,5,0,92,0,CZ,,,,,,,
SK3060,6800,,38,1,0,61,0,CZ,,,,,,,
SK3061,3750,,4,1,2,93,0,CZ,,,,,,,
SK3062,3300,,4,1,0,95,0,CZ,,,,,,,
SK3063,9750,,4,0,0,96,0,CZ,,,,,,,
SK3064,9050,- good,5,0,0,95,0,CZ,,,,,,,
SK3065,,,,,,,,CZ,,,,,,,
SK3066,4950,,3,0,0,97,0,CZ,,,,,,,
SK3091,,,0,0,0,99,1,BR,,,m,,m,m,m
SK3092,1900,,10,0,0,84,6,BR,,m,m,m,d/m,m,m
SK3093,1400,- good,28,0,0,72,0,BR,,,m,m,d,m,m
SK3094,1150,,8,2,0,90,0,BR,,m/m,m/m,m/m,d,m/m,m/m
SK3095,2000,- good,13,3,0,84,0,BR,,m,m,m,m,d,m
SK3096,2100,- good,1,1,1,97,0,BR,,m,m,d/m,m,m,m
SK3097,12600,- good,15,3,0,82,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3098,4400,- good,0,5,0,95,0,BR,,m,m,d,m,m,m
SK3099,7800,- good,0,4,0,96,0,BR,,m/m,d/m,d/d,d/m,d/m,d/m
SK3100,6600,- good,6,1,0,93,0,BR,,m/m,d/m,d/d,d/m,d/m,d/m
SK3101,4600,- good,0,1,0,99,0,BR,,m/m,m/m,d/m,d/m,m/m,d/m
SK3102,5000,- good,3,1,0,96,0,BR,,m/m,m/m,m/m,d/m,m/m,d/m
SK3103,6000,,8,3,0,89,0,BR,,m,m,m,d,m,d/m
SK3104,5600,,6,0,0,94,0,BR,,m,m,m,m,m,m
SK3105,6600,,3,1,0,96,0,BR,,m/m,m/m,m/m,d/d,m/m,m/m
SK3106,5950,,2,2,0,96,0,BR,,m/m,m/m,m/m,d/d,m/m,d/m
SK3107,9950,,2,7,0,91,0,BR,,m,d,d,d,d,
SK3108,3550,,7,3,0,90,0,BR,,m/m,m/m,m/m,d/d,m/m,m/m
SK3109,7400,,1,0,0,99,0,BR,,m/m,m/m,m/m,m/m,m/m,m/m
SK3110,6900,,0,0,0,100,0,BR,,,,m,d,m,d
SK3111,4350,,3,1,0,96,0,BR,,m,m,m,d,m,d
SK3112,12300,,0,1,0,99,1,BR,,m/m,m/m,m/m,d/d,m/m,d/m
SK3113,5200,,0,0,0,100,0,BR,,,,,,m/m,
SK3114,5050,,2,21,0,77,0,BR,,m,m,m,d,m,m
SK3115,3000,,6,6,0,88,0,BR,,m,m,m,d,m,d
SK3116,5150,- good,4,7,0,88,1,BR,,m/m,m/m,m/m,d/d,m/m,d/d
SK3117,5050,,0,1,0,99,0,BR,,m/m,m/m,m/m,d/d,m/m,m/m
SK3118,3450,,0,1,0,99,0,BR,,m/m,m/m,m/m,d/d,m/m,m/m
SK3119,6200,,9,2,0,89,0,BR,,m/m,m/m,m/m,d/d,m/m,m/m
SK3120,4200,,2,3,0,92,3,BR,,m/m,m/m,m/m,m/m,m/m,m/m
SK3121,6450,,3,2,0,93,2,BR,,m,m,m,d,m,d
SK3122,14000,,1,3,0,96,0,BR,,,d,d,d,d,d
SK3123,9100,,0,1,0,99,0,BR,,,d,d,d,d,d
SK3124,5200,,2,0,0,98,0,BR,,,d/m,d/d,d/d,d/d,d/d
SK3125,5200,- good,9,4,0,87,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3126,5400,,3,2,0,95,0,BR,,,d,d,d,d,d
SK3127,6750,- good,0,2,0,98,0,BR,,,d,d,d,d,d
SK3128,5950,- good,17,15,0,68,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3129,4200,,11,5,0,84,0,BR,,,d/m,d/d,d/d,d/d,d/d
SK3130,5550,,32,5,0,63,0,BR,,,m,d,d,d,d
SK3131,5000,- good,2,2,0,96,0,BR,,,d,d,d,d,d
SK3132,5750,,0,2,0,98,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3133,4950,,1,8,0,91,0,BR,,,d,,d,d,d
SK3134,5300,,1,2,1,96,0,BR,,m,m,,d,d,m
SK3135,3400,,27,3,0,70,0,BR,,m,m,,m,m,m
SK3136,3400,,15,0,0,84,1,BR,,m/m,,,m/m,m/m,m/m
SK3137,2200,,3,3,0,94,0,BR,,m/m,m/m,,m/m,m/m,m/m
SK3138,1900,,5,2,0,93,0,BR,,m,m,,m,d,m
SK3139,1700,,13,9,0,78,0,BR,,m,m,,m,d,m
SK3140,3400,,3,1,0,96,0,BR,,m/m,m/m,,m/m,d/d,m/m
SK3141,2300,,8,0,0,92,0,BR,,m/m,m/m,,m/m,d/d,d/m
SK3142,,,1,0,0,99,0,BR,,,m,,d,m,m
SK3143,2800,,18,4,0,78,0,BR,,,m,,d,m,m
SK3144,1300,,19,2,0,78,1,BR,,,m/m,,d/d,m/m,d/m
SK3145,3000,,5,0,0,95,0,BR,,,m/m,,d/m,m/m,m/m
SK3146,2600,,8,11,0,80,1,BR,,,m,,m,m,m
SK3147,15050,- good,6,1,1,92,0,BR,,,m,,d,m,m
SK3148,5000,,3,2,0,95,0,BR,,m/m,m/m,,d/d,m/m,m/m
SK3149,5900,,0,2,1,97,0,BR,,,m/m,,d/d,m/m,m/m
SK3150,8650,,6,4,0,90,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3151,6050,,8,1,1,90,0,BR,,,d,d,d,d,d
SK3152,5600,,0,1,0,99,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3153,2650,,6,6,0,88,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3154,,,0,1,0,99,0,BR,,,,,,,
SK3155,5200,- good,10,0,0,90,0,BR,,,d,d,d,d,d
SK3156,,,5,0,0,95,0,BR,,,d/d,,d/d,d/d,d/d
SK3157,14800,,2,0,0,98,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3158,,,0,2,0,97,0,BR,,,d,d,d,d,d
SK3159,5900,,1,0,0,99,0,BR,,,m,,m,m,m
SK3160,1550,- good,4,0,0,96,0,BR,,,m/m,,m/m,d/m,m/m
SK3161,850,- good,2,2,0,96,0,BR,,,m/m,,m/m,m/m,m/m
SK3162,750,,14,0,0,86,0,BR,,,m/m,,d/m,m/m,m/m
SK3163,4850,,26,0,0,74,0,BR,,,m,,d,m,m
SK3164,,,8,0,0,92,0,BR,,,,,d,m,m
SK3165,7900,- good,2,1,0,97,0,BR,,,m/m,,d/d,m/m,m/m
SK3166,3000,,1,5,0,94,0,BR,,,m/m,,d/d,m/m,m/m
SK3167,,,0,0,0,100,0,BR,,,m,,d,m,m
SK3168,19850,- good,1,5,0,94,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3169,4500,,16,0,0,84,0,BR,,,d/m,d/d,d/d,,d/d
SK3170,4800,,3,3,0,94,0,BR,,,d/m,d/d,d/d,d/d,d/d
SK3171,,,0,1,0,99,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3172,16050,,3,0,0,97,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3173,,,0,5,0,95,0,BR,,,m,,d,,m
SK3174,,,,,,,,BR,,,,,,,
SK3175,2550,,0,8,0,92,0,BR,,,d/d,d/d,d/d,d/m,d/d
SK3176,,,0,0,0,100,0,BR,,,m/m,m/m,m/m,m/m,m/m
SK3177,,,2,0,0,97,1,BR,,,m/m,m/m,m/m,m/m,
SK3178,3350,,2,0,0,98,0,BR,,,m,m,d,m,m
SK3179,3350,,2,2,0,96,0,BR,,,m,m,d,m,m
SK3180,1600,,12,6,0,82,0,BR,,,m/m,m/m,d/d,m/m,m/m
SK3181,2250,,0,4,0,96,0,BR,,,m,m,d,m,m
SK3182,2150,,4,0,0,96,0,BR,,,m,m,d,m,m
SK3183,450,,0,0,0,100,0,BR,,,m,m,d,m,m
SK3184,650,,0,0,0,100,0,BR,,,d,d,d,d,d
SK3185,,,4,0,0,96,0,BR,,,m,m,d,m,m
SK3186,1300,,20,0,0,80,0,BR,,,,,,m,
SK3187,1350,,4,0,0,96,0,BR,,,d,d,d,d,d
SK3188,,,6,2,0,92,0,BR,,,m/m,m/m,d/d,m/m,m/m
SK3189,650,,0,0,0,100,0,BR,,,m,m,d,m,m
SK3190,650,kaputt,,,,,,BR,,,m,m,d,m,m
SK3191,,,0,0,0,100,0,BR,,,m,m,d,m,m
SK3192,4050,,0,0,0,100,0,BR,,,m/m,m/m,d/d,m/m,m/m
SK3193,3700,,2,0,0,98,0,BR,,,m/m,m/m,d/d,d/m,d/m
SK3194,6000,,4,0,0,96,0,BR,,,m,m,m,m,m
SK3195,600,,0,2,0,98,0,BR,,,d,d,d,,
SK3196,550,,2,0,0,98,0,BR,,,d/d,d/d,d/d,,
SK3197,300,,2,0,0,98,0,BR,,,d,d,d,d,d
SK3198,2350,,0,0,0,100,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3199,,,2,0,0,98,0,BR,,,d,d,d,d,d
SK3200,1450,,0,0,0,100,0,BR,,,d,d,d,d,d
SK3201,1400,,0,0,0,100,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3202,5350,,2,0,0,98,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3203,,,0,2,0,98,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3204,4750,- good,0,0,0,100,0,BR,,,d,,d,d,d
SK3205,1900,,1,0,0,99,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3206,,,0,1,0,99,0,BR,,,d/d,,d/m,d/d,d/d
SK3207,950,,5,1,0,94,0,BR,,,d,,d,d,d
SK3208,700,,0,0,0,100,0,BR,,,d,,m,,
SK3209,,,0,0,0,100,0,BR,,,d/d,d/d,d/d,d/d,d/d
SK3210,2850,,0,0,0,100,0,BR,,,d/d,,d/d,d/d,d/d
SK3211,2950,,6,0,0,94,0,BR,,,d,,d,d,d
SK3212,9200,,0,1,0,99,0,BR,,,,,,m,
SK3213,,,0,10,0,90,0,BR,,,d/d,,d/d,d/d,d/d
