Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
D5,697,Mus,Unknown,25.04,1.114,,,,,79.7
D6,697,Mus,Unknown,23.91,1.114,,,,,80
D7,740,Eimeria,Unknown,31.04,1.218,,,,,74.4
D8,740,Eimeria,Unknown,32.14,1.218,,,,,74.2
D9,740,Eimeria,Unknown,33.48,1.218,,,,,73.9
D10,740,Mus,Unknown,24.2,1.555,,,,,79.5
D11,740,Mus,Unknown,23.46,1.555,,,,,79.5
D12,740,Mus,Unknown,21.21,1.555,,,,,79.5
E1,689,Eimeria,Unknown,25.16,0.811,,,,,74.7
E2,689,Eimeria,Unknown,26.61,0.811,,,,,74.9
E3,689,Eimeria,Unknown,25.24,0.811,,,,,75.2
E4,689,Mus,Unknown,24.75,1.377,,,,,79.7
E5,689,Mus,Unknown,23.18,1.377,,,,,79.7
E6,689,Mus,Unknown,22,1.377,,,,,80
E7,824,Eimeria,Unknown,32.17,0.29,,,,,74.9
E8,824,Eimeria,Unknown,32.52,0.29,,,,,74.9
E9,824,Eimeria,Unknown,32.75,0.29,,,,,74.2
E10,824,Mus,Unknown,23.73,6.473,,,,,79.5
E11,824,Mus,Unknown,23.02,6.473,,,,,79.5
E12,824,Mus,Unknown,12.18,6.473,,,,,79.5
F1,723,Eimeria,Unknown,32.77,0.508,,,,,74.2
F2,723,Eimeria,Unknown,31.8,0.508,,,,,74.9
F3,723,Eimeria,Unknown,32.54,0.508,,,,,75.2
F4,723,Mus,Unknown,26.07,1.642,,,,,79.5
F5,723,Mus,Unknown,24.27,1.642,,,,,79.7
F6,723,Mus,Unknown,22.79,1.642,,,,,80
F7,819,Eimeria,Unknown,34.25,1.554,,,,,75.4
F8,819,Eimeria,Unknown,31.16,1.554,,,,,74.7
F9,819,Eimeria,Unknown,32.98,1.554,,,,,74.4
F10,819,Mus,Unknown,24.83,1.376,,,,,79.5
F11,819,Mus,Unknown,24.2,1.376,,,,,79.5
F12,819,Mus,Unknown,22.19,1.376,,,,,79.5
G1,694,Eimeria,Unknown,25.49,0.591,,,,,74.2
G2,694,Eimeria,Unknown,26.64,0.591,,,,,74.4
G3,694,Eimeria,Unknown,26.31,0.591,,,,,74.7
G4,694,Mus,Unknown,26.04,2.029,,,,,79.2
G5,694,Mus,Unknown,24.04,2.029,,,,,79.2
G6,694,Mus,Unknown,21.98,2.029,,,,,79.7
G7,828,Eimeria,Unknown,35.56,2.092,,,,,83.5
G8,828,Eimeria,Unknown,31.38,2.092,,,,,74.2
G9,828,Eimeria,Unknown,33.49,2.092,,,,,74.4
G10,828,Mus,Unknown,25.52,1.707,,,,,79.2
G11,828,Mus,Unknown,24.32,1.707,,,,,79.2
G12,828,Mus,Unknown,22.16,1.707,,,,,79.2
H1,696,Eimeria,Unknown,29.73,1.366,,,,,74.4
H2,696,Eimeria,Unknown,31.51,1.366,,,,,74.4
H3,696,Eimeria,Unknown,32.42,1.366,,,,,74.2
H4,696,Mus,Unknown,26.28,2.352,,,,,79.2
H5,696,Mus,Unknown,24.04,2.352,,,,,79.5
H6,696,Mus,Unknown,21.58,2.352,,,,,79.7
H7,NTC,Eimeria,Unknown,32.68,0.883,,,,,74.9
H8,NTC,Eimeria,Unknown,33.94,0.883,,,,,74.4
H9,NTC,Eimeria,Unknown,34.38,0.883,,,,,74.4
H10,NTC,Mus,Unknown,Undetermined,,,,,,80
H11,NTC,Mus,Unknown,Undetermined,,,,,,72.3
H12,NTC,Mus,Unknown,Undetermined,,,,,,73.2
