Document Name: HZ19_qPCR1 
Plate Type: Absolute Quantification
User: user

Document Information

Operator: user
Run Date: Wednesday, May 13, 2020 15:58:27
Last Modified: Wednesday, May 13, 2020 17:42:04
Instrument Type: Applied Biosystems 7300 Real-Time PCR System

Comments:
SDS v1.3

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
C7,0818,Eimeria,Unknown,31.63,0.752,,,,,74.70
C8,0818,Eimeria,Unknown,32.71,0.752,,,,,79.50
C9,0818,Eimeria,Unknown,31.27,0.752,,,,,81.80
C10,0818,Mus,Unknown,24.83,1.709,,,,,79.50
C11,0818,Mus,Unknown,22.77,1.709,,,,,79.50
C12,0818,Mus,Unknown,21.44,1.709,,,,,79.20
D1,0702,Eimeria,Unknown,33.17,0.031,,,,,72.90
D2,0702,Eimeria,Unknown,33.18,0.031,,,,,79.20
D3,0702,Eimeria,Unknown,33.23,0.031,,,,,81.50
D4,0702,Mus,Unknown,24.08,11.263,,,,,79.70
D5,0702,Mus,Unknown,22.67,11.263,,,,,79.70
D6,0702,Mus,Unknown,3.91,11.263,,,,,80.00
D7,0716,Eimeria,Unknown,32.46,0.279,,,,,74.70
D8,0716,Eimeria,Unknown,32.04,0.279,,,,,74.70
D9,0716,Eimeria,Unknown,32.57,0.279,,,,,74.40
D10,0716,Mus,Unknown,24.43,11.020,,,,,79.50
D11,0716,Mus,Unknown,22.47,11.020,,,,,79.50
D12,0716,Mus,Unknown,4.44,11.020,,,,,79.50
E1,0785,Eimeria,Unknown,31.93,0.552,,,,,73.90
E2,0785,Eimeria,Unknown,31.81,0.552,,,,,82.60
E3,0785,Eimeria,Unknown,32.82,0.552,,,,,74.90
E4,0785,Mus,Unknown,25.32,2.096,,,,,79.70
E5,0785,Mus,Unknown,23.39,2.096,,,,,79.70
E6,0785,Mus,Unknown,21.13,2.096,,,,,80.00
E7,0727,Eimeria,Unknown,33.36,0.761,,,,,75.20
E8,0727,Eimeria,Unknown,32.23,0.761,,,,,76.20
E9,0727,Eimeria,Unknown,31.91,0.761,,,,,78.20
E10,0727,Mus,Unknown,24.32,10.495,,,,,79.50
E11,0727,Mus,Unknown,22.66,10.495,,,,,79.50
E12,0727,Mus,Unknown,5.37,10.495,,,,,79.50
F1,0802,Eimeria,Unknown,31.91,0.998,,,,,74.70
F2,0802,Eimeria,Unknown,31.87,0.998,,,,,74.90
F3,0802,Eimeria,Unknown,33.62,0.998,,,,,72.40
F4,0802,Mus,Unknown,24.39,11.015,,,,,79.70
F5,0802,Mus,Unknown,22.85,11.015,,,,,79.70
F6,0802,Mus,Unknown,4.59,11.015,,,,,80.00
F7,0793,Eimeria,Unknown,30.33,1.540,,,,,81.80
F8,0793,Eimeria,Unknown,33.35,1.540,,,,,78.70
F9,0793,Eimeria,Unknown,31.31,1.540,,,,,78.20
F10,0793,Mus,Unknown,23.83,8.807,,,,,79.50
F11,0793,Mus,Unknown,21.88,8.807,,,,,79.50
F12,0793,Mus,Unknown,7.69,8.807,,,,,79.50
G1,0736,Eimeria,Unknown,31.33,0.325,,,,,74.70
G2,0736,Eimeria,Unknown,30.73,0.325,,,,,74.70
G3,0736,Eimeria,Unknown,31.25,0.325,,,,,74.90
G4,0736,Mus,Unknown,25.30,9.741,,,,,79.50
G5,0736,Mus,Unknown,23.51,9.741,,,,,79.70
G6,0736,Mus,Unknown,7.61,9.741,,,,,79.70
G7,0821,Eimeria,Unknown,30.82,0.378,,,,,74.20
G8,0821,Eimeria,Unknown,30.07,0.378,,,,,74.20
G9,0821,Eimeria,Unknown,30.55,0.378,,,,,73.90
G10,0821,Mus,Unknown,27.35,1.665,,,,,79.20
G11,0821,Mus,Unknown,25.28,1.665,,,,,79.20
G12,0821,Mus,Unknown,24.06,1.665,,,,,79.20
H1,0687,Eimeria,Unknown,30.70,0.766,,,,,74.20
H2,0687,Eimeria,Unknown,32.00,0.766,,,,,74.40
H3,0687,Eimeria,Unknown,30.65,0.766,,,,,74.70
H4,0687,Mus,Unknown,23.38,10.336,,,,,79.20
H5,0687,Mus,Unknown,21.28,10.336,,,,,79.50
H6,0687,Mus,Unknown,4.53,10.336,,,,,79.70
H7,NTC,Eimeria,Unknown,Undetermined,,,,,,77.40
H8,NTC,Eimeria,Unknown,Undetermined,,,,,,88.90
H9,NTC,Eimeria,Unknown,34.23,,,,,,74.20
H10,NTC,Mus,Unknown,Undetermined,,,,,,77.20
H11,NTC,Mus,Unknown,Undetermined,,,,,,78.70
H12,NTC,Mus,Unknown,35.00,,,,,,79.20
