Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
H2,806,Eimeria,Unknown,31.42,0.43,,,,,82.9
H3,806,Eimeria,Unknown,30.56,0.43,,,,,74.2
H4,806,Mus,Unknown,23.77,10.067,,,,,79.6
H5,806,Mus,Unknown,10.05,10.067,,,,,79.9
H6,806,Mus,Unknown,4.15,10.067,,,,,79.9
H7,NTC,Eimeria,Unknown,Undetermined,,,,,,78.8
H8,NTC,Eimeria,Unknown,37.96,2.996,,,,,79.9
H9,NTC,Eimeria,Unknown,37.16,2.996,,,,,72.7
H10,NTC,Mus,Unknown,Undetermined,,,,,,87.3
H11,NTC,Mus,Unknown,Undetermined,,,,,,80.8
H12,NTC,Mus,Unknown,Undetermined,,,,,,81.1
