Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
D7,789,Eimeria,Unknown,34.15,0.354,,,,,74
D8,789,Eimeria,Unknown,34.12,0.354,,,,,74.3
D9,789,Eimeria,Unknown,33.53,0.354,,,,,78.7
D10,789,Mus,Unknown,24.25,1.518,,,,,79.4
D11,789,Mus,Unknown,23.09,1.518,,,,,79.4
D12,789,Mus,Unknown,21.24,1.518,,,,,79.4
E1,706,Eimeria,Unknown,34.98,0.778,,,,,81.2
E2,706,Eimeria,Unknown,34.05,0.778,,,,,74.3
E3,706,Eimeria,Unknown,33.44,0.778,,,,,74.8
E4,706,Mus,Unknown,25.06,1.464,,,,,80
E5,706,Mus,Unknown,23.22,1.464,,,,,80
E6,706,Mus,Unknown,22.17,1.464,,,,,80
E7,741,Eimeria,Unknown,33.33,0.368,,,,,75.3
E8,741,Eimeria,Unknown,34.02,0.368,,,,,75.3
E9,741,Eimeria,Unknown,33.45,0.368,,,,,74.5
E10,741,Mus,Unknown,24.52,1.397,,,,,79.4
E11,741,Mus,Unknown,23.15,1.397,,,,,79.4
E12,741,Mus,Unknown,21.72,1.397,,,,,79.4
F1,810,Eimeria,Unknown,33.25,0.551,,,,,79.7
F2,810,Eimeria,Unknown,32.63,0.551,,,,,73.3
F3,810,Eimeria,Unknown,33.73,0.551,,,,,83.1
F4,810,Mus,Unknown,25.17,2.075,,,,,79.7
F5,810,Mus,Unknown,23.53,2.075,,,,,80
F6,810,Mus,Unknown,21.05,2.075,,,,,80
F7,846,Eimeria,Unknown,33.04,0.498,,,,,75.3
F8,846,Eimeria,Unknown,34.03,0.498,,,,,78.4
F9,846,Eimeria,Unknown,33.65,0.498,,,,,74
F10,846,Mus,Unknown,23.94,1.824,,,,,79.4
F11,846,Mus,Unknown,22.04,1.824,,,,,79.4
F12,846,Mus,Unknown,20.29,1.824,,,,,79.4
G1,709,Eimeria,Unknown,32.99,0.506,,,,,78.1
G2,709,Eimeria,Unknown,33.3,0.506,,,,,79.2
G3,709,Eimeria,Unknown,33.98,0.506,,,,,78.7
G4,709,Mus,Unknown,23.83,1.161,,,,,79.4
G5,709,Mus,Unknown,23.2,1.161,,,,,79.7
G6,709,Mus,Unknown,21.58,1.161,,,,,80
G7,751,Eimeria,Unknown,34.24,0.719,,,,,74.3
G8,751,Eimeria,Unknown,35.53,0.719,,,,,82.6
G9,751,Eimeria,Unknown,34.33,0.719,,,,,73.8
G10,751,Mus,Unknown,23.78,1.4,,,,,79.2
G11,751,Mus,Unknown,22.59,1.4,,,,,79.2
G12,751,Mus,Unknown,20.99,1.4,,,,,79.2
H1,685,Eimeria,Unknown,36.01,1.193,,,,,83.1
H2,685,Eimeria,Unknown,34.48,1.193,,,,,74.3
H3,685,Eimeria,Unknown,33.66,1.193,,,,,74.3
H4,685,Mus,Unknown,25.5,1.892,,,,,79.2
H5,685,Mus,Unknown,24.09,1.892,,,,,79.4
H6,685,Mus,Unknown,21.75,1.892,,,,,79.7
H7,NTC,Eimeria,Unknown,35.15,1.405,,,,,73.6
H8,NTC,Eimeria,Unknown,36.8,1.405,,,,,74
H9,NTC,Eimeria,Unknown,37.95,1.405,,,,,73.1
H10,NTC,Mus,Unknown,Undetermined,,,,,,81.2
H11,NTC,Mus,Unknown,Undetermined,,,,,,77.6
H12,NTC,Mus,Unknown,Undetermined,,,,,,80.5
