"","Mouse_ID","Ct.Eimeria","MC.Eimeria","Ct.Mus","delta","EXP_type","IFNy","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Position"
"34","AA_0697",32.17,FALSE,25.0266666666667,-7.14333333333333,"wild",21.6766207471745,14.6,6.56,13.9,1.5,11.3,14.7,3.09,6.68,9.4,17.1,9.83,5.61,8.71,3.91,"spleen"
"35","AA_0698",31.2733333333333,FALSE,22.2466666666667,-9.02666666666667,"wild",11.4724322280817,47.2,6.45,47.9,9.13,3.11,31.2,2.79,8.7,14.7,14.6,10.2,9.71,1.71,4.4,"mLN"
"36","AA_0698",31.2733333333333,FALSE,22.2466666666667,-9.02666666666667,"wild",11.4724322280817,25.9,6.3,26,12.6,6.1,17.7,9.37,7.48,11.2,13.5,11.7,0,0,100,"spleen"
"37","AA_0699",30.76,FALSE,16.1466666666667,-14.6133333333333,"wild",31.6287217547885,16,1.42,33.3,33.3,34.8,10,62.7,1.59,6.45,15.2,80,10.8,6.67,0,"mLN"
"38","AA_0699",30.76,FALSE,16.1466666666667,-14.6133333333333,"wild",31.6287217547885,11.1,9.34,24.6,2.28,7.72,26.6,5.22,8.02,8.48,12,14.3,8.34,4.99,1.57,"spleen"
"39","AA_0700",32.84,TRUE,23.45,-9.39,"wild",NA,18.3,5.01,30,1.64,7.6,41.4,4.44,21.7,8.86,19.1,25.2,1.96,1.97,0.96,"spleen"
"40","AA_0700",32.84,TRUE,23.45,-9.39,"wild",NA,24.8,6.64,31,4.43,5.54,56.4,2.62,15,13,16.5,40.4,1.58,1.87,2,"mLN"
"41","AA_0701",33.03,TRUE,24.0933333333333,-8.93666666666667,"wild",NA,35.8,5.31,24.4,1.96,3.7,42.6,2.7,8.83,13.3,25.7,18.1,8.1,9.31,0,"spleen"
"42","AA_0701",33.03,TRUE,24.0933333333333,-8.93666666666667,"wild",NA,53,4.94,27.8,6.94,2.89,54.3,2.33,12,16,28.1,17.3,3.27,4.73,2.63,"mLN"
"43","AA_0702",33.1933333333333,FALSE,16.8866666666667,-16.3066666666667,"wild",NA,11.9,6.66,32.5,2.65,8.01,35.6,5.49,15.9,6.39,18,14.5,6.31,6.07,1.89,"spleen"
