"","Address","Longitude","Latitude","Year"
"63","Rosenbühl 2",12.1359,49.5929,2014
"64","Šabina 86",12.3552,50.85,2014
"65","Šabina horses",12.3458,50.86,2014
"66","Seybothenreuth",11.4312,49.5257,2014
"67","Straas2",11.4545,50.1053,2014
"68","Týniště4",13.1057,50.85,2014
"69","Unterweissenbach",12.612,50.925,2014
"70","Verušičky 15",13.1035,50.831,2014
"71","Vrbice 7",13.1351,50.858,2014
"72","Vrbička 4",13.1736,50.1039,2014
"73","Wolfsbühl 4",12.1528,50.048,2014
"74","Wolferszwing 1",12.1641,49.652,2014
"75","Žihle Statek",13.2311,50.232,2014
"76","Bauhof 5",12.5056,49.3517,2015
"77","Dünzling 3",12.1133,48.8858,2015
"78","Eckendorf 5",12.2325,49.4467,2015
"79","Eitenzell 8",12.4631,49.0508,2015
"80","Eltheim 3",12.3108,48.9845348,2015
"81","Engelsberg 1",12.3844,49.0919,2015
"82","Fuchsendorf 5",12.2731,49.5044,2015
"83","Gailsbach, Auweg 2",12.2347,48.8861,2015
"84","Gailsbach, Auweg 3",12.2356,48.8856,2015
"85","Gailsbach, Auweg 9",12.2361,48.8847,2015
"86","Gailsbach, Dorfstrasse 8",12.2339,48.8864,2015
"87","Geisling 7",12.3167,48.9717,2015
"88","Gfäll 9",12.4203,49.1017,2015
"89","Gottschalling",11.9839,47.7883,2015
"90","Grassersdorf 12",12.5228,49.3669,2015
"91","Grossbergerdorf 9",12.6325,49.2508,2015
"92","Gschwendt 43a",12.0689,48.8558,2015
"93","Guthof 1",12.5128,49.1275,2015
"94","Hetzmannsdorf 18",12.5256,49.3519,2015
"95","Hof 12",12.4069,49.4636,2015
"96","Jagerhaus 1",12.3106,48.9497,2015
"97","Klessing 2",12.5028,49.1528,2015
"98","Lerau 9",12.2875,49.6044,2015
"99","Letzau",12.245,49.6772,2015
"100","Loidsberg 5",12.3836,49.0664,2015
"101","Luckenpaint",12.135,48.894,2015
"102","Maierhof 5",12.4347,48.0931,2015
"103","Mattenzell 11",12.4356,49.1144,2015
"104","Michelstahl 17",12.5931,49.4264,2015
"105","Moosham 18",12.2672,48.9256,2015
"106","Moosmühle 1",12.3481,48.9678,2015
"107","Münchshof 2",12.1178,49.3619,2015
"108","Neuallkofen 2",12.2675,48.9719,2015
"109","Neusath 78",12.2125,49.4639,2015
"110","Niedermurach",12.3775,49.4489,2015
"111","Niederpremeischl 2",12.5808,49.3447,2015
"112","Nunzenried 11",12.4492,49.4547,2015
"113","Oberlaichling 3",12.1606,48.8614,2015
"114","Obermurach 23",12.3919,49.4453,2015
"115","Obernankau 8",12.2997,49.5861,2015
"116","Obersanding 14",12.1606,48.8864,2015
"117","Obersanding 2",12.1611,48.8869,2015
"118","Obertresengeld 3A",12.3261,49.6544,2015
"119","Obertresengeld 3B",12.3278,49.6539,2015
"120","Oedenthal 2",12.2389,49.6439,2015
"121","Paring 202",12.0933,48.8519,2015
"122","Pemfling 12",12.6064,49.2619,2015
"123","Pillmersried 44",12.5139,49.3911,2015
"124","Reichertsmühle 1",12.3772,49.4725,2015
"125","Rötz 2",12.5406,49.3417,2015
"126","Schierling 39",12.145,48.8336,2015
"127","Stadtberg 1",12.1492,48.9183,2015
"128","Staunerhof",12.5711,49.2867,2015
"129","Steinach 6",12.2942,49.5953,2015
"130","Tauchersdorf 6",12.2456,49.4767,2015
"131","Thalmassing 5",12.16,48.9133,2015
"132","Tiefenbach 28",12.5789,49.4378,2015
"133","Tressenried 9",12.4406,49.4572,2015
"134","Trobelsdorf 4",12.5436,49.3558,2015
"135","Unterprombach 1",12.5281,49.1642,2015
"136","Untersanding, Dorfstrasse 16",12.1706,48.8911,2015
"137","Untersanding, Lerchenweg 2",12.1683,48.8911,2015
"138","Unterschneidhart 5",12.0514,48.8594,2015
"139","Wieden 1",12.5019,49.1447,2015
"140","Woppmannsdorf 8",12.3544,49.125,2015
"141","Zaitzkofen 36",12.2094,48.8375,2015
"142","Zilchenricht 4",12.1806,49.3881,2015
"143","Zumhof 16",12.4319,49.06,2015
"144","Albertshof 4",13.4542,53.1478,2015
"145","Altmädewitz 29",14.1625,52.7508,2015
"146","Altranft 39",14.0817,52.7667,2015
"147","Altthymen 26",13.1647,53.24,2015
"148","Bad Freienwalde 45",14.0661,52.7733,2015
"149","Beetz 125",13.0161,52.8136,2015
"150","Beetz 95A - horses",13.0208,52.8192,2015
"151","Bestensee 6",13.6025,52.2225,2015
"152","Britz 2",13.8119,52.8875,2015
"153","Buchholz 30",13.7881,52.5844,2015
"154","Croustillier 17",14.1169,52.7914,2015
"155","Danewitz 22",13.6664,52.7339,2015
"156","Densow 12",13.3775,53.145,2015
"157","Dobberzin 8",14.0356,53.0203,2015
"158","Erkner Kinderbauernhof",13.7581,52.3989,2015
"159","Gielsdorf 68",13.8756,52.6053,2015
"160","Gottesgabe 1",14.1833,52.6378,2015
"161","Hammelspring 6",13.4286,53.0689,2015
"162","Hammer 18",13.4411,52.8758,2015
"163","Hammer 8",13.4383,52.8803,2015
"164","Hohenstein 1",13.9858,52.5689,2015
"165","Hoppegarten 1",13.6761,52.4978,2015
"166","Hohenwutzen 30",14.1189,52.8367,2015
"167","Joachimstahl 10",13.7414,52.9753,2015
"168","Letschin 38",14.3217,52.6506,2015
"169","Liebenthal",13.4636,52.9156,2015
"170","Linde 53",13.1278,52.8925,2015
"171","Lychen 6",13.3122,53.2242,2015
"172","Madlitz 11",14.3106,52.3792,2015
"173","Marienhof 6",13.5994,52.2458,2015
"174","Milmersdorfer Chaussee 47",13.595,53.1158,2015
"175","Neugaul 21",14.1206,52.7547,2015
"176","Neulöwenberg",13.1972,52.9008,2015
"177","Neumädewitz 39",14.1611,52.7408,2015
"178","Ort Berkenlatten 7",13.7586,53.1406,2015
"179","Pappelwerder 1",13.6506,53.2108,2015
"180","Pausien",13.0447,52.6372,2015
"181","Rutenberg 41",13.3067,53.2531,2015
"182","Rutenberg Rehof",13.3047,53.2522,2015
"183","Schenkendorf 8 - food",13.5992,52.2725,2015
"184","Schenkendorf 8 - horses",13.595,52.2747,2015
"185","Schiffmühle 29",14.0569,52.8092,2015
"186","Schorfheide 16",13.5436,52.9228,2015
"187","Stegelitz",13.8433,53.1267,2015
"188","Sternfelde 2",13.9703,53.0039,2015
"189","Storkow 17",13.4458,53.0478,2015
"190","Torfhaus",13.8517,52.5142,2015
"191","Triepkendorf 30",13.3306,53.2903,2015
"192","Zehlendorf 1",13.3994,52.7969,2015
"193","Czaplin Wielki 21",15.1556,54.0206,2015
"194","Dramino 3",14.7003,53.8792,2015
"195","Gołańcz Pomorska 48",15.3842,54.0647,2015
"196","Recław 8",14.6275,53.8422,2015
"197","Trzeszyn 17",15.1511,53.9992,2015
"198","Żółwino 6",14.6125,53.9406,2015
"199","Hohenwutzener chaussee 3, hohenwutzen",14.0997,52.83667,2016
"200","Münchehofer Straße 1, Hoppegarten",13.676085,52.497666,2016
"201","Zindorf",13.928061,52.50186,2016
"202","Kreuzbrucher Str 7 , Kreuzbruch (Kreuz7)",13.4291,52.8402,2016
"203","Kreuzbrucher Str. 2, Kreuzbruch (Kreuz2)",13.4118,52.8367,2016
"204","Mittelstr 1, Hammer",13.4392,52.88,2016
"205","Große Trift, Hammer (Milchkuhhof) ",13.4473,52.8778,2016
"206","Pappelweg 8c; 16775 Löwenberg",13.3066,52.90833,2016
"207","an den eiskuten 8, 15749 Mittenwalde",13.599425,52.273117,2016
"208","Wolziger hautpstrasse 24, Wolzig",13.840138,52.267513,2016
"209","Herr Kunitz",13.978059,52.24886,2016
"210","Freiherr-von-loeben strasse 2, 15749 Mittenwalde (Lamahof)",13.595,52.281,2016
"211","Berliner strasse 14, 15754 friedersdorf (klein tier und zuchbedarf egon hertel)",13.765197,52.291317,2016
"212","Marienhof 5, 15741 bestensee",13.600134,52.246817,2016
"213","western salon pferdepension, ines Roggisch",13.9973386,52.265571,2016
"214","Apfelallee 7, Kruge",13.877991,52.75719,2016
"215","Schönholzerstr. 8 , Grüntal",13.730395,52.7463,2016
"216","Weidenweg 18, 16259 Kruge",13.887276,52.757041,2016
"217","Eberswalderstr. 2, Breydin- Trampe",13.837148,52.780079,2016
"218","Lindenstr. 5, Klobbicke",13.8024416667,52.7595889,2016
"219","Dorfallee 39, 16559 Liebenthal",13.4638,52.9161,2016
"220","Klandorfer Str. 60, Marienwerder",13.5998,52.8421,2016
"221","Dorfstr. 63, Ruhlsdorf",13.558,52.8254,2016
"222","Prendener Dorfstr. 39, Prenden",13.5516,52.7904,2016
"223","Dorfstr. 62, Stolzenhagen",13.4417,52.7805,2016
"224","Hauptstr. 49, Klosterfelde",13.48,52.7918,2016
"225","Münchehofer Straße 1, Hoppegarten",13.676085,52.497666,2016
"226","Kageler Weg 14, Lichtenow",13.903849,52.478733,2016
"227","Mitschurinstr. 1, Rehfelde",13.898133,52.518554,2016
"228","Mildenberger Str. 1, Mildenberg",13.30472,52.9935,2016
"229","Dorfanger 7, 15754 Gräbendorf",13.707342,52.242122,2016
"230","Wolziger hautpstrasse 24, Wolzig",13.840138,52.267513,2016
"231","Siedlung 19, 15749 Gallun",13.560048,52.243685,2016
"232","Am Tonsee 4, Mittenwalde",13.58843,52.21563,2016
"233","Dorfstr. 22, Danewitz",13.666418,52.733898,2016
"234","Bahnhofstr. 21, Bernau (Rüdnitz)",13.64,52.716944,2016
"235","Bergstr. 4B, Bernau (Rüdnitz)",13.644722,52.714056,2016
"236","Kastanienstr. 27, Tempelfelde",13.722576,52.71158,2016
"237","Lindenstr. 22, Klobbicke",13.802443,52.759589,2016
"238","Lindenstr. 5, Klobbicke",13.482913,52.45388,2016
"239","Löhmer dorfstr. 24, Werneuchen",13.683618,52.633745,2016
"240","Wegendorfer Weg 1, Werneuchen",13.698956,52.600233,2016
"241","Hauptstr. 26, spreenhagen",13.875585,52.34145,2016
"242","Zehdenicker Str 8, 16247 Joachimsthal",13.7336,52.9784,2016
"243","Mittelstr. 5, 16244 Eichhorst",13.636433,52.890269,2016
"244","Schulstr. 10, 16244 Eichhorst",13.63666,52.89051,2016
"245","Mühlengasse 14, 16348 Wandlitz (Prenden)",13.55461,52.78755,2016
"246","Dorfanger 7, 15754 Gräbendorf",13.707342,52.242122,2016
"247","Pferdeoase, Märkisch Buchholz",13.763339,52.106315,2016
"248","Mildenberger Str. 1, Mildenberg",13.30472,52.9935,2016
"249","Badinger Dorferstr. 40, Badingen",13.251838,53.00027,2016
"250","Granseer Str 45, Großwoltersdorf",13.090672,53.072079,2016
"251","IGB",13.029748,53.14144,2016
"252","Bornmühlenstr., Fürstenberg",13.14741,53.172124,2016
"253","Siedlung 11, Gräfendorf",13.1949,51.909612,2016
"254","Rosenthal 62",13.462218,51.863059,2016
"255","15936 Rosenthal 38",13.463558,51.862758,2016
"256","15936 Rosenthal 10",13.460798,51.86995,2016
"257","Körbitz 11",13.113572,51.895026,2016
"258","14913 Grüna 17",13.082355,52.031213,2016
"259","14913 Grüna 10",13.084008,52.030218,2016
"260","Oehna 59",13.04327,51.929931,2016
"261","Oehna 62",13.043982,51.929943,2016
"262","Kirchstr. 1, Groß Ziethen",13.89739,52.95691,2016
"263","Serwester Dorfstr. 72, Serwest",13.924824,52.929032,2016
"264","Groß Fredenwalde 29, 17268 Gerswalde",13.79691,53.12959,2016
"265","Klein Fredenwalde ",13.76991,53.12783,2016
"266","Glambecker Str. 23, Parlow",13.76791,53.02505,2016
"267","Glambecker Str. 22, Parlow",13.766596,53.02507,2016
"268","Templiner Str. 18D, 17268 Temmen-Ringenwalde",13.71264,53.06147,2016
"269","Kirchstr.13, Tuchen",13.787479,52.754538,2016
"270","Dorfstr. 9, 16230 Breydin-Trampe",13.837111,52.776694,2016
"271","Neulüdersdorf 9, Neulüdersdorf",13.186732,53.038544,2016
"272","Granseeer Str. . Großwoltersdorf",13.10663,53.065466,2016
"273","Wendefeld, Wendefeld",13.16023,53.034708,2016
"274","Altedorfstr.  Altlüdersdorf",13.186732,53.038544,2016
"275","Ribbecker Dorfstr. 8, Ribbeck",13.256764,53.032128,2016
"276","Pferdeoase, Märkisch Buchholz",13.763339,52.106315,2016
"277","Micheal Nier, Gutsmannstr. 41, 15755",13.608102,52.130086,2016
"278","Eisenbahnerstrasse 9, Märkisch Buchholz, Volkmann",13.75148,52.10668,2016
"279","Eichenhof, Eichenweg34, Löpten",13.67908,52.1462,2016
"280","Egsdorferstr. 7, 15749",13.58764,52.15826,2016
"281","Schiffmühle 29, 16259",14.05693,52.80912,2016
"282","Gartenstr. 2, Heckelberg",13.837288,52.738159,2016
"283","Brunower Straße 1, 16259 Höhenland- Steinbeck",13.907177,52.71788,2016
"284","Lüdersdorfer Dorfstraße 8, Wriezen – Lüdersdorf",14.082995,52.699579,2016
"285","Wriezener Straße 6, Frankenfelde",14.058403,52.669965,2016
"286","Wriezener Straße 7, Frankenfelde",14.05844,52.670084,2016
"287","Dorfstr. 52, Brodowin",13.956417,52.915588,2016
"288","Dorfstr. 31, Niederfinow",13.899922,52.840734,2016
"289","Dorfstrasse 15, Ringenwalde",13.718,53.0575,2016
"290","Ringenwalderstrasse 31, ",13.7112,53.0334,2016
"291","Wilmine 5, 17268 Gerswalde",13.772821,53.116421,2016
"292","Dorfstrasse 34a, Ringenwalde",13.7212,53.0575,2016
"293","An der Schäferei 10, 15518, Steinhöfel",14.043857,52.430311,2016
"294","Max-Schmelingstr. 31, 15374, Hoppegarten",14.018114,52.489685,2016
"295","Hirsegarten 6d, 15528, Speenhagen",13.886509,52.33122,2016
"296","Hirsegarten 5, Spreenhagen",13.884526,52.335667,2016
"297","Hauptstr. 34, Sprenhagen",13.875007,52.340229,2016
"298","Steinhöfelerstr. 1, 15518, Steinhöfel Buchholz",14.127122,52.421551,2016
"299","Dubenerhauptstr. 19, 15926",13.809616,51.897811,2016
"300","Freiimfelde 1 15926 Luckau/ Duben",13.787119,51.885597,2016
"301","Hindenbergerdorfstr. 31 03222",13.847336,51.853542,2016
"302","Uckeroergutshof 3, 15926 Luckau",13.614258,51.854556,2016
"303","Dorfweg. 21, 15936 Dahme",13.534375,51.848838,2016
"304","Heckelbergerstr. 6, 16259 Brunow",13.867283,52.731077,2016
"305","Serwester Dorfstr. 56, Serwest",13.991718,52.933813,2016
"306","Felchower Straße 15a, Crussow",14.080622,53.005224,2016
"307","Mühlengasse 14, 16348 Wandlitz (Prenden)",13.55461,52.78755,2016
"308","Böckenberg 31, 17268 Gerswalde",13.755,53.13322,2016
"309","Templiner Str. 22, Temmen-Ringenwalde",13.7145,53.0602,2016
"310","Poratz 18",13.7926,53.0629,2016
"311","Lindenallee 3A, 17268 Temmen-Ringenwalde",13.7527,53.098183,2016
"312","Fredenwalder Weg 1, Stegelitz",13.843372,53.126703,2016
"313","Werbelliner Dorfstraße 27, Werbellin",13.7027,52.890079,2016
"314","Wensickendorfer Str.21A, Zehlendorf",13.387899,52.775155,2016
"315","Granseer Str. 58, Großwoltersdorf",13.09432,53.070217,2016
"316","Eichenweg, Strasen",12.998334,53.207467,2016
"317","Pälitzhof 1,17255 Wustrow",12.9707638,53.203156,2016
"318","Pälitzhof 3, Wustrow",12.9707638,53.203156,2016
"319","Bornmülenstraße, Fürstenberg",13.147471,53.172124,2016
"320","Neulüdersdorf 20, Neulüdersdorf",13.172672,53.050558,2016
"321","Rheinberger Str., Fürstenberg",13.126998,53.170048,2016
"322","Granseer Str. 1, Großwoltersdorf",13.106627,53.06548,2016
"323","Dorfstr. 16, Zootzen",13.213816,53.151642,2016
"324","Zur Flake 4, Strasen",12.993232,53.211841,2016
"325","Poststr. 1, Dobberzin",14.035729,53.019926,2016
"326","Poststr. 8, Dobberzin",14.035471,53.020251,2016
"327","Kastanienallee 2, 16278 Angermünde - Sternfelde",13.97029,53.00394,2016
"328","Kirchstr. 5, 16230 Amtbritz- Chorin",13.815899,52.886437,2016
"329","Alihmbsmühle 4, 17268",13.62279,53.07628,2016
"330","Neudorf 2, 16348 Wandlitz",13.516796,52.79819,2016
"331","Wandlitzerstrasse 16, Lanke",13.523066,52.758042,2016
"332","Wriezenerstr. 38 Wilhermsauer Loose",14.321733,52.650566,2016
"333","Mahlerstr. 20, Wriezen",14.125579,52.733087,2016
"334","Storkower Str 18, Storkow",13.445741,53.04789,2016
"335","Am Röddelinsee1, 17268 Templin",13.449635,53.094694,2016
"336","Hauptstr. 12, Densow",13.377,53.1449,2016
"337","Altthymer Dorfstr. 3, Bartselhof",13.164,53.2314,2016
"338","Altthymer Dorfstr. 23, Altthymen",13.164659,53.239927,2016
"339","Müggelseedamm 31a, Berlin",13.647899,52.448977,2016
"340","Lindenstraße 19, Alt Madlitz",14.279504,52.384948,2016
"341","Eberswalderstr. 158A, Müncheberg",14.094352,52.525605,2016
"342","Trempelberger Weg 3, Steinhöfel Oder-Spree",14.181204,52.46718,2016
"343","Mühlenstr.12, Briesen",14.30442,52.379044,2016
"344","Molkenberger Str. 12, Fürstenwalde/Spree",14.062102,52.3846215,2016
"345","Peterlinenweg, Kreuzung B5-L384, Falkenhagen",14.2972631,52.408109,2016
"346","Neue Zittauer Str. ?, Erkner",13.749045,52.403302,2016
"347","Hohenwutzener chaussee 3, hohenwutzen",14.0997,52.83667,2017
"348","Münchehofer Straße 1, Hoppegarten",13.676085,52.497666,2017
"349","Zindorf",13.928061,52.50186,2017
"350","Kreuzbrucher Str 7 , Kreuzbruch (Kreuz7)",13.4291,52.8402,2017
"351","Kreuzbrucher Str. 2, Kreuzbruch (Kreuz2)",13.4118,52.8367,2017
"352","Mittelstr 1, Hammer",13.4392,52.88,2017
"353","Große Trift, Hammer (Milchkuhhof) ",13.4473,52.8778,2017
"354","Pappelweg 8c; 16775 Löwenberg",13.3066,52.90833,2017
"355","an den eiskuten 8, 15749 Mittenwalde",13.599425,52.273117,2017
"356","Wolziger hautpstrasse 24, Wolzig",13.840138,52.267513,2017
"357","Herr Kunitz",13.978059,52.24886,2017
"358","Freiherr-von-loeben strasse 2, 15749 Mittenwalde (Lamahof)",13.595,52.281,2017
"359","Berliner strasse 14, 15754 friedersdorf (klein tier und zuchbedarf egon hertel)",13.765197,52.291317,2017
"360","Marienhof 5, 15741 bestensee",13.600134,52.246817,2017
"361","western salon pferdepension, ines Roggisch",13.9973386,52.265571,2017
"362","Apfelallee 7, Kruge",13.877991,52.75719,2017
"363","Schönholzerstr. 8 , Grüntal",13.730395,52.7463,2017
"364","Weidenweg 18, 16259 Kruge",13.887276,52.757041,2017
"365","Eberswalderstr. 2, Breydin- Trampe",13.837148,52.780079,2017
"366","Lindenstr. 5, Klobbicke",13.8024416667,52.7595889,2017
"367","Dorfallee 39, 16559 Liebenthal",13.4638,52.9161,2017
"368","Klandorfer Str. 60, Marienwerder",13.5998,52.8421,2017
"369","Dorfstr. 63, Ruhlsdorf",13.558,52.8254,2017
"370","Prendener Dorfstr. 39, Prenden",13.5516,52.7904,2017
"371","Dorfstr. 62, Stolzenhagen",13.4417,52.7805,2017
"372","Hauptstr. 49, Klosterfelde",13.48,52.7918,2017
"373","Münchehofer Straße 1, Hoppegarten",13.676085,52.497666,2017
"374","Kageler Weg 14, Lichtenow",13.903849,52.478733,2017
"375","Mitschurinstr. 1, Rehfelde",13.898133,52.518554,2017
"376","Mildenberger Str. 1, Mildenberg",13.30472,52.9935,2017
"377","Dorfanger 7, 15754 Gräbendorf",13.707342,52.242122,2017
"378","Wolziger hautpstrasse 24, Wolzig",13.840138,52.267513,2017
"379","Siedlung 19, 15749 Gallun",13.560048,52.243685,2017
"380","Am Tonsee 4, Mittenwalde",13.58843,52.21563,2017
"381","Dorfstr. 22, Danewitz",13.666418,52.733898,2017
"382","Bahnhofstr. 21, Bernau (Rüdnitz)",13.64,52.716944,2017
"383","Bergstr. 4B, Bernau (Rüdnitz)",13.644722,52.714056,2017
"384","Kastanienstr. 27, Tempelfelde",13.722576,52.71158,2017
"385","Lindenstr. 22, Klobbicke",13.802443,52.759589,2017
"386","Lindenstr. 5, Klobbicke",13.482913,52.45388,2017
"387","Löhmer dorfstr. 24, Werneuchen",13.683618,52.633745,2017
"388","Wegendorfer Weg 1, Werneuchen",13.698956,52.600233,2017
"389","Hauptstr. 26, spreenhagen",13.875585,52.34145,2017
"390","Zehdenicker Str 8, 16247 Joachimsthal",13.7336,52.9784,2017
"391","Mittelstr. 5, 16244 Eichhorst",13.636433,52.890269,2017
"392","Schulstr. 10, 16244 Eichhorst",13.63666,52.89051,2017
"393","Mühlengasse 14, 16348 Wandlitz (Prenden)",13.55461,52.78755,2017
"394","Dorfanger 7, 15754 Gräbendorf",13.707342,52.242122,2017
"395","Pferdeoase, Märkisch Buchholz",13.763339,52.106315,2017
"396","Mildenberger Str. 1, Mildenberg",13.30472,52.9935,2017
"397","Badinger Dorferstr. 40, Badingen",13.251838,53.00027,2017
"398","Granseer Str 45, Großwoltersdorf",13.090672,53.072079,2017
"399","IGB",13.029748,53.14144,2017
"400","Bornmühlenstr., Fürstenberg",13.14741,53.172124,2017
"401","Siedlung 11, Gräfendorf",13.1949,51.909612,2017
"402","Rosenthal 62",13.462218,51.863059,2017
"403","15936 Rosenthal 38",13.463558,51.862758,2017
"404","15936 Rosenthal 10",13.460798,51.86995,2017
"405","Körbitz 11",13.113572,51.895026,2017
"406","14913 Grüna 17",13.082355,52.031213,2017
"407","14913 Grüna 10",13.084008,52.030218,2017
"408","Oehna 59",13.04327,51.929931,2017
"409","Oehna 62",13.043982,51.929943,2017
"410","Kirchstr. 1, Groß Ziethen",13.89739,52.95691,2017
"411","Serwester Dorfstr. 72, Serwest",13.924824,52.929032,2017
"412","Groß Fredenwalde 29, 17268 Gerswalde",13.79691,53.12959,2017
"413","Klein Fredenwalde ",13.76991,53.12783,2017
"414","Glambecker Str. 23, Parlow",13.76791,53.02505,2017
"415","Glambecker Str. 22, Parlow",13.766596,53.02507,2017
"416","Templiner Str. 18D, 17268 Temmen-Ringenwalde",13.71264,53.06147,2017
"417","Kirchstr.13, Tuchen",13.787479,52.754538,2017
"418","Dorfstr. 9, 16230 Breydin-Trampe",13.837111,52.776694,2017
"419","Neulüdersdorf 9, Neulüdersdorf",13.186732,53.038544,2017
"420","Granseeer Str. . Großwoltersdorf",13.10663,53.065466,2017
"421","Wendefeld, Wendefeld",13.16023,53.034708,2017
"422","Altedorfstr.  Altlüdersdorf",13.186732,53.038544,2017
"423","Ribbecker Dorfstr. 8, Ribbeck",13.256764,53.032128,2017
"424","Pferdeoase, Märkisch Buchholz",13.763339,52.106315,2017
"425","Micheal Nier, Gutsmannstr. 41, 15755",13.608102,52.130086,2017
"426","Eisenbahnerstrasse 9, Märkisch Buchholz, Volkmann",13.75148,52.10668,2017
"427","Eichenhof, Eichenweg34, Löpten",13.67908,52.1462,2017
"428","Egsdorferstr. 7, 15749",13.58764,52.15826,2017
"429","Schiffmühle 29, 16259",14.05693,52.80912,2017
"430","Gartenstr. 2, Heckelberg",13.837288,52.738159,2017
"431","Brunower Straße 1, 16259 Höhenland- Steinbeck",13.907177,52.71788,2017
"432","Lüdersdorfer Dorfstraße 8, Wriezen – Lüdersdorf",14.082995,52.699579,2017
"433","Wriezener Straße 6, Frankenfelde",14.058403,52.669965,2017
"434","Wriezener Straße 7, Frankenfelde",14.05844,52.670084,2017
"435","Dorfstr. 52, Brodowin",13.956417,52.915588,2017
"436","Dorfstr. 31, Niederfinow",13.899922,52.840734,2017
"437","Dorfstrasse 15, Ringenwalde",13.718,53.0575,2017
"438","Ringenwalderstrasse 31, ",13.7112,53.0334,2017
"439","Wilmine 5, 17268 Gerswalde",13.772821,53.116421,2017
"440","Dorfstrasse 34a, Ringenwalde",13.7212,53.0575,2017
"441","An der Schäferei 10, 15518, Steinhöfel",14.043857,52.430311,2017
"442","Max-Schmelingstr. 31, 15374, Hoppegarten",14.018114,52.489685,2017
"443","Hirsegarten 6d, 15528, Speenhagen",13.886509,52.33122,2017
"444","Hirsegarten 5, Spreenhagen",13.884526,52.335667,2017
"445","Hauptstr. 34, Sprenhagen",13.875007,52.340229,2017
"446","Steinhöfelerstr. 1, 15518, Steinhöfel Buchholz",14.127122,52.421551,2017
"447","Dubenerhauptstr. 19, 15926",13.809616,51.897811,2017
"448","Freiimfelde 1 15926 Luckau/ Duben",13.787119,51.885597,2017
"449","Hindenbergerdorfstr. 31 03222",13.847336,51.853542,2017
"450","Uckeroergutshof 3, 15926 Luckau",13.614258,51.854556,2017
"451","Dorfweg. 21, 15936 Dahme",13.534375,51.848838,2017
"452","Heckelbergerstr. 6, 16259 Brunow",13.867283,52.731077,2017
"453","Serwester Dorfstr. 56, Serwest",13.991718,52.933813,2017
"454","Felchower Straße 15a, Crussow",14.080622,53.005224,2017
"455","Mühlengasse 14, 16348 Wandlitz (Prenden)",13.55461,52.78755,2017
