Name,Ct SYBR,Target SYBR,Ct Dev SYBR
CEWE_AA_542,29.27,GBP2,0.55
CEWE_AA_542,28.449999999999999,GBP2,0.55
CEWE_AA_542,29.5,GBP2,0.55
CEWE_AA_543,33.270000000000003,GBP2,3.17
CEWE_AA_543,28.609999999999999,GBP2,3.17
CEWE_AA_543,27.219999999999999,GBP2,3.17
CEWE_AA_554,28.280000000000001,GBP2,0.34
CEWE_AA_554,28.59,GBP2,0.34
CEWE_AA_554,27.899999999999999,GBP2,0.34
CEWE_AA_540,25.719999999999999,CXCR3,0.13
CEWE_AA_540,25.530000000000001,CXCR3,0.13
CEWE_AA_540,25.469999999999999,CXCR3,0.13
CEWE_AA_542,35.780000000000001,CXCR3,1.37
CEWE_AA_542,33.840000000000003,CXCR3,1.37
CEWE_AA_542,,CXCR3,1.37
CEWE_AA_543,25.879999999999999,CXCR3,0.88
CEWE_AA_543,25.829999999999998,CXCR3,0.88
CEWE_AA_543,24.329999999999998,CXCR3,0.88
CEWE_AA_554,29.109999999999999,CXCR3,0.31
CEWE_AA_554,29.280000000000001,CXCR3,0.31
CEWE_AA_554,29.710000000000001,CXCR3,0.31
CEWE_AA_540,23.77,IRG6,0.24
CEWE_AA_540,24.16,IRG6,0.24
CEWE_AA_540,24.199999999999999,IRG6,0.24
CEWE_AA_542,29.899999999999999,IRG6,1.17
CEWE_AA_542,29.41,IRG6,1.17
CEWE_AA_542,31.640000000000001,IRG6,1.17
CEWE_AA_543,25.66,IRG6,1.26
CEWE_AA_543,23.670000000000002,IRG6,1.26
CEWE_AA_543,23.329999999999998,IRG6,1.26
CEWE_AA_554,28.109999999999999,IRG6,0.33
CEWE_AA_554,27.710000000000001,IRG6,0.33
CEWE_AA_554,27.449999999999999,IRG6,0.33
CEWE_AA_544,22.350000000000001,GAPDH,0.86
CEWE_AA_544,20.890000000000001,GAPDH,0.86
CEWE_AA_544,20.82,GAPDH,0.86
CEWE_AA_650,24.030000000000001,GAPDH,0.71
CEWE_AA_650,23.41,GAPDH,0.71
CEWE_AA_650,22.609999999999999,GAPDH,0.71
CEWE_AA_555,22.73,GAPDH,0.31
CEWE_AA_555,22.449999999999999,GAPDH,0.31
CEWE_AA_555,22.109999999999999,GAPDH,0.31
CEWE_AA_556,20.100000000000001,GAPDH,0.28
CEWE_AA_556,19.629999999999999,GAPDH,0.28
CEWE_AA_556,19.59,GAPDH,0.28
CEWE_AA_544,25.420000000000002,beta-Actin,0.43
CEWE_AA_544,24.600000000000001,beta-Actin,0.43
