COCE,ILWE,ELFO,WEOH,WFOR,591,,,
COCE_0864,,ELFO_0859,WEOH_,WFOR_,,,,
COCE_0865,,ELFO_0860,WEOH_,WFOR_,,,,
COCE_0866,,ELFO_0861,WEOH_,WFOR_,,,,
COCE_0867,,ELFO_0862,WEOH_,WFOR_,,,,
COCE_0868,,ELFO_0863,WEOH_,WFOR_,,,,
COCE_0869,,ELFO_0864,WEOH_,WFOR_,,,,
COCE_0870,,ELFO_0865,WEOH_,WFOR_,,,,
COCE_0871,,ELFO_0866,WEOH_,WFOR_,,,,
COCE_0872,,ELFO_0867,WEOH_,WFOR_,,,,
COCE_0873,,ELFO_0868,WEOH_,WFOR_,,,,
COCE_0874,,ELFO_0869,,,,,,
COCE_0875,,ELFO_0870,,,,,,
COCE_0876,,ELFO_0871,,,,,,
COCE_0877,,ELFO_0872,,,,,,
COCE_0878,,ELFO_0873,,,,,,
COCE_0879,,ELFO_0874,,,,,,
COCE_0880,,ELFO_0875,,,,,,
COCE_0881,,ELFO_0876,,,,,,
COCE_0882,,ELFO_0877,,,,,,
COCE_0883,,ELFO_0878,,,,,,
COCE_0884,,ELFO_0879,,,,,,
COCE_0885,,ELFO_0880,,,,,,
COCE_0886,,ELFO_0881,,,,,,
COCE_0887,,ELFO_0882,,,,,,
COCE_0888,,ELFO_0883,,,,,,
COCE_0889,,ELFO_0884,,,,,,
COCE_0890,,ELFO_0885,,,,,,
COCE_0891,,ELFO_0886,,,,,,
COCE_0892,,ELFO_0887,,,,,,
COCE_0893,,ELFO_0888,,,,,,
COCE_0894,,ELFO_0889,,,,,,
COCE_0895,,ELFO_0890,,,,,,
COCE_0896,,ELFO_0891,,,,,,
COCE_0897,,ELFO_0892,,,,,,
COCE_0898,,ELFO_0893,,,,,,
COCE_0899,,ELFO_0894,,,,,,
COCE_0900,,ELFO_0895,,,,,,
COCE_0901,,ELFO_0896,,,,,,
COCE_0902,,ELFO_0897,,,,,,
COCE_0903,,ELFO_0898,,,,,,
COCE_0904,,ELFO_0899,,,,,,
COCE_0905,,ELFO_0900,,,,,,
COCE_0906,,ELFO_0901,,,,,,
COCE_0907,,ELFO_0902,,,,,,
COCE_0908,,ELFO_0903,,,,,,
COCE_0909,,ELFO_0904,,,,,,
COCE_0910,,ELFO_0905,,,,,,
COCE_0911,,ELFO_0906,,,,,,
COCE_0912,,ELFO_0907,,,,,,
COCE_0913,,ELFO_0908,,,,,,
COCE_0914,,ELFO_0909,,,,,,
COCE_0915,,ELFO_0910,,,,,,
COCE_0916,,ELFO_0911,,,,,,
COCE_0917,,ELFO_0912,,,,,,
COCE_0918,,ELFO_0913,,,,,,
COCE_0919,,ELFO_0914,,,,,,
COCE_0920,,ELFO_0915,,,,,,
COCE_0921,,ELFO_0916,,,,,,
COCE_0922,,ELFO_0917,,,,,,
COCE_0923,,ELFO_0918,,,,,,
,,ELFO_0919,,,,,,
,,ELFO_0920,,,,,,
,,ELFO_0921,,,,,,
,,ELFO_0922,,,,,,
,,ELFO_0923,,,,,,
