"Transect","Mouse_ID","Sex","Longitude","Latitude","Year","Body_weight","Cysticercus","Trichuris_muris","Aspiculuris_tetraptera","Syphacia_obvelata","Flea","Dissection","Capture","Mastophorus_muris","Hymenolepis_microstoma","Heterakis_spumosa","Mesocestoides","Catenotaenia_pusilla","Body_length","Tail_length","mtBamH","Zfy2","Y","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","HI_NLoci","HI","Dist0","REGion","SRY1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","Dist","Hymenolepis","Oxyurids","Mix_Syphacia_Aspiculuris","State","Status","Species","Dissectors","Embryo_left","Embryo_right","Feces_weight","Hymenolepis_diminiuta","Heligmosomoides_polygurus"
"HZ_BR","AA_0095","M",13.3047,52.9936,2016,12.15,0,0,0,0,"2",2016-09-25,2016-09-24,0,"0",0,NA,0,69,76,"d","m","m","d","d","d","d","d","d","94","100","100","100","100","100","HI 14",0.05,-8.52,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0096","F",13.0439,51.93,2016,20.25,0,0,0,10,"6",2016-09-25,2016-09-24,0,"0",0,NA,0,85,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94","100","100","100","100","100","HI 6",0,-55.61,NA,NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0097","M",13.64,52.7169,2016,10.52,0,0,0,0,"0",2016-09-25,2016-09-24,0,"0",0,NA,0,71,61,"d",NA,NA,"d","d",NA,"d","d","d","94","95/100","100","100","100","100","HI 12",0.0555555556,-11.73,"dom",NA,"dd","dm","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0098","M",13.64,52.7169,2016,15.58,0,0,0,3,"0",2016-09-25,2016-09-24,0,"0",0,NA,0,80,81,"d","d","d","d","d","d","d","d","d","94","100","100","100","100","100","HI 14",0,-11.73,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0099","M",13.0819,52.0311,2016,17.58,0,81,0,0,"13",2016-09-25,2016-09-24,0,"0",0,NA,0,78,84,"d",NA,NA,"m",NA,NA,"d","d","d","100","100","100","100","100","80","HI 11",0.2941176471,-47.94,"dom",NA,"mm","dd","dd","dd","dd","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0100","F",13.4639,51.8625,2016,5.82,0,0,0,7,"1",2016-09-25,2016-09-24,0,"0",0,NA,0,59,66,"d",NA,NA,"dd","dd",NA,"dd","dd","dd","94","100","100","100","100","100","HI 12",0,-16.61,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0101","M",13.4639,51.8625,2016,16.54,0,0,0,1,"1",2016-09-25,2016-09-24,0,"0",0,NA,0,84,91,"d","d","d","d","d","d","d","d","d","94","100","100","100","100","100","HI 14",0,-16.61,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0102","M",13.1953,51.9097,2016,14.95,0,0,0,0,"4",2016-09-25,2016-09-24,0,"0",0,NA,0,77,78,"d","d","d","d","d","d","d","d","d","94","100","100","100","100","100","HI 14",0,-32.22,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0103","F",13.7336,52.9783,2016,17.78,0,0,0,0,"1",2016-09-25,2016-09-24,0,"0",9,NA,0,86,76,"m",NA,NA,"mm","mm",NA,"dm","mm","mm","100","95","125","120","90","80/100","HI 12",0.9130434783,10.08,"mus",NA,"mm","mm","mm","mm","mm","dm",NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0104","M",13.7336,52.9783,2016,20.59,0,2,0,0,"5",2016-09-25,2016-09-24,0,"0",0,NA,0,91,84,"m","m","m","m","m",NA,"m","m","m","100","95","125","120","70/100","80","HI 13",0.9473684211,10.08,"mus",NA,"mm","mm","mm","mm","dm","mm",NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0105","F",13.7336,52.9783,2016,15.27,0,0,2,0,"0",2016-09-25,2016-09-24,0,"0",0,NA,0,82,72,"m",NA,NA,"mm","mm",NA,"dm","dm","mm","100","95","125","120","70/100","80","HI 12",0.8695652174,10.08,"mus",NA,"mm","mm","mm","mm","dm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0106","M",13.7336,52.9783,2016,14.14,0,43,0,0,"0",2016-09-25,2016-09-24,0,"0",0,NA,0,76,66,"d","m","m","m","m",NA,"m","d","m","100","95","125","120","90","80","HI 13",0.8947368421,10.08,"mus",NA,"mm","mm","mm","mm","mm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0107","F",13.7336,52.9783,2016,22.35,0,0,0,0,"0",2016-09-25,2016-09-24,0,"0",0,NA,0,84,75,"m",NA,NA,"mm","mm","mm","mm","dm","mm","100","95","125","120","90","100","HI 13",0.88,10.08,"mus",NA,"mm","mm","mm","mm","mm","dd",NA,NA,NA,489,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0108","M",13.7336,52.9783,2016,16.92,0,2,0,0,"1",2016-09-25,2016-09-24,0,"0",0,NA,0,82,79,"m","m","m","m","m",NA,"d","m","m","100","95","125","120","90","100","HI 13",0.8421052632,10.08,"mus",NA,"mm","mm","mm","mm","mm","dd",NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0109","M",13.7336,52.9783,2016,18.13,0,1,0,0,"0",2016-09-25,2016-09-23,0,"0",0,NA,0,85,75,"m","m","m","m","m",NA,"d","m","m","100","95","125","120","90","80","HI 13",0.9473684211,10.08,"mus",NA,"mm","mm","mm","mm","mm","mm",NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0110","M",13.6761,52.4978,2016,18.72,0,0,0,2,"0",2016-09-24,2016-09-21,0,"0",0,NA,0,83,86,"d","m","m","m","m",NA,"m","m","m","94","100","100/125","100/120","90/100","80","HI 13",0.5789473684,-12.08,"dom",NA,"dd","dd","dm","dm","dm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0111","F",13.895,52.9581,2016,6.71,0,0,0,0,"0",2016-09-26,2016-09-25,0,"0",0,NA,0,68,57,"d",NA,NA,"mm","mm",NA,"dd","mm","mm","100","95","125","120","90","80","HI 12",0.8695652174,17.2,"mus",NA,"mm","mm","mm","mm","mm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0112","M",13.895,52.9581,2016,4.11,0,0,0,0,"0",2016-09-26,2016-09-25,0,"0",0,NA,0,46,49,"d","m","m","m","m",NA,"d","m","m","100","95","125","120","90","80","HI 13",0.8947368421,17.2,"mus",NA,"mm","mm","mm","mm","mm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0113","M",13.84,52.2678,2016,9.77,0,0,0,28,"0",2016-09-26,2016-09-25,0,"0",0,NA,0,64,76,"d","m","m","d","m",NA,"d","d","d","94","100","100","100","70/100","100","HI 13",0.1578947368,-3.77,"mus",NA,"dd","dd","dd","dd","dm","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
