Transect,State,Locality,Code,ID_mouse,Sex,Species,Year,Capture,Dissection,Head taken?,Ectoparasites,Body_weight,Body_length,Tail_length,Liver_mass,Spleen_mass,Testis_mass,Left epididymis weight,Seminal vesicle weight,Embryo,Notes
,,,,,nb male :,93,,,,159,,,,,,,,,,,
,,,,,nb female :,117,,,,,,,,,,,,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0038,female,mus musculus,2016,08.06.2016,08 or 09.06.2016,,,23344,88,81,1583,32,NA,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0039,male,mus musculus,2016,08.06.2016,08 or 09.06.2016,,,12242,69,73,638,14,0.024/0.026,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0040,female (young),mus musculus,2016,08.06.2016,08 or 09.06.2016,,,11542,74,72,721,11,NA,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0041,female (young),mus musculus,2016,08.06.2016,08 or 09.06.2016,,,15254,80,74,0.89,37,NA,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0042,male (young),mus musculus,2016,08.06.2016,08 or 09.06.2016,,,14619,79,78,639,23,0.048/0.046,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0043,male,mus musculus,2016,12.09.2016,13.09.2016,,,14215,79,85,623,22,0.040/0.064,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0044,female,mus musculus,2016,12.09.2016,13.09.2016,,,14.73,78,71,1004,97,NA,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0045,female,mus musculus,2016,12.09.2016,13.09.2016,,,14513,85,80,859,35,NA,,,in liq nitrogen,bleeding at the anus
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0046,male,mus musculus,2016,12.09.2016,13.09.2016,,,18572,86,83,1.08,67,0.032/0.043,,,,
HZ_BR,Germany,,HOPPE1,AA_0047,male,mus musculus,2016,23.09.2016,24.09.2016,,,18.3,78,83,607,38,0.077/0.076,,,,
HZ_BR,Germany,,HOPPE1,AA_0048,female,mus musculus,2016,23.09.2016,24.09.2016,,,19825,88,92,NA,43,NA,,,,
HZ_BR,Germany,,HOPPE1,AA_0049,male,mus musculus,2016,23.09.2016,24.09.2016,,,18.53,83,79,NA,49,0.096/0.049,,,,
HZ_BR,Germany,,HOPPE1,AA_0050,male,mus musculus,2016,23.09.2016,24.09.2016,,,17634,82,78,NA,29,0.073/0.074,,,,
HZ_BR,Germany,,E_ZIND,AA_0051,female,mus musculus,2016,23.09.2016,24.09.2016,,,14226,76,69,NA,63,NA,,,,
HZ_BR,Germany,,E_ZIND,AA_0052,male,mus musculus,2016,23.09.2016,24.09.2016,TRUE,,17039,83,79,NA,81,0.054/0.052,19,87,,
HZ_BR,Germany,,E_ZIND,AA_0053,female (pregnant),mus musculus,2016,23.09.2016,24.09.2016,TRUE,,20184,85,78,NA,NA,,,,,
HZ_BR,Germany,,E_ZIND,AA_0054,female,mus musculus,2016,23.09.2016,24.09.2016,TRUE,,13833,69,72,NA,39,,,,,
HZ_BR,Germany,,E_PAPP,AA_0055,male,mus musculus,2016,23.09.2016,24.09.2016,TRUE,,15181,80,89,NA,,0.058/0.062,22,105,,
HZ_BR,Germany,,E_PAPP,AA_0056,female,mus musculus,2016,23.09.2016,24.09.2016,TRUE,,8751,62,80,NA,6,,,,,
HZ_BR,Germany,,E_PAPP,AA_0057,male,mus musculus,2016,23.09.2016,24.09.2016,TRUE,,11477,76,85,NA,15,0.064/0.066,16,0.05,,
HZ_BR,Germany,,E_HOHE,AA_0058,female,mus musculus,2016,23.09.2016,24.09.2016,TRUE,,22044,100,87,NA,49,,,,,
HZ_BR,Germany,,E_HOHE,AA_0059,male,mus musculus,2016,23.09.2016,24.09.2016,TRUE,,17826,88,86,NA,28,0.063/0.069,18,147,,
HZ_BR,Germany,,E_HOHE,AA_0060,female (pregnant),mus musculus,2016,23.09.2016,24.09.2016,TRUE,,26264,94,82,NA,65,,,,,
HZ_BR,Germany,,SCHEN8h,AA_0061,male (young),mus musculus,2016,23.09.2016,24.09.2016,TRUE,,11937,72,80,NA,17,0.044/0.047,8,NA,,
HZ_BR,Germany,,SCHEN8h,AA_0062,female,mus musculus,2016,23.09.2016,24.09.2016,TRUE,,17289,87,92,NA,46,,,,,
HZ_BR,Germany,,E_WOLZ,AA_0063,male (young),mus musculus,2016,23.09.2016,24.09.2016,,,9764,65,74,NA,13,0.019/0.014,NA,NA,,
HZ_BR,Germany,,E_LIEB,AA_0064,female (pregnant),mus musculus,2016,24.09.2016,25.09.2016,TRUE,,16199,73,88,NA,48,NA,NA,NA,,
HZ_BR,Germany,,E_LIEB,AA_0065,male,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,14,75,81,NA,37,0.021/0.024,6,8,,
HZ_BR,Germany,,E_LIEB,AA_0066,female,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,19447,87,89,NA,0.02,NA,NA,NA,,
HZ_BR,Germany,,E_LIEB,AA_0067,male,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,18.73,79,86,NA,26,0.094/0.094,31,153,,
HZ_BR,Germany,,E_LIEB,AA_0068,female,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,16799,83,89,NA,34,NA,NA,NA,,
HZ_BR,Germany,,E_LIEB,AA_0069,male,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,14252,78,87,NA,29,0.017/0.018,3,5,,
HZ_BR,Germany,,E_LIEB,AA_0070,female,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,13956,72,85,NA,21,NA,NA,NA,,
HZ_BR,Germany,,E_KLAN,AA_0071,female,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,13654,78,88,NA,22,NA,NA,NA,,
HZ_BR,Germany,,E_MIL1,AA_0072,female (pregnant),mus musculus,2016,24.09.2016,25.09.2016,TRUE,,15107,75,82,NA,41,NA,NA,NA,,
HZ_BR,Germany,,E_MIL1,AA_0073,female (pregnant),mus musculus,2016,24.09.2016,25.09.2016,TRUE,,18033,85,79,NA,33,NA,NA,NA,,
HZ_BR,Germany,,E_MIL1,AA_0074,female (pregnant),mus musculus,2016,24.09.2016,25.09.2016,TRUE,,19747,86,88,NA,35,NA,NA,NA,,
HZ_BR,Germany,,E_MIL1,AA_0075,female (pregnant),mus musculus,2016,24.09.2016,25.09.2016,TRUE,,17084,84,81,NA,48,NA,NA,NA,,
HZ_BR,Germany,,E_GRAB,AA_0076,male,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,21853,86,86,NA,NA,0.107/0.106,32,316,,
HZ_BR,Germany,,E_AMTO,AA_0077,female (pregnant),mus musculus,2016,24.09.2016,25.09.2016,TRUE,,25724,92,90,NA,42,NA,NA,NA,,
HZ_BR,Germany,,E_AMTO,AA_0078,female,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,14418,74,73,NA,45,NA,NA,NA,,
HZ_BR,Germany,,E_WOLZ,AA_0079,male,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,14533,75,83,NA,71,0.074/0.078,24,155,,
HZ_BR,Germany,,E_WOLZ,AA_0080,female,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,12512,72,80,NA,42,NA,NA,NA,,
HZ_BR,Germany,,E_WOLZ,AA_0081,male,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,18354,86,91,NA,46,0.091/0.091,31,196,,
HZ_BR,Germany,,E_WOLZ,AA_0082,female,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,12015,72,81,NA,33,NA,NA,NA,,
HZ_BR,Germany,,HOPPE1,AA_0083,female,mus musculus,2016,24.09.2016,25.09.2016,TRUE,,17938,85,79,NA,38,NA,NA,NA,,
HZ_BR,Germany,,HOPPE1,AA_0084,male,mus musculus,2016,24.09.2016,26.09.2016,TRUE,,20.04,82,82,NA,33,0.050/0.053,14,154,,
HZ_BR,Germany,,HOPPE1,AA_0085,female (pregnant),mus musculus,2016,24.09.2016,26.09.2016,TRUE,,28266,91,92,NA,38,NA,NA,NA,,
HZ_BR,Germany,,HOPPE1,AA_0086,male,mus musculus,2016,24.09.2016,26.09.2016,TRUE,,16173,75,93,NA,14,0.063/0.065,36,108,,
HZ_BR,Germany,,HOPPE1,AA_0087,female,mus musculus,2016,24.09.2016,26.09.2016,TRUE,,15419,81,75,NA,26,NA,NA,NA,,
HZ_BR,Germany,,E_WOLZ,AA_0088,male,mus musculus,2016,24.09.2016,26.09.2016,TRUE,,12439,73,81,NA,19,0.063/0.067,13,112,,
HZ_BR,Germany,,E_WOLZ,AA_0089,female,mus musculus,2016,24.09.2016,26.09.2016,TRUE,,10819,68,71,NA,0.04,NA,NA,NA,,
HZ_BR,Germany,,E_GRAB,AA_0090,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,,11176,75,76,NA,15,0.049/0.051,16,56,,
HZ_BR,Germany,,E_MU14,AA_0091,female,mus musculus,2016,25.09.2016,26.09.2016,TRUE,,11599,68,73,NA,36,NA,NA,NA,,
HZ_BR,Germany,,E_MU14,AA_0092,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,16711,77,79,NA,55,0.049/0.052,28,131,,
HZ_BR,Germany,,E_MIL1,AA_0093,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,16258,81,85,NA,26,0.08/0.083,28,166,,
HZ_BR,Germany,,E_MIL1,AA_0094,female,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,16.76,81,83,NA,33,NA,NA,NA,,
HZ_BR,Germany,,E_MIL1,AA_0095,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,12.15,69,76,NA,26,0.057/0.061,14,18,,
HZ_BR,Germany,,E_OE62,AA_0096,female,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,20254,85,80,NA,0.06,NA,NA,NA,,
