Mouse_ID,Transect,State,Address,Code,Latitude,Longitude,Sex,Status,Species,Year,Capture,Dissection,Dissectors,Ectoparasites,Body_weight,Body_length,Tail_length,Spleen_mass,Left_Testis_mass,Right_Testis_mass,Left.epididymis.weight,Seminal.vesicle.weight,Left.ovarium.weight,Right.ovarium.weight,Total,Embryo_left,Embryo_right,Feces_weight,Worms_presence,Syphacia_cecum_colon,Cysticercus_tenia_teniformis_liver,Catotenia_pusilla_SI,Mastophorus_stomach_SI,Heterakis_spumosa_colon_cecum,Tapeworm_SI,Trichuris_cecum,Aspiculuris_colon,Hymenolepis_SI,Rodentolepis_liver_digtract,Mesocoides_body_cavities,Mesocoides_lungs,Heigmosomoides_polyguis,H_diminita?,Notes
AA_0268,HZ_BR,Germany,Dorfanger 7 15754 Heidesee,NA,52.242473,13.70713,male,adult,Mus musculus,2017,12/09/17,13/09/17,Czech,TRUE,17.83,82,80.27,0.0847,0.0646,0.0703,0.0238,0.145,NA,NA,NA,NA,NA,0.75,TRUE,12,0,0,2,0,0,9,0,0,0,0,0,0,,NA
AA_0269,HZ_BR,Germany,Alt-Gielsdorf 68 15345 Alt-Landsberg,GIEL68,52.6053,13.8756,male,adult,Mus musculus,2017,12/09/17,13/09/17,Czech,FALSE,9.62,69.25,72.22,0.03,0.0349,0.0393,0.005,NA,NA,NA,NA,NA,NA,0.09,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0270,HZ_BR,Germany,Dorfanger 7 15754 Heidesee,NA,52.242473,13.70713,female,pregadultnt,Mus musculus,2017,12/09/17,13/09/17,Czech,TRUE,18.38,83.31,77.16,0.0493,NA,NA,NA,NA,NA,NA,NA,3,5,1.12,TRUE,0,0,2,0,0,0,9,85,0,0,0,0,0,,"white spot on belly. Resorbed embryos (2/3 left, 4/5 right)"
AA_0271,HZ_BR,Germany,Reiterhof Böse,NA,52.896941,13.535213,female,adult,Mus musculus,2017,12/09/17,13/09/17,Czech,FALSE,25.42,98.5,95.6,0.0534,NA,NA,NA,NA,0.0074,0.0075,0.0149,0,0,0.28,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,post partum?
AA_0272,HZ_BR,Germany,Reiterhof Böse,NA,52.896941,13.535213,male,adult,Mus musculus,2017,12/09/17,13/09/17,Czech,FALSE,11.02,69.54,76.51,0.0239,0.0368,0.0375,0.0284,NA,NA,NA,NA,NA,NA,0.14,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0273,HZ_BR,Germany,Reiterhof Böse,NA,52.896941,13.535213,male,adult,Mus musculus,2017,12/09/17,13/09/17,Czech,FALSE,6.55,58.02,63.87,0.0129,0.0086,0.0071,NA,NA,NA,NA,NA,NA,NA,0.31,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0274,HZ_BR,Germany,Alt-Gielsdorf 68 15345 Alt-Landsberg,GIEL68,52.6053,13.8756,female pregnant,pregadultnt,Mus musculus,2017,12/09/17,13/09/17,Czech,TRUE,18.93,81.23,66.75,0.0723,NA,NA,NA,NA,NA,NA,NA,0 + 1 residual,3,0.28,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0275,HZ_BR,Germany,Alt-Gielsdorf 68 15345 Alt-Landsberg,GIEL68,52.6053,13.8756,female,adult,Mus musculus,2017,12/09/17,13/09/17,Czech,FALSE,12.25,76.65,73.81,0.0464,0.0026,0.0026,0.0052,NA,NA,NA,NA,0,0,0.13,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0276,HZ_BR,Germany,Reiterhof Böse,NA,52.896941,13.535213,male,adult,Mus musculus,2017,12/09/17,13/09/17,Czech,FALSE,24.1,92.89,105,0.0316,0.0925,0.0936,0.0371,0.1641,NA,NA,NA,NA,NA,0.21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0277,HZ_BR,Germany,Wildpark Schorfheide,SCHORFHOF,52.921731,13.547089,male,adult,Mus musculus,2017,12/09/17,13/09/17,Czech,FALSE,14.24,79.54,84.24,0.0203,0.0705,0.0563,0.0166,0.0638,NA,NA,NA,NA,NA,0.22,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
