Code,Team,Address,Latitude,Longitude,Date_set,Time_set,Number_traps_set,Date_collect,Time_collect,Number_rodents_caught,Number_mus_caught,Other_samples,Mice_IDs,People
FLIE28,B,,53.1610,13.81527,13/09/17,13:45:00,19,14/09/17,13:45:00,1,0,,,"Lukas, Lina, Saskia"
,B,"Feldstr.2, 17268 Fieth-Stegelitz",53.156335,13.815513,13/09/17,14:46:00,21,14/09/17,13:30:00,0,0,,,"Lukas, Lina, Saskia"
,B,"Hauptstr. 1, 16248 Hohenfinow",52.814205,13.924277,13/09/17,10:00:00,5,14/09/17,11:00:00,0,0,,,"Lukas, Lina, Saskia"
,D,"Molkenberg 23, 15517 Fürstenwalde",52.405536,14.055816,13/09/17,16:00:00,13,14/09/17,13:30:00,0,0,,,"Robin, Sascha, Cem"
,D,"Molkenberg 12, 15517 Fürstenwalde",52.401548,14.066519,13/09/17,15:30:00,27,14/09/17,12:40:00,0,0,,,"Robin, Sascha, Cem"
,D,Eberswalderstr. 158A Mönchenberg,52.525395,14.094355,13/09/17,14:45:00,24,14/09/17,??,0,0,,,"Robin, Sascha, Cem"
,D,Münchenhofstr. 1,52.4978,13.6761,13/09/17,12:00:00,12,14/09/17,11:00:00,0,0,,,"Robin, Sascha, Cem"
,D,15377 Oberbarnim Ernsthoff,52.604505,14.022063,13/09/17,18:00:00,13,14/09/17,16:30:00,0,0,,,"Robin, Sascha, Cem"
JOACHIM3,A,Joachimshof 3,53.12478,13.459395,13/09/17,17:30:00,24,14/09/17,17:30:00,5,5,,,"Erik, Anna"
,A,Lychenerstr. 28 17268 Templin,53.127386,13.486372,13/09/17,18:00:00,17,14/09/17,18:00:00,2,2,,,"Erik, Anna"
,F,Bahnhofstr. 8,51.913195,14.12655,13/09/17,16:00:00,13,14/09/17,09:40:00,0,0,,,"Emanuel, Sven"
,F,Waldstr. 1,51.974531,14.054357,13/09/17,18:30:00,30,14/09/17,11:00:00,2,1,,,"Emanuel, Sven"
,D,"Haus am See 23, Briesensee",51.960206,14.01867,13/09/17,17:30:00,49,14/09/17,10:30:00,8,2,,,"Emanuel, Sven"
STORK84,A,"Dorfstraße 84, Storkow",53.049615,13.440793,13/09/17,14:00:00,25,14/09/17,12:00:00,17,17,,,"Erik, Anna"
DORETTENHOF,A,Gut Dorettenhof 23,53.111991,13.462134,13/09/17,17:00:00,40,14/09/17,13:30:00,3,3,,,"Erik, Anna"
GROSSV1,A,Feriendorf Groß Väter See,53.005087,13.560222,13/09/17,12:45:00,22,14/09/17,11:00:00,4,0,,,"Erik, Anna"
,A,,53.115344,13.478184,13/09/17,16:00:00,30,14/09/17,13:00:00,4,4,,,"Erik, Anna"
DANE22,C,Danewitz Dorfstr.,52.73388,13.666388,13/09/17,10:30:00,10,14/09/17,12:00:00,0,0,,,"Gregor, Svea"
,C,"Grüntal 3, Biesentahaler Str. 1",52.750762,13.685143,13/09/17,11:10:00,20,14/09/17,11:30:00,4,0,,,"Gregor, Svea"
,C,"Weesow, Siedlungstr. 4",52.653134,13.731734,13/09/17,12:00:00,7,14/09/17,10:45:00,3,0,,,"Gregor, Svea"
,A,Ringenwalderstr. 31,53.033482,13.711559,14/09/17,16:16:00,39,15/09/17,16:25:00,1,0,,,"Lukas, Sascha"
,A,Templinerstr. 22,53.060033,13.71412,14/09/17,16:30:00,8,15/09/17,16:25:00,0,0,,,"Lukas, Sascha"
,B,Ackerstr. 4 Flieth-Stegelitz,53.160968,13.809477,14/09/17,14:40:00,8,15/09/17,11:35:00,0,0,,,"Lina, Saskia"
,C,Ernsthof Mittelstr. 2 ,52.601445,14.02333,13/09/17,14:15:00,10,14/09/17,13:45:00,0,0,,,"Julia, Sabrina, Nico, Tabea"
,C,"Hauptstr. 58, 15345 Harnekop",52.682556,14.007385,13/09/17,??,18,14/09/17,10:15:00,1,1,,,"Julia, Sabrina, Nico, Tabea"
,C,"Alt-Ruhlsdorf 14, 15344 Straußberg",52.569492,13.99056,13/09/17,14:30:00,28,14/09/17,12:30:00,1,1,,,"Julia, Sabrina, Nico, Tabea"
,C,"Birkenweg 16, 16259 Dannenberg",52.771519,13.957859,14/09/17,11:00:00,30,15/09/17,11:00:00,3,3,,,"Julia, Sabrina, Nico, Tabea"
,C,Lychenerstr. 28 17268 Templin,53.127386,13.486372,14/09/17,17:30:00,40,15/09/17,12:30:00,9,9,,,"Lukas, Sascha"
,C,Alte Heerstrs. 29,52.7667,14.0817,13/09/17,12:00:00,10,14/09/17,15:37:00,1,1,,,"Julia, Sabrina, Nico, Tabea"
,D,Neuhagener Chaussee Schönheide bei Berlin,52.484796,13.693432,14/09/17,11:30:00,15,15/09/17,12:00:00,0,0,,,"Robin, Cem, Sükrü"
,E,"Berghof 2, 15859 Reiplos",52.276343,13.897624,14/09/17,13:15:00,23,15/09/17,11:15:00,18,17,,,"Yasmin, Mert"
,C,Eberswalder Str. 23,52.746462,13.851920,10/09/17,16:30:00,5,11/09/17,16:00:00,0,0,,,"Julia, Sabrina, Nico, Tabea"
,E,"Dorfstraße 25, 15895 Schwenn",52.191564,13.878763,14/09/17,17:55:00,24,15/09/17,13:00:00,0,0,,,"Yasmin, Mert"
,E,Selchowerstr. 4A 15754 Heidesee,52.205485,13.842119,14/09/17,15:00:00,12,15/09/17,12:15:00,0,0,,,"Yasmin, Mert"
,E,"Seeweg 6, 15859 Storkow",52.209057,13.876947,14/09/17,18:30:00,10,15/09/17,12:22:00,0,0,,,"Yasmin, Mert"
,F,"Rocher Nr. 3, 15848",52.088692,14.139438,14/09/17,??,16,15/09/17,??,0,0,,,"Emanuel, Tabea"
,F,"Dorfstraße 37, 15913 Schwielochsee",52.041125,14.181527,14/09/17,??,18,15/09/17,??,0,0,,,"Emanuel, Tabea"
,F,Beeskowerstr. 6,52.089399,14.173623,14/09/17,??,28,15/09/17,??,5,5,,,"Emanuel, Tabea"
,F,"Guhlerdorfstraße 29, 15913 Schwielochsee",52.01705,14.144171,14/09/17,??,33,15/09/17,??,10,10,,,"Emanuel, Tabea"
,F,"Sawaller Dorfstr. 10, 15848 Trabatsch",52.074772,14.180929,14/09/17,??,25,15/09/17,??,15,15,,,"Emanuel, Tabea"
