Year ,Transect ,Code ,ID_mouse ,Worms_presence ,Intestinal_content_sample ,Intestinal_content_DNA ,Cecum_content_sample ,Cecum_content_DNA ,Colon_content_sample ,Colon_content_DNA ,Ap5_PCR,18S_PCR,COI_PCR,SSU_PCR,LSU_PCR,ORF470_PCR
2014,HZ_CZ ,NEB64 ,SK2709,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,KOZL ,SK2710,FALSE,1,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,DODV ,SK2711,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,NVCH1 ,SK2712,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,DODV ,SK2713,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,NVCH1 ,SK2714,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,NVCH1 ,SK2715,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,KRIZS ,SK2716,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,HUR3 ,SK2717,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,JIND31 ,SK2718,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,NVCH1 ,SK2719,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,WOZW1 ,SK2720,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,ODM4 ,SK2721,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,ODM4 ,SK2722,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,WOZW1 ,SK2723,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,ZIST ,SK2724,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,HUR3 ,SK2725,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,ZIST ,SK2726,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,TYN4 ,SK2727,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,PRE11 ,SK2728,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,TYN4 ,SK2729,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,PRE11 ,SK2730,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,KRASIK ,SK2731,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,KRASIK ,SK2732,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,KRASIK ,SK2733,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,PAST ,SK2734,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,JIND31 ,SK2735,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,PRE11 ,SK2736,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,VER15 ,SK2737,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,VER15 ,SK2738,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,KRASIK ,SK2739,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,HUR3 ,SK2740,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,BLAZI ,SK2741,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,SEYB ,SK2742,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,SEYB ,SK2743,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,BLAZI ,SK2744,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,BEZ2 ,SK2745,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,HUR3 ,SK2746,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,HUR3 ,SK2747,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,MUNR ,SK2748,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,MUNR ,SK2749,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,KRIZ60 ,SK2750,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,BLAZI ,SK2751,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,ODM4 ,SK2752,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,ODM4 ,SK2753,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,BLAZI ,SK2754,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,BEZ2 ,SK2755,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,PAST ,SK2756,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,MUNR ,SK2757,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,BEZ2 ,SK2758,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,ROSE ,SK2759,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,BEZ1 ,SK2760,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,BEZ1 ,SK2761,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,NEBFP ,SK2762,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,MUNR ,SK2763,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,KRIZ1 ,SK2764,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,KRIZ1 ,SK2765,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,KRIZ1 ,SK2766,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,KRIZ1 ,SK2767,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,SEYB ,SK2768,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,SEYB ,SK2769,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,SABIH ,SK2770,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,SABIH ,SK2771,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,HOHBG1 ,SK2772,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,HOHBG1 ,SK2773,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,SABI86 ,SK2774,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,PAST ,SK2775,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,WOHL ,SK2776,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,SABI86 ,SK2777,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,PAST ,SK2778,FALSE,1,1,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,NA,NA
2014,HZ_CZ ,JOSE ,SK2779,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA
2014,HZ_CZ ,JOSE ,SK2780,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,KRIZ1 ,SK2781,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,ODM4 ,SK2782,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,LOUZ ,SK2783,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,LOUZ ,SK2784,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,LOUZ ,SK2785,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,LOUZ ,SK2786,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,SABI86 ,SK2787,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,CHL1 ,SK2788,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,MAIE9 ,SK2789,FALSE,1,1,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA
2014,NA,CHL161 ,SK2790,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,NA,CHL161 ,SK2791,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,CHL161 ,SK2792,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,CHL1 ,SK2793,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,CHL161 ,SK2794,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
