"Mouse_ID","OPG","counter","year"
"AA_0171",0,"Phuong","2016"
"AA_0172",0,"Phuong","2016"
"AA_0173",6e+05,"Phuong","2016"
"AA_0174",0,"Phuong","2016"
"AA_0175",0,"Phuong","2016"
"AA_0176",0,"Phuong","2016"
"AA_0177",0,"Phuong","2016"
"AA_0178",0,"Phuong","2016"
"AA_0179",1e+05,"Phuong","2016"
"AA_0180",0,"Phuong","2016"
"AA_0181",0,"Phuong","2016"
"AA_0182",0,"Phuong","2016"
"AA_0183",0,"Phuong","2016"
"AA_0184",7e+05,"Phuong","2016"
"AA_0185",0,"Phuong","2016"
"AA_0186",3e+05,"Phuong","2016"
"AA_0187",0,"Phuong","2016"
"AA_0188",0,"Phuong","2016"
"AA_0189",3e+05,"Phuong","2016"
"AA_0190",0,"Phuong","2016"
"AA_0191",1e+05,"Phuong","2016"
"AA_0192",0,"Phuong","2016"
"AA_0193",0,"Phuong","2016"
"AA_0194",0,"Phuong","2016"
"AA_0195",0,"Phuong","2016"
"AA_0196",0,"Phuong","2016"
"AA_0197",0,"Phuong","2016"
"AA_0198",0,"Phuong","2016"
"AA_0199",1e+05,"Phuong","2016"
"AA_0200",0,"Phuong","2016"
"AA_0201",0,"Phuong","2016"
"AA_0202",0,"Phuong","2016"
"AA_0203",0,"Phuong","2016"
"AA_0204",2e+05,"Phuong","2016"
"AA_0205",0,"Phuong","2016"
"AA_0206",0,"Phuong","2016"
"AA_0207",1e+05,"Phuong","2016"
"AA_0208",0,"Phuong","2016"
"AA_0209",0,"Phuong","2016"
"AA_0210",0,"Phuong","2016"
"AA_0211",1e+05,"Phuong","2016"
"AA_0237",0,"Lorenzo","2017"
"AA_0238",0,"Lorenzo","2017"
"AA_0239",0,"Lorenzo","2017"
"AA_0240",0,"Lorenzo","2017"
"AA_0242",0,"Lorenzo","2017"
"AA_0243",25463,"Lorenzo","2017"
"AA_0245",154412,"Lorenzo","2017"
"AA_0246",0,"Lorenzo","2017"
"AA_0247",19792,"Lorenzo","2017"
"AA_0248",0,"Lorenzo","2017"
"AA_0249",64024,"Lorenzo","2017"
"AA_0250",0,"Lorenzo","2017"
"AA_0251",6127,"Lorenzo","2017"
"AA_0252",0,"Lorenzo","2017"
"AA_0253",0,"Lorenzo","2017"
"AA_0254",0,"Lorenzo","2017"
"AA_0255",0,"Lorenzo","2017"
"AA_0256",0,"Lorenzo","2017"
"AA_0257",41176,"Lorenzo","2017"
"AA_0258",0,"Lorenzo","2017"
"AA_0259",17857,"Lorenzo","2017"
"AA_0260",11029,"Lorenzo","2017"
"AA_0261",0,"Lorenzo","2017"
"AA_0262",0,"Lorenzo","2017"
"AA_0263",0,"Lorenzo","2017"
"AA_0264",0,"Lorenzo","2017"
"AA_0265",0,"Lorenzo","2017"
"AA_0268",0,"Lorenzo","2017"
"AA_0269",0,"Lorenzo","2017"
"AA_0270",0,"Lorenzo","2017"
"AA_0271",0,"Lorenzo","2017"
