Year ,Transect,Code ,Mouse_ID,CEWE_Tissue,CEWE_DNA,qPCR_Result_C,18S_PCR_C,18S_Sequence_C,COI_PCR_C,COI_Sequence_C,ORF_PCR_C,ORF_Sequence_C,ILWE_Tissue,ILWE_DNA,qPCR_Result_I,18S_PCR_I,18S_Sequence_I,COI_PCR_I,COI_Sequence_I,ORF_PCR_I,ORF_Sequence_I,
2014,HZ_CZ ,SABI86 ,SK_2774,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,PAST ,SK_2775,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,WOHL ,SK_2776,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,SABI86 ,SK_2777,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,PAST ,SK_2778,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,JOSE ,SK_2779,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,JOSE ,SK_2780,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,KRIZ1 ,SK_2781,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,ODM4 ,SK_2782,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,LOUZ ,SK_2783,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,LOUZ ,SK_2784,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,LOUZ ,SK_2785,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,LOUZ ,SK_2786,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,SABI86 ,SK_2787,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,CHL1 ,SK_2788,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,MAIE9 ,SK_2789,,,,,,,,,,,,,,,,,,,
2014,NA,CHL161 ,SK_2790,,,,,,,,,,,,,,,,,,,
2014,NA,CHL161 ,SK_2791,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,CHL161 ,SK_2792,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,CHL1 ,SK_2793,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,CHL161 ,SK_2794,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,MIL64 ,SK_2795,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,MIL64 ,SK_2796,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,MIL64 ,SK_2797,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,MIL64 ,SK_2798,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BUS2 ,SK_2799,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BUS2 ,SK_2800,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BUS2 ,SK_2801,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BUS2 ,SK_2802,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,STR2 ,SK_2803,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,STR2 ,SK_2804,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,STR2 ,SK_2805,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,ZEHL1 ,SK_2806,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,ZEHL1 ,SK_2807,TRUE,TRUE,negative,,,,,,,TRUE,FALSE,positive,,,,,,,
2014,HZ_BR ,ZEHL1 ,SK_2808,TRUE,TRUE,positive,positive,,,,,,TRUE,TRUE,positive,,,,,,,
2014,HZ_BR ,ZEHL1 ,SK_2809,TRUE,TRUE,positive,positive,,,,,,TRUE,TRUE,positive,,,,,,,
2014,HZ_BR ,ZEHL1 ,SK_2810,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,ZEHL1 ,SK_2811,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,ZEHL1 ,SK_2812,TRUE,TRUE,positive,negative,,positive,,negative,,TRUE,TRUE,negative,,,,,,,
2014,HZ_BR ,LIEB38 ,SK_2813,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,LIEB38 ,SK_2814,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,LIEB38 ,SK_2815,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,LIEB38 ,SK_2816,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,BRUNN3 ,SK_2817,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,BRUNN3 ,SK_2818,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,BRUNN3 ,SK_2819,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,LIET21 ,SK_2820,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,PAUS ,SK_2821,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,PAUS ,SK_2822,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,PAUS ,SK_2823,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,PAUS ,SK_2824,TRUE,TRUE,positive,,,,,,,TRUE,TRUE,positive,,,,,,,
2014,HZ_BR ,PAUS ,SK_2825,,,,,,,,,,,,,,,,,,,
