Mouse_ID,Feces_g,year,counter,Date_count,N_oocysts_sq1,N_oocysts_sq2,N_oocysts_sq3,N_oocysts_sq4,N_oocysts_sq5,N_oocysts_sq6,N_oocysts_sq7,N_oocysts_sq8,mean_neubauer,comments,PBS_dil_in_mL,oocysts_per_mL(N*10000/dil),OPG
AA_0081,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0082,2.5,2016,Alice,April2018,1,0,0,0,0,0,0,0,0.125,,0.1,12500,5000
AA_0083,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0084,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0085,2.5,2016,Alice,April2018,7,8,4,5,NA,5,6,14,7,,0.1,700000,280000
AA_0086,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0087,4.5,2016,Alice,April2018,2,1,10,3,1,3,1,2,2.875,,0.1,287500,63888.8888888889
AA_0088,4,2016,Enas,2017,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,0.1,Positive_LOST,Positive_LOST
AA_0089,3,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0090,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0091,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0092,3,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0093,1,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0094,1,2016,Alice,April2018,2,1,1,5,3,3,1,4,2.5,,0.1,250000,250000
AA_0095,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0096,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0097,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0098,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0099,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0100,2,2016,Alice,April2018,1,0,0,0,0,0,0,1,0.25,,0.1,25000,12500
AA_0101,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0102,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0103,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0104,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0105,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0106,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0107,2,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0108,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0109,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0116,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0117,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0118,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0119,2,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0120,2,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0121,2,2016,Enas,2017,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,0.1,Positive_LOST,Positive_LOST
AA_0122,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0123,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0124,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0125,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0126,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0127,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0128,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0129,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0130,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0131,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0132,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0133,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0134,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0135,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0136,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0137,2,2016,Alice,April2018,1,4,1,3,1,3,1,1,1.875,,0.1,187500,93750
AA_0138,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0139,NA,2016,Alice,April2018,1,0,0,0,0,0,0,0,remove,some pellet has been removed before ??remove sample from study,0.1,remove,remove
AA_0140,4,2016,Alice,April2018,1,1,1,0,0,0,1,2,0.75,,0.1,75000,18750
AA_0141,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0142,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0143,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0144,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0145,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0146,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0147,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0148,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0149,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0150,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0151,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0152,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0153,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0154,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0155,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0156,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0157,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0158,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0159,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0160,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0161,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0162,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0163,4,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0164,6,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0165,4,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0166,4,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0167,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0168,4,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0169,4,2016,Enas,2017,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,0.1,Positive_LOST,Positive_LOST
AA_0170,4,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0171,4,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0172,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0173,3,2016,Alice,April2018,5,6,7,7,7,6,10,8,7,,0.1,700000,233333.333333333
AA_0174,4,2016,Alice,April2018,0,2,0,0,0,0,0,0,0.25,,0.1,25000,6250
AA_0175,4,2016,Alice,April2018,0,0,0,1,0,0,0,0,0.125,,0.1,12500,3125
AA_0176,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0177,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0178,3.5,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0179,4,2016,Alice,April2018,4,3,6,6,5,6,5,1,4.5,,0.1,450000,112500
AA_0180,4,2016,Alice,April2018,1,0,0,1,0,0,0,0,0.25,,0.1,25000,6250
AA_0181,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0182,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0183,4,2016,Alice,April2018,0,1,0,0,1,1,1,1,0.625,,0.1,62500,15625
AA_0184,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0185,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0186,3,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0187,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0188,3,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0189,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0190,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0191,2,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0192,2,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0193,2.5,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0194,2.5,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0195,2.5,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0196,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0197,1,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0198,3.5,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0199,3.5,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0200,3.5,2016,Alice,April2018,1,0,0,0,0,0,0,0,0.125,,0.1,12500,3571.4285714286
AA_0201,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0202,4,2016,Alice,April2018,1,0,0,0,0,0,0,0,0.125,,0.1,12500,3125
AA_0203,3,2016,Alice,April2018,0,0,0,1,0,0,1,0,0.25,,0.1,25000,8333.3333333333
AA_0204,2,2016,Alice,April2018,2,4,4,1,2,4,3,1,2.625,,0.1,262500,131250
AA_0205,2,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0206,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0207,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0208,4,2016,Alice,April2018,1,0,0,0,0,0,0,0,0.125,,0.1,12500,3125
AA_0209,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0210,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0211,4,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
