sample.ID,delta_ct_cewe,delta_ct_ilwe,observer_qpcr
AA_0122,9.24,9.89,Mert
AA_0123,8.6866666667,9.5066666667,Mert
AA_0124,9.2133333333,9.72,Mert
AA_0125,7.8933333333,9.8033333333,Mert
AA_0126,9.4333333333,9.88,Mert
AA_0127,9.0333333333,8.9066666667,Mert
AA_0128,9.2133333333,8.7733333333,Mert
AA_0129,9.53,8.88,Mert
AA_0130,8.5466666667,9.4,Mert
AA_0131,9.18,9.21,Mert
AA_0132,8.97,8.7666666667,Mert
AA_0133,9.3033333333,9.04,Mert
AA_0134,9.1433333333,9.05,Mert
AA_0135,8.84,8.5933333333,Mert
AA_0136,8.6933333333,8.5066666667,Mert
AA_0137,8.59,9.17,Mert
AA_0138,8.21,9.15,Mert
AA_0139,1.9033333333,-2.6066666667,Mert
AA_0141,8.7066666667,9.2533333333,Mert
AA_0142,8.5433333333,9.3133333333,Mert
AA_0143,6.5333333333,9.4133333333,Mert
AA_0144,9.25,8.48,Mert
AA_0145,8.37,8.61,Mert
AA_0146,9,9.0066666667,Mert
AA_0147,8.7833333333,7.9833333333,Mert
AA_0148,8.3766666667,9.12,Mert
AA_0149,9.1833333333,8.5266666667,Mert
AA_0150,8.5366666667,9.5966666667,Mert
AA_0151,8.62,8.6033333333,Mert
AA_0152,8.89,8.9733333333,Mert
AA_0153,8.9233333333,9.4466666667,Mert
AA_0154,8.0266666667,8.3833333333,Mert
AA_0155,8.1966666667,9.51,Mert
AA_0156,9.7633333333,9.9933333333,Mert
AA_0157,8.5866666667,8.1433333333,Mert
AA_0158,8.42,9.0266666667,Mert
AA_0159,8.8666666667,9.26,Mert
AA_0160,8.5833333333,9.0733333333,Mert
AA_0161,8.82,8.2866666667,Mert
AA_0162,8.6633333333,9.18,Mert
AA_0163,9.0166666667,8.6266666667,Mert
AA_0164,7.8433333333,8.8066666667,Mert
AA_0165,2.2533333333,8.9733333333,Mert
AA_0166,8.21,9.8466666667,Mert
AA_0167,4.6866666667,8.72,Mert
AA_0168,3.35,8.5566666667,Mert
AA_0169,4.8333333333,8.24,Mert
AA_0170,8.8966666667,8.6833333333,Mert
AA_0171,9.1,8.7366666667,Mert
AA_0172,8.1333333333,9.2633333333,Mert
AA_0173,-1.13,8.26,Mert
AA_0174,7.5166666667,7.4366666667,Mert
AA_0175,2.8966666667,8.56,Mert
AA_0176,4.7733333333,8.8733333333,Mert
AA_0177,8.29,9.2166666667,Mert
AA_0178,8.6266666667,8.0866666667,Mert
AA_0179,6.1966666667,9.1733333333,Mert
AA_0180,9.43,7.8266666667,Mert
AA_0181,8.85,9.1866666667,Mert
AA_0182,9.0366666667,9.2533333333,Mert
AA_0183,8.9566666667,10.1333333333,Mert
AA_0184,6.0733333333,9.4466666667,Mert
AA_0185,8.9666666667,8.7466666667,Mert
AA_0186,7.82,8.4033333333,Mert
AA_0187,8.75,9.14,Mert
AA_0188,8.0133333333,8.8166666667,Mert
AA_0189,7.5333333333,9.3833333333,Mert
AA_0190,3.0766666667,8.4733333333,Mert
AA_0191,8.3533333333,8.8366666667,Mert
AA_0192,7.4233333333,8.2066666667,Mert
AA_0193,8.4466666667,9.3066666667,Mert
AA_0194,7.7833333333,8.0833333333,Mert
AA_0195,6.6016666667,8.9766666667,Mert
AA_0196,6.1733333333,8.7866666667,Mert
AA_0197,8.7133333333,8.4966666667,Mert
AA_0198,8.12,9.11,Mert
AA_0199,8.4233333333,9.0933333333,Mert
AA_0200,7.08,8.06,Mert
AA_0201,8.62,8.53,Mert
AA_0202,8.4833333333,8.03,Mert
AA_0203,8.7433333333,8.8333333333,Mert
AA_0204,8.3133333333,-3.3166666667,Mert
AA_0205,8.98,8.9133333333,Mert
AA_0206,7.6833333333,8.76,Mert
AA_0207,8.69,9.2433333333,Mert
AA_0208,8.4033333333,9.2566666667,Mert
AA_0209,7.4633333333,7.9666666667,Mert
AA_0210,8.35,8.88,Mert
AA_0211,8.7533333333,8.6,Mert
AA_0064,-1.4,-8,Enas
AA_0066,-1.6,-10,Enas
AA_0100,2,-2,Enas
AA_0139,-7,2,Enas
AA_0088,-2.6,-7.5,Enas
AA_0070,-3,-10,Enas
