"Mouse_ID","Feces_g","year","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","comments","PBS_dil_in_microL","oocysts_per_microL","OPG"
"SK_3149",158,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3150",255,2015,"Alice","Jan2018",1,0,1,1,1,1,0,0,625,"few only. Aspiculuris eggs",100,6.25,2451
"SK_3151",148,2015,"Alice","Jan2018",19,16,20,16,9,16,19,13,16,"",100,160,108108
"SK_3152",42,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3154",153,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3155",119,2015,"Alice","Jan2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",100,NA,NA
"SK_3156",159,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3157",82,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3158",199,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3159",221,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3160",331,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3161",231,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3162",411,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"nematode eggs",100,0,0
"SK_3164",416,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3165",243,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3166",279,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3167",195,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3168",282,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3169",424,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"worm eggs",100,0,0
"SK_3170",289,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3171",183,2015,"Alice","Jan2018",0,1,0,0,0,0,1,0,0.25,"",100,2.5,1366
"SK_3172",0.33,2015,"Alice","Jan2018",1,0,1,0,0,0,0,0,0.25,"",100,2.5,758
"SK_3173",278,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3174",0.11,2015,"Alice","Jan2018",20,11,9,14,10,11,15,12,12.75,"",100,127.5,115909
"SK_3175",246,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3176",266,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3178",334,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"worms eggs cf alice lab book",100,0,0
"SK_3179",218,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3180",239,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3181",448,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"cestode eggs",100,0,0
"SK_3182",615,2015,"Alice","Jan2018",1,0,1,0,0,0,0,0,0.25,"",100,2.5,407
"SK_3183",0.25,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3184",126,2015,"Alice","Jan2018",6,10,13,9,4,13,11,9,9375,"",100,93.75,74405
"SK_3185",324,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"another coccidia?",100,0,0
"SK_3186",331,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3187",191,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3188",191,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"worms eggs cf alice lab book",100,0,0
"SK_3189",178,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3190",137,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"trichuris eggs",100,0,0
"SK_3191",172,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3207",333,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3208",207,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3209",311,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3210",234,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3211",139,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3212",224,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3192",NA,2015,"Alice","Jan2018",1,0,0,0,1,0,0,0,0.25,"not sure, just one. nematode eggs",100,2.5,NA
"AA_0237",0.34,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0238",0.11,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0239",0.36,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0240",0.71,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0242",0.9,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0243",0.54,2017,"Alice","March2018",1,4,4,1,5,8,0,2,3.125,"",100,31.25,5787
"AA_0245",0.34,2017,"Alice","March2018",4,8,11,7,14,8,11,10,9.125,"",100,91.25,26838
"AA_0246",0.11,2017,"Alice","March2018",1,0,1,0,1,2,2,0,0.875,"",100,8.75,7955
"AA_0254",0.54,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0258",0.3,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0262",0.2,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0264",0.19,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0265",0.13,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0266",NA,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,NA
"AA_0268",0.75,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0269",0.09,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0270",1.12,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0271",0.28,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0272",0.14,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0273",0.31,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0274",0.28,2017,"Alice","March2018",0,0,1,1,0,0,0,0,0.25,"",100,2.5,893
"AA_0275",0.13,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0276",0.21,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0277",0.22,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0278",0.08,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0279",0.35,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0280",0.07,2017,"Alice","March2018",0,0,1,0,0,0,0,0,0.125,"",100,1.25,1786
"AA_0281",0.19,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0282",0.21,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0283",0.19,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0284",0.05,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0285",0.08,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0286",0.08,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0288",0.26,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0289",0.08,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0290",0.18,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0291",0.34,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0295",0.06,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0296",0.91,2017,"Alice","March2018",15,18,6,18,8,11,14,22,14,"",100,140,15385
"AA_0297",0.39,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0298",0.13,2017,"Alice","March2018",25,20,12,15,26,26,18,26,21,"",100,210,161538
"AA_0299",0.45,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0300",0.24,2017,"Alice","March2018",1,0,0,0,0,0,0,0,0.125,"",1000,1.25,5208
"AA_0301",0.6,2017,"Alice","March2018",2,2,1,2,2,2,1,2,1.75,"",2000,17.5,58333
"AA_0302",0.43,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0303",0.04,2017,"Alice","March2018",0,2,1,1,0,0,1,4,1.125,"",100,11.25,28125
"AA_0304",0.69,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0306",0.46,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0307",0.56,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0308",0.52,2017,"Alice","March2018",2,3,6,5,5,7,5,4,4.625,"",100,46.25,8894
"AA_0309",0.06,2017,"Alice","March2018",1,0,0,1,1,2,0,3,1,"",100,10,16667
"AA_0310",0.07,2017,"Alice","March2018",0,1,0,4,2,0,0,0,0.875,"",100,8.75,12500
"AA_0311",0.29,2017,"Alice","March2018",4,3,2,3,4,3,2,3,3,"",100,30,10345
"AA_0312",0.45,2017,"Alice","March2018",7,5,6,7,7,4,9,7,6.5,"",1000,65,144444
"AA_0313",0.16,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0314",0.12,2017,"Alice","March2018",5,9,4,6,7,15,16,12,9.25,"",100,92.5,77083
"AA_0315",0.79,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0316",0.31,2017,"Alice","March2018",13,14,9,7,6,6,8,12,9.375,"",1000,93.75,302419
"AA_0317",0.49,2017,"Alice","March2018",1,3,1,0,0,0,0,1,0.75,"",100,7.5,1531
"AA_0318",0.19,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0319",0.84,2017,"Alice","March2018",24,45,26,22,22,19,32,17,25.875,"",100,258.75,30804
"AA_0320",0.74,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0321",0.41,2017,"Alice","March2018",1,0,0,2,0,2,2,0,0.875,"",100,8.75,2134
"AA_0322",0.6,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0323",0.75,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0324",0.33,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0325",0.29,2017,"Alice","March2018",1,0,2,1,0,1,0,1,0.75,"",100,7.5,2586
"AA_0326",0.51,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0327",0.12,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0328",0.05,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0329",0.61,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0331",0.12,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0332",0.4,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0333",0.46,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0334",0.05,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0335",0.51,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0336",0.08,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0337",0.6,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0338",0.75,2017,"Alice","March2018",1,0,1,0,2,1,5,2,1.5,"",100,15,2000
"AA_0339",0.21,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0340",0.13,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0341",0.54,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0342",0.1,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0343",0.13,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0344",0.38,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0345",0.09,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0346",0.73,2017,"Alice","March2018",2,2,2,1,2,2,2,1,1.75,"",100,17.5,2397
"AA_0347",0.04,2017,"Alice","March2018",0,0,0,0,1,1,0,0,0.25,"",100,2.5,6250
"AA_0348",0.04,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0349",NA,2017,"Alice","March2018",2,2,2,3,1,2,2,2,2,"",1000,20,NA
"AA_0350",0.45,2017,"Alice","March2018",3,0,2,1,1,1,1,2,1.375,"",1000,13.75,30556
"AA_0351",0.14,2017,"Alice","March2018",0,3,2,2,2,2,0,1,1.5,"",100,15,10714
"AA_0352",1.24,2017,"Alice","March2018",0,1,1,2,0,2,0,0,0.75,"",1000,7.5,6048
"AA_0353",0.58,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
