counter,Mouse_ID,Feces_g,Comments,PBS_dil,Status,N_oocysts_sq1,X,X.1,X.2,N_oocysts_sq2,X.3,X.4,X.5,oocysts_in_feces,OPG,Nematoda,Insgesamt,potassium.dichromat,comment,year
Lorenzo,AA_0334,0.05,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0335,0.51,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0336,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0337,0.6,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0338,0.75,,1ml,,1,0,0,1,1,1,0,0,5000,6667,,NA,NA,,2017
Lorenzo,AA_0339,0.21,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0340,0.13,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0341,0.54,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0342,0.1,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0343,0.13,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0344,0.38,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0345,0.09,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0346,0.73,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0347,0.04,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0348,0.04,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0349,0.49,2 mice same cage ^!! ,1ml,,1,3,0,0,0,0,1,1,7500,15306,,NA,NA,,2017
Lorenzo,AA_0350,0.45,,1ml,,0,0,0,0,1,1,0,0,2500,5556,,NA,NA,,2017
Lorenzo,AA_0351,0.14,,1ml,positive*,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0352,1.24,,1ml,,0,0,0,0,0,1,0,0,1250,1008,positive,NA,NA,,2017
Lorenzo,AA_0353,0.58,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0354,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0355,0.41,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0356,0.16,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0358,0.05,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0359,0.44,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0365,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0366,0.33,,1ml,,16,27,21,22,50,37,24,26,278750,844697,,NA,NA,,2017
Lorenzo,AA_0367,0.06,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0368,0.51,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0369,0.75,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0370,0.73,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0371,0.29,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0372,0.03,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0373,0.77,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0374,0.22,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0375,0.19,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0376,0.65,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0377,0.36,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0378,0.28,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0379,0.01,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0380,0.2,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0381,0.06,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0382,0.92,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,rotten,2017
Lorenzo,AA_0383,0.56,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0384,0.33,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0385,0.29,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0386,0.32,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,rotten,2017
Lorenzo,AA_0387,0.78,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0388,0.05,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0389,0.25,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0390,0.86,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,rotten,2017
Lorenzo,AA_0391,0.92,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0392,0.06,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0393,0.13,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0394,0.6,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0395,0.06,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0396,0.01,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0397,0.02,,1ml,,6,7,7,3,2,3,3,2,41250,2062500,positive,NA,NA,,2017
Lorenzo,AA_0398,0.18,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0399,0.28,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0400,0.3,,1ml,positive*,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0401,0.27,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0402,0.01,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0403,0.67,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0404,0.63,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0405,0.54,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
