Mouse_ID,Feces_g,year,counter,Date_count,N_oocysts_sq1,N_oocysts_sq2,N_oocysts_sq3,N_oocysts_sq4,N_oocysts_sq5,N_oocysts_sq6,N_oocysts_sq7,N_oocysts_sq8,mean_neubauer,comments,PBS_dil_in_mL,oocysts_per_mL.N.10000.dil.,OPG
AA_0377,0.36,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0378,0.28,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0379,0.01,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0380,0.2,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0381,0.06,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0382,0.92,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0383,0.56,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0384,0.33,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0385,0.29,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0386,0.32,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0387,0.78,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0388,0.05,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0389,0.25,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0390,0.86,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0391,0.92,2017,Alice,March2018,0,0,0,1,1,0,0,0,0.25,NA,0.1,2500,271.7391304348
AA_0392,0.06,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0393,0.13,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0394,0.6,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0395,0.06,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0396,0.01,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0397,0.02,2017,Alice,March2018,12,13,20,10,7,16,10,10,12.25,NA,0.1,122500,612500
AA_0398,0.18,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0399,0.28,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0400,0.3,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0401,0.27,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0402,0.01,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0403,0.67,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0404,0.63,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0405,0.54,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0406,0.31,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0407,0.35,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0408,0.39,2017,Alice,March2018,10,7,8,8,7,5,7,4,7,NA,0.1,70000,17948.717948718
AA_0409,0.74,2017,Alice,March2018,9,14,8,4,11,11,13,5,9.375,NA,0.1,93750,12668.9189189189
AA_0410,0.18,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0411,0.88,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0412,0.58,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0413,0.16,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0414,1.06,2017,Alice,March2018,0,0,0,0,0,1,0,0,0.125,NA,0.1,1250,117.9245283019
AA_0422,0.29,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0423,0.27,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0424,1.11,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0425,0.16,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0426,0.35,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,1,0,0
AA_0427,0.62,2017,Alice,June2018,1,1,0,0,0,0,0,0,0.25,,0.1,2500,403.2258064516
AA_0428,1.19,2017,Alice,March2018,7,7,6,6,8,5,9,7,6.875,NA,0.1,68750,5777.3109243698
AA_0429,0.81,2017,Alice,March2018,7,7,7,7,4,4,3,5,5.5,NA,0.1,55000,6790.1234567901
AA_0430,0.64,2017,Alice,March2018,113,116,94,103,86,87,100,85,98,NA,0.1,980000,153125
AA_0431,0.68,2017,Alice,March2018,8,7,4,4,9,6,6,4,6,,0.1,60000,8823.5294117647
AA_0432,0.48,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0433,0.01,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0434,0.16,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0435,0.69,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0436,0.64,2017,Alice,March2018,5,6,4,9,4,3,4,8,5.375,,0.1,53750,8398.4375
AA_0437,0.1,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0438,0.32,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0439,0.49,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0440,0.81,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0441,0.11,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0442,0.43,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0443,0.26,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0444,0.68,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0445,0.56,2017,Alice,March2018,69,69,66,63,69,69,66,63,66.75,,0.1,667500,119196.428571429
AA_0446,0.23,2017,Alice,March2018,88,88,80,87,118,103,75,108,93.375,NA,0.1,933750,405978.260869565
AA_0447,0.2,2017,Alice,March2018,7,6,7,6,4,5,2,4,5.125,,1,51250,256250
AA_0448,0.51,2017,Lorenzo,2017,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0449,0.05,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0450,0.08,2017,Lorenzo,2017,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0451,0.2,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0452,0.23,2017,Alice,June2018,8,6,7,4,3,7,3,4,5.25,,1,52500,228260.869565217
AA_0453,0.19,2017,Alice,March2018,0,0,0,0,1,0,0,0,0.125,NA,0.1,1250,657.8947368421
AA_0454,0.26,2017,Alice,March2018,35,20,31,46,33,35,23,24,30.875,NA,0.1,308750,118750
AA_0455,0.54,2017,Alice,June2018,11,9,12,12,6,7,9,11,9.625,,0.1,96250,17824.0740740741
AA_0456,0.49,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0457,0.59,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0458,0.58,2017,Alice,June2018,1,0,0,0,0,0,0,0,0.125,,0.1,1250,215.5172413793
AA_0459,0.53,2017,Alice,March2018,0,0,0,1,3,1,0,2,0.875,NA,0.1,8750,1650.9433962264
AA_0461,0.01,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0462,0.17,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0463,0.01,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0465,0.38,2017,Alice,March2018,1,0,1,2,0,0,1,2,0.875,,0.1,8750,2302.6315789474
AA_0466,0.53,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0467,0.5,2017,Alice,June2018,1,0,3,1,3,3,0,1,1.5,trichuris,0.1,15000,3000
AA_0468,0.22,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0469,0.44,2017,Alice,March2018,58,57,56,61,66,84,77,60,64.875,,0.1,648750,147443.181818182
AA_0470,0.32,2017,Alice,March2018,1,0,0,0,0,0,0,0,0.125,,0.1,1250,390625
AA_0471,0.39,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0489,0.79,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0490,0.83,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0491,0.86,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0495,0.18,2017,Alice,June2018,13,9,11,14,14,8,6,7,10.25,,0.1,102500,56944.4444444444
AA_0496,0.73,2017,Alice,June2018,3,0,3,5,4,6,1,3,3.125,,0.1,31250,4280.8219178082
AA_0497,0.65,2017,Alice,June2018,21,39,34,33,10,40,21,39,29.625,,0.1,296250,45576.9230769231
AA_0498,0.52,2017,Alice,June2018,1,0,0,1,0,0,2,0,0.5,,0.1,5000,961.5384615385
AA_0499,0.47,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0500,0.74,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0501,0.7,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,mastophorus,0.1,0,0
AA_0502,0.23,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0503,1.12,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,mastophorus,0.1,0,0
AA_0504,0.3,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0505,0.39,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0506,0.43,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0509,0.16,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0510,0.2,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0511,0.51,2017,Alice,June2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0512,0.64,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0513,0.85,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
