"Mouse_ID","year","OPG.lorenzo","OPG.enas","OPG.phuong","OPG.alice","X12_Ap5_PCR","X13_18S_Seq","X14_COI_Seq","X16_ORF470_Seq","PCRpos3markers"
"AA_0263",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0264",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0265",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0268",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0269",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0270",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0271",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0272",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0273",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0274",2017,4464,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0275",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0276",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0277",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0278",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0279",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0280",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0281",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0282",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0283",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0284",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0285",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0286",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0288",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0289",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0290",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0291",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0295",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0296",2017,42582,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0297",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0298",2017,413462,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0299",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0300",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0301",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0302",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0303",2017,62500,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0304",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0306",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0307",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0308",2017,14423,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0309",2017,41667,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0310",2017,17857,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0311",2017,8621,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0312",2017,66667,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0313",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0314",2017,145833,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0315",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0316",2017,60484,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0317",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0318",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0319",2017,46131,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0320",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0321",2017,21341,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0322",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0323",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0324",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0325",2017,12931,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0326",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0327",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0328",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0329",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0330",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0331",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0332",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0333",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0334",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0335",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0336",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0337",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0338",2017,6667,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0339",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0340",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0341",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0342",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0343",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0344",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0345",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0346",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0347",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0348",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0349",2017,15306,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0350",2017,5556,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0351",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0352",2017,1008,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0353",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0354",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0355",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0356",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0358",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0359",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0365",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0366",2017,844697,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0367",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0368",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0369",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0370",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0371",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0372",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0373",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0374",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0375",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0376",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0377",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0378",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0379",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0380",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0381",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0382",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0383",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0384",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0385",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0386",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0387",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0388",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0389",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0390",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0391",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0392",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0393",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0394",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0395",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0396",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0397",2017,2062500,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0398",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0399",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0400",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0401",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0402",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0403",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0404",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0405",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0406",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0407",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0408",2017,44872,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0409",2017,47297,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0410",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0411",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0412",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0413",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0414",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0422",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0423",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0424",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
